drug1,drug2,conn score
ataluren,bicalutamide,91.57
ataluren,moclobemide,92.64
ataluren,tacrine,97.25
ataluren,rutin,95.14
ataluren,lamivudine,89.27
ataluren,famciclovir,34.46
ataluren,capecitabine,95.01
ataluren,meloxicam,71.34
ataluren,ganciclovir,91.12
ataluren,molindone,97.21
ataluren,clonidine,78.2
ataluren,latanoprost,90.29
ataluren,etomidate,97.06
ataluren,diclofenac,82.29
ataluren,moxonidine,82.85
ataluren,ketotifen,83.9
ataluren,flavoxate,94.14
ataluren,benzthiazide,97.71
ataluren,fluoxetine,82.74
ataluren,disopyramide,98.14
ataluren,medetomidine,50.02
ataluren,flutamide,79.51
ataluren,bifemelane,94.42
ataluren,bucladesine,58.18
ataluren,riluzole,66.35
ataluren,aripiprazole,81.68
ataluren,sulpiride,14.195000000000004
ataluren,busulfan,98.56
ataluren,clozapine,98.43
ataluren,paroxetine,69.35
ataluren,atomoxetine,93.65
ataluren,amitriptyline,90.49
ataluren,prazosin,93.92
ataluren,dihydroergocristine,73.24
ataluren,progesterone,83.68
ataluren,saquinavir,78.89
ataluren,clomipramine,72.96
ataluren,proguanil,91.77
ataluren,irbesartan,71.43
ataluren,aminoglutethimide,67.04
ataluren,altrenogest,-22.04
ataluren,piperidolate,96.41
ataluren,hydroflumethiazide,76.9
ataluren,glipizide,89.04
ataluren,ubenimex,92.71
ataluren,propentofylline,93.34
ataluren,phenylbutyrate,99.47
ataluren,nateglinide,92.79
ataluren,clotrimazole,83.37
ataluren,metformin,88.33
ataluren,clomifene,91.37
ataluren,atorvastatin,93.03
ataluren,amodiaquine,96.43
ataluren,bupropion,85.69
ataluren,rabeprazole,41.47
ataluren,ribavirin,64.19
ataluren,metoprolol,50.81
ataluren,ataluren,99.97
ataluren,sulfafurazole,87.02
ataluren,prednisone,78.59
ataluren,itraconazole,91.7
ataluren,fluspirilene,27.4
ataluren,fluvoxamine,70.51
ataluren,pindolol,85.79
ataluren,altretamine,92.27
ataluren,clofibric-acid,75.63
ataluren,vardenafil,90.03
ataluren,quetiapine,31.23
ataluren,azathioprine,82.05
ataluren,amantadine,43.71
ataluren,ticlopidine,68.12
ataluren,loperamide,46.85
ataluren,molsidomine,98.84
ataluren,chlorambucil,92.26
ataluren,thiothixene,79.58
ataluren,amlexanox,90.4
ataluren,mefloquine,33.94
ataluren,anastrozole,94.89
ataluren,estradiol,91.83
ataluren,diazoxide,74.08
ataluren,metolazone,91.8
ataluren,primidone,68.55
ataluren,racecadotril,69.22
ataluren,oxfendazole,94.65
ataluren,mirtazapine,75.9
ataluren,terbinafine,88.76
ataluren,bimatoprost,84.98
ataluren,letrozole,65.35
ataluren,triflupromazine,67.65
ataluren,triamterene,94.8
ataluren,imipramine,93.68
ataluren,balsalazide,76.68
ataluren,duloxetine,65.33
ataluren,doxepin,71.3
ataluren,protriptyline,77.89
ataluren,fluconazole,63.4
ataluren,bosentan,99.67
ataluren,carvedilol,54.8
ataluren,risperidone,91.6
ataluren,ambroxol,69.58
ataluren,bezafibrate,92.69
ataluren,tamibarotene,85.96
ataluren,quinidine,73.71
ataluren,nimodipine,84.9
ataluren,metronidazole,88.34
ataluren,oxiconazole,80.62
ataluren,escitalopram,93.36
ataluren,piretanide,90.8
ataluren,decitabine,66.93
ataluren,floxuridine,91.51
ataluren,ranolazine,85.54
ataluren,cimetidine,81.7
ataluren,oxybuprocaine,96.91
ataluren,afatinib,88.16
ataluren,droperidol,52.73
ataluren,imatinib,-45.5
ataluren,tiabendazole,97.44
ataluren,dextromethorphan,83.98
ataluren,flecainide,88.89
ataluren,rilmenidine,65.29
ataluren,lapatinib,89.27
ataluren,primaquine,50.7
ataluren,rizatriptan,78.82
ataluren,ketanserin,66.78
ataluren,tolazamide,66.09
ataluren,idebenone,90.91
ataluren,fexofenadine,80.01
ataluren,sertraline,86.69
ataluren,norgestrel,87.62
ataluren,dantrolene,77.56
ataluren,danazol,70.22
ataluren,pravastatin,64.91
ataluren,pregnenolone,55.33
ataluren,chlorphenamine,87.6
ataluren,spironolactone,61.51
ataluren,indapamide,83.6
ataluren,nicotine,99.01
ataluren,ozagrel,94.35
ataluren,atracurium,54.58
ataluren,erlotinib,84.69
ataluren,fenoldopam,86.49
ataluren,betahistine,92.67
ataluren,rosuvastatin,88.98
ataluren,dexamethasone,78.15
ataluren,nevirapine,95.11
ataluren,sertaconazole,90.62
ataluren,fosinopril,85.26
ataluren,capsaicin,95.2
ataluren,penciclovir,56.37
ataluren,meclofenamic-acid,84.83
ataluren,gestrinone,98.58
ataluren,felodipine,79.17
ataluren,urapidil,50.01
ataluren,fluphenazine,74.61
ataluren,pimozide,93.62
ataluren,buflomedil,16.72
ataluren,tibolone,72.93
ataluren,pyrimethamine,70.25
ataluren,amiloride,70.6
ataluren,topiramate,79.46
ataluren,finasteride,66.81
ataluren,trifluoperazine,47.09
ataluren,phenytoin,98.91
ataluren,glimepiride,86.64
ataluren,propafenone,57.29
ataluren,enalapril,98.3
ataluren,valsartan,90.83
ataluren,everolimus,57.18
ataluren,simvastatin,75.49
ataluren,benzbromarone,90.31
ataluren,losartan,78.42
ataluren,sotalol,38.15
ataluren,granisetron,77.94
ataluren,melperone,90.04
ataluren,tizanidine,78.09
ataluren,amoxapine,55.77
ataluren,loratadine,97.56
ataluren,diflunisal,95.8
ataluren,ibuprofen,86.52
ataluren,papaverine,83.04
ataluren,gefitinib,42.56
ataluren,metoclopramide,80.23
ataluren,piroxicam,52.99
ataluren,phentolamine,67.52
ataluren,gemfibrozil,81.35
ataluren,varenicline,11.79
ataluren,levofloxacin,70.26
ataluren,rifaximin,52.48
ataluren,levonorgestrel,99.37
ataluren,esmolol,72.85
ataluren,doxycycline,94.12
ataluren,chloroquine,50.86
ataluren,paclitaxel,68.4
ataluren,penfluridol,70.67
ataluren,mepivacaine,62.34
ataluren,cyproheptadine,62.65
ataluren,quinine,75.57
ataluren,ofloxacin,83.67
ataluren,dolasetron,86.99
ataluren,ropinirole,47.28
ataluren,niclosamide,74.86
ataluren,cladribine,98.19
ataluren,daunorubicin,41.06
ataluren,tofacitinib,65.98
ataluren,nicardipine,63.5
ataluren,orphenadrine,27.88
ataluren,lidoflazine,46.84
ataluren,pyrazinamide,67.87
ataluren,doxorubicin,77.02
ataluren,chloramphenicol,99.86
ataluren,estrone,41.08
ataluren,mephentermine,91.26
ataluren,chloroxine,81.69
ataluren,milrinone,89.37
ataluren,metergoline,78.93
ataluren,telmisartan,43.42
ataluren,midostaurin,84.15
ataluren,etoposide,85.45
ataluren,verapamil,90.58
ataluren,vinpocetine,98.8
ataluren,ondansetron,81.29
ataluren,diltiazem,12.05
ataluren,gliquidone,74.69
ataluren,palbociclib,67.98
ataluren,cefdinir,37.33
ataluren,artesunate,68.66
ataluren,propranolol,67.62
ataluren,norethindrone,90.87
ataluren,doxapram,96.9
ataluren,lamotrigine,45.44
ataluren,niacin,72.07
ataluren,menadione,71.97
ataluren,clofazimine,20.81
ataluren,perhexiline,54.44
ataluren,ethinyl-estradiol,-49.87
ataluren,sunitinib,63.91
ataluren,dopamine,99.79
ataluren,carbamazepine,66.05
ataluren,nortriptyline,21.19
ataluren,olanzapine,89.94
ataluren,bosutinib,93.56
ataluren,podophyllotoxin,73.62
ataluren,oxybutynin,96.38
ataluren,fasudil,86.6
ataluren,sumatriptan,96.1
ataluren,famotidine,32.19
ataluren,pioglitazone,63.01
ataluren,tadalafil,65.1
ataluren,benzylpenicillin,49.57
ataluren,quinapril,31.99
ataluren,yohimbine,72.14
ataluren,levetiracetam,91.57
ataluren,epinephrine,86.98
ataluren,mitoxantrone,59.22
ataluren,pilocarpine,82.38
ataluren,azithromycin,78.98
ataluren,dasatinib,51.44
ataluren,anagrelide,28.35
ataluren,perindopril,87.28
ataluren,hydrocortisone,44.524
ataluren,leflunomide,87.16
ataluren,maraviroc,88.15
ataluren,etacrynic-acid,59.64
ataluren,naftifine,68.02
ataluren,lacidipine,76.98
ataluren,econazole,53.71
ataluren,dicloxacillin,77.42
ataluren,nicergoline,86.08
ataluren,etodolac,75.77
ataluren,pinacidil,71.99
ataluren,praziquantel,46.29
ataluren,propylthiouracil,86.47
ataluren,bromocriptine,-14.18
ataluren,butoconazole,76.07
ataluren,trimipramine,76.99
ataluren,acarbose,45.2
ataluren,homochlorcyclizine,52.75
ataluren,bisoprolol,40.6
ataluren,milnacipran,62.07
ataluren,sirolimus,71.84
ataluren,zidovudine,99.37
ataluren,eplerenone,-40.7
ataluren,selegiline,41.55
ataluren,doxazosin,23.12
ataluren,candesartan,69.91
ataluren,exemestane,26.77
ataluren,picotamide,72.05
ataluren,warfarin,74.09
ataluren,toremifene,56.03
ataluren,gemcitabine,51.51
ataluren,sildenafil,85.51
ataluren,nilotinib,54.78
ataluren,zileuton,71.55
ataluren,ritodrine,-43.19
ataluren,nimesulide,57.33
ataluren,cytarabine,89.29
ataluren,pantoprazole,45.04
ataluren,tivozanib,68.57
ataluren,felbamate,70.2
ataluren,triclabendazole,87.87
ataluren,irinotecan,52.73
ataluren,lopinavir,9.31
ataluren,sorafenib,28.44
ataluren,vemurafenib,54.37
ataluren,elvitegravir,15.22
ataluren,pitavastatin,71.51
ataluren,calcitriol,-44.45
ataluren,reboxetine,89.07
ataluren,bifonazole,23.74
ataluren,vorinostat,31.0
ataluren,clofarabine,55.1
ataluren,belinostat,55.0
ataluren,rimexolone,32.61
ataluren,nicotinamide,-64.31
ataluren,vidarabine,93.36
ataluren,isradipine,68.4
ataluren,ruxolitinib,74.47
ataluren,dilazep,15.11
ataluren,metixene,45.48
ataluren,olaparib,62.05
ataluren,mepacrine,60.08
ataluren,temsirolimus,78.29
ataluren,ipriflavone,30.49
ataluren,atovaquone,90.49
ataluren,mebendazole,37.67
ataluren,ranitidine,18.14
ataluren,tranilast,29.65
ataluren,acyclovir,77.68
ataluren,dapsone,70.61
ataluren,ritonavir,10.37
ataluren,carprofen,64.31
ataluren,eugenol,14.78
ataluren,mercaptopurine,61.17
ataluren,methimazole,94.12
ataluren,maprotiline,53.9
ataluren,ivermectin,21.83
ataluren,tranylcypromine,70.52
ataluren,crizotinib,21.03
ataluren,pazopanib,48.31
ataluren,fludroxycortide,88.35
ataluren,actarit,61.25
ataluren,fulvestrant,29.84
ataluren,lasalocid,36.52
ataluren,lenalidomide,50.66
ataluren,reserpine,89.85
ataluren,masitinib,86.94
ataluren,quercetin,28.98
ataluren,scopolamine,56.34
ataluren,rivaroxaban,34.33
ataluren,docetaxel,35.27
ataluren,entecavir,66.99
ataluren,neratinib,34.35
ataluren,valproic-acid,90.8
ataluren,azacitidine,81.75
ataluren,formoterol,32.79
ataluren,amsacrine,86.05
ataluren,naftopidil,70.59
ataluren,raltegravir,78.36
ataluren,aspirin,60.85
ataluren,raloxifene,42.0
ataluren,ketoconazole,-30.21
ataluren,griseofulvin,80.26
ataluren,vinburnine,59.64
ataluren,temozolomide,41.87
ataluren,SN-38,46.75
ataluren,digoxin,-17.08
ataluren,mepyramine,77.31
ataluren,physostigmine,82.11
ataluren,medrysone,22.35
ataluren,cholic-acid,86.82
ataluren,deferiprone,9.67
ataluren,tamoxifen,17.97
ataluren,noscapine,-12.28
ataluren,homoharringtonine,19.52
ataluren,ziprasidone,18.69
ataluren,methazolamide,91.5
ataluren,phensuximide,37.38
ataluren,sitagliptin,73.12
anastrozole,cabergoline,91.39
anastrozole,trimebutine,98.38
anastrozole,secnidazole,84.24
anastrozole,ipratropium,68.36
anastrozole,mestinon,94.83
anastrozole,clarithromycin,91.89
anastrozole,rifabutin,72.92
anastrozole,zafirlukast,22.39
anastrozole,oxaprozin,35.31
anastrozole,tolbutamide,86.01
anastrozole,prochlorperazine,73.58
anastrozole,celecoxib,94.49
anastrozole,methylprednisolone,94.88
anastrozole,bicalutamide,28.07
anastrozole,moclobemide,92.48
anastrozole,tacrine,31.74
anastrozole,rutin,80.85
anastrozole,lamivudine,57.52
anastrozole,famciclovir,73.41
anastrozole,capecitabine,77.0
anastrozole,meloxicam,77.85
anastrozole,ganciclovir,86.89
anastrozole,molindone,84.62
anastrozole,clonidine,64.21
anastrozole,latanoprost,21.08
anastrozole,etomidate,76.22
anastrozole,diclofenac,82.35
anastrozole,moxonidine,47.59
anastrozole,ketotifen,95.3
anastrozole,flavoxate,86.91
anastrozole,benzthiazide,13.78
anastrozole,fluoxetine,90.67
anastrozole,disopyramide,47.32
anastrozole,medetomidine,90.33
anastrozole,flutamide,77.13
anastrozole,bifemelane,33.24
anastrozole,bucladesine,75.93
anastrozole,riluzole,90.1
anastrozole,aripiprazole,93.75
anastrozole,sulpiride,52.445
anastrozole,busulfan,60.42
anastrozole,clozapine,84.77
anastrozole,paroxetine,25.97
anastrozole,atomoxetine,15.22
anastrozole,amitriptyline,21.79
anastrozole,prazosin,68.9
anastrozole,dihydroergocristine,97.65
anastrozole,progesterone,95.83
anastrozole,saquinavir,62.0
anastrozole,clomipramine,55.25
anastrozole,proguanil,11.8
anastrozole,irbesartan,69.19
anastrozole,aminoglutethimide,73.48
anastrozole,altrenogest,91.97
anastrozole,piperidolate,70.05
anastrozole,hydroflumethiazide,72.83
anastrozole,glipizide,18.72
anastrozole,ubenimex,75.45
anastrozole,propentofylline,91.46
anastrozole,phenylbutyrate,66.52
anastrozole,nateglinide,34.37
anastrozole,clotrimazole,1.85
anastrozole,metformin,97.36
anastrozole,clomifene,28.16
anastrozole,atorvastatin,91.2
anastrozole,amodiaquine,81.59
anastrozole,bupropion,44.53
anastrozole,rabeprazole,97.55
anastrozole,ribavirin,66.53
anastrozole,metoprolol,23.77
anastrozole,ataluren,91.13
anastrozole,sulfafurazole,58.47
anastrozole,prednisone,66.67
anastrozole,itraconazole,38.12
anastrozole,fluspirilene,66.26
anastrozole,fluvoxamine,7.34
anastrozole,pindolol,67.77
anastrozole,altretamine,22.83
anastrozole,clofibric-acid,72.66
anastrozole,vardenafil,92.27
anastrozole,quetiapine,86.28
anastrozole,azathioprine,79.16
anastrozole,amantadine,59.89
anastrozole,ticlopidine,74.61
anastrozole,loperamide,71.09
anastrozole,molsidomine,67.73
anastrozole,chlorambucil,56.1
anastrozole,thiothixene,3.95
anastrozole,amlexanox,4.9
anastrozole,mefloquine,28.67
anastrozole,anastrozole,99.98
anastrozole,estradiol,80.48
anastrozole,diazoxide,98.38
anastrozole,metolazone,8.49
anastrozole,primidone,21.64
anastrozole,racecadotril,72.82
anastrozole,oxfendazole,22.93
anastrozole,mirtazapine,64.95
anastrozole,terbinafine,64.88
anastrozole,bimatoprost,50.85
anastrozole,letrozole,58.56
anastrozole,triflupromazine,42.19
anastrozole,triamterene,43.34
anastrozole,imipramine,30.2
anastrozole,balsalazide,99.89
anastrozole,duloxetine,83.53
anastrozole,doxepin,63.15
anastrozole,protriptyline,65.89
anastrozole,fluconazole,56.18
anastrozole,bosentan,30.12
anastrozole,carvedilol,59.71
anastrozole,risperidone,52.52
anastrozole,ambroxol,95.03
anastrozole,bezafibrate,40.93
anastrozole,tamibarotene,58.79
anastrozole,quinidine,76.01
anastrozole,nimodipine,51.32
anastrozole,metronidazole,81.48
anastrozole,oxiconazole,50.17
anastrozole,escitalopram,49.36
anastrozole,piretanide,11.86
anastrozole,decitabine,68.75
anastrozole,floxuridine,86.49
anastrozole,ranolazine,82.4
anastrozole,cimetidine,49.12
anastrozole,oxybuprocaine,75.21
anastrozole,afatinib,66.14
anastrozole,droperidol,51.37
anastrozole,imatinib,80.4
anastrozole,tiabendazole,40.41
anastrozole,dextromethorphan,42.56
anastrozole,flecainide,43.69
anastrozole,rilmenidine,67.3
anastrozole,lapatinib,57.88
anastrozole,primaquine,66.46
anastrozole,rizatriptan,37.34
anastrozole,ketanserin,39.64
anastrozole,tolazamide,67.25
anastrozole,idebenone,68.77
anastrozole,fexofenadine,20.93
anastrozole,sertraline,60.85
anastrozole,norgestrel,61.58
anastrozole,dantrolene,35.22
anastrozole,danazol,67.36
anastrozole,pravastatin,67.01
anastrozole,pregnenolone,52.2
anastrozole,chlorphenamine,60.96
anastrozole,spironolactone,85.89
anastrozole,indapamide,92.32
anastrozole,nicotine,96.7
anastrozole,ozagrel,27.94
anastrozole,atracurium,56.2
anastrozole,erlotinib,78.56
anastrozole,fenoldopam,69.15
anastrozole,betahistine,44.43
anastrozole,rosuvastatin,51.84
anastrozole,dexamethasone,55.085
anastrozole,nevirapine,56.13
anastrozole,sertaconazole,63.28
anastrozole,fosinopril,12.08
anastrozole,capsaicin,59.16
anastrozole,penciclovir,58.19
anastrozole,meclofenamic-acid,47.41
anastrozole,gestrinone,28.88
anastrozole,felodipine,63.45
anastrozole,urapidil,97.31
anastrozole,fluphenazine,61.42
anastrozole,pimozide,32.42
anastrozole,buflomedil,54.59
anastrozole,tibolone,96.28
anastrozole,pyrimethamine,12.99
anastrozole,amiloride,73.53
anastrozole,topiramate,20.2
anastrozole,finasteride,48.95
anastrozole,trifluoperazine,57.42
anastrozole,phenytoin,72.98
anastrozole,glimepiride,61.29
anastrozole,propafenone,37.29
anastrozole,enalapril,9.15
anastrozole,valsartan,20.51
anastrozole,everolimus,3.56
anastrozole,simvastatin,78.62
anastrozole,benzbromarone,83.47
anastrozole,losartan,73.71
anastrozole,sotalol,80.75
anastrozole,granisetron,99.86
anastrozole,melperone,45.28
anastrozole,tizanidine,52.83
anastrozole,amoxapine,34.47
anastrozole,loratadine,6.35
anastrozole,diflunisal,44.41
anastrozole,ibuprofen,39.285
anastrozole,papaverine,23.76
anastrozole,gefitinib,40.92
anastrozole,metoclopramide,79.56
anastrozole,piroxicam,68.21
anastrozole,phentolamine,79.28
anastrozole,gemfibrozil,27.67
anastrozole,varenicline,65.13
anastrozole,levofloxacin,38.06
anastrozole,rifaximin,12.97
anastrozole,levonorgestrel,74.91
anastrozole,esmolol,17.63
anastrozole,doxycycline,43.79
anastrozole,chloroquine,51.93
anastrozole,paclitaxel,28.37
anastrozole,penfluridol,31.15
anastrozole,mepivacaine,99.15
anastrozole,cyproheptadine,97.25
anastrozole,quinine,90.14
anastrozole,ofloxacin,46.43
anastrozole,dolasetron,99.86
anastrozole,ropinirole,69.75
anastrozole,niclosamide,19.76
anastrozole,cladribine,96.72
anastrozole,daunorubicin,71.27
anastrozole,tofacitinib,1.52
anastrozole,nicardipine,91.95
anastrozole,orphenadrine,44.71
anastrozole,lidoflazine,90.62
anastrozole,pyrazinamide,55.24
anastrozole,doxorubicin,62.11
anastrozole,chloramphenicol,61.02
anastrozole,estrone,29.94
anastrozole,mephentermine,69.48
anastrozole,chloroxine,53.98
anastrozole,milrinone,35.27
anastrozole,metergoline,91.67
anastrozole,telmisartan,49.48
anastrozole,midostaurin,49.47
anastrozole,etoposide,53.96
anastrozole,verapamil,43.5
anastrozole,vinpocetine,17.44
anastrozole,ondansetron,51.35
anastrozole,diltiazem,8.98
anastrozole,gliquidone,73.65
anastrozole,palbociclib,9.94
anastrozole,cefdinir,98.83
anastrozole,artesunate,31.26
anastrozole,propranolol,66.97
anastrozole,norethindrone,37.54
anastrozole,doxapram,99.61
anastrozole,lamotrigine,50.29
anastrozole,niacin,94.4
anastrozole,menadione,26.5
anastrozole,clofazimine,65.76
anastrozole,perhexiline,39.05
anastrozole,ethinyl-estradiol,50.27
anastrozole,sunitinib,43.239999999999995
anastrozole,dopamine,17.58
anastrozole,carbamazepine,37.17
anastrozole,nortriptyline,35.96
anastrozole,olanzapine,46.81
anastrozole,bosutinib,56.32
anastrozole,podophyllotoxin,50.61
anastrozole,oxybutynin,57.02
anastrozole,fasudil,38.86
anastrozole,sumatriptan,3.0
anastrozole,famotidine,94.51
anastrozole,pioglitazone,58.3
anastrozole,tadalafil,66.16
anastrozole,benzylpenicillin,73.93
anastrozole,quinapril,93.16
anastrozole,yohimbine,69.83
anastrozole,levetiracetam,20.13
anastrozole,epinephrine,48.47
anastrozole,mitoxantrone,31.05
anastrozole,pilocarpine,76.42
anastrozole,azithromycin,86.54
anastrozole,dasatinib,31.73
anastrozole,anagrelide,30.09
anastrozole,perindopril,59.0
anastrozole,hydrocortisone,52.25599999999999
anastrozole,leflunomide,7.38
anastrozole,maraviroc,50.25
anastrozole,etacrynic-acid,14.21
anastrozole,naftifine,27.95
anastrozole,lacidipine,78.87
anastrozole,econazole,9.12
anastrozole,dicloxacillin,17.28
anastrozole,nicergoline,52.28
anastrozole,etodolac,43.04
anastrozole,pinacidil,68.65
anastrozole,praziquantel,50.66
anastrozole,propylthiouracil,1.83
anastrozole,bromocriptine,30.43
anastrozole,butoconazole,50.69
anastrozole,trimipramine,37.56
anastrozole,acarbose,81.66
anastrozole,homochlorcyclizine,17.87
anastrozole,bisoprolol,56.92
anastrozole,milnacipran,37.7
anastrozole,sirolimus,19.36
anastrozole,zidovudine,96.26
anastrozole,eplerenone,5.39
anastrozole,selegiline,21.8
anastrozole,doxazosin,13.1
anastrozole,candesartan,45.21
anastrozole,exemestane,33.57
anastrozole,picotamide,53.79
anastrozole,warfarin,34.33
anastrozole,toremifene,61.38
anastrozole,gemcitabine,27.98
anastrozole,sildenafil,77.54
anastrozole,nilotinib,42.8
anastrozole,zileuton,73.7
anastrozole,ritodrine,72.29
anastrozole,nimesulide,72.32
anastrozole,cytarabine,35.65
anastrozole,pantoprazole,12.98
anastrozole,tivozanib,48.21
anastrozole,felbamate,25.14
anastrozole,triclabendazole,11.76
anastrozole,irinotecan,45.99
anastrozole,lopinavir,46.68
anastrozole,sorafenib,34.69
anastrozole,vemurafenib,77.85
anastrozole,elvitegravir,28.77
anastrozole,pitavastatin,78.37
anastrozole,calcitriol,23.82
anastrozole,reboxetine,41.16
anastrozole,bifonazole,47.45
anastrozole,vorinostat,37.28
anastrozole,clofarabine,21.85
anastrozole,belinostat,26.86
anastrozole,rimexolone,37.86
anastrozole,nicotinamide,99.81
anastrozole,vidarabine,72.32
anastrozole,isradipine,27.29
anastrozole,ruxolitinib,12.19
anastrozole,dilazep,7.58
anastrozole,metixene,10.82
anastrozole,olaparib,80.38
anastrozole,mepacrine,48.44
anastrozole,temsirolimus,9.22
anastrozole,ipriflavone,11.02
anastrozole,atovaquone,83.44
anastrozole,mebendazole,48.33
anastrozole,ranitidine,54.76
anastrozole,tranilast,87.62
anastrozole,acyclovir,38.58
anastrozole,dapsone,64.64
anastrozole,ritonavir,-0.6
anastrozole,carprofen,13.28
anastrozole,eugenol,38.4
anastrozole,mercaptopurine,13.03
anastrozole,methimazole,37.29
anastrozole,maprotiline,41.14
anastrozole,ivermectin,17.87
anastrozole,tranylcypromine,88.62
anastrozole,crizotinib,24.61
anastrozole,pazopanib,9.86
anastrozole,fludroxycortide,26.64
anastrozole,actarit,62.78
anastrozole,fulvestrant,38.92
anastrozole,lasalocid,73.85
anastrozole,lenalidomide,69.71
anastrozole,reserpine,81.52
anastrozole,masitinib,30.38
anastrozole,quercetin,4.79
anastrozole,scopolamine,36.275000000000006
anastrozole,rivaroxaban,7.81
anastrozole,docetaxel,73.54
anastrozole,entecavir,49.76
anastrozole,neratinib,23.85
anastrozole,valproic-acid,41.42
anastrozole,azacitidine,7.15
anastrozole,formoterol,4.53
anastrozole,amsacrine,32.01
anastrozole,naftopidil,28.52
anastrozole,raltegravir,63.16
anastrozole,aspirin,8.72
anastrozole,raloxifene,33.06
anastrozole,ketoconazole,90.24
anastrozole,griseofulvin,27.21
anastrozole,vinburnine,15.52
anastrozole,temozolomide,3.53
anastrozole,SN-38,27.09
anastrozole,digoxin,12.95
anastrozole,mepyramine,7.58
anastrozole,physostigmine,18.43
anastrozole,medrysone,14.22
anastrozole,cholic-acid,7.15
anastrozole,deferiprone,46.0
anastrozole,tamoxifen,15.2
anastrozole,noscapine,47.71
anastrozole,homoharringtonine,7.05
anastrozole,ziprasidone,80.48
anastrozole,methazolamide,17.16
anastrozole,phensuximide,34.03
anastrozole,sitagliptin,83.86
amiloride,cabergoline,99.96
amiloride,trimebutine,85.14
amiloride,secnidazole,92.65
amiloride,ipratropium,98.06
amiloride,mestinon,99.41
amiloride,clarithromycin,46.52
amiloride,rifabutin,24.84
amiloride,zafirlukast,98.4
amiloride,oxaprozin,73.14
amiloride,tolbutamide,72.68
amiloride,prochlorperazine,73.06
amiloride,celecoxib,40.81
amiloride,methylprednisolone,96.39
amiloride,bicalutamide,55.24
amiloride,moclobemide,99.89
amiloride,tacrine,80.35
amiloride,rutin,88.77
amiloride,lamivudine,99.26
amiloride,famciclovir,43.08
amiloride,capecitabine,99.26
amiloride,meloxicam,85.56
amiloride,ganciclovir,72.2
amiloride,molindone,74.43
amiloride,clonidine,89.27
amiloride,latanoprost,97.98
amiloride,etomidate,98.84
amiloride,diclofenac,36.09
amiloride,moxonidine,61.71
amiloride,ketotifen,25.72
amiloride,flavoxate,82.18
amiloride,benzthiazide,74.91
amiloride,fluoxetine,52.24
amiloride,disopyramide,57.92
amiloride,medetomidine,77.83
amiloride,flutamide,89.26
amiloride,bifemelane,27.3
amiloride,bucladesine,99.71
amiloride,riluzole,60.09
amiloride,aripiprazole,97.67
amiloride,sulpiride,75.845
amiloride,busulfan,84.44
amiloride,clozapine,36.86
amiloride,paroxetine,32.44
amiloride,atomoxetine,67.89
amiloride,amitriptyline,92.46
amiloride,prazosin,45.98
amiloride,dihydroergocristine,14.9
amiloride,progesterone,78.74
amiloride,saquinavir,64.58
amiloride,clomipramine,24.77
amiloride,proguanil,72.5
amiloride,irbesartan,83.51
amiloride,aminoglutethimide,77.99
amiloride,altrenogest,72.09
amiloride,piperidolate,70.0
amiloride,hydroflumethiazide,62.88
amiloride,glipizide,98.81
amiloride,ubenimex,30.69
amiloride,propentofylline,61.37
amiloride,phenylbutyrate,89.64
amiloride,nateglinide,30.7
amiloride,clotrimazole,97.04
amiloride,metformin,94.61
amiloride,clomifene,15.2
amiloride,atorvastatin,80.51
amiloride,amodiaquine,93.94
amiloride,bupropion,94.62
amiloride,rabeprazole,95.84
amiloride,ribavirin,67.63
amiloride,metoprolol,-46.42
amiloride,ataluren,6.77
amiloride,sulfafurazole,80.87
amiloride,prednisone,98.47
amiloride,itraconazole,51.42
amiloride,fluspirilene,80.1
amiloride,fluvoxamine,8.66
amiloride,pindolol,15.27
amiloride,altretamine,65.53
amiloride,clofibric-acid,72.98
amiloride,vardenafil,15.57
amiloride,quetiapine,95.11
amiloride,azathioprine,32.27
amiloride,amantadine,93.07
amiloride,ticlopidine,92.44
amiloride,loperamide,52.31
amiloride,molsidomine,39.55
amiloride,chlorambucil,51.02
amiloride,thiothixene,-19.37
amiloride,amlexanox,99.86
amiloride,mefloquine,70.23
amiloride,anastrozole,85.57
amiloride,estradiol,45.12
amiloride,diazoxide,90.33
amiloride,metolazone,48.03
amiloride,primidone,59.74
amiloride,racecadotril,74.15
amiloride,oxfendazole,34.9
amiloride,mirtazapine,99.08
amiloride,terbinafine,36.01
amiloride,bimatoprost,69.07
amiloride,letrozole,88.56
amiloride,triflupromazine,9.76
amiloride,triamterene,81.74
amiloride,imipramine,94.59
amiloride,balsalazide,75.67
amiloride,duloxetine,28.57
amiloride,doxepin,94.91
amiloride,protriptyline,8.28
amiloride,fluconazole,85.72
amiloride,bosentan,67.43
amiloride,carvedilol,72.79
amiloride,risperidone,77.94
amiloride,ambroxol,95.56
amiloride,bezafibrate,35.15
amiloride,tamibarotene,36.41
amiloride,quinidine,74.48
amiloride,nimodipine,64.48
amiloride,metronidazole,72.27
amiloride,oxiconazole,96.68
amiloride,escitalopram,87.92
amiloride,piretanide,99.65
amiloride,decitabine,87.15
amiloride,floxuridine,17.48
amiloride,ranolazine,82.56
amiloride,cimetidine,17.07
amiloride,oxybuprocaine,98.64
amiloride,afatinib,47.69
amiloride,droperidol,42.49
amiloride,imatinib,97.03
amiloride,tiabendazole,61.19
