#1.3
2429	22	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K99107520-summary	BRD-K70401845-summary	BRD-A73368467-summary	BRD-K08206212-summary	BRD-K32977963-summary	BRD-A07395371-summary	BRD-K51677086-summary	BRD-A02367930-summary	BRD-K70301876-summary	BRD-A30815329-summary	BRD-K13514097-summary	BRD-A54880345-summary	BRD-K63630713-summary	BRD-K76617868-summary	BRD-K54472332-summary	BRD-A50684349-summary	BRD-K37798499-summary	BRD-A74667430-summary	BRD-A18917088-summary	BRD-K45033733-summary	BRD-A73741725-summary	BRD-K00673382-summary
BRD-K34995470	CP	SU-1498	receptor tyrosine protein kinase inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	ERBB2, KDR		4.33, 0.96	60.58	0.81, 0.25	84.03	67.50	10.24	54.98	49.17	84.30	75.95	87.96	22.45	80.53	15.52	18.82	52.65	64.21	69.64	69.60	56.95	18.54	67.86	29.36	76.67	16.60
BRD-K39621635	CP	artemether	antimalarial, interacts with heme and with COX3	ATP1A1, CYP2B6, CYP2C19, CYP3A5		6.82, 1.70	60.57	1.15, 0.26	15.28	35.78	24.40	96.41	77.97	96.86	16.72	17.56	99.82	66.15	20.12	88.74	22.22	99.61	97.11	48.16	75.47	49.75	54.98	76.54	47.35	95.92
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	2.08, 0.52	60.54	1.90, 0.58	70.56	35.59	4.58	59.62	94.50	65.33	76.44	61.46	23.74	31.80	91.92	50.56	98.17	91.87	19.15	39.28	76.03	26.12	23.55	11.54	71.46	77.80
BRD-A42553870	CP	L-152804	neuropeptide receptor antagonist	NPY5R		7.21, 1.92	60.51	0.95, 0.26	99.79	78.61	91.13	64.31	26.93	44.89	94.06	48.48	99.44	81.64	10.04	56.72	70.90	72.71	1.37	54.18	39.39	44.32	80.04	18.85	52.27	75.45
BRD-K46317332	CP	proadifen	nitric oxide synthase inhibitor, cytochrome P450 inhibitor, potassium channel blocker	NOS1		7.21, 3.85	60.49	0.60, 0.16	88.69	72.29	78.56	64.54	39.34	88.87	34.02	64.95	63.26	33.22	10.27	71.91	6.88	91.53	40.46	19.73	32.80	93.52	55.83	51.27	73.98	57.72
BRD-K17674993	CP	diflorasone	corticosteroid agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	7.21, 3.37	60.48	1.47, 0.31	61.81	84.38	59.14	73.55	6.02	83.90	99.93	52.99	12.04	-17.66	35.95	98.19	5.38	89.64	57.12	67.94	26.33	15.83	80.45	5.45	95.17	70.16
BRD-K96084870	CP	DMBI	platelet-derived growth factor receptor (PDGFR) inhibitor, tyrosine kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor	PDGFRB		3.85, 1.92	60.46	0.66, 0.17	91.14	63.13	31.89	65.79	81.62	54.94	44.52	21.15	13.65	35.05	47.53	18.88	66.05	75.66	87.43	76.29	17.43	89.59	57.79	31.86	84.75	76.85
BRD-A84189516	CP	baccatin-III	paclitaxel precursor			6.25, 2.88	60.45	1.48, 0.32	4.03	87.45	48.68	81.93	24.86	79.78	39.99	27.46	56.60	96.98	43.77	82.42	85.34	95.81	14.33	3.53	81.16	80.03	89.38	24.68	36.83	64.31
BRD-K28029915	CP	dolasetron	serotonin receptor antagonist	HTR3A		3.85, 0.96	60.43	1.38, 0.42	4.24	64.47	85.05	89.15	72.06	7.15	68.59	71.76	66.73	2.82	31.95	28.14	62.10	89.74	18.43	34.66	29.45	71.32	17.08	69.41	12.01	58.77
BRD-K73838513	CP	cinacalcet	calcimimetic that activates calcium-sensing receptors	CASR		6.25, 1.92	60.40	1.19, 0.41	96.17	82.14	55.34	76.65	56.54	34.96	93.07	50.00	80.46	89.84	4.52	56.05	90.72	6.94	98.80	52.88	19.93	66.33	15.66	64.27	46.57	74.08
BRD-K69688083	CP	mestinon	cholinesterase inhibitor	ACHE, BCHE		5.29, 3.53	60.36	2.26, 0.53	98.27	76.01	63.60	81.37	57.12	56.48	98.31	67.98	84.32	31.97	55.01	96.65	99.15	47.90	18.90	98.52	53.64	77.38	16.13	12.75	48.50	52.75
BRD-A95869247	CP	indapamide	carbonic anhydrase inhibitor, thiazide diuretic	KCNQ1, CA7, KCNE1, SLC12A3	Na-K-Cl transporter inhibitor	2.60, 1.04	60.34	1.00, 0.23	92.28	54.17	67.39	87.94	90.69	62.41	32.97	62.16	16.35	56.32	17.41	62.84	75.92	67.74	58.53	10.71	6.17	72.10	19.83	36.06	15.94	87.14
BRD-A42167015	CP	carteolol	adrenergic receptor antagonist	ADRB1, ADRB2		6.25, 2.40	60.33	0.70, 0.17	82.83	72.76	95.61	76.80	79.54	95.70	48.75	66.59	76.16	51.90	18.20	27.64	19.52	35.36	54.08	89.67	19.96	9.12	47.30	88.99	81.68	40.08
BRD-A37347161	CP	BRL-52537	opioid receptor agonist	OPRK1		4.17, 3.13	60.32	1.23, 0.41	63.08	67.47	34.90	80.50	99.01	76.02	82.19	93.47	54.68	62.96	26.41	7.81	14.63	37.25	57.94	68.50	62.91	23.31	9.48	8.89	22.24	62.70
BRD-K07237224	CP	moclobemide	monoamine oxidase inhibitor	MAOA, CYP2C19, MAOB		7.95, 3.41	60.31	0.95, 0.32	67.50	23.39	50.55	82.23	60.47	52.16	77.86	60.14	86.79	61.97	46.87	92.39	98.37	59.31	10.99	43.02	38.34	4.65	91.77	15.31	84.55	98.34
BRD-K05906022	CP	limonin	HIV protease inhibitor			5.77, 2.88	60.16	0.82, 0.22	29.32	8.66	54.29	74.12	98.43	32.57	87.00	71.14	80.27	76.89	16.49	64.76	53.27	84.31	55.55	75.86	52.74	53.42	28.91	29.44	76.53	64.84
BRD-K11540476	CP	EMF-BCA1-64	caspase inhibitor	CASP3		3.85, 1.92	60.15	0.66, 0.09	89.97	29.01	24.69	83.96	93.98	83.99	50.39	59.92	87.66	80.26	28.25	62.85	81.23	-40.88	32.14	18.38	38.01	60.39	44.34	8.42	72.48	72.18
BRD-K73397362	CP	purmorphamine	smoothened receptor agonist	SMO, DHH, IHH, PTCH1		5.29, 0.96	60.07	0.73, 0.19	85.51	91.37	46.69	92.53	84.09	91.68	91.07	20.45	56.39	43.23	9.22	52.95	64.72	18.36	78.85	63.75	32.84	74.81	37.45	2.18	65.56	48.74
BRD-K49456190	CP	prima-1-met	thioredoxin inhibitor, TP53 activator	TP53		7.21, 2.40	60.01	1.36, 0.39	43.67	21.96	87.51	96.23	64.32	99.39	79.14	72.46	35.71	59.37	3.41	72.96	60.65	71.42	37.61	6.39	-14.28	48.51	67.68	63.49	55.12	13.90
BRD-K82688027	CP	RG-13022	EGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor	EGFR, PDGFRA, PDGFRB		5.29, 1.44	60.00	0.88, 0.32	55.89	82.34	67.15	88.90	51.52	48.16	57.70	58.87	94.61	13.87	20.30	15.53	11.87	61.13	69.84	80.20	45.53	85.72	80.35	6.12	71.26	80.89
BRD-A94709349	CP	metaxalone	muscle relaxant			3.37, 0.96	60.00	0.88, 0.30	93.84	54.91	99.15	77.04	65.09	67.81	90.36	82.97	22.72	29.31	4.40	41.50	81.00	82.20	43.23	29.13	9.65	47.49	75.65	6.01	25.81	81.12
BRD-K89348303	CP	ramipril	angiotensin converting enzyme inhibitor	ACE		5.73, 2.08	59.98	0.77, 0.11	71.62	36.43	63.87	74.93	2.50	37.47	80.49	38.76	65.28	70.34	4.28	64.97	2.72	16.01	56.10	86.49	70.64	41.44	36.77	23.54	72.00	65.79
BRD-A56892734	CP	esomeprazole	ATPase inhibitor, ABC transporter expression enhancer	ATP4A, CYP2C19, CYP3A4		3.41, 2.27	59.97	1.60, 0.34	73.52	42.19	88.09	60.83	92.21	75.70	87.59	4.40	98.76	59.11	-17.50	33.51	40.08	-17.35	63.96	32.08	1.34	90.79	42.99	77.88	76.60	22.71
BRD-A09925278	CP	etilefrine	adrenergic receptor agonist	ADRA1A, ADRB1		4.69, 1.04	59.97	0.82, 0.22	9.69	49.53	31.26	71.75	95.85	81.82	80.37	61.38	89.42	51.11	10.80	62.00	92.59	46.16	69.33	76.73	14.09	58.55	9.48	27.64	34.68	61.81
BRD-K08890269	CP	CO-102862	sodium channel blocker	SCN2A, SCN4A, SCN9A		3.85, 0.96	59.93	0.98, 0.20	93.59	38.81	92.72	86.48	90.43	98.72	87.59	-1.52	83.26	32.19	29.99	58.20	38.64	85.34	28.73	63.83	41.60	69.58	61.66	22.83	45.73	53.56
BRD-K15567136	CP	papaverine	phosphodiesterase inhibitor	PDE10A, PDE4B, PDE5A		6.25, 3.85	59.93	0.84, 0.20	61.77	88.03	70.18	94.76	10.20	9.62	98.43	95.48	21.03	33.52	83.80	31.06	97.16	53.70	41.55	48.45	58.09	64.61	94.53	88.91	34.67	50.39
BRD-K22031190	CP	diflunisal	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		5.77, 2.40	59.85	1.05, 0.19	40.02	80.76	81.08	57.04	48.28	47.31	89.99	58.76	74.66	37.93	57.84	60.94	61.06	77.77	90.75	72.08	27.38	35.91	95.91	69.13	26.99	37.56
BRD-K72903603	CP	zidovudine	nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	TERT	Reverse transcriptase inhibitor	3.65, 2.60	59.84	0.92, 0.39	77.39	77.74	90.59	90.50	81.16	61.91	70.90	37.74	30.87	48.14	5.34	93.73	19.08	57.77	57.67	89.42	86.80	92.14	53.43	-26.77	22.44	45.37
BRD-K82164249	CP	andarine	androgen receptor modulator	AR	Androgen receptor modulator	4.33, 3.37	59.83	1.08, 0.30	57.03	71.38	67.90	96.90	69.82	77.73	70.09	39.29	40.45	16.03	16.48	39.40	86.34	66.62	40.36	66.76	50.25	57.59	62.07	23.15	45.50	72.70
BRD-A50311610	CP	meclozine	constitutive androstane receptor (CAR) agonist	NR1I3, HRH1		4.81, 1.92	59.77	0.80, 0.23	84.89	89.39	88.10	84.15	64.39	45.92	64.98	2.37	58.87	25.09	6.34	74.46	-14.19	93.45	38.40	59.57	35.36	59.98	76.30	18.17	25.96	61.10
BRD-K68143200	CP	SA-792541	caspase activator, CDC inhibitor	CASP3, CDC25A, CDC25B		4.81, 2.40	59.75	0.84, 0.23	-33.11	80.77	67.83	68.38	87.33	-16.43	38.20	82.11	12.80	19.43	93.89	79.02	99.44	51.66	92.09	-4.69	90.34	40.62	20.90	32.75	74.65	38.90
BRD-K01648091	CP	LE-300	dopamine receptor antagonist, dopamine receptor ligand, serotonin receptor ligand	DRD5, DRD1, HTR2A		3.85, 0.96	59.68	0.65, 0.20	94.94	66.59	79.71	77.20	81.59	68.50	84.93	3.96	23.04	70.93	7.94	13.23	19.00	65.84	-2.60	90.58	6.70	80.53	3.56	8.31	53.53	25.88
BRD-K26117720	CP	gingerol	nitric oxide synthase inhibitor			6.77, 3.65	59.65	0.75, 0.14	79.20	57.80	67.93	67.41	99.12	37.75	28.40	92.62	12.55	61.49	23.94	84.43	98.76	16.02	48.59	17.30	81.79	33.14	64.82	12.40	63.16	39.23
BRD-K01292756	CP	pimozide	dopamine receptor antagonist, dopamine receptor, opioid receptor antagonist, serotonin receptor antagonist	DRD2, DRD3, CACNA1I, CALM1, HRH1, HTR1A, HTR2A, KCNA10, KCNH2	Dopamine receptor antagonist	1.92, 0.00	59.63	1.60, 0.57	59.62	95.47	11.44	40.50	46.05	72.36	83.52	68.48	47.39	56.66	87.32	86.11	82.20	59.63	67.83	67.44	49.92	17.68	54.10	32.45	85.01	41.38
BRD-A97674275	CP	ranolazine	fatty acid oxidation partial inhibitor, Sodium Channel  Blockers, sodium channel blocker	SCN9A, SCN10A, SCN5A, SLC22A2		7.21, 2.40	59.59	0.36, 0.02	56.26	48.61	84.96	82.00	81.55	64.29	68.69	80.99	26.78	34.15	12.98	29.48	36.64	65.72	20.01	92.15	37.62	51.71	81.17	46.17	62.93	86.52
BRD-K06980535	CP	promazine	dopamine receptor, dopamine receptor antagonist	CHRM5, DRD2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, DRD1, DRD3, DRD4, HRH1, HTR2A, HTR2C	Dopamine receptor antagonist	2.40, 1.44	59.58	1.41, 0.49	56.60	73.50	45.16	74.33	10.20	72.41	82.42	68.91	59.85	60.87	49.18	31.53	35.42	82.43	62.55	59.31	15.47	48.56	69.96	20.44	63.65	51.01
BRD-K59962020	CP	CHEMBL-374350	NFkB pathway inhibitor			1.92, 0.00	59.58	1.70, 0.33	74.41	90.73	22.71	64.59	83.16	63.68	44.27	62.84	52.89	25.64	78.08	48.79	48.95	64.55	74.50	40.31	67.84	15.58	27.99	69.85	56.32	55.01
BRD-A96897502	CP	U-74389F	lipid peroxidase inhibitor			5.77, 3.37	59.58	0.85, 0.34	58.15	45.73	4.71	52.82	95.95	73.09	90.58	67.67	81.64	77.18	29.61	37.53	98.21	61.00	74.73	77.10	57.45	37.74	22.63	9.80	94.12	42.39
BRD-K14920963	CP	erythrosine	food coloring agent			8.17, 3.37	59.51	0.68, 0.19	51.00	98.59	72.73	89.97	-58.01	89.02	98.90	79.08	98.09	37.79	48.33	89.88	-26.18	94.23	19.15	21.99	46.38	68.02	95.35	6.21	34.90	34.57
BRD-A30655177	CP	LFM-A13	Bruton's tyrosine kinase (BTK) inhibitor	BTK		3.37, 1.92	59.51	0.69, 0.13	84.82	72.37	93.74	82.54	89.79	95.31	84.25	53.53	86.45	52.68	31.39	41.88	32.26	45.28	61.52	82.34	22.14	57.49	54.52	77.63	44.73	46.08
BRD-A68589262	CP	troxipide	glucosamine synthetase stimulant			9.66, 2.84	59.50	1.55, 0.52	84.17	81.17	60.61	14.55	25.29	21.90	33.67	43.22	79.14	13.28	32.42	58.39	53.31	95.98	83.62	96.45	53.54	99.68	90.04	11.13	89.44	98.98
BRD-A78377521	CP	monastrol	kinesin-like spindle protein inhibitor	KIF11		3.85, 1.92	59.46	0.77, 0.18	6.44	64.89	70.78	62.98	66.31	55.11	57.28	44.15	86.67	74.43	13.09	61.64	27.37	71.46	50.61	93.72	44.24	74.12	62.19	14.41	35.33	26.30
BRD-K87226815	CP	cycloserine	glutamate receptor agonist, glutamate receptor modulator	GRIN1		6.25, 2.60	59.37	0.73, 0.23	80.56	65.35	90.98	79.01	87.16	91.12	91.61	28.68	55.00	23.07	1.73	64.02	43.91	17.41	42.00	20.96	19.21	17.78	24.36	63.74	82.22	64.07
BRD-K06388322	CP	pramipexole	dopamine receptor agonist	DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C		5.68, 4.55	59.36	1.11, 0.22	50.60	64.05	84.82	55.99	40.34	74.57	95.98	48.68	71.04	24.47	54.86	73.20	14.50	90.91	62.73	92.56	54.00	86.44	32.53	17.54	26.47	99.33
BRD-A22844106	CP	tenoxicam	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		9.62, 6.25	59.34	0.67, 0.11	11.30	96.37	98.16	83.00	28.50	95.58	97.46	92.50	99.44	66.50	24.56	61.06	-11.98	89.96	57.62	27.60	36.78	34.03	83.58	49.29	46.29	40.09
BRD-K96134740	CP	kitasamycin	protein synthesis inhibitor			4.55, 2.84	59.31	1.08, 0.34	61.06	8.15	91.10	86.77	64.12	89.23	55.08	-17.31	99.93	86.42	8.45	40.22	8.27	94.80	57.55	46.56	40.59	84.54	49.40	99.89	76.35	39.51
BRD-K77695569	CP	tiabendazole	quinol-fumarate reductase inhibitor			5.77, 3.85	59.25	0.77, 0.14	84.73	38.02	99.15	81.48	78.05	94.66	80.54	34.96	59.96	84.34	10.94	75.00	-40.04	79.66	50.44	10.86	17.77	37.10	73.33	25.52	48.41	58.55
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		4.33, 2.40	59.25	0.85, 0.15	51.75	95.98	11.08	56.08	52.84	58.61	99.79	64.36	63.28	40.64	12.40	76.51	91.32	39.93	59.89	83.90	90.28	42.98	36.63	9.91	64.43	71.20
BRD-A41833852	CP	naloxone	opioid receptor antagonist	OPRM1, OPRK1, OPRD1, CREB1, ESR1, TLR4		5.77, 3.37	59.25	1.11, 0.22	60.22	54.95	96.57	64.49	8.14	-23.68	70.40	68.26	98.04	7.34	37.94	99.93	8.99	64.15	75.69	10.93	32.23	58.27	45.54	11.22	66.73	67.84
BRD-K92446736	CP	zatebradine	HCN (hyperpolarization activated cyclic nucleotide gated) channel blocker, HCN channel antagonist, potassium channel antagonist, sodium channel blocker	HCN1, HCN2, HCN3, HCN4		6.73, 2.40	59.25	0.68, 0.17	56.08	31.32	29.44	46.56	92.52	85.63	86.84	74.69	97.55	75.28	54.31	29.56	9.30	98.20	37.45	73.66	25.84	66.19	34.49	62.41	3.65	73.55
BRD-K10670311	CP	sulfasalazine	cyclooxygenase inhibitor, disease modifying antirheumatic drug, lipoxygenase inhibitor, NFkB pathway inhibitor, prostanoid receptor inhibitor, thromboxane receptor antagonist	PTGS1, PTGS2, ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, SLC46A1, SLC7A11, TBXAS1		7.95, 3.41	59.24	1.00, 0.25	6.13	76.79	83.31	49.67	17.36	99.93	7.78	66.31	91.25	84.59	15.15	47.18	38.40	78.51	81.99	30.25	40.44	60.73	44.81	91.36	57.75	63.14
BRD-K67043667	CP	altretamine	DNA synthesis inhibitor			6.73, 2.88	59.21	0.41, 0.07	30.38	89.54	81.92	81.83	69.68	91.43	87.17	55.25	95.64	77.30	32.36	66.93	3.94	42.46	61.64	89.12	29.34	28.27	25.58	56.78	11.73	34.92
BRD-K71003802	CP	hippeastrine	plant alkaloid with cytotoxic effects on some human tumor cell lines			4.81, 2.40	59.18	0.90, 0.28	97.69	94.72	57.46	88.79	17.81	34.64	94.34	23.88	32.12	7.22	30.05	77.42	25.51	65.61	78.35	6.54	14.59	82.72	77.57	53.15	60.91	69.37
BRD-A60294240	CP	tribenoside	vasoprotective agent			4.69, 2.08	59.16	1.05, 0.33	32.84	94.24	81.69	83.17	96.36	66.48	50.03	91.43	21.96	68.55	16.94	29.35	59.26	73.77	92.78	27.50	59.06	28.75	42.83	16.39	50.59	65.03
BRD-K34776109	CP	glimepiride	insulin secretagogue, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulinotropin agonist, sulfonylurea	ABCC8, KCNJ11, KCNJ1	KCNJ11 modulator	2.88, 1.44	59.15	0.68, 0.13	50.50	81.05	70.43	85.69	62.53	86.52	71.96	11.12	71.98	45.56	14.52	80.07	19.45	93.48	85.41	20.67	63.80	19.24	55.77	36.84	51.13	41.38
BRD-K92778217	CP	mefenamic-acid	cyclooxygenase inhibitor	PTGS2, PTGS1, KCNQ1, TRPM3		5.29, 1.92	59.14	1.11, 0.33	86.34	8.61	56.25	70.25	95.62	51.72	93.08	60.48	78.41	88.24	5.43	81.76	86.75	29.35	-3.67	84.14	29.78	57.80	15.16	43.32	64.46	31.12
BRD-K92723993	CP	imatinib	PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, KIT inhibitor, Abl kinase inhibitor, apoptosis stimulant, breast cancer resistance protein inhibitor, colony stimulating factor receptor inhibitor	ABL1, KIT, PDGFRA, BCR, CSF1R, PDGFRB, ABCG2, CYP2C19, CYP2C8, CYP3A5, DDR1, NTRK1, RET		5.29, 1.92	59.13	1.03, 0.19	28.65	76.02	11.91	68.95	80.78	65.39	80.46	59.86	48.79	31.99	58.40	25.76	68.54	89.64	96.90	70.24	33.98	8.94	33.75	13.08	56.78	75.51
BRD-K78485176	CP	olmesartan	angiotensin receptor antagonist, angiotensin antagonist	AGTR1	Angiotensin receptor antagonist	7.21, 3.85	59.10	0.98, 0.26	12.68	92.46	99.40	77.63	65.33	50.00	93.13	50.04	25.55	25.05	21.66	67.75	88.90	70.16	58.70	10.89	20.57	-53.83	94.44	92.40	59.49	56.79
BRD-K39670393	CP	amthamine	histamine receptor agonist	HRH2		6.25, 2.88	59.09	0.82, 0.24	98.23	90.50	96.26	83.95	95.72	38.44	76.98	50.99	90.85	56.27	18.28	89.49	6.70	61.91	5.46	19.98	16.85	88.34	98.98	25.70	18.65	46.43
BRD-K87024524	CP	phenelzine	monoamine oxidase inhibitor	MAOB, AOC3, MAOA, ABAT, GAD2, GPT, GPT2, SLC6A2, SLC6A3, SLC6A4		3.37, 1.44	59.02	0.74, 0.17	84.18	86.01	79.12	64.31	78.11	67.50	74.62	73.13	29.06	5.32	39.65	35.92	76.55	38.76	32.95	69.14	57.29	15.05	28.77	0.36	58.77	59.28
BRD-K23913458	CP	coumarin	vitamin antagonist	CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP2A6		6.73, 3.85	59.02	0.68, 0.25	75.82	43.17	90.15	60.79	86.62	15.31	88.77	68.54	90.66	69.75	-30.50	79.57	5.93	57.25	34.59	50.60	12.36	3.80	4.86	74.25	18.72	66.63
BRD-A97104540	CP	fenoterol	adrenergic receptor agonist	ADRB2, ADRB1, ADRB3	Beta-adrenergic receptor agonist	9.13, 6.73	59.01	0.97, 0.36	79.70	58.81	72.11	64.54	83.46	91.41	63.79	43.64	63.27	58.42	1.62	82.39	40.71	31.25	38.48	99.22	-6.45	99.13	21.11	35.06	39.82	59.21
BRD-K96263742	CP	GW-7647	PPAR receptor agonist	PPARA	PPAR receptor agonist	4.33, 2.88	58.99	0.85, 0.20	26.60	63.53	94.79	89.77	98.41	21.21	68.09	81.73	5.36	32.79	21.07	38.23	80.35	37.17	11.03	42.49	16.19	54.46	81.33	82.83	89.02	72.07
BRD-K08252256	CP	diclofenac	cyclooxygenase inhibitor	PTGS1, PTGS2, AKR1C3, ALOX5, ASIC1, ASIC3, CYP2C8, KCNQ2, KCNQ3, PLA2G2A, PPARG, SCN4A		5.77, 1.92	58.93	0.78, 0.19	92.53	76.57	63.23	81.28	93.78	83.30	81.32	47.79	95.62	50.55	26.79	58.00	43.91	84.25	42.79	59.86	57.32	65.75	55.24	45.65	32.06	50.31
BRD-A29082194	CP	gitoxigenin	ATPase inhibitor	ATP1A1	ATPase inhibitor	7.21, 3.85	58.91	0.82, 0.30	15.27	14.35	80.87	75.51	87.29	66.23	72.26	49.10	24.87	43.74	52.27	82.37	55.52	33.08	65.88	62.29	28.34	80.72	69.50	69.34	16.34	45.77
BRD-K06854232	CP	AM-580	RAR agonist, retinoid receptor agonist	RARA	Retinoid receptor agonist	3.37, 1.44	58.90	0.38, 0.13	69.43	93.67	85.15	89.05	59.03	55.47	70.09	55.79	57.71	58.78	11.32	83.83	81.34	47.60	37.42	83.86	42.37	13.70	43.75	5.33	86.02	87.12
BRD-K81209512	CP	AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		6.25, 4.81	58.88	0.85, 0.26	16.78	60.77	70.61	77.89	52.11	63.97	40.15	6.37	89.86	61.27	30.18	56.98	11.28	54.81	98.57	24.10	72.50	90.65	89.43	95.24	52.90	-17.44
BRD-K90027355	CP	spironolactone	mineralocorticoid receptor antagonist, androgen receptor antagonist, potassium channel blocker	NR3C2, AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, KCNA5, KCND3, NR3C1, PGR, SCNN1A, SHBG		5.29, 3.37	58.88	0.53, 0.15	95.65	48.31	42.41	27.59	43.41	90.50	75.44	52.95	19.33	54.48	63.27	56.14	68.69	70.97	86.80	69.93	53.96	43.59	72.05	20.09	61.61	74.81
BRD-K23335153	CP	AMN-082	glutamate receptor positive allosteric modulator	GRM7		2.40, 1.44	58.86	1.10, 0.32	27.85	78.59	7.85	94.19	75.02	84.05	91.50	87.81	86.91	94.19	22.38	45.45	17.78	60.16	19.26	82.66	14.48	57.57	80.41	42.84	46.59	31.55
BRD-A39255369	CP	DCPIB	chloride channel blocker, gap junction modulator, glutamate transporter inhibitor, membrane permeability inhibitor	SLC1A2		7.21, 5.29	58.86	0.65, 0.24	64.80	78.95	46.42	82.80	50.84	67.47	38.27	48.60	49.63	18.31	11.46	65.32	54.31	62.02	71.59	55.70	20.84	71.86	68.32	10.53	83.39	99.33
BRD-K48029790	CP	OBAA	phospholipase inhibitor	PLA2G1B		4.33, 2.88	58.84	1.43, 0.38	91.31	97.77	48.59	77.59	54.32	87.32	62.53	78.35	10.64	-1.66	39.39	25.79	74.62	95.80	93.84	78.50	41.39	55.16	35.74	19.96	44.56	97.50
BRD-K41707108	CP	ceramide	nitric oxide production inhibitor, phosphoenolpyruvate carboxylase activator, serine/threonine protein phosphatase activator			5.21, 1.04	58.83	1.00, 0.25	68.31	88.31	50.96	87.81	99.89	48.76	61.75	96.15	0.00	27.17	16.92	26.58	80.14	57.07	93.41	35.50	48.73	11.52	62.20	51.00	91.36	60.60
BRD-K10136726	CP	tosyllysyl-chloromethyl-ketone	chymotrypsin inhibitor			3.37, 1.92	58.82	0.97, 0.38	98.27	31.66	56.45	64.38	86.69	57.11	88.91	73.35	9.91	30.18	45.33	13.53	95.64	30.08	60.71	74.25	48.78	60.52	26.75	32.54	77.13	90.83
BRD-K85985071	CP	ellipticine	topoisomerase inhibitor, DNA intercalating drug	TOP2A, TOP2B	Topoisomerase inhibitor	9.13, 4.33	58.74	1.99, 0.44	16.71	78.02	34.70	95.25	23.12	81.91	57.31	82.56	15.59	3.84	95.95	34.58	93.57	89.57	80.97	10.59	98.48	24.17	33.27	79.53	16.52	60.16
BRD-K68620903	CP	dydrogesterone	progesterone receptor agonist	PGR		6.25, 3.37	58.72	0.98, 0.32	98.20	90.33	97.82	59.58	59.26	51.87	92.08	46.80	80.14	64.79	11.69	80.51	9.42	58.19	65.69	57.43	27.48	36.28	91.44	5.65	36.11	41.37
BRD-A44008656	CP	doxylamine	histamine receptor antagonist	HRH1, CHRM1		6.25, 2.88	58.71	0.36, 0.09	58.22	40.23	46.20	66.84	83.81	81.44	80.82	61.65	89.08	59.20	6.18	25.83	6.42	88.79	71.58	25.32	7.57	69.19	51.85	85.44	37.88	37.86
BRD-A88254928	CP	salbutamol	adrenergic receptor agonist	ADRB2, ADRB1		6.82, 3.41	58.62	1.44, 0.41	53.37	92.38	26.86	70.60	50.79	95.18	91.64	57.77	4.93	-8.06	50.94	18.46	59.47	94.41	80.97	85.16	76.47	44.01	28.17	0.11	62.85	97.59
BRD-A16478930	CP	amcinonide	corticosteroid agonist, cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant	NR3C1, ANXA1	Glucocorticoid receptor agonist	6.77, 2.08	58.60	1.53, 0.59	30.72	83.16	19.49	58.25	94.63	50.31	77.52	58.95	60.45	28.64	14.54	99.93	11.35	0.00	74.93	90.83	33.57	69.32	1.08	7.91	96.69	82.20
BRD-K76587808	CP	fraxetin	anti-oxidative and anti-apoptotic agent			8.65, 3.85	58.60	0.65, 0.08	10.06	56.29	97.00	60.20	65.40	75.38	98.31	70.07	86.11	56.99	-31.51	78.05	67.09	91.55	55.08	42.16	16.50	55.94	99.15	33.53	31.70	55.14
