#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K71799949-summary	BRD-K93034159-summary	BRD-K17075857-summary	BRD-K02637541-summary	BRD-K43164539-summary	BRD-K37289225-summary	BRD-K33106058-summary	BRD-A91699651-summary	BRD-K19111024-summary	BRD-A17411484-summary	BRD-A10977446-summary	BRD-K78431006-summary	BRD-K28143534-summary	BRD-K29950728-summary	BRD-K98530306-summary	BRD-K29458283-summary	BRD-K56614220-summary	BRD-K15916496-summary	BRD-K52989797-summary	BRD-A04553218-summary
BRD-A43974499	CP	reboxetine	adrenergic receptor antagonist, adrenergic transmitter uptake inhibitor, norepinephrine reputake inhibitor, norepinephrine transporter inhibitor	SLC6A2		7.33, 4.19	64.01	1.36, 0.47	97.01	19.35	23.84	83.79	88.42	49.77	17.69	95.51	74.93	95.85	94.02	42.66	5.07	76.44	98.27	54.51	73.52	29.52	2.24	21.56
BRD-K14200658	CP	syrosingopine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		4.19, 2.09	63.86	0.92, 0.30	15.47	85.05	78.60	65.28	68.01	58.09	35.92	25.71	63.69	64.03	80.31	78.49	0.00	93.02	15.80	64.64	72.92	60.30	15.74	15.08
BRD-K78122587	CP	NNC-55-0396	T-type calcium channel blocker	CATSPER1, CATSPER2, CATSPER3, CATSPER4	T-type calcium channel blocker	6.28, 1.05	63.73	1.65, 0.48	0.00	93.63	97.60	-27.34	-41.55	72.02	62.09	9.10	-25.58	30.55	65.38	99.72	71.54	95.19	-1.90	0.49	97.37	38.81	94.19	66.91
BRD-K32696739	CP	noreleagnine	imidazoline receptor ligand, serotonin receptor ligand	ADRA2A, ADRA2B, ADRA2C, HTR2A, MAOA, MAOB		6.28, 2.62	63.68	1.11, 0.23	72.86	57.38	76.15	41.88	85.76	83.89	29.65	88.78	63.25	79.58	75.19	41.34	90.06	32.22	44.58	64.11	52.90	71.46	58.78	35.39
BRD-K52620403	CP	STO-609	calcium/calmodulin dependent protein kinase inhibitor, calmodulin inhibitor	CAMKK1, CAMKK2		4.71, 2.09	63.64	1.22, 0.38	23.84	74.49	82.46	6.52	88.62	91.07	13.16	92.46	83.73	49.52	44.30	57.12	40.68	77.40	13.43	17.15	76.81	78.27	70.17	16.68
BRD-K23335153	CP	AMN-082	glutamate receptor positive allosteric modulator	GRM7		4.19, 1.05	63.61	1.10, 0.32	6.56	34.18	61.53	78.44	85.67	72.84	49.38	98.65	23.93	84.38	80.91	84.04	60.22	67.87	27.28	42.36	65.69	69.15	21.13	36.82
BRD-K49294207	CP	BIBU-1361	EGFR inhibitor	EGFR	EGFR inhibitor	6.25, 3.98	63.59	1.69, 0.69	31.50	80.76	90.53	4.42	42.08	90.30	75.02	8.75	8.58	29.74	85.39	99.54	9.31	97.39	3.78	35.31	82.55	70.62	98.94	56.55
BRD-U68942961	CP	JW-7-24-1	LCK Inhibitor	LCK		6.28, 3.14	63.55	2.46, 0.67	45.99	86.62	89.60	-2.50	-22.12	80.42	75.58	-13.72	17.26	68.10	66.26	99.79	97.40	60.83	-4.44	11.89	96.90	43.99	73.68	15.35
BRD-K66874953	CP	pifithrin-alpha	TP53 inhibitor	TP53		3.66, 2.09	63.51	0.52, 0.11	22.97	63.33	63.69	65.21	70.63	64.77	17.54	49.12	53.38	67.14	39.55	54.81	90.78	30.34	91.45	61.75	75.79	82.22	12.68	91.78
BRD-K68402494	CP	ML-9	myosin light chain kinase inhibitor	MLCK, TRPC6, PKA, PKC		5.11, 2.84	63.51	1.17, 0.38	60.10	86.29	13.63	50.20	54.83	49.36	58.91	84.13	70.98	66.92	82.37	95.80	11.01	89.70	88.09	28.09	8.58	81.19	96.62	55.00
BRD-K82941592	CP	rosuvastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	6.28, 2.62	63.42	0.58, 0.19	64.63	42.13	31.31	67.31	62.21	32.58	7.26	87.65	74.73	87.12	76.52	76.20	39.02	96.02	13.75	43.56	35.38	70.52	95.34	27.77
BRD-K70914287	CP	BIBX-1382	EGFR inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2	EGFR inhibitor	6.28, 2.09	63.40	1.45, 0.41	23.42	71.54	62.98	-6.27	5.88	95.24	63.81	63.99	66.17	81.83	93.33	95.24	9.06	96.97	12.43	6.48	26.91	20.45	99.72	33.57
BRD-K44432556	CP	VU-0418946-1	hypoxia inducible factor activator	HIF1A	HIF activator	8.38, 5.24	63.38	1.80, 0.63	16.90	99.12	99.68	-0.14	-11.42	45.12	95.67	-92.85	31.52	56.79	21.08	91.15	94.74	82.05	3.45	98.52	99.93	89.59	69.96	16.15
BRD-A89175223	CP	bisoprolol	adrenergic receptor antagonist	ADRB1, ADRB2		6.28, 3.66	63.28	0.41, 0.05	27.43	14.47	17.24	86.03	62.90	15.30	17.26	77.25	91.29	65.68	43.26	2.43	71.00	42.79	63.66	69.75	77.71	90.46	25.30	84.52
BRD-K55930204	CP	phenytoin	sodium channel blocker	ABCB1, CYP2B6, CYP2C19, CYP3A4, SCN1A, SCN2A, SCN5A		8.52, 5.11	63.25	1.84, 0.61	40.54	80.18	8.02	49.41	93.13	99.93	4.14	70.56	94.07	81.09	95.77	-2.92	0.00	55.94	88.70	32.50	0.63	51.27	92.42	80.24
BRD-A54880345	CP	etomidate	membrane integrity inhibitor, membrane permeability inhibitor	GABRA1, ADRA2B, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ		6.81, 4.71	63.24	0.56, 0.16	86.29	58.64	13.13	80.09	88.11	66.15	14.78	85.22	67.38	99.58	83.34	2.78	26.77	58.99	53.34	85.11	28.77	75.50	60.33	28.83
BRD-K59058766	CP	chlorprothixene	dopamine receptor, dopamine receptor antagonist	DRD2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, HRH1, HTR2A, HTR2B, HTR2C	Dopamine receptor antagonist	8.38, 4.19	63.22	1.59, 0.57	-8.16	47.42	86.47	81.91	-45.66	93.75	43.20	20.59	48.60	28.24	95.40	95.47	1.09	97.67	57.56	21.02	91.00	90.48	96.67	68.87
BRD-K95609758	CP	BMS-191011	large conductance calcium activated potassium channel opener, large conductance potassium channel activator	KCNMA1	Potassium channel activator	6.28, 5.24	63.19	1.52, 0.33	88.22	29.17	41.65	99.61	87.91	18.99	42.41	99.12	55.64	65.03	47.02	2.50	27.38	74.97	99.08	69.33	61.36	75.71	66.19	23.50
BRD-A62182663	CP	YK-4279	apoptosis stimulant, binding of RNA helicase A to the transcription factor EWS-FLI1 inhibitor, EWS-FLI1 inhibitor	DHX9, EWSR1, FLI1		2.62, 1.05	63.16	1.40, 0.68	0.95	9.42	35.62	80.47	79.50	2.95	4.05	80.77	64.49	61.83	19.81	6.47	71.39	22.78	78.60	87.84	69.49	78.30	21.46	79.04
BRD-K54314721	CP	zolmitriptan	serotonin receptor agonist	HTR1B, HTR1D, HTR1A, HTR1F, HTR1E		4.19, 2.09	63.10	0.59, 0.14	90.38	32.89	13.65	90.88	85.53	92.53	52.29	94.61	84.70	81.06	45.73	14.70	70.81	21.96	97.67	68.66	57.54	51.70	54.64	18.75
BRD-A24381660	CP	zeranol	estrogen receptor agonist			6.92, 5.03	63.05	1.49, 0.59	87.67	32.12	78.23	55.22	53.58	-4.41	95.91	99.05	86.45	87.14	47.03	59.58	12.88	9.78	89.31	39.94	66.51	99.86	54.62	73.91
BRD-K91290917	CP	amodiaquine	histamine N-methyltransferase inhibitor	HNMT, CYP2C8		3.14, 1.57	63.04	1.06, 0.34	22.92	10.94	64.63	40.79	71.87	88.06	64.48	58.08	85.20	74.73	54.31	67.88	58.50	25.30	76.77	61.59	77.22	81.99	11.11	57.55
BRD-K76133116	CP	benzydamine	membrane integrity inhibitor, prostanoid receptor inhibitor	PRSS1, PRSS2		7.85, 3.14	62.98	0.93, 0.26	97.96	57.25	25.23	43.16	83.26	71.22	6.39	43.05	43.76	96.51	84.31	39.48	84.19	56.83	91.72	35.03	68.71	51.01	87.39	92.05
BRD-A71203467	CP	l-stepholidine	dopamine receptor antagonist, dopamine receptor agonist	DRD2, DRD1		3.41, 1.14	62.98	1.03, 0.30	30.88	38.78	53.10	85.79	64.09	-25.37	61.87	73.01	48.20	80.55	18.76	74.14	61.41	11.60	99.72	96.73	81.43	81.73	5.18	94.18
BRD-K17075857	CP	chloroxine	opioid receptor inhibitor	OPRK1		8.90, 7.33	62.96	1.31, 0.13	25.16	86.14	99.99	10.16	14.68	54.84	71.09	8.55	75.20	75.96	46.49	74.18	45.39	84.82	5.50	90.98	98.89	76.08	34.60	35.52
BRD-K06593056	CP	LE-135	retinoid receptor agonist	RARB		5.76, 3.66	62.95	0.53, 0.05	28.73	95.86	94.35	50.91	60.18	31.40	78.89	20.53	45.75	10.05	65.72	55.53	54.87	91.00	8.04	75.49	98.15	75.99	87.72	75.45
BRD-K60762818	CP	desipramine	norepinephrine transporter inhibitor, Sodium Channel  Blockers, tricyclic antidepressant (TCA)	SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SMPD1	Tricyclic antidepressant	5.24, 4.19	62.94	1.41, 0.42	13.71	17.15	22.65	24.56	69.75	90.82	41.22	86.71	46.63	46.93	83.50	5.95	52.71	93.57	57.12	68.76	76.30	70.61	98.88	88.85
BRD-K85119730	CP	tolbutamide	ATP channel blocker	ABCC8, CYP2B6, CYP2C19, CYP2C8, KCNJ1, KCNJ11, KCNJ8		5.24, 2.62	62.90	1.03, 0.28	89.38	72.14	37.77	90.23	88.70	5.65	13.63	52.27	81.04	98.98	83.44	28.71	9.77	84.10	81.20	43.55	61.50	42.41	64.29	54.73
BRD-K11911061	CP	GR-127935	serotonin receptor antagonist	HTR1B, HTR1D, HTR1A, HTR2A, HTR2C, HTR1E, HTR1F, HTR2B, HTR6	Serotonin receptor antagonist	6.28, 3.14	62.88	1.34, 0.19	39.78	91.96	93.37	38.88	13.95	83.05	41.34	6.59	58.22	93.76	95.91	98.44	39.88	98.98	5.44	7.88	94.66	67.53	94.21	35.03
BRD-A94669766	CP	naringenin	aromatase inhibitor, estrogen receptor agonist, quorum sensing signaling modulator, TRPM3 antagonist	CYP19A1, ESR2, CYP1B1, GLO1, HSD17B1		4.71, 1.57	62.85	1.16, 0.26	41.66	23.41	73.95	60.25	31.51	71.21	65.44	75.36	74.15	54.07	77.92	3.17	78.44	26.46	28.66	73.83	69.19	95.35	9.39	33.99
BRD-K09416995	CP	lovastatin	HMGCR inhibitor	HMGCR, CYP3A5, HDAC2, ITGAL, NR1I2	HMGCR inhibitor	7.85, 4.19	62.82	0.77, 0.16	63.26	33.25	24.39	82.10	93.93	59.47	17.08	26.94	84.21	93.93	94.57	92.32	5.04	85.49	3.35	6.80	74.01	62.39	98.94	55.64
BRD-A81772229	CP	simvastatin	HMGCR inhibitor	HMGCR, CYP2C8, CYP3A4, CYP3A5, ITGB2	HMGCR inhibitor	5.68, 1.70	62.80	2.36, 0.61	64.64	76.90	67.91	60.96	-29.28	93.47	84.82	6.06	7.18	51.38	53.81	96.56	2.29	94.50	68.18	33.65	25.82	60.20	94.19	95.90
BRD-K86930074	CP	cediranib	VEGFR inhibitor, KIT inhibitor, angiogenesis inhibitor, VEGFR antagonist	KDR, FLT1, FLT4, KIT, PDGFRB, CSF1R, FLT3, PDGFRA	PDGFR/KIT inhibitor, VEGFR inhibitor	7.85, 3.66	62.76	1.56, 0.56	70.39	6.80	18.96	6.46	82.16	97.43	13.73	20.87	50.40	66.72	96.84	99.72	81.09	85.22	59.47	12.94	66.05	30.14	97.96	11.16
BRD-A59303141	CP	quinethazone	diuretic	CA1, CA2, SLC12A1, SLC12A2, SLC12A3	Na-K-Cl transporter inhibitor	3.98, 1.14	62.74	1.09, 0.31	12.54	19.44	24.72	63.28	62.20	71.44	14.96	72.15	56.01	65.21	71.01	41.56	79.05	24.78	85.69	86.11	33.26	72.70	37.35	85.82
BRD-K13926615	CP	vardenafil	phosphodiesterase inhibitor	PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H		4.71, 3.14	62.74	0.99, 0.28	84.37	62.88	41.17	87.43	90.13	71.15	22.17	93.34	62.60	80.47	94.10	16.44	86.02	85.28	51.39	26.36	44.13	49.75	42.62	10.23
BRD-A91008255	CP	bepridil	calcium channel blocker, L-type calcium channel blocker	ATP1A1, CACNA1A, CACNA1C, CACNA1H, CACNA2D2, CALM1, KCNQ1, KCNQ4, PDE1A, PDE1B, SCN5A, TNNC1		3.66, 2.09	62.74	0.27, 0.05	6.17	4.82	46.69	69.58	71.00	94.38	15.28	70.18	39.73	88.22	93.26	60.50	39.13	80.91	31.26	5.23	79.86	62.98	62.49	66.15
BRD-A52172093	CP	VU-0413807-2	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I		8.14, 5.23	62.71	1.13, 0.25	58.99	20.69	12.28	70.11	62.80	28.64	17.50	84.97	95.68	90.53	84.19	74.97	32.41	93.17	98.70	9.33	95.65	45.74	62.62	30.78
BRD-A41995253	CP	brucine	glycine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		7.85, 2.62	62.68	0.60, 0.14	96.50	5.77	19.92	96.91	67.09	15.23	47.31	85.42	94.02	93.16	73.99	-0.53	5.46	47.64	91.14	73.25	58.27	81.54	36.65	6.98
BRD-A10420615	CP	cyclopiazonic-acid	ATPase inhibitor	ATP2A1	ATPase inhibitor	3.66, 1.05	62.64	1.99, 0.56	30.13	96.25	93.37	3.59	35.88	80.16	64.56	0.00	61.30	69.48	56.85	86.63	63.97	87.11	6.64	0.07	93.71	32.76	78.42	42.40
BRD-A20697603	CP	thiostrepton	downregulates FOXM1 expression, FOXM1 expression inhibitor, protein synthesis inhibitor	FOXM1	Protein synthesis inhibitor	6.28, 1.57	62.63	1.86, 0.31	68.06	94.20	97.60	1.59	46.36	52.97	57.21	5.07	14.72	53.69	70.18	97.32	46.25	80.57	9.95	27.69	98.82	86.71	78.81	74.59
BRD-K07736136	CP	VX-702	p38 MAPK inhibitor	MAPK14, MAPK11, MAPK12	P38 MAPK inhibitor	5.76, 3.14	62.61	1.49, 0.30	-9.65	22.84	52.10	42.75	96.95	69.07	74.43	76.40	75.89	33.08	29.64	2.04	92.32	89.46	100.00	32.98	35.60	86.11	56.16	93.28
BRD-K98769987	CP	flumazenil	benzodiazepine receptor antagonist, GABA benzodiazepine site receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ		8.90, 3.66	62.57	1.15, 0.22	88.77	5.21	36.15	93.21	98.77	60.45	21.79	99.93	65.82	87.25	64.68	16.71	6.98	85.50	98.24	52.13	19.12	90.93	9.60	11.77
BRD-K78126613	CP	menadione	CDC inhibitor, mitochondrial DNA polymerase inhibitor, phosphatase inhibitor, pyruvate kinase isozyme inhibitor	AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PKM, PROC, PROS1, PROZ, VKORC1, VKORC1L1		5.76, 2.09	62.48	2.21, 0.41	48.31	87.91	83.89	10.08	73.26	48.47	48.14	4.97	37.58	80.95	24.15	96.99	96.56	67.55	68.43	78.10	65.47	59.49	15.13	18.69
BRD-K57222227	CP	indometacin	cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1		3.41, 0.57	62.45	1.18, 0.33	45.61	38.46	35.22	73.67	90.38	75.19	81.75	99.89	40.39	74.90	55.74	7.99	9.73	42.17	92.01	69.16	91.86	80.15	17.66	23.28
BRD-A41450521	CP	tosufloxacin	topoisomerase inhibitor			6.29, 3.14	62.44	1.20, 0.28	63.47	57.98	80.85	46.70	79.38	32.70	87.67	81.61	61.40	86.57	8.45	91.53	61.36	68.52	36.44	21.31	83.76	98.21	58.33	17.81
BRD-K26863634	CP	BIX-01338	histone methyltransferase inhibitor			5.68, 1.70	62.33	1.50, 0.34	32.85	55.61	28.93	19.83	95.15	4.26	82.19	69.76	80.54	70.64	30.28	26.07	98.17	39.48	89.42	79.92	92.11	69.04	20.46	44.85
BRD-K73589491	CP	nizatidine	histamine receptor antagonist	HRH2		7.85, 4.19	62.29	0.59, 0.14	-0.99	55.48	9.03	93.84	83.79	69.35	12.26	79.15	65.96	79.07	68.67	9.48	58.62	10.51	40.38	93.79	39.08	94.67	9.91	77.04
BRD-K37289225	CP	clozapine	serotonin receptor antagonist, dopamine receptor antagonist, adrenergic receptor antagonist	DRD2, DRD4, ADRA1A, ADRA1B, CHRM1, DRD1, DRD3, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD5, HTR1F, HTR2B, HTR3A, HTR5A	Dopamine receptor antagonist, Serotonin receptor antagonist	11.52, 9.42	62.28	0.73, 0.14	36.19	45.53	55.37	13.97	70.74	100.00	22.30	82.33	83.38	69.20	74.05	16.73	34.41	86.92	33.15	39.02	33.68	72.56	95.03	84.18
BRD-K28360340	CP	TW-37	BCL inhibitor, MCL1 inhibitor	BCL2, BCL2L1, MCL1	BCL inhibitor	9.95, 5.76	62.28	2.60, 0.72	9.29	99.44	96.83	5.11	14.45	-0.28	96.65	12.31	15.76	52.04	93.06	85.48	75.19	55.79	3.21	81.52	99.65	77.16	68.76	14.05
BRD-A39172021	CP	ampiroxicam	cyclooxygenase inhibitor	PTGS1, PTGS2		8.81, 6.92	62.26	1.59, 0.52	34.42	48.35	18.17	24.08	64.32	91.64	97.44	31.47	77.15	60.14	53.78	34.11	98.41	10.74	98.91	77.63	70.64	99.93	60.20	99.68
BRD-K78959463	CP	FPL-64176	calcium channel agonist, L-type calcium channel activator	CACNA1C, CACNA1S		5.24, 3.14	62.21	0.98, 0.39	49.18	62.52	45.37	96.55	91.77	53.99	54.38	99.61	88.94	81.83	69.36	10.08	58.90	67.75	94.44	90.26	61.68	61.90	20.25	31.65
BRD-K17140735	CP	SCH-79797	proteinase activated receptor antagonist	F2R		6.98, 1.16	62.19	3.38, 0.63	8.74	97.40	91.84	4.90	-43.05	68.26	66.18	-24.97	37.80	62.70	65.30	99.41	61.69	90.60	-99.37	7.40	98.91	79.73	44.93	2.72
BRD-K27871032	CP	lysergol	ergoline alkaloid	HTR1B, HTR1D, HTR1E		4.71, 3.14	62.15	1.22, 0.39	50.75	64.20	77.27	60.11	84.63	72.73	35.45	99.12	97.57	37.62	69.91	42.08	22.97	87.52	92.27	17.55	76.14	52.22	20.21	0.49
BRD-K18905250	CP	ST-91	adrenergic receptor agonist			7.85, 4.19	62.11	1.31, 0.35	95.70	45.68	26.85	93.98	95.09	81.84	22.48	61.76	73.00	93.30	57.73	7.56	-1.13	73.69	62.47	74.64	64.75	20.99	40.83	15.80
BRD-K35531059	CP	molsidomine	activator of soluble guanylyl cyclase, nitric oxide donor, nitric oxide stimulant	GUCY1A3		4.71, 2.62	62.10	0.84, 0.31	87.23	24.31	53.56	61.79	94.67	87.30	71.58	99.58	0.00	52.58	59.22	89.58	7.98	91.65	27.80	62.41	17.24	90.81	75.29	18.49
BRD-A97479839	CP	piperidolate	acetylcholine receptor antagonist	CHRM1		9.95, 6.28	62.05	1.19, 0.31	90.17	15.89	62.95	61.03	77.66	17.25	29.83	99.68	97.08	90.69	90.95	12.00	59.85	22.57	98.90	61.14	85.30	83.95	18.58	58.22
BRD-K32744045	CP	disulfiram	aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPA1 agonist	ALDH2, ALDH1A2, ALDH5A1, ALDH7A1, CYP2E1, DBH, DNMT1, TRPA1		10.69, 6.92	62.04	1.80, 0.52	10.91	59.78	97.18	86.98	35.56	3.76	97.74	82.67	24.06	53.44	73.33	52.76	98.97	20.10	64.31	25.01	99.89	91.97	1.87	96.41
BRD-A28970875	CP	puromycin	adenosine receptor agonist, protein synthesis inhibitor	NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1	Protein synthesis inhibitor	5.76, 3.66	61.99	2.40, 0.51	54.85	91.95	98.00	7.10	-75.95	39.86	78.27	-41.44	69.13	20.09	4.15	96.49	97.84	77.02	5.21	98.73	98.93	88.54	29.65	18.52
BRD-A68723818	CP	brompheniramine	histamine receptor antagonist	HRH1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		9.95, 4.71	61.97	0.94, 0.28	99.72	14.80	68.51	26.29	56.64	38.03	65.24	42.08	28.62	32.57	49.67	67.45	46.52	73.56	85.69	61.73	62.21	63.65	98.66	99.30
BRD-K79116891	CP	proxymetacaine	membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker	SCN10A, SCN5A, SCN9A		3.66, 1.57	61.94	0.83, 0.20	78.75	8.11	63.51	18.50	84.42	63.22	30.22	68.32	61.15	81.86	39.76	30.47	60.67	38.76	78.55	61.38	67.94	56.72	62.51	64.36
BRD-A24429032	CP	HEAT	adrenergic receptor antagonist	ADRA1A		6.81, 3.14	61.94	1.06, 0.27	37.70	26.98	60.20	95.65	75.62	92.57	16.36	96.79	65.92	20.24	50.31	28.09	79.88	63.68	96.81	85.54	51.62	67.84	6.52	12.10
BRD-K19295594	CP	gossypol	BCL inhibitor, MCL1 inhibitor, 11-beta hydroxysteroid dehydrogenase inhibitor, growth factor receptor modulator, lipid peroxidase inhibitor	BCL2, BCL2L1, MCL1, BCL2L2, CTGF, EGF	BCL inhibitor	3.14, 2.09	61.90	1.26, 0.22	75.45	86.63	88.12	18.03	42.06	11.79	91.80	15.41	11.59	77.38	2.57	73.40	32.89	60.08	63.72	90.41	93.05	89.38	6.55	13.99
BRD-K13544237	CP	r(-)-propylnorapomorphine	dopamine receptor agonist, antiamyloidogenic agent	DRD2, DRD1, DRD3		7.33, 6.81	61.87	0.68, 0.19	44.17	61.13	91.37	60.10	62.41	61.33	3.24	13.25	68.96	73.43	53.62	67.94	38.63	74.09	50.62	98.56	89.17	76.87	87.15	47.81
BRD-K93461745	CP	buspirone	serotonin receptor agonist, serotonin receptor partial agonist	HTR1A, DRD2		11.52, 5.76	61.86	0.68, 0.15	73.53	9.73	54.83	58.66	96.54	27.36	19.33	99.08	95.01	73.35	93.77	4.62	25.84	42.48	98.47	40.48	89.53	65.07	40.16	85.47
BRD-K29359156	CP	ebselen	COX inihibitor, H+/K+-ATPase inhibitor, leukotriene receptor antagonist, NADPH oxidase inhibitor, nitric oxide synthase inhibitor, PKC inhibitor, prostanoid receptor antagonist, protein kinase C inhibitor, reducing agent	ALB, LTB4R, NOX3		6.28, 3.14	61.85	1.01, 0.25	32.86	24.00	58.03	43.27	83.73	97.78	12.69	12.03	87.23	89.05	2.75	8.15	86.85	47.75	83.70	65.68	95.44	85.94	27.37	86.57
BRD-A39390670	CP	rabeprazole	ATPase inhibitor, gastrin inhibitor	ATP4A, CYP2C19		5.03, 3.14	61.79	0.77, 0.14	89.96	39.79	10.01	66.19	35.61	82.37	16.99	51.72	78.09	92.15	57.02	55.49	81.51	67.62	16.70	6.85	99.31	57.39	80.68	78.75
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	7.85, 1.57	61.79	0.94, 0.14	27.13	32.44	46.05	10.11	20.07	76.58	60.63	86.49	77.89	55.35	86.70	87.88	62.95	95.85	75.12	5.46	41.03	80.85	98.18	22.05
BRD-K09963420	CP	saquinavir	HIV protease inhibitor, peptidase inhibitor	CYP3A4, CYP3A5		5.24, 2.62	61.76	1.15, 0.35	32.29	35.50	77.46	25.12	40.39	60.25	87.48	52.23	78.57	92.84	46.68	62.94	65.65	82.15	62.61	21.67	60.92	96.90	63.90	41.56
BRD-K90976994	CP	dehydrocholic-acid	gastrointestinal agent that stimulates bile production or the flow of bile into the duodenum			4.71, 3.66	61.72	1.48, 0.41	22.64	76.84	58.21	1.16	-24.48	72.91	32.84	16.19	67.18	75.49	28.62	77.85	99.19	21.98	40.05	39.53	65.23	90.65	65.24	89.81
BRD-A26095496	CP	clobetasol	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	9.95, 2.62	61.69	1.44, 0.73	99.82	32.36	59.02	80.11	49.42	66.25	86.52	46.56	74.92	90.28	57.06	8.19	67.94	64.99	16.90	18.99	61.23	62.16	95.39	22.95
BRD-K39983086	CP	loteprednol	corticosteroid agonist, phospholipase inhibitor	NR3C1	Glucocorticoid receptor agonist	9.43, 5.03	61.68	1.67, 0.61	100.00	67.62	66.74	61.74	64.09	16.33	95.49	65.60	61.61	27.82	6.86	-0.11	6.87	14.93	93.21	9.23	81.43	96.48	46.92	8.49
BRD-K99447003	CP	enalaprilat	angiotensin converting enzyme inhibitor	ACE		5.66, 2.52	61.67	1.80, 0.55	87.75	71.93	10.81	32.30	93.11	10.37	44.92	98.93	72.32	56.22	12.43	82.79	6.21	21.97	97.67	84.32	84.85	38.53	14.22	67.11
BRD-A22844106	CP	tenoxicam	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		6.28, 4.71	61.65	0.67, 0.11	43.25	36.35	88.09	95.78	89.56	45.94	16.51	41.21	67.95	73.33	70.66	0.93	12.16	7.67	99.12	87.74	57.54	65.77	8.38	73.40
BRD-K39462424	CP	dexchlorpheniramine	histamine receptor antagonist			8.38, 3.14	61.64	1.17, 0.39	5.60	75.75	70.59	9.69	83.65	76.70	49.29	96.46	88.25	33.03	86.80	17.16	96.81	7.60	52.69	21.16	82.61	33.83	51.53	91.34
BRD-K52850071	CP	JAK3-Inhibitor-II	JAK inhibitor, ALK tyrosine kinase receptor inhibitor, EGFR inhibitor	EGFR, ALK, JAK1, JAK2, JAK3	JAK inhibitor	6.28, 2.09	61.63	1.22, 0.42	85.58	70.02	75.45	97.19	-22.40	77.81	20.63	-6.22	94.47	79.95	61.04	67.72	34.52	42.19	32.04	62.22	10.42	32.18	16.75	70.06
BRD-A44780397	CP	mifepristone	glucocorticoid receptor antagonist, progesterone receptor antagonist, androgen receptor ligand, internal ribosomal entry site inhibitor	PGR, NR3C1, AR, CYP2B6, CYP2C8, CYP3A5, CYP3A7, NR1I2	Progesterone receptor antagonist	7.85, 3.66	61.63	0.90, 0.16	96.01	83.31	80.92	14.83	78.40	96.85	67.85	60.20	63.60	56.59	63.05	6.59	33.01	85.94	17.96	5.29	59.47	58.88	90.73	53.58
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		8.52, 5.11	61.59	1.74, 0.63	-1.83	86.19	86.52	70.59	40.25	34.76	18.41	61.32	40.50	40.35	71.17	98.47	6.52	99.30	3.91	6.19	98.70	92.60	99.93	61.87
