#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A92630576-summary	BRD-K32107296-summary	BRD-K89732114-summary	BRD-K77695569-summary	BRD-K29653726-summary	BRD-K63675182-summary	BRD-K92049597-summary	BRD-K06335600-summary	BRD-K32164935-summary	BRD-K73999723-summary	BRD-K85119730-summary	BRD-A19195498-summary	BRD-K00603606-summary	BRD-K68132782-summary	BRD-K97309399-summary	BRD-A62025033-summary	BRD-K59574735-summary	BRD-K81916719-summary	BRD-K53414658-summary	BRD-K31283835-summary
BRD-K13810148	CP	givinostat	HDAC inhibitor, interleukin receptor antagonist, interleukin synthesis inhibitor, tumor necrosis factor receptor antagonist, tumor necrosis factor release inhibitor	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	HDAC inhibitor	10.73, 5.08	61.02	1.35, 0.48	32.42	62.22	53.09	29.25	45.54	76.92	99.19	69.29	0.78	96.85	80.98	59.81	37.86	80.46	84.45	5.18	53.79	2.84	69.59	98.44
BRD-K81128206	CP	edrophonium	acetylcholinesterase inhibitor	ACHE, BCHE		7.34, 3.95	60.97	0.90, 0.33	4.07	75.55	56.75	62.37	95.58	28.14	99.61	59.56	56.94	50.97	44.09	24.69	82.83	72.00	16.17	89.02	99.68	55.18	91.80	68.03
BRD-K70914287	CP	BIBX-1382	EGFR inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2	EGFR inhibitor	14.97, 10.70	60.94	1.45, 0.41	62.66	24.07	98.48	46.01	59.22	98.30	20.24	41.24	47.39	33.29	13.47	99.19	63.59	35.99	98.03	97.62	8.77	78.34	99.22	77.84
BRD-K43389675	CP	daunorubicin	RNA synthesis inhibitor, topoisomerase inhibitor, DNA synthesis inhibitor, radical formation stimulant	TOP2A, TOP2B	Topoisomerase inhibitor	6.95, 2.14	60.93	2.67, 0.82	77.09	-8.39	10.45	44.11	91.57	72.08	92.26	86.13	4.84	49.78	32.79	0.00	98.12	23.55	42.58	94.27	99.75	5.83	93.44	91.03
BRD-A52588987	CP	SKF-83566	dopamine receptor antagonist	DRD1, DRD5		2.82, 1.13	60.91	0.19, 0.01	65.72	91.55	24.96	81.89	78.69	17.12	77.00	40.42	19.81	70.31	71.18	17.87	46.87	61.56	20.62	85.60	24.22	56.72	60.26	84.83
BRD-K35240538	CP	methylprednisolone	glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	7.49, 4.28	60.90	1.44, 0.60	61.78	21.07	2.85	66.04	78.63	11.74	6.93	99.05	99.93	54.06	24.34	69.43	70.09	43.27	60.03	73.31	87.54	19.73	59.77	99.49
BRD-K38251852	CP	paxilline	ABC transporter expression enhancer, high conductance calcium activated potassium blocker, LXR agonist	ABCA1, KCNMA1, NR1H3	Potassium channel blocker	3.39, 0.56	60.86	0.91, 0.25	35.97	25.01	96.48	8.11	72.07	90.46	17.95	88.15	76.31	49.65	75.70	45.06	36.41	8.35	29.89	84.23	72.90	44.21	79.15	83.99
BRD-K04414442	CP	SB-222200	tachykinin antagonist	TACR3		5.35, 1.60	60.84	1.33, 0.55	19.79	71.01	33.05	60.89	56.44	7.07	72.83	44.00	47.26	68.58	99.38	78.87	36.80	85.01	62.21	56.02	62.12	76.42	60.25	60.79
BRD-K68065987	CP	MK-2206	AKT inhibitor	AKT1, AKT2, AKT3		14.44, 7.49	60.83	1.82, 0.36	61.42	44.62	100.00	31.97	42.42	98.48	28.50	64.50	21.09	32.85	73.47	96.76	60.25	41.51	95.01	99.30	87.69	39.29	97.41	40.74
BRD-A56359832	CP	zileuton	leukotriene synthesis inhibitor, lipoxygenase inhibitor	ALOX5		3.74, 2.14	60.83	0.57, 0.07	58.44	98.66	1.87	66.51	94.52	6.85	61.40	59.81	77.12	68.01	47.99	15.31	62.48	80.19	10.19	63.05	8.17	52.86	82.78	60.26
BRD-A83695761	CP	chromanol	potassium channel blocker		Potassium channel blocker	3.95, 2.26	60.82	1.01, 0.31	59.48	73.45	95.24	26.03	94.36	40.88	57.55	89.74	83.23	78.77	26.61	35.37	66.78	55.22	3.38	51.84	62.16	65.15	90.45	29.61
BRD-K59058766	CP	chlorprothixene	dopamine receptor, dopamine receptor antagonist	DRD2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, HRH1, HTR2A, HTR2B, HTR2C	Dopamine receptor antagonist	13.90, 10.16	60.82	1.59, 0.57	71.44	-67.45	97.57	88.92	17.45	99.86	36.92	19.93	37.10	58.63	51.60	98.98	26.18	27.80	98.34	83.03	49.53	74.75	96.34	63.01
BRD-A41692738	CP	TGX-221	PI3K inhibitor	PIK3CB, PIK3CD	PI3K inhibitor	5.35, 3.21	60.81	0.98, 0.31	23.74	68.58	75.35	49.62	64.26	77.67	60.11	88.17	60.59	20.87	37.72	2.88	82.22	37.88	42.59	90.03	19.34	61.02	88.59	80.16
BRD-K43887077	CP	dopamine	dopamine receptor agonist	DRD2, DRD1, DRD3, DRD4, DRD5, DBH, HTR1A, HTR7, SLC6A2, SLC6A3, SLC6A4		7.49, 4.28	60.68	0.88, 0.34	32.18	96.71	0.32	69.30	70.70	7.71	78.99	84.96	10.69	70.40	86.49	52.27	34.73	97.39	46.79	0.95	33.70	69.09	46.46	73.91
BRD-K94270326	CP	ecopipam	dopamine receptor antagonist	DRD1, DRD5, DRD2		5.88, 4.28	60.60	0.76, 0.11	16.43	91.61	-1.06	81.66	27.44	65.93	97.77	35.45	91.95	91.19	97.60	59.31	61.88	40.68	35.17	91.68	-50.55	56.53	77.22	54.35
BRD-K87990216	CP	piretanide	diuretic, glucocorticoid receptor agonist	SLC12A1, SLC12A2		4.81, 2.67	60.57	1.20, 0.41	57.40	18.24	96.09	61.26	-92.33	16.70	81.72	73.81	80.69	70.51	44.58	-31.16	90.94	91.96	-1.52	52.56	97.43	59.89	51.45	73.52
BRD-K18787491	CP	U-0126	MEK inhibitor, JAK inhibitor, MAP kinase inhibitor	AKT1, CHEK1, GSK3B, JAK2, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	MEK inhibitor	4.28, 3.21	60.55	1.06, 0.43	6.10	15.81	92.36	68.67	41.96	60.55	8.02	85.27	61.58	60.55	37.62	71.08	32.09	4.44	69.32	66.54	30.28	10.44	98.26	89.72
BRD-K73293050	CP	WZ-3146	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		13.37, 5.88	60.53	1.74, 0.50	44.40	23.56	93.13	39.48	61.81	97.46	-0.49	74.50	8.99	17.37	14.30	87.60	96.42	49.77	93.47	98.70	39.84	59.24	98.59	99.86
BRD-K88429204	CP	pyrimethamine	dihydrofolate reductase inhibitor, hexosaminidase stimulant, pharmacological chaperone, STAT inhibitor	DHFR, DHFRP1, HEXA, SLC47A1, STAT3	Dihydrofolate reductase inhibitor	4.81, 2.67	60.49	0.51, 0.06	34.00	90.28	13.03	80.10	60.50	32.61	98.66	74.88	19.35	18.36	63.43	42.20	29.14	92.18	57.22	84.79	62.35	60.47	75.30	26.73
BRD-A79465854	CP	auranofin	disease modifying antirheumatic drug, immunosuppressant, NFkB pathway inhibitor, prostanoid receptor inhibitor, thioredoxin reductase inhibitor	IKBKB, PRDX5, TRPA1, TXNRD1, TXNRD2	NFkB pathway inhibitor	2.67, 1.07	60.47	2.74, 0.50	24.32	-26.77	86.14	42.95	36.16	65.09	28.61	67.39	33.87	96.62	37.37	0.39	82.12	52.11	55.86	77.56	99.75	68.01	76.34	76.26
BRD-U68942961	CP	JW-7-24-1	LCK Inhibitor	LCK		6.42, 2.67	60.47	2.46, 0.67	56.40	-9.23	97.57	93.92	18.34	97.22	42.11	81.03	2.89	38.86	11.05	71.62	34.21	46.99	95.32	94.43	98.61	64.53	85.33	14.72
BRD-K64755930	CP	etazolate	phosphodiesterase inhibitor, alpha secretase activator, GABA receptor modulator	GABRB3, PDE4A		2.26, 0.00	60.39	1.39, 0.44	46.06	44.12	0.99	44.87	89.17	62.37	63.52	63.10	40.20	94.75	70.85	72.38	70.06	10.92	48.90	72.83	21.74	58.41	82.46	54.69
BRD-A57382968	CP	piroxicam	cyclooxygenase inhibitor	PTGS2, PTGS1		6.95, 2.14	60.39	0.58, 0.16	77.57	81.50	20.77	60.52	92.05	23.16	30.90	88.16	12.54	60.25	45.52	3.38	61.98	69.76	58.72	16.77	62.86	75.81	32.80	71.02
BRD-K84955386	CP	hyperoside	glucosidase inhibitor, free radical scavenger	ACE, AKR1B1, GAA		3.75, 1.88	60.38	2.08, 0.76	67.98	64.53	31.11	68.36	95.54	19.40	83.88	94.96	41.60	26.65	17.86	25.76	78.46	98.70	44.77	52.43	70.50	92.24	56.23	38.34
BRD-K52080565	CP	rilmenidine	adrenergic receptor agonist, imidazoline receptor agonist	NISCH		4.38, 3.75	60.34	1.17, 0.38	83.87	24.15	12.07	80.68	36.72	19.65	28.22	78.80	89.01	47.27	14.96	44.59	71.68	80.77	39.31	80.83	49.00	93.15	86.23	87.63
BRD-A19195498	CP	trimipramine	adrenergic transmitter uptake inhibitor, dopamine receptor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor, tricyclic antidepressant, tricyclic antidepressant (TCA)	SLC6A2, SLC6A4, SLC6A3, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR1D, HTR2A, HTR2C, HTR3A	Norepinephrine reuptake inhibitor, Tricyclic antidepressant	12.83, 11.76	60.31	1.33, 0.50	20.40	48.57	99.01	73.75	44.18	99.61	59.91	48.63	6.77	82.16	85.47	99.98	42.63	29.84	93.26	77.03	7.45	31.23	95.24	60.70
BRD-K02637541	CP	celecoxib	cyclooxygenase inhibitor, caspase activator	PTGS2, CA12, CASP3, CYP2C19, PDPK1		3.74, 2.14	60.22	0.74, 0.09	82.89	77.68	3.56	58.72	88.29	18.47	75.31	47.81	98.84	21.62	20.81	1.92	61.72	66.29	47.37	50.12	89.95	71.64	62.81	53.21
BRD-A51714012	CP	venlafaxine	serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, norepinephrine reputake inhibitor, serotonin uptake inhibitor	SLC6A2, SLC6A4, CYP2C19, SLC6A3		7.49, 4.81	60.22	0.63, 0.15	65.07	72.59	2.51	97.13	99.01	12.70	55.37	80.62	45.60	38.77	22.13	30.28	80.50	85.02	22.25	31.46	87.00	82.39	16.37	71.63
BRD-A77291778	CP	cyclopentolate	acetylcholine receptor antagonist	CHRM1		4.81, 2.14	60.21	0.55, 0.11	31.92	95.18	4.70	56.97	70.87	49.50	80.27	63.45	96.25	84.46	77.31	77.80	14.33	53.43	34.83	76.00	94.29	45.94	26.98	47.98
BRD-K45435259	CP	SCH-23390	dopamine receptor antagonist	DRD1, DRD5, HTR2C, KCNJ4, KCNJ6		4.28, 2.67	60.15	1.02, 0.28	60.66	-18.63	59.63	69.83	82.99	63.26	44.95	63.23	39.42	85.94	58.05	58.95	92.91	22.22	41.86	77.65	97.57	54.37	50.05	92.52
BRD-K92049597	CP	triamterene	sodium channel blocker	SCNN1A, SCNN1B, SCNN1G, SCNN1D	Sodium channel blocker	11.23, 7.49	60.10	0.78, 0.23	59.63	64.98	0.60	72.88	69.15	52.31	100.00	95.51	38.26	75.06	96.20	8.39	20.68	60.57	39.53	69.36	25.32	41.59	79.53	52.20
BRD-K79145749	CP	dibenzepin	norepinephrine reuptake inhibitor			5.88, 2.14	60.08	0.90, 0.27	47.22	60.49	92.36	59.66	95.86	30.14	15.41	82.64	67.96	56.63	38.32	51.48	88.76	76.45	1.55	76.61	97.43	13.16	56.81	95.36
BRD-K60274257	CP	dephostatin	tyrosine phosphatase inhibitor	PTPN1, PTPN6		4.28, 2.14	60.07	1.38, 0.31	61.87	37.59	95.88	48.40	95.83	15.33	79.45	10.08	90.05	82.26	36.56	30.11	70.22	49.00	37.40	87.47	69.43	58.27	43.72	73.23
BRD-K50866992	CP	tropisetron	serotonin receptor antagonist, polarization inhibitor, sodium channel blocker	HTR3A, GLRA1, GLRA2, GLRB, HTR4		6.88, 4.38	60.06	1.88, 0.47	73.02	56.24	59.92	0.21	45.07	-2.15	0.11	97.78	99.72	60.21	20.74	26.47	96.65	66.95	-10.23	88.66	65.68	94.96	87.45	7.93
BRD-K85015012	CP	NNC-05-2090	GABA uptake inhibitor, GAT inhibitor	SLC6A11, SLC6A12, SLC6A13		14.97, 10.70	60.06	1.48, 0.51	21.16	-51.65	98.77	55.46	65.36	98.51	30.90	47.92	6.35	32.00	27.80	99.19	28.37	75.81	97.90	95.69	88.24	64.67	95.93	20.58
BRD-K56001384	CP	antimycin-a	antibiotic, electron transfer inhibitor	CYCS	ATP synthase inhibitor	6.21, 3.95	60.06	1.50, 0.24	70.13	29.21	2.20	96.39	63.15	56.96	77.60	50.32	11.47	53.56	0.00	-39.70	31.72	95.76	72.97	89.47	69.94	92.80	48.31	73.34
BRD-A28746609	CP	paclitaxel	tubulin inhibitor, microtubule stabilizing agent, microtubule stimulant, P glycoprotein inhibitor, taxane	TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1	Tubulin inhibitor	5.88, 3.74	60.00	0.64, 0.27	18.92	20.18	59.79	50.17	26.15	80.11	79.41	31.01	0.88	11.50	69.72	61.31	96.61	64.85	35.68	80.84	60.20	73.04	86.45	17.44
BRD-A49358627	CP	ciprofibrate	PPAR receptor agonist, lipase clearing factor inhibitor	PPARA, LPL		6.95, 3.21	59.97	1.09, 0.34	26.17	92.81	-11.11	97.56	48.28	0.32	86.88	14.85	61.02	99.30	83.57	0.56	58.92	93.13	3.73	62.94	99.75	74.44	21.73	47.50
BRD-K10136726	CP	tosyllysyl-chloromethyl-ketone	chymotrypsin inhibitor			6.42, 4.28	59.94	0.97, 0.38	74.68	91.76	-3.11	88.25	20.58	0.11	75.89	22.07	91.18	99.37	11.74	6.49	65.10	23.47	42.31	73.41	99.84	54.78	22.53	81.95
BRD-K55344148	CP	BU-224	imidazoline receptor ligand	MAOA, MAOB	Imidazoline ligand	5.08, 3.39	59.92	1.20, 0.35	59.85	77.17	7.49	90.94	92.93	15.39	82.13	75.13	66.24	59.99	12.17	6.89	26.48	30.98	33.79	73.17	46.87	67.83	17.11	94.42
BRD-K07736136	CP	VX-702	p38 MAPK inhibitor	MAPK14, MAPK11, MAPK12	P38 MAPK inhibitor	4.81, 1.60	59.91	1.49, 0.30	84.29	56.43	12.80	98.31	49.71	31.77	22.14	68.98	91.88	22.80	30.41	45.15	92.05	87.90	35.83	95.33	63.38	12.55	91.07	97.82
BRD-K81169441	CP	cerivastatin	HMGCR inhibitor	HMGCR, CYP2C8, CYP3A5	HMGCR inhibitor	6.88, 5.00	59.90	0.95, 0.18	83.74	55.45	80.49	21.17	60.34	94.40	44.59	35.54	7.23	59.46	11.84	96.65	22.75	46.20	87.34	92.85	33.82	98.45	97.57	83.05
BRD-K76304753	CP	phenazopyridine	unidentified pharmacological activity	SCN1A		7.49, 4.28	59.87	0.52, 0.19	24.18	11.67	75.87	99.22	83.92	72.82	33.09	47.19	73.35	41.63	4.59	29.27	78.04	6.71	42.03	93.73	85.47	72.56	89.59	36.86
BRD-K10705233	CP	GW-405833	cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist	6.42, 1.60	59.82	0.10, 0.01	47.05	23.86	72.59	40.30	40.41	93.86	82.94	31.10	19.34	75.60	27.26	78.24	22.37	27.08	89.36	85.14	96.05	96.06	97.22	19.68
BRD-K04412738	CP	tramadol	opioid receptor agonist, norepinephrine reputake inhibitor, serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, OP3 receptor agonist, serotonin uptake inhibitor	OPRM1, SLC6A2, SLC6A4, CHRFAM7A, CHRM3, CYP2B6, GRIN3A, HTR2C, OPRD1, OPRK1		3.74, 0.53	59.80	1.77, 0.44	62.25	60.58	93.47	59.02	28.51	42.42	40.30	71.94	15.62	97.43	54.16	51.46	77.45	48.72	77.60	81.25	43.35	49.36	84.93	89.96
BRD-A91008255	CP	bepridil	calcium channel blocker, L-type calcium channel blocker	ATP1A1, CACNA1A, CACNA1C, CACNA1H, CACNA2D2, CALM1, KCNQ1, KCNQ4, PDE1A, PDE1B, SCN5A, TNNC1		4.81, 3.21	59.80	0.27, 0.05	32.12	34.60	69.89	72.70	45.77	78.37	21.70	14.27	15.41	61.49	78.26	91.02	71.85	54.30	61.84	31.86	91.91	56.80	58.10	92.15
BRD-K08287586	CP	butylparaben	antimicrobial preservative			7.49, 2.14	59.76	0.50, 0.10	59.75	-20.32	43.87	97.36	93.72	45.01	90.88	61.95	12.72	85.60	13.27	7.97	59.77	54.48	9.27	58.99	93.40	62.27	87.07	68.70
BRD-A15530910	CP	carpindolol	adrenergic receptor antagonist, serotonin receptor antagonist		Serotonin receptor antagonist	8.56, 4.81	59.74	1.11, 0.32	32.73	70.05	96.02	10.99	56.60	86.55	27.10	15.63	11.47	33.79	62.89	98.59	51.00	68.75	77.05	31.62	63.14	32.45	93.76	98.66
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		2.14, 1.07	59.73	0.85, 0.15	83.84	25.19	31.75	72.91	75.55	27.77	95.42	91.28	17.36	96.33	44.80	-41.89	99.51	29.85	45.15	46.54	93.12	92.81	90.78	30.09
BRD-K81473089	CP	tacrine	acetylcholinesterase inhibitor, acetylcholine release stimulant, butyrylcholinesterase inhibitors, potassium channel antagonist	ACHE, BCHE		9.04, 4.52	59.71	0.77, 0.17	27.69	56.68	39.11	98.80	92.85	53.43	98.52	94.43	77.83	53.00	62.74	17.21	45.94	97.08	11.07	20.45	79.09	87.36	35.74	76.44
BRD-U94846492	CP	quinine	cytochrome P450 inhibitor, hemozoin biocrystallization inhibitor, P glycoprotein inhibitor	KCNN4, ABCB1, CYP2D6, GP9, KCNB2, SLC29A4		3.21, 1.07	59.70	2.16, 0.49	53.94	99.93	66.50	43.87	33.72	5.12	92.62	40.59	75.86	65.47	85.45	68.63	78.21	53.46	10.83	82.98	31.12	17.60	40.04	69.86
BRD-K03600606	CP	catechin	beta secretase inhibitor, fatty acid synthase inhibitor, free radical scavenger, immunostimulant, LDL antioxidants, quorum sensing signaling modulator, reducing agent, sodium channel blocker	BACE1, CA1, CA12, CA14, CA2, CA4, CA6, CA9, FASN, PTGS1, SCN5A		8.56, 4.28	59.69	1.31, 0.36	21.53	62.74	-0.95	80.46	88.79	60.55	82.00	64.64	14.57	64.10	98.13	7.54	13.84	9.39	58.84	3.39	84.80	10.07	27.88	95.70
BRD-K07881437	CP	danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor, Abl kinase inhibitor, Bcr-Abl kinase inhibitor, FGFR inhibitor, mitotic inhibitor, protein kinase inhibitor, RET tyrosine kinase inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, BCR, SLK	Aurora kinase inhibitor	6.42, 1.60	59.68	2.02, 0.48	42.74	9.21	97.42	50.92	27.29	74.26	40.70	90.25	6.86	75.34	11.45	72.69	68.94	2.96	52.39	43.79	72.18	66.97	87.61	99.65
BRD-K95609758	CP	BMS-191011	large conductance calcium activated potassium channel opener, large conductance potassium channel activator	KCNMA1	Potassium channel activator	4.28, 1.07	59.65	1.52, 0.33	56.65	78.84	7.98	59.37	50.44	38.04	80.30	57.56	89.29	96.11	59.93	1.02	72.45	27.40	1.57	58.12	64.31	74.08	76.30	80.23
BRD-K93460210	CP	lamotrigine	glutamate release inhibitor, serotonin receptor inhibitor, Sodium Channel  Blockers, sodium channel blocker, voltage-gated sodium channel blocker	SCN1A, SCN2A, SCN3A		4.28, 2.67	59.64	0.76, 0.11	78.40	35.26	-0.18	99.12	30.86	4.16	63.55	59.40	87.46	59.87	30.35	-4.55	87.14	81.18	18.29	60.55	20.58	96.30	51.20	98.09
BRD-A51182606	CP	chloramphenicol	30S ribosomal protein inhibitor, 50S ribosomal subunit inhibitor, antibacterial agent	CD55, CYP2C19		11.30, 7.91	59.53	1.82, 0.47	89.79	25.61	2.82	98.03	23.27	36.88	67.02	96.46	64.01	90.25	34.02	49.02	98.77	56.80	2.11	24.70	94.83	21.09	62.27	99.68
BRD-K10974103	CP	diloxanide	unidentified pharmacological activity			5.88, 2.67	59.50	0.47, 0.09	83.46	23.29	52.71	88.26	90.26	57.00	81.86	82.65	47.70	35.54	20.88	45.05	82.13	92.66	85.45	62.00	31.16	33.96	56.06	70.77
BRD-K13261168	CP	LY-16350	dopamine receptor agonist, dopamine receptor antagonist	DRD2, DRD3		6.42, 3.21	59.50	1.34, 0.36	43.85	75.79	65.89	95.44	42.63	6.66	12.62	29.66	76.41	94.16	80.45	-65.02	97.88	28.34	54.02	31.59	96.80	1.53	64.97	97.96
BRD-K11801786	CP	trimidox	antimetabolite, ribonucleoside reductase inhibitor, ribonucleotide reductase inhibitor	RRM1		9.04, 8.47	59.49	1.60, 0.43	52.56	-12.11	18.84	55.21	91.34	13.55	99.47	99.58	10.58	84.27	50.90	57.74	89.02	89.57	30.57	54.37	90.36	61.24	81.13	78.02
BRD-K83063356	CP	RS-102895	CC chemokine receptor antagonist, CCR antagonist	CCR2		2.82, 1.69	59.49	1.01, 0.33	54.28	98.06	7.11	80.23	71.36	20.35	78.13	31.51	59.24	44.58	9.15	22.09	75.17	59.73	69.23	88.20	30.31	78.53	76.13	36.29
BRD-A26711594	CP	nicardipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, ADORA3, ADRA1A, ADRA1B, ADRA1D, CACNA1D, CACNA2D1, CACNB2, CALM1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, PDE1A, PDE1B		4.28, 2.67	59.46	0.55, 0.06	40.42	85.91	97.64	36.61	47.00	28.11	51.13	76.14	66.28	92.18	52.64	78.85	19.53	27.48	41.51	73.72	28.41	75.37	83.03	85.84
BRD-A15131297	CP	benazepril	angiotensin converting enzyme inhibitor	ACE		5.35, 1.60	59.44	0.78, 0.15	64.96	79.65	-5.66	12.16	53.67	55.52	73.76	17.25	63.59	81.92	50.21	39.29	65.13	95.84	17.42	64.68	63.36	33.79	11.85	68.25
BRD-K82135108	CP	elesclomol	apoptosis stimulant, HSP agonist, HSP inducer, oxidative stress inducer, topoisomerase inhibitor	TOP2A		3.21, 1.60	59.41	1.14, 0.13	10.34	47.45	35.36	47.99	72.06	64.06	53.17	57.63	34.30	95.45	66.18	0.95	68.27	61.18	73.82	77.27	73.64	36.79	74.74	52.50
BRD-K49945136	CP	GR-113808	serotonin receptor antagonist	HTR4		3.74, 2.67	59.39	0.91, 0.32	12.54	65.22	79.74	94.77	53.64	19.71	67.79	45.39	23.19	9.76	57.52	12.96	82.29	61.46	11.09	33.52	94.15	75.30	61.26	70.78
BRD-K00234327	CP	RU-24969	serotonin receptor agonist	HTR1A, HTR1B, HTR6, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A		4.28, 1.60	59.36	0.51, 0.15	51.24	87.88	90.74	75.61	92.24	22.20	59.01	59.71	13.28	76.10	51.42	10.12	74.40	85.35	28.17	42.83	46.10	5.18	90.25	97.99
BRD-K60511616	CP	pravastatin	HMGCR inhibitor	HMGCR, SLCO1B1		6.95, 3.74	59.35	0.49, 0.17	16.59	53.73	47.26	67.61	93.72	27.94	48.20	73.02	0.21	86.82	26.79	26.46	78.23	45.58	45.47	66.13	81.00	84.17	90.70	64.97
BRD-K29173907	CP	isoflupredone	glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	7.49, 3.74	59.15	1.57, 0.72	76.11	68.77	72.22	71.45	17.67	16.74	35.76	95.37	61.78	28.70	20.85	15.69	76.27	36.64	64.42	23.80	99.89	56.52	40.15	89.73
BRD-K86434416	CP	selegiline	monoamine oxidase inhibitor, superoxide dismutase stimulant	MAOB, MAOA, CYP2B6, CYP2C19		5.65, 3.39	59.15	0.80, 0.26	77.08	84.83	-34.77	62.29	93.04	4.70	60.60	92.80	7.75	66.01	57.70	19.72	82.65	45.28	5.37	29.84	28.82	75.19	23.41	71.46
BRD-K52020312	CP	metronidazole	DNA inhibitor	CYP2C8, CYP2E1, CYP3A5, CYP3A7		6.88, 1.25	59.10	1.66, 0.42	61.96	85.94	26.90	56.24	75.93	29.93	82.33	54.22	70.42	48.74	86.61	56.06	82.04	30.97	0.46	53.16	68.62	97.00	10.16	96.98
BRD-K62200014	CP	anagrelide	phosphodiesterase inhibitor	PDE3A		6.95, 2.67	59.08	0.98, 0.31	37.62	80.88	69.94	68.36	99.72	20.36	94.28	79.46	10.83	17.43	37.62	5.51	54.78	63.38	31.92	54.13	71.08	85.27	13.57	92.72
BRD-K13032584	CP	procarbazine	DNA alkylating drug, transmethylation inhibitor			8.02, 5.35	59.08	0.78, 0.17	49.22	89.95	4.68	84.59	97.11	14.10	97.85	69.73	8.32	60.58	74.57	30.95	80.72	57.57	54.61	55.02	38.03	92.66	50.80	73.14
BRD-K89402695	CP	L-655240	platelet aggregation inhibitor, prostanoid receptor antagonist, thromboxane receptor antagonist	PTGES	Thromboxane receptor antagonist	5.88, 4.28	59.05	0.91, 0.27	56.69	15.92	75.19	32.25	9.23	41.04	40.57	10.08	98.41	48.77	94.11	12.30	94.05	78.90	43.56	69.19	99.93	61.44	61.41	68.21
BRD-K99922388	CP	DPO-1	potassium channel blocker	KCNA5	Potassium channel blocker	1.69, 1.13	59.04	1.20, 0.36	85.87	98.17	17.66	84.26	71.48	23.63	17.89	12.22	60.31	40.07	31.49	2.40	42.37	81.02	1.90	81.13	57.77	90.80	86.21	73.48
BRD-A29644307	CP	nomifensine	norepinephrine-dopamine reuptake inhibitor	SLC6A2, SLC6A3, DRD2, MAOA, MAOB, MPO		7.91, 6.21	59.03	1.27, 0.43	25.50	97.05	1.20	97.69	86.49	5.69	99.86	89.73	18.00	1.83	79.23	86.01	21.40	73.68	16.56	1.62	44.39	78.07	5.92	87.08
BRD-A96882008	CP	L-732138	tachykinin antagonist	TACR1, TACR2		6.42, 2.14	59.02	1.41, 0.35	18.34	64.40	64.40	34.11	58.33	59.71	39.90	14.27	82.09	85.39	31.82	1.44	95.41	95.88	7.19	62.44	86.59	36.41	17.19	84.09
BRD-A51410489	CP	yohimbine	adrenergic receptor antagonist	ADRA2A, ADRA2C, ADRA2B, HTR1A, HTR1B, HTR1D, HTR2B, DRD2, DRD3, HTR1E, HTR1F, HTR2A, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8		2.14, 2.14	58.98	1.49, 0.53	12.66	78.87	11.51	67.93	79.51	67.92	45.42	79.76	89.72	57.76	30.60	21.48	60.20	11.09	62.76	14.76	65.66	82.54	6.34	31.84
BRD-K22878149	CP	SB-205607	delta 1 opioid receptor agonist, opioid receptor agonist	OPRD1, OPRK1, OPRM1		8.56, 5.88	58.97	1.65, 0.52	58.86	34.80	85.26	28.28	18.74	47.26	6.05	59.79	9.08	99.72	25.37	75.26	98.80	55.64	30.45	81.89	89.34	84.86	95.48	59.07
BRD-K06895174	CP	cisapride	acetylcholine receptor agonist, serotonin receptor agonist	HTR4, KCNH2, CYP2B6, CYP2C8, CYP3A5, CYP3A7, HTR2A, HTR3A	Serotonin receptor agonist	5.88, 3.21	58.94	0.73, 0.13	80.49	86.60	21.99	94.75	87.90	34.32	37.46	40.02	61.04	60.34	34.70	57.55	75.00	80.21	47.57	32.97	36.83	93.95	21.57	81.87
