#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K28936863-summary	BRD-K78659596-summary	BRD-K37516142-summary	BRD-K93618743-summary	BRD-K49404994-summary	BRD-K49671696-summary	BRD-K08547377-summary	BRD-K92723993-summary	BRD-K38436528-summary	BRD-K93460210-summary	BRD-K78692225-summary	BRD-A72711497-summary	BRD-K02992638-summary	BRD-K60038276-summary	BRD-K10961822-summary	BRD-K09471561-summary	BRD-A48570745-summary	BRD-A95869247-summary	BRD-K88789588-summary	BRD-A90799790-summary
BRD-K79254416	CP	decitabine	DNA methyltransferase inhibitor, antimetabolite, DNA methylase inhibitor	DNMT1		6.11, 1.67	66.61	0.89, 0.24	32.83	66.70	97.40	68.09	95.87	86.68	93.84	91.70	5.63	66.52	46.38	25.51	36.25	46.51	86.70	67.86	2.18	49.45	20.57	85.53
BRD-K91290917	CP	amodiaquine	histamine N-methyltransferase inhibitor	HNMT, CYP2C8		6.67, 3.33	66.59	1.06, 0.34	18.33	15.88	95.54	61.12	96.86	89.51	76.85	42.53	97.31	48.38	47.42	72.07	27.06	99.15	73.58	94.96	18.35	76.82	24.46	43.74
BRD-A50764878	CP	MDL-73005EF	serotonin receptor antagonist, serotonin receptor partial agonist	HTR1A		4.71, 2.35	66.59	0.63, 0.07	23.04	0.74	90.71	51.80	90.55	-30.00	79.13	97.17	74.36	38.12	90.51	3.01	92.72	55.30	19.95	24.49	58.81	90.89	86.08	78.51
BRD-K89839824	CP	raltitrexed	thymidylate synthase inhibitor, pyrimidine antagonist	TYMS, FPGS	Thymidylate synthase inhibitor	6.11, 3.89	66.55	0.86, 0.26	96.35	78.77	93.01	88.02	78.97	68.72	98.91	28.67	16.39	77.88	41.26	45.57	39.62	20.65	64.37	86.82	56.61	71.15	60.21	52.64
BRD-K09778810	CP	FGIN-1-27	benzodiazepine receptor agonist, inositol monophosphatase inhibitor	TSPO		2.22, 1.11	66.48	0.65, 0.13	38.90	42.76	91.14	55.20	89.45	66.43	16.46	49.19	91.00	72.87	66.53	71.69	2.89	44.30	32.93	69.41	77.34	80.78	20.59	89.10
BRD-K96271548	CP	coumaric-acid	antioxidant			8.89, 3.89	66.47	1.19, 0.32	54.59	51.59	27.81	84.34	99.21	98.10	27.97	79.55	89.10	97.45	98.13	19.92	12.49	53.23	77.42	67.57	73.28	16.22	20.65	65.38
BRD-K52850071	CP	JAK3-Inhibitor-II	JAK inhibitor, ALK tyrosine kinase receptor inhibitor, EGFR inhibitor	EGFR, ALK, JAK1, JAK2, JAK3	JAK inhibitor	5.00, 1.67	66.45	1.22, 0.42	23.21	47.47	36.07	75.99	75.75	87.09	62.82	54.64	71.41	35.17	70.08	71.30	88.26	24.33	45.99	74.44	96.21	38.89	3.21	95.23
BRD-K06221026	CP	DUP-697	cyclooxygenase inhibitor	PTGS2		6.11, 4.44	66.34	0.72, 0.19	99.12	47.73	74.83	58.06	67.54	92.23	70.72	96.12	29.98	40.21	65.14	5.34	75.45	93.38	61.11	24.30	84.51	34.26	47.41	93.63
BRD-K10705233	CP	GW-405833	cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist	7.78, 4.44	66.29	0.10, 0.01	58.68	91.49	32.36	72.45	64.49	81.93	76.05	37.23	68.66	37.13	53.75	98.27	19.09	51.89	85.94	68.09	97.11	39.61	9.73	71.07
BRD-K12994359	CP	valdecoxib	cyclooxygenase inhibitor	PTGS2, CA12, CYP2C19		3.89, 2.78	66.23	0.34, 0.05	5.88	83.40	96.26	76.96	72.84	31.50	58.23	66.98	45.26	23.85	65.47	92.58	50.58	41.66	78.35	74.35	91.42	21.45	10.24	96.43
BRD-K04430056	CP	7-nitroindazole	nitric oxide synthase inhibitor	NOS1, NOS2, NOS3		2.78, 0.56	66.18	0.81, 0.19	64.14	71.65	59.98	58.11	80.14	62.89	22.16	41.12	6.13	65.12	67.24	-8.02	94.19	77.39	68.17	79.93	46.65	87.42	71.01	81.17
BRD-K63343048	CP	orlistat	cholesterol inhibitor, diacylglycerol lipase inhibitor, fatty acid synthase inhibitor, gastric triacylglycerol lipase inhibitor, Hypolipemic pancreatic, gastric and carboxylester lipase inhibitor, lipase inhibitor, pancreatic lipase inhibitor	PNLIP, DAGLA, FASN, LIPF, CNR1, DAGLB		13.13, 6.88	66.17	1.16, 0.32	2.89	50.78	91.70	99.68	98.91	50.01	37.36	82.45	52.33	98.73	49.32	94.81	3.95	22.02	95.55	96.02	70.63	48.24	65.50	66.85
BRD-K90976994	CP	dehydrocholic-acid	gastrointestinal agent that stimulates bile production or the flow of bile into the duodenum			8.33, 4.44	66.14	1.48, 0.41	76.21	47.35	98.13	49.80	98.24	55.25	60.15	96.20	7.29	77.68	39.37	1.09	93.95	62.81	86.09	69.46	53.44	83.36	76.79	55.16
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			6.47, 4.12	66.09	0.53, 0.08	25.23	21.99	88.26	86.71	90.62	57.06	39.33	51.07	87.58	88.05	85.38	34.26	35.72	75.11	54.75	85.70	47.33	99.35	33.91	99.30
BRD-K49372556	CP	mofezolac	cyclooxygenase inhibitor, cytochrome P450 inhibitor, platelet aggregation inhibitor			5.29, 2.94	66.07	1.19, 0.30	21.57	5.09	-48.82	97.26	99.33	32.67	-7.12	73.39	67.87	77.49	86.91	0.92	52.69	79.81	64.27	80.77	84.57	76.29	29.72	33.73
BRD-K97799481	CP	theophylline	adenosine receptor antagonist, chitinase inhibitor, GABA receptor antagonist, phosphodiesterase inhibitor	ADORA1, ADORA2A, ADORA2B, ADORA3, CHIA, CYP2E1, CYP3A4, HDAC2, PDE3A, PDE4A, PDE4B, PDE5A		9.41, 3.53	66.04	1.84, 0.49	94.44	-0.56	81.84	74.20	98.55	78.85	21.62	12.08	21.96	27.21	56.06	14.78	69.70	81.43	91.05	75.40	7.28	43.04	98.24	62.38
BRD-A94709349	CP	metaxalone	muscle relaxant			1.11, 0.56	66.03	0.88, 0.30	71.48	14.58	65.64	72.04	75.13	76.92	4.09	3.15	62.14	79.21	82.13	8.30	66.43	34.33	34.07	32.15	81.05	68.18	-8.00	79.36
BRD-K30240666	CP	clemastine	histamine receptor antagonist	HRH1	HRH1 antagonist	4.44, 2.22	66.02	1.03, 0.26	95.07	27.20	10.49	31.02	63.53	59.72	46.18	37.08	99.32	47.32	70.98	85.51	48.62	55.32	69.16	73.45	78.92	96.22	68.51	81.75
BRD-K19352500	CP	prochlorperazine	dopamine receptor antagonist, dopamine receptor	DRD2, DRD1, DRD3, DRD4	Dopamine receptor antagonist	5.00, 2.22	65.99	0.93, 0.16	99.42	4.61	10.66	28.74	61.35	71.36	77.21	93.96	85.37	70.69	54.06	74.43	33.79	52.35	60.47	76.38	81.87	35.65	12.17	70.64
BRD-U37049823	CP	HG-6-64-01	RAF inhibitor, Abl kinase inhibitor, ephrin receptor inhibitor, KIT inhibitor, MAP kinase inhibitor, MEK inhibitor, p38 MAPK inhibitor, src inhibitor	ABL1, BRAF, CSF1R, EGFR, FGFR1, FLT3, KIT, MAPK11, PDGFRB, RET	PDGFR/KIT inhibitor, RAF inhibitor	5.00, 3.89	65.93	1.82, 0.35	29.58	87.46	23.37	72.36	96.48	58.22	86.40	21.86	99.00	77.34	72.42	98.27	2.92	26.85	55.24	85.66	94.33	10.44	-1.55	59.51
BRD-K88868628	CP	iodoacetic-acid	cysteine peptidase inhibitor			5.88, 3.53	65.91	1.67, 0.34	89.71	98.45	65.66	51.44	57.31	43.12	85.39	66.15	33.75	19.18	91.14	78.58	17.69	33.39	92.63	78.68	84.34	50.30	22.09	86.50
BRD-A41112154	CP	oleanolic-acid	antitumor agent			5.56, 2.22	65.89	2.12, 0.63	45.37	0.56	58.66	78.52	84.68	59.69	14.90	80.76	99.93	72.10	21.21	23.14	14.61	96.72	84.42	87.87	72.53	96.76	2.82	42.32
BRD-K15868788	CP	SDZ-205-557	serotonin receptor antagonist	HTR3A, HTR3B, HTR4		2.22, 1.67	65.86	0.76, 0.10	52.70	27.04	67.87	63.99	97.77	77.07	29.51	16.70	77.56	83.26	67.72	0.75	19.52	51.13	89.19	88.32	58.08	28.30	68.77	88.57
BRD-A39290993	CP	cyproterone	androgen receptor antagonist, DNA directed DNA polymerase stimunlant, Estradiol 17 beta dehydrogenase stimulant, estrone sulfotransferase stimulant, progesterone receptor agonist, testosterone receptor antagonist	AR, ADORA1, ESR1	Androgen receptor modulator, Progesterone receptor antagonist	2.78, 1.11	65.84	1.01, 0.23	75.83	27.57	64.37	76.62	78.71	13.81	67.31	77.32	61.05	76.46	56.49	16.92	86.64	40.36	77.03	54.90	74.30	76.80	63.75	60.41
BRD-A65671304	CP	candesartan	angiotensin receptor antagonist	AGTR1, AGTR2	Angiotensin receptor antagonist	2.78, 1.11	65.84	0.53, 0.10	41.37	72.67	52.83	13.43	67.07	17.24	10.25	64.61	73.66	17.56	70.77	35.89	60.97	98.48	17.72	68.46	68.31	91.69	78.36	87.15
BRD-K22662435	CP	ganciclovir	DNA directed DNA polymerase inhibitor, DNA polymerase inhibitor, DNA synthesis inhibitor		DNA polymerase inhibitor	3.53, 2.35	65.81	1.63, 0.35	19.69	16.24	79.19	87.89	93.68	-5.18	3.99	91.06	88.84	42.77	92.36	0.23	74.79	69.21	78.64	62.42	42.41	84.29	57.67	5.44
BRD-A19736161	CP	ondansetron	serotonin receptor antagonist	HTR3A, CYP2D6, CYP3A5, HTR1A, HTR1B, HTR3B, HTR4, OPRM1		5.56, 2.22	65.81	0.45, 0.02	37.28	21.67	94.19	82.17	68.99	76.83	19.45	26.98	61.77	72.37	64.54	-2.43	73.90	47.79	88.05	88.07	30.31	67.08	50.50	82.58
BRD-K80725632	CP	lavendustin-c	epidermal growth factor receptor (EGFR) inhibitor	CAMK2A, EGFR, SRC		3.89, 1.67	65.77	1.09, 0.26	71.31	47.13	67.92	93.65	99.72	42.54	16.08	18.78	77.40	21.44	94.23	7.11	34.95	78.57	66.35	57.68	28.74	65.20	93.31	98.84
BRD-K41713976	CP	E-4031	polarization inhibitor, potassium channel antagonist, potassium channel blocker	KCNH2, KCNH1		4.44, 2.22	65.76	0.72, 0.18	97.15	3.49	89.81	58.05	88.73	47.17	69.32	3.98	68.44	57.68	87.00	-8.71	59.16	77.25	93.50	94.26	38.05	24.93	63.08	77.90
BRD-K81876028	CP	CP-93129	serotonin receptor agonist	HTR1A, HTR1B		4.44, 2.78	65.66	1.17, 0.32	3.00	10.01	10.20	79.98	58.69	92.79	14.49	75.58	4.24	74.80	64.96	2.61	66.36	45.73	24.20	66.94	76.92	73.42	90.26	67.63
BRD-K50938786	CP	ropivacaine	membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker	SCN10A, SCN9A		7.78, 3.33	65.59	1.15, 0.35	71.47	59.71	97.20	90.63	72.91	86.51	31.22	55.32	57.95	86.90	25.51	-24.85	71.51	59.50	57.09	90.86	30.05	94.89	8.69	96.25
BRD-K93880783	CP	stavudine	DNA directed DNA polymerase inhibitor, nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor		Nucleoside reverse transcriptase inhibitor, Reverse transcriptase inhibitor	5.29, 1.76	65.58	0.86, 0.26	93.76	6.85	84.51	79.76	97.31	71.32	70.49	60.67	23.86	46.78	88.70	-6.05	54.23	32.12	88.03	71.80	1.69	17.66	17.79	85.30
BRD-K09497549	CP	kawain	calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers	MTOR		8.82, 5.88	65.50	1.07, 0.28	59.07	45.91	73.80	93.69	76.82	40.63	4.83	27.59	54.35	75.59	64.54	11.17	69.66	86.94	66.46	45.33	33.99	99.90	80.57	99.01
BRD-K68392338	CP	ZK-93426	benzodiazepine receptor agonist, benzodiazepine receptor antagonist, GABA benzodiazepine site receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5		4.44, 1.11	65.49	1.15, 0.33	33.29	31.41	20.58	71.31	89.02	22.03	60.37	21.53	95.14	79.19	93.71	46.53	34.22	75.52	72.18	70.61	89.16	76.09	37.99	50.83
BRD-K38436528	CP	imipramine	norepinephrine reputake inhibitor, serotonin reuptake inhibitor, Sodium Channel  Blockers	SLC6A2, SLC6A4, CHRM2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM3, CHRM4, CHRM5, CYP2C19, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A3	Norepinephrine reuptake inhibitor	6.47, 4.12	65.49	0.58, 0.05	41.34	37.37	69.47	75.32	74.14	62.82	24.22	85.90	99.99	68.15	39.49	72.89	47.04	57.08	55.47	88.14	60.01	93.03	31.49	81.80
BRD-K68997413	CP	PF-3845	FAAH inhibitor	FAAH		5.00, 1.67	65.49	0.69, 0.28	24.74	22.04	75.88	79.10	71.73	68.03	27.95	99.19	67.50	44.33	28.47	63.47	29.70	57.42	33.27	76.86	85.16	85.65	2.61	94.39
BRD-K77771411	CP	moxonidine	imidazoline receptor agonist, adrenergic receptor agonist	NISCH, ADRA2A, ADRA2B, ADRA2C		7.78, 2.22	65.24	0.56, 0.11	57.41	22.83	93.48	65.47	77.23	98.10	75.48	64.52	44.96	85.12	65.01	-1.31	76.32	79.75	81.98	19.58	22.11	63.68	88.34	23.32
BRD-K59637651	CP	NSC-119889	botulin neurotoxin inhibitor, mur synthetase inhibitor			2.94, 0.59	65.20	1.03, 0.30	64.04	15.23	72.53	82.06	97.17	26.57	9.79	28.99	68.96	92.32	43.47	43.62	60.81	28.46	89.77	10.30	66.36	68.25	81.58	90.90
BRD-A38030642	CP	cyclosporin-a	calcineurin inhibitor, cyclophilin inhibitor, immunosuppressant, insulin expression inhibitor, T cell inhibitor	PPIA, ABCB11, CAMLG, CYP3A5, CYP3A7, FPR1, PPID, PPIF, PPP3CA, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3		13.33, 8.33	65.19	2.28, 0.90	44.95	96.48	63.83	86.61	51.66	5.91	70.16	95.64	90.91	30.39	40.27	98.91	31.18	13.46	62.61	77.98	99.54	91.46	46.51	66.56
BRD-K03842655	CP	penitrem-a	potassium channel blocker	KCNMA1		10.00, 4.44	65.15	0.89, 0.24	64.01	90.88	45.88	71.42	66.29	71.08	74.49	79.12	99.33	12.99	57.25	91.11	88.76	37.56	28.26	20.78	96.12	38.56	35.66	32.05
BRD-K71003802	CP	hippeastrine	plant alkaloid with cytotoxic effects on some human tumor cell lines			4.44, 1.67	65.14	0.90, 0.28	93.98	27.57	0.42	80.47	77.60	5.01	-11.62	42.24	90.87	94.89	90.94	4.54	68.27	95.07	51.48	41.23	77.83	73.95	62.01	32.57
BRD-K10961822	CP	latanoprost	prostanoid receptor agonist	PTGFR		13.13, 10.00	65.08	1.78, 0.70	8.50	62.95	99.44	99.10	98.91	56.38	65.07	14.37	10.80	99.86	67.80	43.93	26.21	43.35	99.99	65.08	66.57	86.99	55.53	95.61
BRD-A26384407	CP	chlortalidone	carbonic anhydrase inhibitor, diuretic, sodium ion tranport inhibitor	CA7, CA1, CA12, CA14, CA4, SLC12A1		3.33, 1.67	65.00	0.86, 0.15	24.39	14.31	87.88	78.50	87.49	79.79	59.80	5.88	70.73	75.96	32.63	-25.94	14.00	70.20	39.80	96.12	47.41	33.05	82.38	75.81
BRD-K78838262	CP	austricine	hypolipidemic			6.67, 2.22	64.99	1.58, 0.44	63.42	19.57	12.74	66.55	89.30	-45.92	24.24	-28.59	36.04	89.50	97.85	35.61	73.40	93.10	-1.52	2.60	80.25	91.32	71.06	75.13
BRD-A44780397	CP	mifepristone	glucocorticoid receptor antagonist, progesterone receptor antagonist, androgen receptor ligand, internal ribosomal entry site inhibitor	PGR, NR3C1, AR, CYP2B6, CYP2C8, CYP3A5, CYP3A7, NR1I2	Progesterone receptor antagonist	5.56, 3.33	64.95	0.90, 0.16	9.62	84.20	37.67	75.42	72.76	89.98	84.18	0.67	59.18	98.55	59.07	69.12	57.28	95.49	57.56	70.47	85.17	60.78	17.94	32.12
BRD-K39111395	CP	BCL2-inhibitor	BCL inhibitor	BCL2	BCL inhibitor	7.22, 4.44	64.94	1.31, 0.45	8.12	98.41	96.85	21.73	64.69	94.53	86.86	19.49	84.57	26.00	65.20	80.08	46.66	53.56	38.30	84.05	84.00	37.80	-2.04	97.36
BRD-K46556543	CP	canrenoic-acid	aldosterone antagonist			3.89, 1.11	64.92	1.34, 0.40	60.46	0.74	24.18	81.60	74.19	89.32	33.46	88.98	2.68	56.36	84.65	0.00	96.01	83.55	44.76	76.98	69.39	85.34	15.98	32.19
BRD-K77171813	CP	proxyfan	histamine receptor modulator	HRH3		7.78, 4.44	64.85	0.90, 0.24	99.93	0.00	83.54	93.91	95.68	20.63	17.23	15.52	86.25	41.51	6.77	3.23	22.66	87.57	64.15	58.98	65.55	88.40	95.14	95.06
BRD-A39230911	CP	chlorphensin	muscle relaxant			7.65, 4.12	64.81	0.85, 0.26	3.97	43.88	89.91	19.05	91.75	59.29	15.96	91.68	99.23	96.96	77.85	1.55	48.08	65.16	12.58	64.45	45.78	99.44	67.30	98.31
BRD-K06854232	CP	AM-580	RAR agonist, retinoid receptor agonist	RARA	Retinoid receptor agonist	3.89, 1.67	64.81	0.38, 0.13	65.69	19.44	63.92	62.77	48.79	78.05	-2.33	77.73	86.99	89.64	80.63	-1.55	54.96	74.57	26.60	86.84	52.49	83.71	18.06	77.16
BRD-K66874953	CP	pifithrin-alpha	TP53 inhibitor	TP53		3.89, 2.78	64.80	0.52, 0.11	41.46	46.84	76.25	40.77	70.37	5.21	56.78	63.41	66.18	40.21	91.40	18.72	66.44	81.83	88.82	87.32	59.90	68.85	24.59	82.17
BRD-K94080537	CP	diethyltoluamide	DEET, activator of fly antenna ionotropic receptor IR40a			2.78, 1.11	64.78	0.78, 0.18	23.78	15.39	38.62	65.59	74.68	82.47	14.06	41.20	64.31	87.26	84.66	-15.63	10.03	68.69	71.37	56.14	53.85	65.25	77.37	80.94
BRD-K97158071	CP	droperidol	dopamine receptor antagonist, dopamine receptor	DRD2, ADRA1A	Dopamine receptor antagonist	6.11, 2.22	64.75	0.52, 0.11	13.13	3.21	85.03	87.85	84.58	78.68	-13.85	88.75	50.96	31.14	79.41	8.84	92.23	68.88	74.30	60.63	55.01	81.75	45.50	39.30
BRD-A20131130	CP	2',5'-dideoxyadenosine	adenylyl cyclase inhibitor			4.44, 1.11	64.74	1.40, 0.35	89.20	38.20	86.31	83.18	66.26	78.26	4.65	57.35	9.21	65.58	67.73	-88.72	-4.44	87.76	53.12	64.38	3.17	95.26	43.33	65.11
BRD-K88789588	CP	letrozole	aromatase inhibitor, estrogen receptor antagonist	CYP19A1		8.24, 6.47	64.71	0.50, 0.11	65.90	1.98	59.25	88.88	88.32	69.63	-9.40	38.41	52.83	76.95	77.17	1.59	40.74	78.24	29.59	63.52	51.31	97.15	99.98	83.09
BRD-A62021152	CP	WAY-161503	serotonin receptor agonist	HTR2C		9.41, 4.71	64.71	1.43, 0.45	47.47	46.82	77.29	92.97	97.76	15.92	30.11	10.10	82.85	17.80	72.44	3.60	72.55	99.86	15.93	81.71	56.97	97.42	16.71	99.12
BRD-K54759182	CP	dosulepin	adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant	SLC6A2, SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, HRH1		2.78, 1.67	64.69	1.30, 0.30	78.28	50.89	55.12	68.94	73.78	53.25	66.14	49.17	32.92	66.23	91.98	15.01	78.82	99.61	63.00	85.99	63.25	11.46	73.32	52.46
BRD-A39646320	CP	HC-toxin	HDAC inhibitor	HDAC1	HDAC inhibitor	4.44, 0.56	64.69	1.55, 0.53	6.30	90.70	76.90	72.29	96.62	31.28	90.65	19.69	98.77	77.77	39.44	90.77	19.19	44.46	77.97	70.36	54.40	49.19	17.30	59.02
BRD-K73999723	CP	telmisartan	angiotensin receptor antagonist, PPAR receptor agonist, PPAR receptor modulator, PPAR receptor partial agonist	AGTR1, PPARG, CYP2C19, CYP2J2, PPARA		10.00, 6.11	64.69	0.75, 0.19	97.85	58.85	62.96	66.22	84.20	48.07	63.16	69.52	41.49	78.85	97.52	59.52	81.63	95.45	58.38	1.87	33.47	21.86	94.71	89.32
BRD-A09056319	CP	alfuzosin	adrenergic receptor antagonist	ADRA1A, ADRA1D, ADRA1B, KCNH2		7.22, 6.11	64.68	0.57, 0.11	44.80	-34.53	59.87	90.45	69.50	48.80	54.68	30.49	89.95	85.17	77.14	-25.84	80.76	88.65	53.13	75.81	15.93	90.24	99.93	53.60
BRD-K18909381	CP	CGS-12066B	serotonin receptor agonist	HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C		3.89, 1.67	64.60	0.84, 0.18	57.93	3.95	70.39	57.12	64.68	91.56	81.16	94.33	68.50	35.16	82.31	61.52	57.13	64.53	75.29	44.89	67.60	63.56	36.07	68.67
BRD-K91904471	CP	SD-169	p38 MAPK inhibitor	MAPK14		2.94, 1.18	64.53	1.19, 0.34	28.21	65.57	92.75	85.27	88.09	16.21	56.28	69.15	81.83	42.46	69.57	1.37	63.49	91.40	49.48	38.16	56.60	89.95	95.75	34.87
BRD-K66296774	CP	fluvastatin	HMGCR inhibitor	HMGCR, CYP2C8	HMGCR inhibitor	5.00, 2.78	64.49	0.69, 0.13	28.43	39.21	94.11	82.07	92.74	16.41	50.12	15.41	97.06	33.83	78.86	89.13	1.48	89.36	80.97	86.06	94.62	25.33	43.46	18.66
BRD-K25224017	CP	pirenperone	serotonin receptor antagonist	HTR2A, HTR7		7.22, 3.33	64.44	0.50, 0.07	98.15	20.41	93.03	64.87	89.79	5.12	2.43	18.81	84.06	96.73	79.00	3.54	39.68	41.95	93.76	64.02	54.14	83.07	60.74	96.69
BRD-A81772229	CP	simvastatin	HMGCR inhibitor	HMGCR, CYP2C8, CYP3A4, CYP3A5, ITGB2	HMGCR inhibitor	3.53, 2.94	64.38	2.36, 0.61	23.55	70.74	22.40	46.54	86.02	64.79	63.97	72.23	97.79	39.59	65.70	94.93	6.95	9.91	89.38	51.18	90.94	36.62	47.90	65.62
BRD-A16700644	CP	isoxsuprine	adrenergic receptor agonist	ADRB2	Beta-adrenergic receptor agonist	9.41, 4.71	64.28	0.77, 0.20	92.78	52.35	65.16	89.46	96.91	15.45	14.58	67.66	48.80	63.39	52.21	3.95	77.62	44.85	90.38	92.93	43.65	98.75	58.09	96.11
BRD-K41731458	CP	triclosan	DNA methyltransferase inhibitor, enoyl-(acyl-carrier protein) reductase Fabl inhibitor, enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor	DNMT1		7.22, 2.78	64.26	1.36, 0.30	34.50	88.11	92.11	30.52	80.75	16.77	38.19	58.44	97.99	31.62	67.24	92.52	60.93	67.40	63.54	70.66	96.72	54.01	31.98	64.98
BRD-K60460488	CP	nelfinavir	HIV protease inhibitor, proteasome inhibitor	CYP2C19, CYP3A5, CYP3A7	HIV protease inhibitor	7.22, 5.00	64.25	1.32, 0.41	8.00	91.19	74.59	41.65	96.52	48.15	17.52	65.89	79.41	49.18	62.62	94.12	51.89	19.16	94.68	52.04	96.36	57.04	70.68	95.77
BRD-K79092138	CP	nitrofural	POXB inhibitor			7.06, 3.53	64.25	1.19, 0.31	3.85	76.29	81.14	25.47	32.90	66.66	47.60	96.52	80.53	39.83	60.37	70.90	6.41	-2.08	33.65	61.84	84.16	98.71	74.26	98.01
BRD-K81128206	CP	edrophonium	acetylcholinesterase inhibitor	ACHE, BCHE		4.71, 2.35	64.22	0.90, 0.33	19.14	10.24	31.80	22.94	74.55	90.65	13.31	0.02	99.72	80.23	65.81	0.96	34.67	94.04	27.03	78.31	66.54	98.45	62.64	66.91
BRD-K28360340	CP	TW-37	BCL inhibitor, MCL1 inhibitor	BCL2, BCL2L1, MCL1	BCL inhibitor	7.22, 5.56	64.22	2.60, 0.72	4.75	92.92	98.24	81.46	88.86	6.34	96.02	27.70	66.56	-3.72	30.60	98.67	15.88	68.74	61.88	79.64	94.68	13.44	3.68	53.64
BRD-K56001384	CP	antimycin-a	antibiotic, electron transfer inhibitor	CYCS	ATP synthase inhibitor	8.82, 4.71	64.18	1.50, 0.24	17.44	83.10	74.37	85.28	99.82	8.76	86.83	-15.57	93.38	57.94	5.29	77.28	4.97	70.43	88.46	57.47	94.43	36.72	34.49	45.94
BRD-A09161221	CP	nomilin	HSP inhibitor			7.78, 3.33	64.14	2.02, 0.62	20.35	61.91	53.47	73.04	52.37	75.46	95.18	78.01	98.91	34.29	21.90	1.73	23.50	80.35	50.98	99.44	66.36	81.68	3.10	80.50
BRD-K72222507	CP	quinapril	angiotensin converting enzyme inhibitor	ACE		8.89, 1.67	64.13	0.57, 0.11	71.35	9.61	94.71	65.42	62.02	82.52	67.93	7.15	91.21	22.17	62.75	-0.81	28.96	95.45	74.47	81.61	12.54	62.84	8.82	85.82
BRD-K41707108	CP	ceramide	nitric oxide production inhibitor, phosphoenolpyruvate carboxylase activator, serine/threonine protein phosphatase activator			4.12, 0.00	64.09	1.00, 0.25	1.06	33.04	91.00	65.52	95.70	77.56	31.13	84.77	4.28	29.93	47.16	21.30	93.91	69.67	62.67	49.97	28.72	69.82	82.33	69.91
BRD-A09828896	CP	SKF-81297	dopamine receptor agonist	DRD1, DRD5		6.67, 2.78	64.08	0.83, 0.23	56.51	76.37	16.51	76.26	99.14	97.97	58.84	54.61	78.19	52.95	53.03	69.32	76.43	95.75	84.47	42.96	93.48	31.30	16.48	44.66
BRD-K18816859	CP	L-694247	serotonin receptor agonist	HTR1D, HTR1A, HTR1B		5.00, 3.33	64.08	0.72, 0.08	63.20	7.14	74.86	67.55	68.56	90.05	46.95	39.64	11.31	71.09	44.05	0.31	23.44	75.41	83.39	85.11	4.27	68.36	64.14	64.02
BRD-K50866992	CP	tropisetron	serotonin receptor antagonist, polarization inhibitor, sodium channel blocker	HTR3A, GLRA1, GLRA2, GLRB, HTR4		11.25, 7.50	64.05	1.88, 0.47	98.15	31.40	50.11	98.63	95.87	7.81	53.31	90.57	22.77	88.33	24.39	-15.89	74.28	99.51	90.85	-1.16	11.94	85.04	53.81	96.65
BRD-K67043667	CP	altretamine	DNA synthesis inhibitor			3.33, 1.11	64.05	0.41, 0.07	6.72	7.77	68.32	89.83	88.62	89.08	36.50	25.36	59.77	53.19	77.63	0.28	17.24	89.90	69.39	70.78	20.48	75.69	40.24	75.40
BRD-K31471398	CP	dihydrexidine	dopamine receptor agonist	DRD1, DRD2, DRD3, DRD4, DRD5		5.56, 3.89	63.99	1.32, 0.43	96.13	35.12	37.65	62.05	88.68	39.20	12.63	99.19	10.86	70.61	92.31	21.17	64.81	75.63	55.06	87.39	74.25	11.12	63.17	69.35
BRD-K63550407	CP	erythromycin	NFkB pathway inhibitor, 50S ribosomal subunit inhibitor, motilin receptor agonist, RPLV inhibitor	CYP3A4, MLNR		8.33, 3.33	63.97	1.20, 0.44	57.73	54.88	91.43	76.71	88.83	92.53	15.16	20.19	95.39	70.15	64.70	1.58	46.46	95.48	66.36	33.42	63.24	97.16	27.26	48.72
BRD-A63043573	CP	cabergoline	dopamine receptor agonist, prolactin inhibitor, prolactin secretion inhibitor	DRD2, ADRA1A, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1B, ADRA1D, ADRB1, ADRB2, HTR7, PRL		7.22, 4.44	63.95	1.43, 0.36	95.03	79.08	33.65	68.97	65.00	87.22	73.80	62.91	46.87	50.43	34.95	4.40	94.18	99.58	26.44	31.88	82.18	79.16	9.39	18.87
