#1.3
2429	32	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K31627533-summary	BRD-A08187463-summary	BRD-K28183345-summary	BRD-A55913614-summary	BRD-K95921201-summary	BRD-A39390670-summary	BRD-K49111258-summary	BRD-K51485625-summary	BRD-K21283037-summary	BRD-A10070317-summary	BRD-A62525898-summary	BRD-A26334849-summary	BRD-K48168960-summary	BRD-K72222507-summary	BRD-K19352500-summary	BRD-K28667793-summary	BRD-K70505054-summary	BRD-K30563334-summary	BRD-K88429204-summary	BRD-K05658747-summary	BRD-A21858158-summary	BRD-K75699339-summary	BRD-A59174698-summary	BRD-K68867920-summary	BRD-K97399794-summary	BRD-K59273480-summary	BRD-A97674275-summary	BRD-K53857191-summary	BRD-K42098891-summary	BRD-K01638814-summary	BRD-K32247306-summary	BRD-K63828191-summary
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	8.44, 3.90	59.77	0.94, 0.14	50.19	68.62	49.86	73.96	91.62	40.74	67.89	98.73	24.83	95.50	93.01	88.39	35.57	41.64	96.61	60.33	83.25	22.61	56.15	57.37	89.72	46.79	59.21	70.99	41.98	16.95	8.47	77.86	95.07	37.16	31.41	99.51
BRD-K39983086	CP	loteprednol	corticosteroid agonist, phospholipase inhibitor	NR3C1	Glucocorticoid receptor agonist	5.88, 3.14	59.76	1.67, 0.61	97.36	14.43	68.93	5.51	64.25	73.23	49.93	83.47	13.15	79.09	35.59	49.95	67.59	51.51	0.07	71.98	56.37	84.32	97.10	85.28	10.01	27.67	68.52	18.41	55.26	88.29	13.80	98.11	7.99	63.16	9.16	97.35
BRD-K57886322	CP	fluocinonide	corticosteroid agonist, corticosteroid hormone receptor agonist	NR3C1, SERPINA6, SMO	Glucocorticoid receptor agonist	8.13, 4.59	59.76	1.57, 0.53	96.19	80.57	92.00	1.80	20.56	52.14	61.93	82.03	95.82	11.03	9.07	42.38	99.65	79.38	25.98	94.60	31.27	10.76	45.16	84.62	55.01	68.65	57.60	79.46	24.80	76.05	11.21	43.73	93.31	63.84	90.66	0.63
BRD-K95435023	CP	PHA-665752	c-Met inhibitor, hepatocyte growth factor receptor inhibitor	MET		4.87, 2.60	59.73	1.49, 0.38	83.69	96.54	46.75	94.88	93.58	7.36	66.11	79.18	0.74	51.77	35.75	86.37	59.12	57.98	97.60	67.28	53.81	58.81	69.67	85.71	80.54	-5.78	96.85	18.74	38.26	15.17	60.34	14.05	96.80	18.17	-1.62	99.33
BRD-K54665485	CP	R-59022	diacylglycerol kinase inhibitor, protein kinase inhibitor	DGKA		7.07, 2.83	59.59	1.57, 0.51	56.84	58.66	75.35	59.49	57.71	44.00	30.63	65.33	16.02	97.89	98.41	28.74	94.68	51.14	95.97	80.64	59.68	13.07	44.41	54.09	95.13	67.20	54.91	97.78	83.18	19.39	53.12	4.29	83.47	80.15	99.54	89.70
BRD-A34255068	CP	rolipram	phosphodiesterase inhibitor, interleukin receptor antagonist	PDE4A, PDE4B, PDE4D, PDE4C, PDE5A		4.87, 3.90	59.52	0.74, 0.10	80.57	31.48	59.54	52.32	25.05	39.10	13.79	72.67	61.21	72.50	73.66	10.03	86.89	42.08	33.80	63.73	73.63	67.17	41.99	87.19	65.26	59.50	44.12	33.96	58.60	70.48	71.61	68.82	29.95	92.77	57.21	6.06
BRD-K68143200	CP	SA-792541	caspase activator, CDC inhibitor	CASP3, CDC25A, CDC25B		3.90, 1.62	59.50	0.84, 0.23	87.52	57.18	6.27	87.75	58.33	62.95	74.59	78.71	2.96	78.79	27.83	10.25	64.50	60.66	54.95	16.56	94.00	45.11	30.55	21.22	61.05	57.80	95.43	91.98	80.93	9.09	75.91	17.87	28.07	74.35	60.75	20.45
BRD-K10670311	CP	sulfasalazine	cyclooxygenase inhibitor, disease modifying antirheumatic drug, lipoxygenase inhibitor, NFkB pathway inhibitor, prostanoid receptor inhibitor, thromboxane receptor antagonist	PTGS1, PTGS2, ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, SLC46A1, SLC7A11, TBXAS1		7.84, 5.49	59.44	1.00, 0.25	47.43	83.17	38.11	17.37	-2.33	78.55	3.70	97.47	-3.24	39.34	26.18	93.16	86.79	77.19	23.03	89.85	79.22	71.46	88.49	75.38	46.48	20.98	29.24	6.94	0.46	43.92	96.32	17.91	93.86	78.98	82.94	72.71
BRD-K41567364	CP	SB-334867	orexin receptor antagonist	HCRTR1, HCRTR2		8.77, 4.22	59.42	1.28, 0.47	77.63	82.15	94.72	50.33	12.34	3.59	83.37	91.30	99.01	49.61	84.44	43.24	99.27	39.34	33.74	58.53	80.19	26.17	16.92	5.12	93.10	76.17	81.48	92.84	60.32	10.20	0.00	69.27	85.64	51.38	16.40	47.31
BRD-K76304753	CP	phenazopyridine	unidentified pharmacological activity	SCN1A		6.17, 2.60	59.40	0.52, 0.19	65.46	59.10	80.02	87.17	75.71	17.65	35.85	33.12	32.63	86.15	89.72	19.22	70.62	14.26	66.84	43.05	29.21	13.87	8.46	95.75	87.58	5.78	68.82	4.04	84.83	61.94	59.71	71.51	6.03	14.62	83.25	25.43
BRD-A49370193	CP	RO-60-0175	serotonin receptor agonist	HTR2C, HTR2A, HTR2B	Serotonin receptor agonist	5.52, 2.92	59.40	0.97, 0.23	81.13	66.42	95.80	96.25	32.34	-0.14	29.21	96.09	98.52	88.45	84.07	0.42	13.71	65.15	90.53	13.60	-9.01	57.14	27.79	88.66	35.52	97.27	76.72	6.49	39.91	6.20	10.62	12.27	71.18	61.65	46.18	65.37
BRD-A42831637	CP	tetrahydrocannabinol-7-oic-acid	analgesic, anti-inflammatory			4.95, 2.12	59.35	1.08, 0.25	5.07	80.44	73.96	76.16	6.81	40.19	1.38	66.36	9.26	98.38	97.21	23.87	84.54	31.97	35.85	58.20	60.51	38.25	79.31	93.79	90.66	93.27	22.95	55.83	83.95	62.70	77.39	15.52	18.62	81.92	52.71	4.05
BRD-K11129031	CP	gemfibrozil	lipase clearing factor inhibitor, lipoprotein lipase activator, PPAR receptor agonist	PPARA, CYP2C8, LPL, SLCO1B1, SLCO1B3, SLCO2B1		4.59, 1.41	59.35	0.83, 0.24	71.93	55.60	67.17	47.35	34.68	73.39	7.17	40.84	28.84	74.50	74.12	90.74	73.73	72.33	66.84	90.48	84.83	25.82	43.72	56.56	84.73	24.08	65.03	57.31	58.71	32.71	9.23	60.37	87.20	59.99	29.75	46.04
BRD-A28746609	CP	paclitaxel	tubulin inhibitor, microtubule stabilizing agent, microtubule stimulant, P glycoprotein inhibitor, taxane	TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1	Tubulin inhibitor	6.82, 3.90	59.35	0.64, 0.27	81.94	52.44	81.10	88.36	56.47	31.68	48.57	39.06	27.78	62.22	99.44	94.50	85.95	87.30	84.06	41.64	34.54	9.97	8.25	72.64	92.49	94.78	45.60	66.79	17.28	22.70	67.69	36.33	98.70	38.44	88.95	11.55
BRD-K78838262	CP	austricine	hypolipidemic			8.33, 1.92	59.29	1.58, 0.44	22.74	94.32	88.74	39.08	21.47	95.51	34.99	87.75	86.17	94.48	12.90	14.76	80.94	11.08	90.88	68.59	87.17	32.77	27.70	79.86	99.58	93.90	14.76	3.87	69.87	2.28	23.98	86.47	13.48	97.25	50.00	1.30
BRD-K59574735	CP	ubenimex	leukotriene hydrolase inhibitor, alanine aminopeptidase inhibitor, aminopeptidase B inhibitor, immunostimulant, peptidase inhibitor	LTA4H, ANPEP, RNPEP		5.84, 2.92	59.29	0.56, 0.08	77.78	56.69	14.73	58.08	43.17	31.46	37.37	77.22	16.78	90.80	95.27	87.34	26.36	46.74	19.26	72.25	98.10	10.97	56.88	75.67	79.81	94.14	97.04	13.98	28.48	51.09	78.92	96.01	77.21	60.49	54.17	82.74
BRD-A18497530	CP	5-iodotubercidin	adenosine kinase inhibitor, nucleoside transporter inhibitor	MAPK3, ADK, CSNK1G2, GSG2, LRRK2		4.55, 1.95	59.25	4.91, 1.55	76.06	94.07	33.47	50.62	0.00	26.63	2.36	44.86	66.28	98.73	90.13	39.35	78.17	46.03	67.13	47.11	88.06	14.92	11.20	22.66	88.60	4.47	94.06	9.48	99.15	96.14	93.27	96.31	84.14	2.17	52.23	80.62
BRD-K94441233	CP	mevastatin	HMGCR inhibitor	HMGCR	HMGCR inhibitor	5.52, 2.92	59.25	1.23, 0.18	82.77	53.26	93.15	42.52	87.20	65.89	83.31	96.64	54.69	92.47	3.83	63.81	70.51	22.21	89.83	17.76	88.29	11.20	9.49	-36.24	16.22	47.44	81.49	64.71	39.89	12.80	97.46	53.63	76.27	-30.93	20.22	98.87
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		4.87, 2.27	59.24	0.85, 0.15	62.86	39.95	82.57	96.87	55.32	6.28	17.92	32.98	95.12	61.79	93.88	8.30	64.35	93.74	8.59	18.49	94.41	23.36	62.08	43.15	84.96	56.68	63.50	31.50	99.06	29.76	43.26	62.31	29.69	19.37	88.40	68.65
BRD-K55301415	CP	abiraterone	17,20 lyase inhibitor, androgen biosynthesis inhibitor, cytochrome P450 inhibitor, steroid sulfatase inhibitor	CYP17A1, CYP11B1		6.71, 3.89	59.20	1.34, 0.45	77.84	26.53	49.62	62.63	72.90	26.50	25.21	14.17	61.35	35.07	35.50	18.71	95.99	19.15	31.42	94.43	80.79	74.57	97.75	75.40	23.06	60.92	83.09	59.55	38.08	52.06	85.80	58.85	15.21	86.96	72.24	4.64
BRD-K64670467	CP	JNJ-16259685	glutamate receptor antagonist	GRM1		6.49, 2.60	59.20	1.05, 0.33	67.92	78.87	96.07	10.11	55.71	52.97	71.02	21.42	73.07	62.69	49.33	23.83	26.45	81.81	90.23	74.99	96.62	30.60	65.53	65.52	19.89	8.70	53.44	48.49	27.21	35.04	21.64	99.40	69.54	88.54	88.45	8.76
BRD-K99447003	CP	enalaprilat	angiotensin converting enzyme inhibitor	ACE		5.88, 4.31	59.19	1.80, 0.55	79.77	2.69	17.84	4.16	26.22	95.10	6.61	48.96	31.30	90.47	78.56	54.91	63.47	11.55	6.40	65.07	82.73	94.41	87.83	92.57	66.45	11.77	6.66	9.48	11.43	98.04	71.19	79.52	36.57	85.79	98.74	-14.95
BRD-A41145729	CP	methoprene-acid	RXR agonist	NCOA2, NR1H3, RXRA, RXRB		9.09, 5.52	59.18	1.06, 0.35	65.01	13.49	40.47	77.20	74.38	33.12	21.80	12.53	68.54	81.43	18.32	65.80	54.13	50.93	55.41	69.34	93.38	7.77	81.36	94.04	57.80	79.50	86.30	99.89	33.55	3.35	18.66	60.57	96.61	52.43	88.73	-2.08
BRD-K39965020	CP	doconexent	PPAR receptor agonist, unidentified pharmacological activity	FFAR1, PPARA, PTGS1, PTGS2	PPAR receptor agonist	4.22, 2.60	59.18	0.77, 0.27	60.63	89.46	74.62	42.02	55.19	15.21	74.22	86.14	5.71	94.63	85.77	10.92	26.00	98.77	57.73	52.80	81.57	53.21	56.55	89.55	85.95	3.00	78.44	80.41	67.88	12.66	68.44	35.25	15.19	97.64	8.17	-0.99
BRD-A39290993	CP	cyproterone	androgen receptor antagonist, DNA directed DNA polymerase stimunlant, Estradiol 17 beta dehydrogenase stimulant, estrone sulfotransferase stimulant, progesterone receptor agonist, testosterone receptor antagonist	AR, ADORA1, ESR1	Androgen receptor modulator, Progesterone receptor antagonist	7.47, 3.57	59.18	1.01, 0.23	20.42	95.58	91.12	62.54	79.08	5.11	77.93	74.24	-7.89	41.67	64.63	74.28	46.32	36.33	50.79	53.71	75.63	17.92	87.32	80.52	97.76	66.98	-58.91	55.81	47.99	21.25	43.52	64.19	70.16	38.15	89.19	4.13
BRD-K02950022	CP	BMS-299897	gamma secretase inhibitor, antiamyloidogenic agent		Gamma secretase inhibitor	6.49, 2.92	59.17	1.18, 0.15	60.65	78.33	8.72	57.43	47.18	90.81	77.42	57.68	10.06	99.19	26.38	48.46	37.04	29.30	83.96	37.94	98.56	79.08	53.28	85.74	72.77	32.52	98.74	29.13	5.97	95.51	64.37	50.46	68.78	94.36	84.44	14.12
BRD-K62996583	CP	lidoflazine	calcium channel antagonist	SCN1A, SCN3A, SLC29A1		3.90, 0.97	59.17	0.60, 0.09	67.56	84.05	55.70	11.59	90.87	31.38	44.70	62.03	16.44	61.86	72.04	91.50	49.52	76.87	62.14	43.45	93.18	12.26	82.96	24.32	56.47	30.20	3.21	23.01	46.20	7.16	45.13	78.45	76.25	87.72	72.01	98.03
BRD-A21723284	CP	naltriben	opioid receptor antagonist	OPRD1, OPRK1, OPRM1		6.49, 3.57	59.16	1.01, 0.31	79.06	58.54	73.37	56.11	82.76	18.64	96.36	63.29	14.09	42.71	1.30	83.55	46.80	98.17	59.77	71.77	2.57	73.14	98.34	61.19	10.36	40.11	14.76	73.52	21.23	26.82	30.98	44.60	83.03	85.28	70.43	44.72
BRD-K89732114	CP	trifluoperazine	breast cancer resistance protein inhibitor, calcium/calmodulin dependent protein kinase inhibitor, dopamine receptor, dopamine receptor antagonist, sodium channel blocker	DRD2, ABCG2, ADRA1A, CALM1, CALY, CAMK2A, DRD4, HRH1, HTR2A, HTR2C, S100A4, SCN4A, SCN9A, TNNC1	Dopamine receptor antagonist	5.19, 2.27	59.14	1.24, 0.32	26.96	59.02	59.41	32.68	85.39	50.98	56.14	94.08	42.61	92.42	28.42	87.36	76.83	-25.58	97.17	39.01	42.22	31.63	59.25	78.87	70.42	29.54	62.45	69.68	28.50	30.94	53.99	13.36	86.29	60.27	63.80	99.33
BRD-K04976539	CP	aminogenistein	PKC inhibitor, src inhibitor	LCK		5.52, 2.60	59.06	1.01, 0.20	80.14	34.42	-9.82	-2.85	7.51	60.19	63.79	51.78	43.67	92.35	12.17	80.17	37.08	98.63	72.97	96.75	93.28	90.28	49.10	66.93	57.94	25.63	92.21	60.47	85.56	48.86	30.18	99.43	42.24	96.96	23.15	2.73
BRD-K89375097	CP	pirenzepine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		9.09, 4.55	59.02	1.38, 0.34	69.80	94.25	14.02	68.40	67.62	2.68	60.53	17.37	47.17	64.82	74.74	89.48	30.67	75.68	9.66	75.40	99.03	16.52	13.24	93.68	42.87	-28.54	96.97	50.21	72.36	41.68	23.96	57.51	64.11	31.14	97.70	0.63
BRD-K96271548	CP	coumaric-acid	antioxidant			7.47, 3.57	59.01	1.19, 0.32	80.81	63.08	57.06	34.68	30.98	21.91	17.97	76.69	52.69	59.51	92.55	58.73	51.90	46.46	12.08	83.27	97.29	18.73	60.99	98.20	98.24	89.19	79.00	10.90	77.91	20.32	16.20	99.86	23.72	-31.35	82.55	59.30
BRD-K60690191	CP	MPEP	glutamate receptor antagonist	GRM5, GRM1, GRM4		5.98, 4.89	59.00	1.56, 0.49	93.87	57.84	60.86	7.73	-0.42	29.76	90.49	60.17	27.06	98.76	99.22	1.90	72.33	94.97	76.71	22.42	78.01	20.69	3.81	22.23	87.36	99.71	71.74	18.84	61.96	11.22	20.58	85.72	92.13	12.57	29.21	1.70
BRD-K21936341	CP	oxotremorine	acetylcholine receptor agonist	CHRM2, CHRM1, CHRM3, CHRM4		4.24, 1.41	58.95	1.61, 0.50	25.43	43.11	60.36	27.65	46.86	12.70	73.98	17.00	33.06	90.14	33.88	70.65	87.32	79.72	5.06	82.48	53.85	67.95	95.44	97.39	58.65	59.26	75.55	6.38	34.97	65.13	62.65	62.60	10.96	95.56	20.72	-98.17
BRD-A95696066	CP	nisoxetine	dopamine transporter inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor	SLC6A2, SLC6A3, SLC6A4		6.17, 3.57	58.94	0.66, 0.16	39.61	66.36	28.23	8.24	53.70	79.49	4.43	45.17	63.73	91.86	30.34	81.50	53.25	69.29	29.69	85.22	98.80	18.60	35.13	92.21	79.03	54.15	97.29	83.44	37.53	92.89	28.53	68.76	34.95	45.41	79.40	77.48
BRD-K94270326	CP	ecopipam	dopamine receptor antagonist	DRD1, DRD5, DRD2		5.84, 2.60	58.91	0.76, 0.11	90.45	92.48	96.74	73.18	63.51	15.91	85.05	60.01	20.78	5.99	23.46	14.32	27.47	63.54	72.40	57.82	22.89	21.16	26.56	98.24	18.10	65.44	63.87	93.03	22.36	22.32	-9.79	7.56	98.70	70.87	86.31	36.58
BRD-K08109516	CP	L-701324	glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D		4.55, 2.92	58.85	0.68, 0.17	83.76	15.39	90.10	7.62	55.25	-3.45	85.51	55.14	87.42	40.22	64.40	49.27	84.25	46.70	53.59	91.41	63.81	9.50	93.21	43.95	84.27	85.44	42.83	77.21	52.55	13.28	5.70	82.97	78.65	85.63	62.46	0.98
BRD-M41783010	CP	acamprosate	glutamate receptor antagonist, excitatory amino acid receptor antagonist, GABA receptor agonist, glutamate receptor modulator	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5		6.48, 2.78	58.69	1.35, 0.39	40.26	92.42	-43.98	1.69	0.39	65.87	91.87	25.60	0.95	57.74	59.63	68.36	82.91	61.44	-1.37	66.13	68.11	26.63	48.42	22.07	97.44	45.36	73.33	70.54	74.61	24.25	27.34	90.25	95.72	53.38	90.67	2.52
BRD-K78373679	CP	RO-3306	CDK inhibitor	CDK1	CDK inhibitor	6.01, 4.24	58.68	1.35, 0.31	61.92	14.92	41.63	8.49	77.11	20.83	71.51	89.58	48.85	68.81	57.54	35.43	98.59	11.02	59.81	96.58	71.27	26.75	16.38	10.51	81.90	30.48	93.53	91.98	99.82	29.98	61.90	56.29	63.45	32.82	14.94	84.49
BRD-K81855038	CP	roxatidine	histamine receptor antagonist	HRH2		5.49, 2.75	58.61	0.94, 0.23	45.49	81.81	65.00	18.18	25.40	30.53	58.34	89.86	56.34	32.41	65.51	86.03	92.49	75.03	88.40	69.32	56.74	58.89	53.33	91.84	84.89	18.74	46.24	2.59	31.47	1.55	88.25	0.74	67.47	53.50	64.68	95.29
BRD-K19360254	CP	ergocornine	dopamine receptor agonist	DRD2		8.44, 2.92	58.61	1.14, 0.24	90.23	46.91	79.64	46.02	87.43	12.83	98.69	-15.20	51.01	-2.93	-6.38	92.90	89.85	83.81	24.23	96.68	-15.05	5.31	80.61	73.54	13.40	38.56	81.74	93.83	5.25	13.59	5.33	12.28	98.10	92.50	73.60	66.21
BRD-A60294240	CP	tribenoside	vasoprotective agent			4.59, 1.06	58.60	1.05, 0.33	54.41	83.67	53.82	17.95	36.72	23.01	23.85	69.56	11.66	95.27	69.66	17.02	97.06	49.13	72.17	44.24	83.88	81.54	55.47	62.70	89.09	27.60	91.83	93.10	90.95	63.83	32.04	39.09	48.38	61.72	44.15	76.05
BRD-K35240538	CP	methylprednisolone	glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	3.90, 2.60	58.58	1.44, 0.60	94.04	24.36	79.57	10.11	46.84	83.36	19.10	17.00	15.07	97.95	90.93	59.17	65.86	34.40	-4.94	91.79	36.61	71.80	30.18	80.07	35.53	29.04	66.28	53.60	76.62	65.72	94.42	90.14	73.67	46.98	9.14	58.00
BRD-K57930253	CP	nitrazepam	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, SCN1A	Benzodiazepine receptor agonist	8.63, 5.49	58.58	1.19, 0.33	76.46	19.88	27.99	19.20	63.97	88.04	21.99	41.27	-0.14	12.86	12.41	95.46	73.61	18.43	-0.07	89.90	88.99	92.23	99.66	99.46	14.89	-46.19	37.11	84.53	49.73	87.50	97.98	97.76	43.29	53.19	85.69	95.70
BRD-K47328134	CP	lysylphenylalanyl-tyrosine	heparin activation inhibitor			7.69, 5.13	58.56	1.41, 0.44	89.99	94.62	75.72	-7.06	74.91	44.88	61.70	-44.40	4.70	-39.76	-14.67	74.33	55.23	99.64	-56.13	88.82	89.04	27.83	86.67	99.01	23.58	-4.05	6.60	48.99	33.33	90.33	81.85	65.47	11.82	61.54	68.50	55.57
BRD-A24191444	CP	ifenprodil	adrenergic receptor antagonist, glutamate receptor antagonist	GRIN1, GRIN2B		7.45, 3.92	58.55	0.90, 0.16	57.81	34.86	16.76	23.86	21.34	91.88	82.13	62.57	45.10	96.11	34.34	91.71	83.22	37.83	90.21	55.58	49.57	93.66	76.59	94.69	87.33	-11.71	77.76	-17.64	33.53	59.28	91.63	98.76	47.46	70.84	39.87	56.99
BRD-K83302049	CP	protopine	acetylcholinesterase inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor	ACHE, SLC6A2, SLC6A4		6.01, 2.47	58.53	0.68, 0.18	58.73	18.95	45.73	73.60	19.45	91.05	58.34	43.33	56.75	87.51	92.42	5.40	40.32	99.65	28.25	48.72	72.66	60.86	56.16	55.68	78.14	59.90	61.62	39.97	83.30	94.79	43.34	96.94	31.89	61.25	64.08	1.30
BRD-K37289225	CP	clozapine	serotonin receptor antagonist, dopamine receptor antagonist, adrenergic receptor antagonist	DRD2, DRD4, ADRA1A, ADRA1B, CHRM1, DRD1, DRD3, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD5, HTR1F, HTR2B, HTR3A, HTR5A	Dopamine receptor antagonist, Serotonin receptor antagonist	5.84, 2.92	58.53	0.73, 0.14	33.80	28.77	88.54	43.85	47.99	44.57	72.67	58.49	91.74	75.78	73.51	29.99	98.41	34.75	88.21	74.97	74.68	49.41	21.91	71.09	64.13	18.84	60.85	33.78	46.90	52.86	41.75	96.45	66.24	40.94	58.56	98.17
BRD-K13571841	CP	pepstatin	aspartic protease inhibitor	CTSB, CTSD, CTSL, REN		11.31, 7.77	58.50	2.32, 0.85	27.27	57.74	6.11	50.75	0.95	95.24	24.12	59.90	55.33	98.88	91.35	59.41	99.33	22.88	82.56	98.94	98.98	3.74	-3.85	-15.76	83.40	13.30	77.08	99.93	72.67	14.75	8.17	2.78	89.48	34.60	59.26	83.07
BRD-K62965247	CP	tipifarnib-P2	farnesyltransferase inhibitor, angiogenesis inhibitor, apoptosis stimulant	FNTA, FNTB		6.17, 2.60	58.48	1.40, 0.33	79.99	38.06	19.12	54.68	69.13	28.04	11.83	85.97	57.13	81.41	84.31	30.24	90.73	14.66	76.69	92.28	42.70	10.96	6.85	86.18	68.77	12.89	71.77	96.30	84.23	50.68	59.83	29.66	88.36	30.63	54.75	72.94
BRD-K54094468	CP	remoxipride	dopamine receptor antagonist	DRD2, DRD3, DRD4, HTR2A, SIGMAR1		6.82, 3.57	58.44	0.72, 0.16	64.86	79.11	85.05	89.88	-5.04	-34.12	75.39	38.35	98.99	92.66	90.46	4.61	38.09	29.87	50.86	53.75	63.14	1.52	52.04	81.45	42.24	96.85	96.90	72.78	45.94	27.26	8.69	50.25	96.72	70.87	77.27	0.81
BRD-K57718010	CP	pentylenetetrazol	GABA receptor antagonist		GABA receptor antagonist	8.77, 3.57	58.44	1.01, 0.26	83.86	27.34	71.69	77.92	85.64	47.97	74.93	80.53	44.89	97.47	88.25	79.98	45.15	30.74	81.82	50.96	76.69	29.40	96.16	25.77	84.66	38.62	86.53	27.23	20.55	3.91	41.89	61.32	94.56	46.70	55.56	0.56
BRD-A50764878	CP	MDL-73005EF	serotonin receptor antagonist, serotonin receptor partial agonist	HTR1A		5.65, 1.06	58.43	0.63, 0.07	51.59	61.99	35.82	33.68	44.19	74.24	53.76	67.58	85.89	69.98	14.31	85.60	79.17	70.88	21.44	95.13	76.94	48.36	93.60	97.46	70.94	85.95	54.87	31.12	14.71	45.99	41.26	38.54	90.69	75.64	-1.55	5.10
BRD-A95869247	CP	indapamide	carbonic anhydrase inhibitor, thiazide diuretic	KCNQ1, CA7, KCNE1, SLC12A3	Na-K-Cl transporter inhibitor	4.24, 1.41	58.43	1.00, 0.23	80.38	16.59	44.12	58.66	60.95	70.53	31.55	64.07	2.08	48.91	67.48	40.92	85.26	82.57	38.19	82.08	49.20	42.89	95.12	66.52	68.75	32.63	62.71	9.45	49.17	58.20	17.29	85.54	66.02	93.77	34.71	50.70
BRD-K08619838	CP	tremorine	acetylcholine receptor agonist			5.52, 1.62	58.36	1.05, 0.24	67.64	72.53	4.82	2.89	59.91	55.90	84.62	61.77	41.00	50.21	12.12	96.77	77.58	85.46	37.85	90.47	52.49	9.17	67.22	84.47	52.96	-0.81	87.08	87.32	54.61	95.45	23.79	56.82	19.09	86.72	75.49	2.04
BRD-A12560204	CP	nitrendipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, CACNA1H, CACNA1S, CACNA2D2, CACNB2, CACNG1, KCNN4	Calcium channel blocker	8.24, 4.31	58.31	1.74, 0.41	25.90	42.70	14.89	58.26	48.82	16.20	42.60	64.68	0.14	90.25	98.98	95.74	66.66	45.65	7.72	80.90	84.39	94.85	95.30	89.24	92.40	66.93	58.36	10.90	68.39	21.33	99.93	55.84	79.47	37.80	28.07	26.70
BRD-K82143716	CP	flucytosine	pyrimidine analog, inhibits fungal DNA synthesis	DNMT1		5.10, 3.14	58.30	0.98, 0.39	60.76	19.48	79.03	61.67	38.02	25.65	75.01	3.70	8.95	78.10	24.43	58.96	92.32	85.22	76.54	62.29	41.34	12.41	51.81	94.63	69.86	97.29	24.36	48.74	8.52	22.05	92.37	83.55	92.62	28.72	57.63	21.11
BRD-K96144918	CP	mead-acid	KPL-1 tumor suppressor			6.49, 3.25	58.26	1.18, 0.35	88.61	89.90	56.05	51.11	57.58	54.56	17.08	5.81	15.02	25.47	84.76	28.30	90.34	94.33	-3.56	78.03	95.81	58.93	39.98	99.58	5.98	11.25	86.02	13.92	69.64	98.98	36.23	95.18	68.16	90.05	92.56	12.51
BRD-K06980535	CP	promazine	dopamine receptor, dopamine receptor antagonist	CHRM5, DRD2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, DRD1, DRD3, DRD4, HRH1, HTR2A, HTR2C	Dopamine receptor antagonist	9.42, 3.90	58.23	1.41, 0.49	86.12	42.53	59.17	81.11	94.85	11.66	85.68	98.70	-14.80	97.60	57.07	95.97	57.30	26.21	98.67	20.77	79.08	64.94	16.65	70.86	39.94	42.64	85.86	40.14	56.79	30.37	46.02	14.62	86.65	90.26	33.26	99.58
BRD-K00610438	CP	altanserin	serotonin receptor antagonist, collagen stimulant	HTR2A, HTR2C		5.84, 2.60	58.18	0.55, 0.14	48.14	49.60	57.26	16.20	63.05	69.49	46.60	94.02	18.41	68.86	13.30	44.25	60.05	74.08	55.13	42.29	69.27	59.80	42.73	90.10	59.10	66.47	73.21	25.69	34.27	50.32	21.82	73.88	66.71	97.46	9.12	63.16
BRD-K63792901	CP	arecaidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4		4.55, 1.95	58.14	0.78, 0.23	69.49	92.96	71.99	47.59	41.68	22.52	57.83	14.83	68.67	43.73	47.14	82.85	87.35	76.44	17.00	71.04	72.74	5.15	42.56	76.95	47.10	21.45	73.97	71.92	39.06	53.34	42.14	81.27	58.45	88.00	61.47	13.21
