#1.3
2429	29	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A58048407-summary	BRD-K21680192-summary	BRD-A26711594-summary	BRD-K13646352-summary	BRD-K78485176-summary	BRD-A65280694-summary	BRD-K67080878-summary	BRD-A24228527-summary	BRD-A64977602-summary	BRD-A19736161-summary	BRD-K77771411-summary	BRD-K52020312-summary	BRD-K35960502-summary	BRD-K85606544-summary	BRD-A01787639-summary	BRD-K81528515-summary	BRD-K18895904-summary	BRD-K91263825-summary	BRD-K05395900-summary	BRD-K76775527-summary	BRD-K28912512-summary	BRD-A03623303-summary	BRD-K07237224-summary	BRD-K02113016-summary	BRD-K76810206-summary	BRD-K15502390-summary	BRD-K44353683-summary	BRD-K74141488-summary	BRD-A53576514-summary
BRD-K58299615	CP	RO-90-7501	amyloid precursor protein inhibitor, beta amyloid aggregation inhibitor	APP		7.76, 2.45	53.72	1.18, 0.27	9.03	95.74	97.22	8.73	81.13	24.94	28.81	-38.81	95.22	94.97	53.72	87.62	13.91	63.23	18.43	49.15	92.82	39.57	99.51	61.37	96.78	60.85	86.74	-93.89	22.70	28.34	44.47	75.14	40.66
BRD-K35723520	CP	darinaparsin	apoptosis stimulant, NADPH oxidase stimulant			6.92, 3.85	53.71	1.13, 0.31	90.49	16.68	94.47	0.81	17.90	99.35	81.73	70.48	24.53	23.83	48.01	86.24	-69.39	16.58	91.18	-39.06	69.92	45.04	76.88	78.35	53.71	95.50	33.29	95.22	32.98	93.92	35.28	81.80	43.10
BRD-K56047318	CP	RHC-80267	triacylglycerol lipase inhibitor	DAGLA, DAGLB, LIPC, LIPE, LIPG		5.00, 3.08	53.68	0.72, 0.19	12.01	84.56	31.02	22.81	69.45	56.09	81.07	-64.01	17.32	67.29	60.36	48.42	-1.87	65.51	28.74	2.33	39.37	53.68	99.15	54.77	54.48	67.80	9.30	35.44	64.57	78.87	33.96	56.12	12.12
BRD-K40782193	CP	QX-222	sodium channel blocker			4.49, 2.45	53.67	1.09, 0.33	88.48	54.72	89.28	39.01	42.55	77.05	10.09	69.65	38.77	86.93	55.72	28.83	3.02	56.49	71.42	2.82	68.99	12.49	96.37	77.16	53.67	15.55	59.20	38.68	19.04	81.25	49.88	43.17	42.74
BRD-K53878242	CP	MMPX	phosphodiesterase inhibitor			6.54, 3.08	53.67	0.97, 0.36	12.69	11.84	96.65	18.03	68.36	44.88	88.29	53.67	91.96	18.68	93.58	63.32	2.33	1.16	99.47	8.80	94.03	25.07	25.69	98.03	98.03	22.04	12.03	72.87	-38.72	53.93	82.76	79.74	18.04
BRD-A51714012	CP	venlafaxine	serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, norepinephrine reputake inhibitor, serotonin uptake inhibitor	SLC6A2, SLC6A4, CYP2C19, SLC6A3		3.08, 0.77	53.66	0.63, 0.15	95.71	70.75	8.05	30.94	74.09	76.02	57.50	21.96	7.83	66.70	63.89	11.73	-5.78	19.61	91.90	2.82	78.80	20.47	43.56	66.06	68.78	53.66	41.28	0.04	11.67	42.00	60.76	59.82	58.41
BRD-A81866333	CP	CGS-21680	adenosine receptor agonist	ADORA2A, ADORA1, ADORA2B, ADORA3	Adenosine receptor agonist	3.08, 1.54	53.65	0.98, 0.35	46.44	53.65	93.30	60.94	83.98	12.34	95.76	21.74	99.93	57.57	68.43	76.22	1.83	11.71	71.97	2.33	-76.05	17.35	65.72	61.37	88.22	29.32	68.31	-16.43	38.10	29.95	21.39	75.98	21.42
BRD-K67100011	CP	pivmecillinam	cell wall synthesis inhibitor			5.00, 2.31	53.45	1.03, 0.27	99.65	42.11	13.80	44.49	91.29	93.10	15.99	92.95	53.45	65.69	9.62	33.75	6.61	35.44	9.83	11.98	82.35	61.99	65.28	93.02	47.42	87.18	10.65	-0.85	15.69	64.17	74.19	91.54	87.32
BRD-K95609758	CP	BMS-191011	large conductance calcium activated potassium channel opener, large conductance potassium channel activator	KCNMA1	Potassium channel activator	2.69, 0.77	53.43	1.52, 0.33	75.04	42.18	93.64	23.28	84.39	55.64	32.67	85.34	81.81	23.26	30.78	85.48	-81.61	29.31	55.84	-98.79	81.45	19.58	53.43	86.23	28.64	19.77	66.95	-4.99	7.86	98.45	54.20	29.75	71.32
BRD-K33864865	CP	LY-225910	CCK receptor antagonist	CCKBR	CCK receptor antagonist	4.62, 2.31	53.40	0.90, 0.19	99.34	13.09	92.45	65.36	35.00	88.15	47.89	36.73	15.74	59.60	80.37	47.69	37.94	55.73	83.82	94.97	53.11	36.34	49.37	92.49	-68.32	53.40	7.29	18.46	65.80	93.00	17.70	62.58	62.58
BRD-K92000912	CP	AM-251	ACAT inhibitor, cannabinoid receptor antagonist, cannabinoid receptor inverse agonist	CNR1, GPR18, GPR55		6.54, 3.08	53.38	0.55, 0.14	44.45	29.37	60.36	60.40	49.05	66.37	18.41	31.09	8.88	95.83	31.04	56.24	22.94	58.29	52.56	96.25	88.67	48.75	49.23	85.24	98.10	38.52	76.40	7.81	53.38	71.41	44.84	59.12	69.10
BRD-A48430263	CP	pioglitazone	PPAR receptor agonist, insulin sensitizer, adiponectin expression enhancer, thiazolidinedione	PPARG, INS, TRPM3	PPAR receptor agonist	5.00, 2.69	53.36	0.41, 0.10	46.14	14.63	18.82	1.10	59.24	83.55	20.92	55.85	44.39	65.05	79.60	54.94	1.09	10.05	76.73	6.90	74.53	16.53	65.25	53.36	82.08	71.65	46.81	95.75	74.33	76.85	28.25	35.96	41.09
BRD-K05350981	CP	oligomycin-c	ATP synthase inhibitor, regulatory volume decrease inhibitor	ATP5A1	ATP synthase inhibitor, ATPase inhibitor	6.67, 1.78	53.33	1.44, 0.43	71.08	21.15	18.93	84.64	36.05	21.48	3.29	45.09	5.60	57.18	51.49	95.35	88.93	91.01	96.95	99.96	74.68	90.36	11.72	57.95	53.33	28.87	59.97	0.42	3.39	81.48	92.85	29.68	0.11
BRD-K70301876	CP	escitalopram	selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor	SLC6A4, ADRA1A, CHRM1, CYP2C19, HRH1, SLC6A2, SLC6A3		8.85, 3.85	53.28	0.45, 0.13	99.72	9.49	7.38	19.13	36.95	30.65	50.14	73.46	60.10	64.48	31.38	72.71	-0.60	1.76	96.25	4.31	96.23	34.99	53.28	76.98	56.25	34.23	71.21	16.92	47.68	60.37	88.22	88.62	94.03
BRD-K83023055	CP	GR-135531	melatonin receptor agonist			4.08, 2.04	53.28	1.18, 0.34	98.63	12.31	9.80	62.37	35.63	84.28	27.36	80.70	17.70	49.60	46.95	42.97	5.57	-9.14	75.56	21.20	87.18	45.78	96.35	53.28	86.82	88.92	71.01	80.60	33.43	77.42	61.59	18.58	66.20
BRD-A84702196	CP	penicillin	cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor	5.38, 2.31	53.27	1.33, 0.38	11.51	79.99	96.69	15.68	69.45	93.57	76.97	51.55	76.75	21.34	7.26	83.97	3.17	19.01	43.76	2.68	67.51	67.81	92.76	53.27	92.28	82.11	12.89	-99.30	7.66	6.59	75.17	50.35	60.36
BRD-K91243525	CP	SR-142948	neurotensin receptor antagonist	NTSR1		6.15, 4.23	53.27	1.27, 0.38	76.04	11.73	6.77	6.45	26.96	71.36	75.06	68.85	53.27	96.54	80.95	52.38	-11.22	2.88	-50.25	5.63	91.84	25.08	29.75	90.91	75.23	85.63	11.40	-75.67	99.43	89.02	46.14	57.67	84.57
BRD-K44442813	CP	pidotimod	interferon receptor agonist, interleukin receptor agonist, T cell stimulant			5.33, 2.67	53.21	1.86, 0.65	28.33	26.64	48.11	30.86	78.88	-0.02	27.07	6.39	62.90	53.21	31.72	97.74	47.78	34.40	87.17	92.24	54.16	38.13	89.92	73.99	71.67	93.51	96.93	14.86	26.36	90.67	81.20	60.27	7.08
BRD-K13810148	CP	givinostat	HDAC inhibitor, interleukin receptor antagonist, interleukin synthesis inhibitor, tumor necrosis factor receptor antagonist, tumor necrosis factor release inhibitor	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	HDAC inhibitor	3.27, 0.41	53.19	1.35, 0.48	28.75	96.79	8.90	63.95	33.32	27.72	38.84	-38.89	26.83	2.47	-3.03	88.29	76.07	83.45	96.26	53.19	76.31	77.71	4.97	74.69	61.85	8.42	22.95	31.61	3.77	63.26	94.18	96.83	78.63
BRD-A25234499	CP	aminoglutethimide	antiglucocorticoid, aromatase inhibitor, corticosteroid antagonist, steroid sulfatase inhibitor	CYP19A1, CYP11A1, NR3C1		6.15, 3.46	53.18	0.45, 0.10	82.55	45.74	71.27	57.83	84.98	25.75	30.02	76.54	21.62	96.19	48.01	83.20	2.40	11.27	72.85	21.19	87.42	13.95	85.10	46.29	51.53	81.44	63.03	0.04	82.62	49.54	17.02	89.78	53.18
BRD-K68392338	CP	ZK-93426	benzodiazepine receptor agonist, benzodiazepine receptor antagonist, GABA benzodiazepine site receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5		5.77, 3.08	53.18	1.15, 0.33	90.55	28.71	88.22	57.68	53.12	30.47	44.73	87.08	46.85	67.71	57.42	78.01	7.05	3.76	92.07	99.47	33.56	20.78	83.50	92.06	55.71	73.14	52.10	12.46	-39.68	79.33	53.18	46.67	28.33
BRD-K78084463	CP	W-12	calmodulin antagonist			3.82, 3.05	53.17	1.39, 0.38	2.69	86.47	99.89	35.16	94.86	91.86	2.93	-59.13	24.60	78.81	66.65	49.68	4.19	0.28	90.86	80.92	39.90	64.85	10.74	97.61	94.88	77.03	36.17	NaN	-23.48	18.55	58.11	56.67	-59.20
BRD-K87990216	CP	piretanide	diuretic, glucocorticoid receptor agonist	SLC12A1, SLC12A2		6.54, 2.69	53.14	1.20, 0.41	53.14	96.15	94.24	32.57	90.07	67.30	-1.32	-24.18	48.16	43.11	89.50	34.40	17.39	1.94	99.08	86.64	97.15	23.72	65.54	86.09	86.57	35.54	84.42	99.30	49.04	33.41	46.24	93.29	6.17
BRD-K49481516	CP	galantamine	acetylcholinesterase inhibitor, acetylcholine receptor agonist, butyrylcholinesterase inhibitors	ACHE, BCHE, CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG		6.22, 2.67	53.13	1.66, 0.57	80.30	84.35	59.15	40.78	91.55	55.97	80.10	53.13	42.27	68.94	93.62	97.33	43.11	27.76	7.06	27.98	44.38	45.51	48.30	80.20	47.76	59.42	91.31	-4.98	23.02	90.28	96.51	48.23	43.72
BRD-K87024524	CP	phenelzine	monoamine oxidase inhibitor	MAOB, AOC3, MAOA, ABAT, GAD2, GPT, GPT2, SLC6A2, SLC6A3, SLC6A4		6.15, 4.23	53.13	0.74, 0.17	35.42	66.22	53.50	49.66	76.95	62.32	9.20	73.30	91.47	90.53	51.33	98.16	10.20	18.15	68.05	1.30	89.46	45.70	30.52	53.97	43.02	53.13	76.31	1.87	35.26	92.15	69.13	44.90	14.29
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	6.94, 4.08	53.12	1.90, 0.58	43.66	38.62	94.40	92.72	23.51	93.55	11.20	53.12	25.92	41.36	15.24	92.64	88.16	99.47	64.30	99.58	49.43	99.15	44.71	85.24	38.55	32.04	76.59	9.59	98.26	74.62	65.37	32.52	26.65
BRD-A19633847	CP	perhexiline	carnitine palmitoyltransferase binder, carnitine palmitoyltransferase inhibitor	CPT1A, CPT2		8.08, 3.85	53.09	2.63, 0.72	10.04	63.21	53.09	94.69	54.71	13.01	16.01	63.70	27.47	11.54	10.00	60.61	98.77	99.01	85.38	99.44	21.19	97.89	24.14	23.09	53.71	25.44	35.65	76.54	95.38	63.40	21.77	20.06	14.26
BRD-K59753853	CP	MDL-29951	glutamate receptor antagonist, fructose biphosphate inhibitor, UDP/CysLT (GPR17, P2Y-like) Agonists	FBP1, GPR17		4.62, 1.15	53.09	1.28, 0.45	61.58	61.35	90.00	22.82	60.28	56.57	53.09	80.35	18.54	54.51	23.98	71.21	1.55	8.29	82.11	7.49	87.35	48.92	29.31	40.42	98.73	77.83	86.60	-40.53	43.83	2.11	50.61	46.31	94.72
BRD-K32501161	CP	vanoxerine	dopamine reuptake inhibitor, dopamine transporter inhibitor, monoamine oxidase inhibitor	SLC6A3, MAOA, MAOB		3.85, 1.92	53.08	1.47, 0.31	57.42	66.62	34.95	86.96	50.80	21.27	44.73	64.00	25.38	77.28	37.57	58.06	83.98	82.75	96.25	99.58	91.40	71.19	22.49	53.08	39.10	14.95	5.05	-47.85	90.20	33.15	35.45	77.30	5.78
BRD-K20755323	CP	SA-792728	sphingosine kinase inhibitor, ATPase inhibitor	SPHK1, VCP		3.85, 1.54	53.07	1.88, 0.68	53.07	43.97	87.21	84.55	75.94	11.65	3.49	67.99	67.04	46.64	10.70	62.65	91.51	92.10	74.82	99.75	48.51	90.38	57.95	74.60	49.64	31.75	14.14	-89.53	74.89	30.04	16.23	40.51	49.15
BRD-A56675431	CP	altizide	thiazide diuretic		Na-K-Cl transporter inhibitor	4.90, 1.63	52.99	1.28, 0.43	96.49	11.70	31.15	27.17	18.22	87.77	20.77	66.89	52.99	15.34	59.12	82.81	-2.78	-1.96	74.51	1.52	0.32	11.50	78.90	82.22	81.90	78.99	67.60	31.00	19.97	56.51	74.97	72.24	43.11
BRD-K49890030	CP	gavestinel	glutamate receptor antagonist, glycine receptor antagonist	GLRB		4.62, 3.08	52.98	1.19, 0.34	97.63	29.94	60.99	73.78	25.67	19.78	79.04	43.02	77.94	11.22	41.23	67.87	5.21	11.51	62.96	2.38	73.32	27.57	87.31	98.52	9.80	85.85	39.09	96.22	18.17	52.98	16.64	94.89	53.30
BRD-A75769826	CP	SDM25N	opioid receptor antagonist	OPRD1		4.62, 3.08	52.97	0.41, 0.07	13.80	26.56	64.61	20.90	52.35	90.31	52.97	84.71	79.95	76.66	64.27	29.69	5.74	83.92	79.91	66.91	26.53	83.42	99.43	27.02	87.87	63.94	23.72	-2.78	89.42	12.52	9.80	43.60	35.91
BRD-A83892713	CP	rifampicin	DNA directed RNA polymerase inhibitor, enzyme inducer	NR1I2, ABCB1, CYP2B6, CYP2C19, CYP2C8, CYP3A4, CYP3A5, SLCO1A2, SLCO1B1, SLCO1B3		7.76, 4.08	52.97	1.26, 0.34	8.04	82.82	94.76	12.94	56.95	33.81	59.47	62.11	17.42	13.89	52.97	90.70	33.36	20.29	11.53	40.17	23.32	16.27	99.65	94.68	98.29	87.84	65.93	-0.49	-11.19	98.45	74.77	54.47	43.77
BRD-K30697463	CP	desoximetasone	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist	4.23, 1.54	52.94	1.52, 0.51	13.28	63.46	7.22	75.78	64.24	73.21	88.58	34.68	20.93	68.68	14.24	17.23	5.21	80.97	79.19	52.00	80.69	39.58	23.43	65.27	94.04	65.48	52.94	-7.77	57.50	31.65	46.65	65.14	23.06
BRD-K14200658	CP	syrosingopine	vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1		7.69, 3.85	52.92	0.92, 0.30	98.23	11.01	29.69	89.59	-1.23	32.41	61.61	42.51	14.99	6.36	55.40	52.92	34.58	65.92	97.99	94.91	74.63	86.10	70.60	69.13	6.62	17.47	22.41	37.88	80.33	33.87	27.45	79.85	53.05
BRD-K63945320	CP	dihydrosamidin	nitric oxide production inhibitor, phospholipase inhibitor, platelet activating factor receptor antagonist			5.38, 2.31	52.90	0.44, 0.09	8.69	65.47	72.00	19.39	81.97	8.58	52.90	-34.98	64.45	33.91	50.92	69.42	39.28	4.83	97.57	60.35	90.20	29.68	57.82	96.14	48.03	57.86	9.94	-1.09	15.66	52.97	72.26	66.79	36.67
BRD-K29530284	CP	amlexanox	histamine release inhibitor, mediator release inhibitor	FGF1, IL3, S100A12, S100A13		7.11, 4.00	52.87	1.24, 0.34	33.24	20.53	74.86	38.88	70.58	7.71	5.47	91.55	88.12	7.90	99.33	79.89	6.87	2.10	97.50	97.06	98.77	50.14	47.48	59.04	-30.43	28.94	89.51	0.85	93.84	88.95	52.87	53.35	3.44
BRD-K50891186	CP	GR-103691	dopamine receptor antagonist		Dopamine receptor antagonist	5.31, 3.67	52.87	1.63, 0.51	99.82	19.83	86.84	55.54	38.78	80.91	14.97	-21.03	52.17	40.70	71.16	81.51	52.87	90.36	46.59	52.64	44.29	96.75	53.69	10.47	79.33	75.95	30.47	-43.80	61.83	72.90	10.10	15.57	77.17
BRD-K14536225	CP	piceid	glucosidase inhibitor, ICAM1 expression inhibitor, VCAM expression inhibitor, xanthine oxidase inhibitor	GAA, XDH		4.49, 2.04	52.85	1.11, 0.41	72.18	9.30	91.36	5.64	78.61	91.42	70.87	33.06	13.22	46.98	63.25	55.04	-2.18	2.11	82.83	60.19	67.52	9.06	33.26	58.28	68.50	43.73	16.71	-98.01	-2.99	57.24	77.66	52.85	-7.96
BRD-M47937986	CP	cefatrizine	cell wall synthesis inhibitor			6.67, 2.67	52.85	0.83, 0.25	34.16	1.76	23.77	3.30	60.48	35.67	6.48	80.09	-8.25	65.61	13.87	42.05	2.04	43.25	74.53	7.11	98.24	17.71	88.33	96.11	58.45	65.89	59.23	60.07	26.59	52.85	85.49	82.31	98.47
BRD-K72783841	CP	tyrphostin-AG-555	CDK inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	CDK2, EGFR		2.69, 0.77	52.83	1.20, 0.32	21.64	43.10	83.42	56.79	16.14	52.99	19.68	-14.16	96.58	14.93	52.83	87.24	81.28	82.29	79.97	73.35	36.79	62.10	41.99	77.71	20.27	59.87	19.65	68.92	42.39	20.05	43.92	27.72	76.99
BRD-K63430059	CP	methoxsalen	acetylcholinesterase inhibitor, cytochrome P450 inhibitor, DNA damaging, DNA synthesis inhibitor, immunosuppressant	ACHE, CYP1A2		4.49, 1.63	52.81	1.16, 0.31	7.08	66.96	93.47	24.16	67.37	67.86	21.30	-62.71	53.70	81.35	91.83	82.92	0.99	12.98	95.77	26.31	60.17	32.85	97.38	52.55	35.83	52.81	49.64	-86.90	16.21	95.60	47.70	59.01	56.88
BRD-A87387433	CP	cefpodoxime	cell wall synthesis inhibitor			8.00, 4.89	52.78	1.22, 0.39	5.97	82.56	68.07	41.37	49.33	92.78	44.51	85.28	23.77	52.78	73.55	97.61	0.07	34.94	74.29	38.51	96.11	12.49	87.79	58.76	82.99	67.09	14.29	12.89	27.65	86.23	97.85	34.28	41.38
BRD-K52020312	CP	metronidazole	DNA inhibitor	CYP2C8, CYP2E1, CYP3A5, CYP3A7		10.67, 7.11	52.77	1.66, 0.42	13.35	94.67	76.25	37.42	91.87	89.31	14.40	30.57	95.06	81.86	76.20	99.98	15.26	18.14	53.33	36.53	52.77	47.44	-16.79	62.93	73.76	21.17	60.64	-1.26	-19.63	93.29	92.00	36.50	5.64
BRD-K92731339	CP	perindopril	angiotensin converting enzyme inhibitor	ACE		5.38, 4.23	52.77	0.61, 0.22	78.02	-4.21	4.26	0.56	13.03	76.55	53.98	91.78	29.74	9.64	9.21	62.59	-5.74	-5.54	74.75	3.99	52.77	14.27	61.19	98.89	4.79	23.93	4.97	70.80	60.07	55.78	65.02	97.12	61.92
BRD-K06593056	CP	LE-135	retinoid receptor agonist	RARB		6.92, 3.46	52.76	0.53, 0.05	66.16	25.10	56.54	90.56	30.90	43.15	25.38	70.65	3.88	52.76	33.28	43.16	97.85	86.54	19.50	99.86	67.15	78.27	18.78	58.58	80.92	29.73	17.03	17.76	7.47	55.31	26.82	55.82	79.80
BRD-K62374253	CP	rufloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	11.11, 4.89	52.72	1.00, 0.24	71.35	50.17	75.88	0.64	52.71	78.45	33.61	85.88	15.99	46.78	81.26	80.38	2.67	51.44	99.82	27.84	99.79	43.39	38.68	95.57	88.04	59.66	78.36	-79.22	52.72	80.60	95.17	1.02	11.69
BRD-K76304753	CP	phenazopyridine	unidentified pharmacological activity	SCN1A		4.62, 3.08	52.66	0.52, 0.19	29.55	79.84	88.03	31.50	94.04	10.32	32.60	61.62	42.26	39.75	52.66	48.46	10.63	0.67	99.58	97.96	97.88	72.05	60.19	49.15	72.59	75.70	36.05	-0.07	33.12	20.55	72.06	89.87	70.02
BRD-A80213327	CP	NSC-23766	RAC1 GTPase inhibitor			5.00, 2.69	52.63	0.67, 0.17	80.31	52.63	98.55	18.32	82.66	52.58	15.87	36.86	32.10	73.82	60.85	79.49	2.33	8.10	83.43	10.06	96.92	25.61	23.09	58.91	91.39	63.03	24.76	-45.65	43.85	57.22	46.83	72.62	61.08
BRD-A22256192	CP	terazosin	adrenergic receptor antagonist	ADRA1D, ADRA1A, ADRA1B, KCNH2, KCNH6, KCNH7		5.00, 2.69	52.60	0.55, 0.11	80.23	54.71	3.82	10.00	83.82	45.44	26.28	55.76	62.08	61.33	31.18	90.69	-28.86	19.71	94.28	1.16	89.12	16.68	93.62	33.92	59.10	61.98	81.24	16.76	22.35	93.73	40.43	22.33	52.60
BRD-K56509348	CP	BMS-182874	endothelin receptor antagonist	EDNRA		8.16, 2.86	52.60	1.15, 0.31	65.09	42.45	52.60	3.97	4.84	89.18	70.46	91.57	53.48	78.44	22.76	86.66	-1.44	14.08	71.20	2.59	93.10	7.49	99.89	20.12	68.64	97.89	32.03	99.75	96.97	52.03	51.48	44.87	11.69
BRD-K69688083	CP	mestinon	cholinesterase inhibitor	ACHE, BCHE		9.22, 4.15	52.60	2.26, 0.53	78.77	97.57	97.41	5.62	86.28	74.21	40.42	58.19	69.78	43.69	99.72	96.52	11.57	14.11	98.52	52.60	22.33	27.53	51.11	19.36	41.44	69.14	72.21	1.83	49.60	99.93	33.39	92.51	7.83
BRD-K34820100	CP	tebuthiuron	photosynthesis inhibitor			3.46, 0.38	52.57	0.59, 0.14	28.03	64.26	28.71	32.19	78.06	70.35	57.74	76.51	6.08	25.02	60.54	69.92	0.00	2.04	93.44	90.88	96.97	6.48	46.24	52.57	87.98	95.70	17.96	14.02	6.98	28.51	92.25	91.94	45.17
BRD-A07875874	CP	cilnidipine	calcium channel blocker, L-type calcium channel blocker, N-type calcium channel blocker	CACNA1B, CACNA1C		5.00, 1.15	52.56	0.75, 0.28	81.69	15.90	78.98	78.05	94.01	54.62	-32.49	76.69	24.35	6.14	80.08	66.29	51.05	45.13	86.49	97.87	90.60	33.39	-28.00	68.51	24.79	16.72	32.85	-27.19	50.43	39.51	52.56	82.16	53.23
BRD-A39290993	CP	cyproterone	androgen receptor antagonist, DNA directed DNA polymerase stimunlant, Estradiol 17 beta dehydrogenase stimulant, estrone sulfotransferase stimulant, progesterone receptor agonist, testosterone receptor antagonist	AR, ADORA1, ESR1	Androgen receptor modulator, Progesterone receptor antagonist	3.85, 2.31	52.56	1.01, 0.23	10.56	68.56	86.83	53.13	97.66	44.21	78.66	80.32	57.98	10.67	51.46	82.02	23.73	24.94	54.14	26.55	23.15	32.35	-20.82	52.56	71.35	36.90	94.14	0.56	-0.53	66.57	57.92	47.32	93.92
BRD-K11163873	CP	phenanthridone	PARP inhibitor	PARP1	PARP inhibitor	3.85, 2.31	52.53	1.27, 0.39	61.51	23.46	65.28	75.56	79.35	22.51	19.58	55.99	26.77	25.57	32.31	62.32	18.16	50.94	81.09	52.53	57.39	16.63	14.00	98.29	36.92	64.33	41.27	72.54	43.65	48.74	56.46	98.63	57.21
BRD-K32164935	CP	tolazamide	ATP channel blocker	KCNJ1, KCNJ10		5.00, 2.31	52.51	0.97, 0.33	44.98	73.92	69.49	37.27	57.02	27.06	76.95	52.51	36.30	55.08	87.85	69.57	5.92	39.14	72.51	12.50	58.59	18.26	9.27	45.31	80.25	72.18	12.43	-89.55	39.06	73.91	41.83	77.24	54.99
BRD-K71731651	CP	PNU-120596	acetylcholine receptor modulator, acetylcholine receptor positive allosteric modulator	CHRNA7		3.08, 1.92	52.51	1.24, 0.47	92.76	26.60	0.00	29.11	31.18	43.35	99.47	53.34	25.27	57.47	11.44	63.78	-12.32	17.52	33.08	-7.11	-23.02	0.00	92.57	52.51	-8.28	78.50	57.11	93.32	83.83	84.74	72.52	66.36	69.08
BRD-K12079898	CP	PD-160170	neuropeptide receptor antagonist	NPY1R		6.54, 4.23	52.50	1.17, 0.32	51.00	22.16	85.33	41.17	29.26	17.73	28.70	89.33	8.27	91.17	99.50	84.65	52.50	73.40	14.06	64.10	87.99	76.43	17.42	35.13	77.04	34.19	8.67	-10.19	99.86	56.08	11.37	80.16	67.96
BRD-K90027355	CP	spironolactone	mineralocorticoid receptor antagonist, androgen receptor antagonist, potassium channel blocker	NR3C2, AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, KCNA5, KCND3, NR3C1, PGR, SCNN1A, SHBG		6.54, 3.85	52.40	0.53, 0.15	20.03	72.52	63.66	27.50	52.40	20.87	98.98	78.94	32.50	60.89	63.11	39.05	-9.44	36.46	37.41	1.81	87.62	32.15	74.02	72.33	81.93	69.40	34.84	-54.82	35.79	92.83	50.42	92.21	81.12
BRD-K71499074	CP	diclofenamide	carbonic anhydrase inhibitor	CA1, CA2, CA4, CA12, CA7		5.00, 1.92	52.39	0.74, 0.23	44.07	72.82	15.36	51.90	38.21	46.95	88.12	36.12	9.88	99.68	70.10	30.07	-0.60	34.72	97.67	63.33	59.90	18.07	84.52	66.29	85.33	83.49	34.65	91.81	44.61	88.66	75.56	52.39	28.50
BRD-A07440155	CP	labetalol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRA1A, ADRA1D, ADRA1B		6.54, 1.92	52.36	0.61, 0.19	57.97	28.27	33.90	34.30	8.58	44.60	65.71	79.20	84.15	12.46	4.56	56.10	2.26	40.70	90.30	16.26	98.22	24.62	38.29	97.08	6.73	69.48	67.64	46.00	52.36	82.43	66.03	60.56	96.78
BRD-A97730597	CP	hexylcaine	sodium channel blocker	SCN5A, SCN10A		6.15, 1.92	52.28	0.56, 0.14	12.09	85.11	96.25	49.03	99.40	31.46	1.23	-83.36	45.75	52.28	95.25	73.38	9.53	9.83	81.21	18.76	83.62	66.41	77.27	70.48	88.90	90.08	50.30	0.03	21.66	29.74	70.27	44.36	89.90
BRD-K74765201	CP	tomelukast	leukotriene receptor antagonist	CYSLTR1		5.71, 2.45	52.28	0.76, 0.10	60.96	-11.33	89.33	1.13	46.11	30.56	89.42	91.61	60.78	92.41	52.28	30.20	3.34	24.22	-95.86	-24.27	96.93	-31.65	77.65	28.86	-3.45	12.28	61.92	10.26	90.43	91.66	78.28	54.83	65.83
BRD-K26241953	CP	piceatannol	syk inhibitor, cyclooxygenase inhibitor, nitric oxide synthase inhibitor, SIRT activator, tyrosinase inhibitor, tyrosine kinase inhibitor	ATP5A1, ATP5B, ATP5C1, IRF3, PTGS2, SIRT1, SYK, TYR		2.31, 1.15	52.26	1.05, 0.30	54.57	21.02	14.46	77.76	53.30	16.17	12.30	52.26	11.26	25.58	14.83	43.01	77.37	91.75	92.79	84.13	9.86	81.74	23.04	91.02	-46.48	93.98	-0.63	-13.33	75.62	75.61	63.60	51.60	91.19
