#1.3
2429	14	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K73196317-summary	BRD-K45158365-summary	BRD-K81418486-summary	BRD-K56343971-summary	BRD-K72093121-summary	BRD-A09533288-summary	BRD-K40227168-summary	BRD-K29582115-summary	BRD-A24514565-summary	BRD-A56359832-summary	BRD-K41260949-summary	BRD-K71289571-summary	BRD-K53318339-summary	BRD-K13926615-summary
BRD-K36324071	CP	NF-449	purinergic receptor antagonist	P2RX1		7.14, 6.35	60.05	1.60, 0.48	64.76	52.82	-42.15	-51.13	10.71	100.00	81.48	89.93	55.34	47.92	99.68	72.71	79.00	13.42
BRD-K64514229	CP	toltrazuril	anti-protozoal			4.76, 2.38	60.05	0.67, 0.16	34.80	51.93	1.48	11.22	93.15	86.90	55.55	64.55	38.85	74.93	96.12	52.70	66.56	73.61
BRD-K08556791	CP	ethoprop	acetylcholinesterase inhibitor	ACHE		3.31, 2.48	60.03	1.47, 0.39	73.31	4.96	17.23	73.11	33.58	91.28	79.40	71.98	67.07	53.00	91.62	10.63	5.76	27.50
BRD-A79903587	CP	tegafur	DNA synthesis inhibitor, thymidylate synthase inhibitor	TYMS		4.50, 2.70	60.01	0.58, 0.20	80.34	22.12	74.00	-0.11	18.30	86.27	21.55	68.15	67.90	68.54	59.77	60.26	59.18	4.96
BRD-K02607075	CP	tubocurarine	acetylcholine receptor antagonist	CHRNA2, HTR3A, ACHE, HTR3B, KCNN1, KCNN2, KCNN3, ZACN		2.38, 0.79	60.00	1.13, 0.40	51.76	26.67	-2.97	16.62	68.24	97.47	77.76	89.18	83.00	13.00	87.11	14.00	76.16	29.45
BRD-K71289571	CP	zafirlukast	leukotriene receptor antagonist	CYSLTR1, CYSLTR2		11.57, 10.74	59.90	0.97, 0.27	69.99	63.55	31.11	38.64	94.40	52.63	56.24	67.66	73.55	36.32	-9.16	99.97	70.33	4.55
BRD-K76274772	CP	MAPP-D-erythro	ceramidase inhibitor			3.97, 1.59	59.89	1.14, 0.49	24.85	55.57	4.73	71.54	30.24	68.61	86.15	66.80	50.07	47.19	21.99	64.21	88.46	70.11
BRD-K42748308	CP	XE-991	acetylcholine release enhancer, potassium channel blocker, voltage-gated potassium channel blocker	KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5		2.38, 1.59	59.87	0.73, 0.24	37.18	83.67	-27.43	10.66	43.03	62.36	60.31	64.39	63.61	17.70	63.48	91.92	50.15	59.43
BRD-K76534306	CP	enrofloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	3.17, 1.59	59.87	1.13, 0.36	95.28	83.34	52.66	39.26	67.08	46.11	35.97	89.31	51.02	33.42	91.61	79.82	32.76	96.35
BRD-K09132007	CP	D-4476	casein kinase inhibitor, TGF beta receptor inhibitor	CSNK1A1, CSNK1D, TGFB1	TGF beta receptor inhibitor	7.94, 3.17	59.85	1.18, 0.35	11.88	97.46	21.28	70.81	63.77	85.42	86.92	69.45	22.01	20.05	55.93	96.59	45.12	48.35
BRD-K62858456	CP	lomerizine	calcium channel antagonist, calcium channel blocker, P glycoprotein inhibitor	ABCB1, CACNA1B, SCN5A	Calcium channel blocker	11.71, 5.41	59.82	1.78, 0.67	99.26	38.77	22.62	78.15	95.03	55.91	63.25	53.05	71.15	84.72	15.17	89.50	56.39	16.05
BRD-A97674275	CP	ranolazine	fatty acid oxidation partial inhibitor, Sodium Channel  Blockers, sodium channel blocker	SCN9A, SCN10A, SCN5A, SLC22A2		7.14, 3.17	59.73	0.36, 0.02	90.71	25.97	19.99	54.01	95.51	51.07	73.95	62.84	47.20	99.26	30.44	82.47	56.62	76.51
BRD-K13926615	CP	vardenafil	phosphodiesterase inhibitor	PDE5A, CYP2C19, CYP2C8, CYP3A5, PDE6G, PDE6H		9.52, 8.73	59.73	0.99, 0.28	64.59	85.81	4.71	26.14	85.90	74.67	91.30	38.47	35.97	54.87	52.10	16.82	83.06	99.99
BRD-K09778810	CP	FGIN-1-27	benzodiazepine receptor agonist, inositol monophosphatase inhibitor	TSPO		5.56, 3.17	59.72	0.65, 0.13	60.74	64.35	17.21	95.82	58.70	97.60	88.16	9.62	91.72	46.73	27.87	57.25	64.74	47.84
BRD-A42167015	CP	carteolol	adrenergic receptor antagonist	ADRB1, ADRB2		3.97, 2.38	59.72	0.70, 0.17	71.30	81.52	0.74	18.26	71.70	36.75	93.89	78.71	27.81	48.13	98.08	38.51	72.50	37.94
BRD-K12219985	CP	glipizide	sulfonylurea, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulin secretagogue	ABCC8, KCNJ10, KCNJ11, PPARG	KCNJ11 modulator	3.97, 0.79	59.67	0.94, 0.19	88.53	52.60	35.54	35.23	80.96	46.03	70.59	66.75	29.80	16.79	30.17	82.55	86.19	94.28
BRD-A13188892	CP	doxazosin	adrenergic receptor antagonist	ADRA1D, ADRA1A, ADRA1B, CYP2C19, KCNH2, KCNH6, KCNH7		4.96, 1.65	59.60	1.22, 0.38	56.92	7.01	18.88	39.36	86.91	92.40	72.87	96.35	-23.43	68.70	81.13	62.29	28.86	47.88
BRD-A81233518	CP	glycopyrrolate	acetylcholine receptor antagonist	CHRM1, CHRM3, CHRM2, CHRM4, CHRM5		5.56, 3.17	59.60	0.88, 0.26	99.15	19.05	32.11	4.12	52.88	80.32	72.08	81.41	54.57	66.78	64.64	46.65	36.32	72.40
BRD-K38323065	CP	phenacetin	cyclooxygenase inhibitor	PTGS1	Cyclooxygenase inhibitor	7.14, 4.76	59.59	0.81, 0.15	63.71	55.47	-0.39	23.79	19.78	97.60	53.82	68.33	43.28	42.37	98.91	64.01	96.16	92.21
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		4.76, 0.79	59.53	0.85, 0.15	94.59	29.30	43.09	80.79	98.02	86.86	90.57	95.43	29.13	9.13	36.50	74.48	-5.36	44.58
BRD-A22707317	CP	SB-205384	GABA receptor modulator	GABRA3, GABRA5, GABRA6		4.76, 2.38	59.53	0.75, 0.10	31.86	19.14	27.01	28.45	83.83	98.17	74.66	-58.20	61.91	14.18	96.72	84.37	90.98	57.15
BRD-K81209512	CP	AG-494	epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor	EGFR		5.56, 1.59	59.52	0.85, 0.26	46.43	83.56	32.98	39.08	14.29	65.40	83.31	-39.95	53.64	31.61	76.87	92.90	95.07	73.04
BRD-K78126613	CP	menadione	CDC inhibitor, mitochondrial DNA polymerase inhibitor, phosphatase inhibitor, pyruvate kinase isozyme inhibitor	AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PKM, PROC, PROS1, PROZ, VKORC1, VKORC1L1		5.56, 1.59	59.50	2.21, 0.41	47.56	30.26	96.58	27.37	78.06	24.40	78.65	92.48	90.55	81.49	30.35	71.45	32.95	40.94
BRD-K80325895	CP	eicosadienoic-acid	in touchstone			4.13, 2.48	59.49	1.49, 0.41	61.84	21.45	-1.52	3.35	20.81	51.87	95.31	70.00	75.34	84.09	84.44	57.13	81.08	35.53
BRD-K93480852	CP	KN-93	calcium/calmodulin dependent protein kinase inhibitor	CAMK2A		1.59, 0.79	59.42	0.61, 0.08	32.59	60.97	89.19	86.90	91.71	62.08	71.88	57.87	8.91	14.35	25.77	88.32	22.36	8.24
BRD-K01624546	CP	docosatrienoic-acid	inhibitor of LTB4 binding to neutrophils			5.56, 3.17	59.42	1.52, 0.59	-5.14	97.60	31.13	-17.63	37.04	95.04	77.61	89.41	69.95	35.42	96.79	48.89	80.22	22.18
BRD-K08417745	CP	SID-26681509	cathepsin inhibitor	CTSL		0.00, 0.00	59.40	0.13, 0.02	56.73	47.71	80.94	57.12	61.68	17.35	88.16	86.41	83.98	38.74	-15.69	71.59	34.26	79.33
BRD-K27351809	CP	nomegestrol	progesterone receptor agonist	PGR	Progesterone receptor agonist	3.17, 1.59	59.40	1.19, 0.25	63.26	4.69	4.32	17.94	80.22	45.06	84.66	80.92	91.60	55.54	-85.87	41.32	73.01	91.59
BRD-K14765469	CP	vesamicol	acetylcholine transport inhibitor	SLC18A3		6.35, 5.56	59.39	0.59, 0.17	85.41	34.51	30.36	19.02	58.53	35.45	60.26	46.87	72.32	62.41	10.71	65.30	65.74	98.98
BRD-A42553870	CP	L-152804	neuropeptide receptor antagonist	NPY5R		6.35, 2.38	59.36	0.95, 0.26	62.62	66.71	3.24	45.69	18.74	95.66	91.06	28.22	37.06	96.37	16.81	56.10	67.95	63.35
BRD-K83637872	CP	SANT-1	smoothened receptor antagonist	DHH, IHH, PTCH1, SMO		3.17, 2.38	59.31	0.78, 0.17	32.85	25.91	0.39	52.28	92.04	18.05	81.32	76.88	76.58	19.41	66.35	20.44	98.13	77.47
BRD-K90789829	CP	nefazodone	serotonin receptor antagonist, serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin uptake inhibitor	HTR2A, SLC6A4, HTR2C, SLC6A2, ADRA1A, ADRA1B, ADRA2A, CYP3A4, CYP3A5, CYP3A7, HTR1A, SLC6A3		6.35, 2.38	59.31	0.60, 0.16	28.30	74.16	5.60	91.33	93.82	37.48	96.07	60.37	58.26	35.76	13.47	66.91	62.19	17.87
BRD-K92413528	CP	thiazolidinecarboxylic-acid	glutathione synthase stimulant, reducing agent			8.11, 5.41	59.31	2.32, 0.82	99.68	66.52	44.16	60.57	95.67	38.11	82.48	71.14	58.05	70.53	29.76	21.57	54.22	47.90
BRD-K13642330	CP	cosmosiin	cytochrome P450 inhibitor			9.23, 6.15	59.29	1.77, 0.51	98.20	74.24	16.09	88.79	89.35	9.47	1.02	99.08	7.82	30.55	99.89	84.68	-50.45	44.35
BRD-K93461745	CP	buspirone	serotonin receptor agonist, serotonin receptor partial agonist	HTR1A, DRD2		5.56, 2.38	59.26	0.68, 0.15	34.58	70.67	-0.46	9.14	44.09	95.87	70.65	40.20	8.09	89.78	76.77	86.82	91.88	47.86
BRD-K76205745	CP	losartan	angiotensin receptor antagonist	AGTR1		6.35, 4.76	59.24	0.31, 0.02	42.67	77.51	5.63	4.32	44.94	96.04	74.55	59.59	58.88	41.56	92.41	99.15	79.03	8.91
BRD-A25569250	CP	KI-16425	lysophosphatidic acid receptor antagonist	LPAR1, LPAR3		0.79, 0.00	59.19	1.16, 0.22	95.74	18.91	64.83	51.99	29.45	39.19	70.32	79.19	-89.35	60.78	34.04	57.60	82.14	94.33
BRD-K96862998	CP	pirfenidone	FGFR antagonist, p38 MAPK inhibitor, TGF beta receptor antagonist, TGF beta receptor inhibitor, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist	TNF, FURIN, MAPK14, TNFRSF1A		5.56, 3.17	59.18	1.26, 0.27	7.50	63.62	14.83	32.01	25.57	99.44	61.59	11.24	95.57	46.40	92.34	66.92	81.31	56.77
BRD-K01567962	CP	pyrazolanthrone	JNK inhibitor, AP inhibitor, dual specificity protein kinase inhibitor, leucine rich repeat kinase inhibitor	MAPK10, MAPK8, MAPK9, TTK, LRRK2, MAPK8IP1		3.17, 0.79	59.15	0.68, 0.16	37.57	4.89	0.56	94.22	64.36	87.65	90.80	79.06	35.85	-0.18	48.93	84.05	86.03	53.94
BRD-K47328134	CP	lysylphenylalanyl-tyrosine	heparin activation inhibitor			7.69, 4.62	59.10	1.41, 0.44	75.71	86.78	-5.76	-17.94	7.81	34.87	81.66	16.58	42.50	93.55	99.89	36.16	87.15	98.98
BRD-K50859149	CP	sulfafurazole	endothelin receptor antagonist, FOLP inhibitor		Dihydrofolate reductase inhibitor	6.35, 4.76	59.10	1.09, 0.25	50.96	38.33	-1.87	7.42	83.09	95.73	80.03	39.03	60.69	38.99	94.45	86.48	86.98	57.51
BRD-K71003802	CP	hippeastrine	plant alkaloid with cytotoxic effects on some human tumor cell lines			6.35, 3.97	59.08	0.90, 0.28	73.13	98.91	10.70	61.73	35.45	10.89	32.35	75.44	34.58	66.51	56.43	61.91	-27.33	99.79
BRD-K13390322	CP	AT-7519	CDK inhibitor, cell cycle inhibitor	CDK2, CDK5, CDK1, CDK4, CDK6, CDK9	CDK inhibitor	7.14, 0.79	59.07	2.49, 0.85	96.00	58.69	85.63	87.34	96.69	6.44	34.92	6.10	0.02	18.75	7.58	63.40	70.23	59.45
BRD-K32795028	CP	1-benzylimidazole	thromboxane synthase inhibitor	CYP11B1, QPCT		10.32, 6.35	59.00	1.14, 0.38	64.57	97.04	31.46	3.88	27.29	81.76	52.59	83.99	58.81	21.76	14.45	59.18	79.50	99.86
BRD-A78877355	CP	nefopam	cyclooxygenase inhibitor, prostanoid receptor inhibitor			6.35, 3.17	58.99	1.00, 0.24	62.90	24.70	19.24	58.04	55.19	94.37	89.81	79.24	35.57	76.14	59.93	35.56	-44.42	96.16
BRD-K71499074	CP	diclofenamide	carbonic anhydrase inhibitor	CA1, CA2, CA4, CA12, CA7		9.52, 4.76	58.99	0.74, 0.23	59.63	58.34	2.40	35.42	97.87	93.07	44.26	37.87	85.58	60.63	-28.98	70.69	87.77	43.66
BRD-K98493452	CP	honokiol	AKT inhibitor, neurotrophic agent	ALOX5, PTGS1, PTGS2		7.21, 3.60	58.95	1.67, 0.49	99.19	4.33	66.33	59.47	90.49	58.43	25.19	36.34	57.27	60.29	65.61	86.95	5.60	30.47
BRD-K41567364	CP	SB-334867	orexin receptor antagonist	HCRTR1, HCRTR2		3.17, 1.59	58.92	1.28, 0.47	87.68	42.76	27.12	76.17	72.61	50.86	56.54	90.70	45.29	61.29	70.80	82.76	9.95	6.53
BRD-K37130656	CP	rivaroxaban	coagulation factor inhibitor, coagulation inhibitor, serine protease inhibitor	F10, CYP2J2, CYP3A5		5.56, 0.79	58.91	0.91, 0.38	36.97	89.55	-15.99	-25.59	61.72	93.57	-18.77	37.20	93.73	28.16	71.29	72.39	61.97	56.10
BRD-A31801025	CP	formestane	aromatase inhibitor	CYP19A1	Aromatase inhibitor	5.56, 3.17	58.86	0.95, 0.25	61.99	52.23	3.22	10.03	11.21	64.69	83.48	82.05	33.97	64.85	77.24	70.65	32.49	55.73
BRD-A09094913	CP	strychnine	acetylcholine receptor antagonist	GLRA1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA2, GLRA3, GLRB		6.35, 1.59	58.81	0.85, 0.19	41.75	95.46	-0.39	21.57	88.17	95.54	93.69	81.37	6.94	0.03	75.86	32.80	84.59	29.27
BRD-A13650332	CP	flucloxacillin	antibiotic of the penicillin class			3.17, 2.38	58.75	1.03, 0.22	61.24	97.76	31.41	7.05	56.89	6.31	-19.14	92.88	26.06	79.47	82.86	89.91	28.74	60.61
BRD-A75935363	CP	atracurium	acetylcholine receptor antagonist	CHRNA2		9.01, 3.60	58.73	1.17, 0.34	40.85	6.50	26.18	25.77	42.28	75.32	78.77	72.23	97.50	97.89	36.46	76.47	45.23	91.82
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		7.21, 4.50	58.73	0.97, 0.19	99.19	37.03	45.67	91.33	52.54	24.38	89.79	-22.96	58.88	99.05	51.55	58.57	86.18	89.48
BRD-K50128260	CP	sildenafil	phosphodiesterase inhibitor	PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3		11.11, 6.35	58.70	0.40, 0.06	36.03	65.97	-7.03	-8.19	51.44	98.46	88.67	69.21	30.38	16.80	99.89	71.76	74.75	17.61
BRD-K11717138	CP	benzbromarone	calcium-activated chloride channel blocker, uric acid diuretic	ABCC1, SLC22A12		4.76, 0.79	58.69	0.52, 0.11	81.20	64.36	3.49	13.08	70.25	41.09	59.03	94.89	82.12	93.76	-2.26	11.46	58.36	44.38
BRD-K21450440	CP	benzthiazide	carbonic anhydrase inhibitor	CA2, CA1, CA12, CA4, CA9, SLC12A3		8.73, 2.38	58.67	1.08, 0.26	86.38	91.12	2.82	29.35	62.61	85.87	88.96	52.71	54.73	27.12	97.15	23.32	92.40	37.61
BRD-A13084692	CP	troglitazone	PPAR receptor agonist, insulin sensitizer, CCK ligand expression inhibitor, EGR1 expression enhancer, glycogen synthase kinase stimulant	PPARG, ACSL4, AKR1B1, CCL2, CYP3A4, ESRRA, ESRRG, INS, SERPINE1, SLC29A1, TRPM3	PPAR receptor agonist	7.14, 3.17	58.64	0.83, 0.27	62.00	36.15	-61.19	71.68	39.41	88.41	83.25	74.05	95.97	55.28	4.94	95.74	45.22	21.31
BRD-A59808129	CP	guggulsterone	estrogen receptor agonist, FXR antagonist, progesterone receptor agonist, cholesterol inhibitor, IKK inhibitor, PXR agonist	NR1H4, PGR, AR, ESR1, IKBKB, NR1I2, NR3C1, NR3C2	FXR antagonist	7.94, 3.97	58.64	1.39, 0.27	19.97	32.79	-0.56	18.64	53.37	97.67	79.07	97.39	92.21	63.90	98.99	83.40	36.31	44.31
BRD-K46018455	CP	bezafibrate	PPAR receptor agonist, 11-beta hydroxysteroid dehydrogenase expression inhibitor, 11-beta hydroxysteroid dehydrogenase inhibitor, lipase clearing factor inhibitor	PPARA, PPARD, PPARG, HSD11B1, LPL	PPAR receptor agonist	11.90, 4.76	58.63	0.83, 0.24	12.30	79.67	-7.86	19.76	85.67	98.33	49.75	-73.31	98.63	36.64	28.73	87.51	96.21	67.52
BRD-K63068307	CP	ZSTK-474	PI3K inhibitor	PIK3CG, PIK3CA, PIK3CB, PIK3CD	PI3K inhibitor	3.97, 0.79	58.63	1.91, 0.60	83.96	24.27	18.64	95.04	8.95	57.59	70.03	81.67	8.86	59.66	65.50	61.99	43.73	20.56
BRD-A75455249	CP	kavain	calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers	MTOR		3.97, 3.97	58.61	0.56, 0.16	92.10	91.69	18.92	79.90	16.35	61.78	39.23	80.89	19.16	3.63	39.41	61.47	55.76	88.56
BRD-K10870738	CP	CDC	lipoxygenase inhibitor	ALOX12, ALOX5		6.35, 3.17	58.60	1.05, 0.38	61.97	17.66	56.39	72.91	51.45	32.28	15.34	92.19	22.27	33.86	98.61	91.38	83.22	60.81
BRD-K64245000	CP	GW-4064	FXR agonist	NR1H4		0.00, 0.00	58.56	0.41, 0.08	69.88	35.92	6.85	28.03	56.92	46.20	61.60	86.22	14.60	65.10	81.55	60.21	84.18	47.34
BRD-K12260308	CP	xanthoxyline	plant-derived antifungal			2.38, 1.59	58.56	0.93, 0.28	45.55	45.59	5.50	77.65	72.92	58.61	58.51	66.64	-16.35	-8.70	59.39	90.55	61.86	40.17
BRD-K79124250	CP	ioxaglic-acid	iodine contrast agent			2.38, 1.59	58.55	1.26, 0.44	75.90	18.88	-5.32	14.11	63.80	72.94	57.85	95.58	22.80	14.98	-45.77	82.46	59.26	87.56
BRD-A98299281	CP	velnacrine	calcium channel activator	ACHE		5.79, 4.13	58.53	0.89, 0.18	83.47	17.31	2.22	27.99	71.72	48.69	98.48	78.98	78.64	57.73	61.85	59.34	35.46	49.88
BRD-K10136726	CP	tosyllysyl-chloromethyl-ketone	chymotrypsin inhibitor			7.14, 0.79	58.51	0.97, 0.38	66.16	24.94	11.87	68.11	95.56	6.95	58.27	96.56	58.76	20.30	-36.96	57.96	87.34	68.54
BRD-K54316499	CP	tolterodine	acetylcholine receptor antagonist	CHRM2, CHRM3, CHRM1, CHRM4, CHRM5		7.21, 5.41	58.50	1.59, 0.44	97.64	84.99	1.76	21.52	93.79	95.03	63.43	29.75	77.87	32.31	53.53	60.60	56.40	32.04
BRD-K64670467	CP	JNJ-16259685	glutamate receptor antagonist	GRM1		6.35, 3.17	58.49	1.05, 0.33	39.67	90.30	1.55	64.44	50.14	93.37	63.68	53.29	-32.93	27.12	91.14	51.01	99.15	83.32
BRD-K40619305	CP	larixinic-acid	comopund that interacts with metal centers			7.94, 6.35	58.48	1.18, 0.39	92.95	50.01	0.56	42.40	28.44	91.84	95.06	85.30	66.96	86.79	21.07	42.15	39.65	99.93
BRD-A29289453	CP	PCA-4248	platelet activating factor receptor antagonist	PTAFR		6.35, 4.76	58.47	0.76, 0.15	61.11	10.78	5.11	90.91	90.35	98.87	89.91	91.30	79.80	8.83	55.82	40.86	31.91	11.23
BRD-K74763371	CP	bosentan	endothelin receptor antagonist	EDNRB, EDNRA, ABCB1, CYP2C19, CYP3A4		9.92, 6.61	58.47	1.00, 0.30	2.57	53.71	1.55	63.22	99.08	67.66	81.40	51.32	78.90	-9.79	-0.14	99.12	88.39	-1.62
BRD-K18779551	CP	bifemelane	acetylcholine release stimulant, adrenergic transmitter uptake inhibitor, reducing agent	SLC6A2		5.56, 3.17	58.45	0.88, 0.18	96.13	34.16	47.24	56.19	41.15	65.74	67.45	54.37	11.32	78.99	60.71	14.51	84.37	99.13
BRD-A64227845	CP	SKF-77434	dopamine receptor agonist, dopamine receptor partial agonist	DRD1		4.76, 1.59	58.43	0.84, 0.34	39.32	35.97	0.56	66.41	35.80	99.21	63.51	-32.20	61.17	91.18	80.88	66.36	55.69	10.72
BRD-A09467419	CP	mebeverine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4		4.76, 2.38	58.42	0.85, 0.23	78.07	24.41	2.68	19.69	53.15	97.44	12.92	71.22	95.09	28.99	91.74	35.78	84.02	63.69
BRD-K32501161	CP	vanoxerine	dopamine reuptake inhibitor, dopamine transporter inhibitor, monoamine oxidase inhibitor	SLC6A3, MAOA, MAOB		2.38, 2.38	58.42	1.47, 0.31	36.62	78.76	30.69	93.45	78.16	80.07	75.33	21.00	22.24	21.46	14.45	55.33	80.79	61.50
BRD-A70449690	CP	forskolin	adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant	ADCY2, ADCY5, GNAS		3.17, 1.59	58.39	1.24, 0.48	63.77	24.22	7.28	88.12	62.57	91.46	45.99	39.91	62.41	17.24	79.98	54.36	76.36	16.92
BRD-K09631521	CP	thiotepa	cytochrome P450 inhibitor	CYP2B6		6.35, 2.38	58.32	1.48, 0.39	45.07	3.80	37.71	13.09	87.62	69.69	65.57	85.10	99.22	50.20	51.07	94.80	94.13	49.08
BRD-A28746609	CP	paclitaxel	tubulin inhibitor, microtubule stabilizing agent, microtubule stimulant, P glycoprotein inhibitor, taxane	TUBB, NR1I2, ABCB1, BCL2, CYP2C8, MAP2, MAP4, MAPT, TLR4, TUBB1	Tubulin inhibitor	7.94, 3.97	58.30	0.64, 0.27	-4.69	87.86	44.90	28.10	-50.69	65.47	89.74	23.32	67.87	10.89	51.12	97.04	77.72	72.69
BRD-K15834839	CP	lobendazole	anthelmintic agent			4.76, 1.59	58.30	1.11, 0.27	48.55	41.38	17.12	85.00	58.75	62.18	95.90	57.84	61.78	43.84	70.07	52.92	88.96	23.77
BRD-A15010982	CP	HU-211	glutamate receptor antagonist, apoptosis stimulant, NFkB pathway inhibitor, reducing agent	CNR1, CNR2, GLRA1, GLRA2, GLRA3, GPR55, GRIN1, NFKB1		4.13, 2.48	58.27	2.10, 0.49	31.36	36.02	68.79	4.93	86.90	8.80	81.61	50.85	91.84	69.28	0.00	76.02	17.63	65.70
BRD-A75478957	CP	PD-166793	collagenase inhibitor, metalloproteinase inhibitor, stromelysin inhibitor	MMP13, MMP2, MMP3		7.14, 3.17	58.21	1.16, 0.31	59.75	95.36	2.01	-7.06	46.23	21.47	22.32	56.67	86.46	46.93	97.25	62.53	90.08	76.30
BRD-K63675182	CP	triflupromazine	acetylcholine receptor ligand, dopamine receptor	HTR2B, CHRM1, CHRM2, CHRNA7, DRD1, DRD2	Dopamine receptor antagonist	1.59, 1.59	58.18	1.53, 0.61	83.07	30.73	80.70	59.55	31.08	45.16	86.45	56.82	13.74	-9.01	-66.87	79.45	74.67	66.78
BRD-A84389091	CP	L-655708	GABA receptor inverse agonist	GABRA5, GABRA1, GABRA2, GABRA3, GABRG2		5.79, 0.00	58.07	0.99, 0.30	63.76	31.92	2.15	59.41	50.58	30.07	95.31	91.91	89.38	56.73	65.55	43.21	60.35	52.03
BRD-K06234293	CP	LY-364947	TGF beta receptor inhibitor, p38 MAPK inhibitor	TGFBR1	P38 MAPK inhibitor, TGF beta receptor inhibitor	5.56, 2.38	58.06	1.06, 0.28	28.86	93.13	13.32	81.01	54.57	96.16	61.55	16.77	50.28	11.93	92.91	82.39	82.96	50.11
BRD-K62056274	CP	quipazine	serotonin receptor agonist	HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4		1.65, 1.65	58.04	1.32, 0.41	71.17	40.71	4.25	38.48	77.79	99.24	94.00	55.67	88.99	39.11	36.45	14.62	60.41	69.63
BRD-K82823076	CP	RO-15-4513	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB2, GABRG2		2.38, 0.79	58.03	0.78, 0.16	67.09	15.68	0.00	21.22	66.76	43.35	78.95	96.13	19.39	59.59	33.39	82.65	56.47	72.43
BRD-K82484965	CP	carmoxirole	dopamine receptor agonist	DRD2		3.97, 2.38	57.85	0.95, 0.26	41.41	51.23	-0.42	8.89	-5.57	97.04	75.40	68.43	33.43	54.88	74.92	88.42	86.04	60.82
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	3.97, 1.59	57.83	0.94, 0.14	41.24	10.04	58.15	47.67	63.31	61.09	80.50	96.97	31.00	51.50	79.51	59.20	-64.37	57.50
BRD-K34776109	CP	glimepiride	insulin secretagogue, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulinotropin agonist, sulfonylurea	ABCC8, KCNJ11, KCNJ1	KCNJ11 modulator	11.11, 6.35	57.78	0.68, 0.13	53.74	98.84	40.07	39.53	87.63	53.84	73.20	36.51	60.62	4.98	93.10	97.46	54.95	62.16
BRD-A67438293	CP	treprostinil	prostacyclin analog	PTGIR, CYP2C8, P2RY12, PPARD, PTGDR, PTGER1, PTGER2, PTGER3, PTGER4		6.61, 4.96	57.77	0.99, 0.23	25.71	26.80	-10.54	19.67	61.75	97.98	71.77	83.50	97.67	14.84	73.81	53.80	24.10	67.15
BRD-A57382968	CP	piroxicam	cyclooxygenase inhibitor	PTGS2, PTGS1		3.97, 2.38	57.75	0.58, 0.16	87.13	49.92	56.08	59.42	82.65	70.06	65.82	67.69	54.53	64.70	27.26	32.35	49.88	47.30
BRD-A96882008	CP	L-732138	tachykinin antagonist	TACR1, TACR2		3.17, 3.17	57.74	1.41, 0.35	75.38	77.93	22.98	26.12	68.72	7.91	15.90	65.95	79.63	54.46	24.24	82.80	61.03	52.77
BRD-K15502390	CP	nevirapine	non-nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	CYP2B6, CYP2C19, CYP3A4	Reverse transcriptase inhibitor	7.44, 4.13	57.74	0.91, 0.23	49.53	96.64	0.87	12.84	87.88	91.45	67.75	56.34	42.35	37.20	35.76	84.22	59.13	63.77
BRD-K31542390	CP	mycophenolic-acid	dehydrogenase inhibitor, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor	IMPDH1, IMPDH2	IMPDH inhibitor	6.35, 4.76	57.73	0.92, 0.33	46.41	61.85	83.14	70.16	99.75	10.03	81.05	67.53	-12.84	23.97	30.69	53.62	53.47	63.26
