#1.3
2429	19	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K18779551-summary	BRD-K17743125-summary	BRD-K19462402-summary	BRD-K99964838-summary	BRD-K91315211-summary	BRD-K11717138-summary	BRD-K74763371-summary	BRD-A16665823-summary	BRD-K55191674-summary	BRD-A05186015-summary	BRD-K46018455-summary	BRD-K32821942-summary	BRD-K21450440-summary	BRD-A89175223-summary	BRD-A29485665-summary	BRD-K03406345-summary	BRD-K23204545-summary	BRD-K41410256-summary	BRD-A94543220-summary
BRD-K89839824	CP	raltitrexed	thymidylate synthase inhibitor, pyrimidine antagonist	TYMS, FPGS	Thymidylate synthase inhibitor	3.89, 1.67	63.53	0.86, 0.26	19.81	75.94	40.01	63.53	53.32	72.93	65.92	45.62	67.80	78.56	40.19	99.09	11.03	79.90	7.71	49.96	93.55	34.69	79.80
BRD-K92000912	CP	AM-251	ACAT inhibitor, cannabinoid receptor antagonist, cannabinoid receptor inverse agonist	CNR1, GPR18, GPR55		3.89, 2.22	63.52	0.55, 0.14	7.11	23.54	63.52	53.60	40.44	96.07	75.86	92.12	48.54	67.42	74.09	53.54	58.67	85.84	24.28	64.17	38.38	88.20	76.71
BRD-K62736196	CP	guanabenz	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C		5.56, 3.89	63.51	0.53, 0.08	42.04	32.04	42.82	30.40	64.32	89.24	66.15	43.12	-2.50	98.24	82.54	25.76	99.15	85.22	34.60	35.08	70.39	63.51	71.01
BRD-A95696066	CP	nisoxetine	dopamine transporter inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor	SLC6A2, SLC6A3, SLC6A4		5.56, 4.44	63.50	0.66, 0.16	63.50	7.53	92.81	29.31	32.29	83.13	84.21	61.25	97.64	30.95	71.36	87.17	34.31	64.40	45.29	42.00	62.65	92.13	76.11
BRD-K18816859	CP	L-694247	serotonin receptor agonist	HTR1D, HTR1A, HTR1B		6.67, 2.78	63.50	0.72, 0.08	22.52	18.66	44.98	31.11	63.21	99.00	90.50	95.06	63.50	95.47	76.57	16.64	56.90	88.94	38.67	29.04	76.87	84.61	79.66
BRD-K79602928	CP	metformin	insulin sensitizer, AMPK activator, biguanide, gluconeogenesis inhibitor	ACACB, INS, PRKAB1		5.39, 2.99	63.50	1.72, 0.47	63.50	12.50	88.06	31.40	58.18	92.72	80.55	93.48	85.51	97.53	24.22	81.92	20.26	17.64	37.74	62.39	88.62	95.22	43.78
BRD-K88789588	CP	letrozole	aromatase inhibitor, estrogen receptor antagonist	CYP19A1		4.79, 1.80	63.36	0.50, 0.11	30.43	3.74	95.28	45.34	77.04	74.06	79.96	84.44	-6.91	17.97	51.12	56.56	63.36	93.17	83.02	44.43	41.18	76.95	74.85
BRD-A58157837	CP	butabindide	tripeptidyl peptidase inhibitor	TPP2		1.67, 0.56	63.34	0.98, 0.26	80.47	16.24	75.62	63.34	44.49	85.83	53.11	73.87	93.03	67.29	81.64	1.55	49.33	93.51	68.84	28.08	37.69	44.25	6.90
BRD-K15868788	CP	SDZ-205-557	serotonin receptor antagonist	HTR3A, HTR3B, HTR4		3.33, 0.56	63.25	0.76, 0.10	86.25	1.27	41.08	62.60	63.25	78.92	39.15	36.33	25.66	75.01	93.25	73.66	82.68	35.61	52.49	85.16	30.43	83.06	96.84
BRD-A34706053	CP	CGP-12177	adrenergic receptor agonist	ADRB1, ADRB2, ADRB3		7.22, 3.33	63.24	0.94, 0.32	54.56	23.14	15.50	34.46	78.46	87.22	98.66	63.29	72.30	76.59	91.24	63.24	98.73	27.39	55.85	44.68	77.67	50.35	50.06
BRD-A44551378	CP	LFM-A12	EGFR inhibitor, epidermal growth factor receptor (EGFR) inhibitor	EGFR		9.78, 5.43	63.23	1.40, 0.35	97.95	18.00	43.76	65.08	72.59	99.51	46.72	-4.58	99.89	11.96	92.44	32.69	0.32	25.57	64.82	49.75	83.71	95.25	63.23
BRD-K26863634	CP	BIX-01338	histone methyltransferase inhibitor			4.79, 2.40	63.22	1.50, 0.34	35.56	43.20	93.14	90.64	42.81	77.17	55.40	81.73	2.22	65.86	90.58	23.51	57.40	98.87	46.69	82.17	63.22	80.59	34.72
BRD-K49372556	CP	mofezolac	cyclooxygenase inhibitor, cytochrome P450 inhibitor, platelet aggregation inhibitor			4.79, 1.80	63.19	1.19, 0.30	63.19	66.33	56.35	79.61	69.97	51.66	0.00	4.58	53.63	95.48	4.72	73.26	81.63	60.01	79.98	29.73	11.95	89.67	63.69
BRD-A62434282	CP	goserelin	gonadotropin releasing factor hormone receptor agonist, luteinizing hormone releasing hormone agonist	GNRHR, GNRH1, LHCGR		6.11, 3.33	63.17	1.14, 0.35	-12.01	27.33	86.19	84.74	66.34	98.60	84.62	22.16	63.17	31.83	94.34	21.97	19.94	47.52	2.55	33.49	68.77	89.47	64.26
BRD-K12357156	CP	AG-490	epidermal growth factor receptor (EGFR) inhibitor, ErbB2 and JAK2 inhibitor, JAK inhibitor	JAK2, JAK3, EGFR, STAT3		5.00, 3.33	63.16	1.31, 0.45	63.16	49.48	80.89	30.63	39.51	13.35	79.71	96.71	45.87	75.17	20.77	30.37	81.62	84.77	99.54	65.59	30.04	37.26	92.85
BRD-A06726973	CP	dibutyrylcyclic-gmp	cGMP analog			7.78, 4.44	63.15	0.98, 0.30	15.87	20.35	47.97	8.36	99.11	84.21	17.07	89.40	59.58	92.63	31.56	2.86	92.31	99.68	79.33	63.15	63.05	93.29	87.79
BRD-K52219182	CP	BRD-K52219182	phosphodiesterase inhibitor			3.89, 2.22	63.14	0.65, 0.14	66.26	14.21	90.65	26.71	16.25	75.16	36.91	-11.91	96.00	94.04	82.73	82.81	72.67	42.28	83.71	19.32	63.14	50.14	22.49
BRD-K86204871	CP	terconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor		Sterol demethylase inhibitor	5.00, 2.22	63.11	0.58, 0.15	65.93	37.41	89.55	90.06	59.33	31.03	85.46	74.14	44.97	83.81	76.15	49.76	74.41	24.03	16.56	44.64	63.11	70.12	53.29
BRD-K87909389	CP	alvocidib	CDK inhibitor, apoptosis stimulant, BCL inhibitor, cell cycle inhibitor, MCL1 inhibitor, survivin inhibitor, XIAP inhibitor	CDK2, CDK4, CDK1, CDK6, CDK7, CDK9, CDK5, CDK8, EGFR, PYGM, BCL2, BIRC5, CCNT1, MCL1, XIAP		6.11, 1.67	63.08	2.16, 0.70	75.02	90.58	97.36	0.70	-32.58	87.96	73.54	1.02	53.58	88.52	28.46	0.67	19.37	51.25	78.86	0.00	86.26	63.08	93.61
BRD-K18250272	CP	propoxycaine	anesthetic			6.67, 3.89	63.06	0.56, 0.15	6.50	32.56	52.71	20.83	83.66	14.22	78.37	50.17	70.67	57.12	93.41	78.84	98.16	14.03	96.62	66.53	66.83	10.39	63.06
BRD-K51066026	CP	aminoindazole	ionophore			9.44, 6.11	63.05	0.99, 0.36	62.74	40.70	74.85	62.61	28.70	99.86	93.63	50.91	63.05	95.11	84.95	12.60	52.88	89.65	42.02	59.13	89.61	98.66	99.01
BRD-K26160755	CP	RS-45041-190	imidazoline receptor agonist			3.33, 1.67	62.98	0.84, 0.15	53.70	12.86	65.94	27.84	77.61	69.54	83.21	65.99	34.40	29.66	73.73	8.32	97.65	87.23	46.93	62.98	38.72	6.13	71.50
BRD-K56558538	CP	ambroxol	glucosylceramidase inhibitor, mucolytic agent, sodium channel blocker	GBA		6.11, 4.44	62.98	0.84, 0.24	8.62	17.82	81.52	59.22	73.83	14.56	68.67	20.33	79.97	88.48	62.98	1.48	92.23	96.62	89.96	46.63	28.38	75.53	20.12
BRD-A95096829	CP	PNU-96415E	dopamine receptor antagonist			3.89, 1.67	62.96	0.91, 0.20	68.80	14.72	71.08	69.94	-19.60	78.15	22.69	74.74	29.76	99.65	84.09	18.02	32.10	53.20	26.47	26.60	69.55	62.96	86.78
BRD-K49328571	CP	dasatinib	KIT inhibitor, src inhibitor, Bcr-Abl kinase inhibitor, ephrin receptor inhibitor, PDGFR tyrosine kinase receptor inhibitor, yes kinase inhibitor, Abl kinase inhibitor, Bruton's tyrosine kinase (BTK) inhibitor, discoidin domain containing receptor Inhibitor, lymphocyte specific tyrosine kinase inhibitor, tyrosine kinase inhibitor	ABL1, FYN, LCK, SRC, KIT, YES1, BCR, EPHA2, LYN, PDGFRB, ABL2, BTK, DDR1, DDR2, PDGFRA, STAT5B	SRC inhibitor	6.67, 4.44	62.96	1.44, 0.53	70.94	92.73	68.99	99.44	0.00	9.94	78.73	89.75	62.48	92.90	61.86	30.76	62.96	16.59	69.25	36.71	45.96	61.01	76.57
BRD-K30480208	CP	torasemide	cytochrome P450 antagonist, diuretic, electrolyte reabsorption inhibitor, thromboxane receptor antagonist	SLC12A1, CYP2C8, SLC12A2		7.19, 1.20	62.94	0.84, 0.23	20.96	25.67	95.95	58.22	49.03	98.87	62.94	77.91	56.17	94.66	64.16	45.89	56.57	63.97	65.60	38.69	69.43	59.85	97.46
BRD-A75402480	CP	desoxycorticosterone	mineralocorticoid receptor agonist			11.67, 6.11	62.88	1.09, 0.35	82.91	31.10	78.33	0.00	98.08	51.01	22.23	98.70	50.74	33.10	15.83	62.88	97.92	91.98	99.93	16.93	50.75	87.95	68.79
BRD-K50422030	CP	clomethiazole	GABA receptor agonist, GABA receptor antagonist, GABA receptor modulator, p38 MAPK inhibitor	GABRA1		3.89, 2.22	62.88	0.74, 0.19	77.70	5.14	66.49	52.34	13.23	58.59	62.88	0.00	36.01	53.10	69.69	71.97	98.10	37.05	22.18	72.37	65.91	72.97	82.72
BRD-K45435259	CP	SCH-23390	dopamine receptor antagonist	DRD1, DRD5, HTR2C, KCNJ4, KCNJ6		3.89, 0.56	62.84	1.02, 0.28	65.19	12.72	24.60	65.57	25.36	60.38	89.75	35.43	53.53	90.86	73.85	66.13	87.58	42.65	62.84	57.34	57.79	89.93	86.43
BRD-K38305202	CP	domperidone	dopamine receptor antagonist, breast cancer resistance protein inhibitor	DRD2, DRD3, ABCG2, CYP3A5		7.22, 3.33	62.83	0.81, 0.09	43.22	11.89	4.44	84.42	91.40	18.47	92.65	97.38	30.82	83.54	78.81	6.78	96.44	94.13	94.10	62.83	36.60	11.59	35.31
BRD-A49734948	CP	foliosidine	anticonvulsant			1.67, 1.67	62.81	0.94, 0.30	35.54	13.66	68.79	6.24	83.92	69.03	94.68	26.42	83.55	84.41	19.18	6.41	51.94	98.87	62.81	13.69	82.84	82.53	45.86
BRD-A18497530	CP	5-iodotubercidin	adenosine kinase inhibitor, nucleoside transporter inhibitor	MAPK3, ADK, CSNK1G2, GSG2, LRRK2		4.44, 1.67	62.79	4.91, 1.55	97.72	88.61	73.56	29.23	14.49	12.60	83.32	1.09	62.79	98.52	62.24	10.29	17.89	9.82	97.86	19.46	93.80	75.30	96.55
BRD-A17655518	CP	ibuprofen	cyclooxygenase inhibitor, NFkB pathway inhibitor	PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD		5.39, 2.99	62.78	0.92, 0.19	15.22	23.15	47.42	57.73	85.93	58.39	68.79	89.19	54.23	93.49	44.72	18.28	74.53	97.39	13.58	62.78	74.19	78.57	69.94
BRD-K16336526	CP	capsaicin	TRPV agonist, NFkB pathway inhibitor, tumor NADH oxidase inhibitor	TRPV1, CFTR, ENOX2		8.61, 5.96	62.78	1.43, 0.47	54.82	90.06	88.92	19.25	77.88	94.46	28.20	62.78	21.24	99.96	71.43	16.98	-69.24	99.68	89.96	11.28	30.67	46.53	77.41
BRD-A50684349	CP	fenoldopam	dopamine receptor agonist	DRD1, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD4, DRD5		3.89, 1.67	62.75	0.40, 0.10	7.23	29.98	62.82	65.71	69.75	72.39	60.76	50.61	2.26	62.94	49.31	0.02	89.81	91.99	55.76	43.39	69.45	62.75	74.14
BRD-K31471398	CP	dihydrexidine	dopamine receptor agonist	DRD1, DRD2, DRD3, DRD4, DRD5		8.33, 3.33	62.75	1.32, 0.43	67.03	14.40	11.31	4.12	35.61	91.71	84.86	29.18	48.10	95.95	63.85	7.67	62.75	97.78	30.63	79.94	80.71	99.33	37.90
BRD-K25310650	CP	ormetoprim	antibiotic			10.60, 7.95	62.68	1.85, 0.74	37.10	15.73	69.41	66.92	20.00	99.93	25.39	35.65	20.45	98.32	91.42	30.46	62.68	99.93	23.36	55.33	70.69	81.74	99.93
BRD-K69690935	CP	curcumin	cyclooxygenase inhibitor, AP inhibitor, CCN expression inhibitor, DNA methyltransferase inhibitor, EGFR expression inhibitor, free radical scavenger, FtsZ inhibitor, glucose 6 phosphatase inhibitor, histone N-acetyltransferase inhibitor, HIV integrase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor, tau aggregation inhibitor, unidentified pharmacological activity	PTGS1, PTGS2, APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CCND1, CYP3A4, DNMT1, DNMT3B, EP300, G6PC, MAPT, MMP13, MMP9, NOS2, XDH		2.22, 1.11	62.68	1.56, 0.32	5.44	-21.10	51.89	18.97	62.68	84.27	83.15	75.34	71.55	82.42	70.00	-2.30	84.33	59.34	44.06	28.71	76.38	64.16	22.64
BRD-K80738081	CP	resveratrol	apolipoprotein expression enhancer, beta-secretase inhibitor, cyclooxygenase inhibitor, cytochrome P450 inhibitor, lipid peroxidase inhibitor, MAP kinase inhibitor, monoamine oxidase inhibitor, NFkB pathway modulator, SIRT activator, SIRT pathway, SIRT stimulant, sodium channel blocker, thioredoxin reductase inhibitor, topoisomerase inhibitor, xanthine oxidase inhibitor	PTGS1, PTGS2, SIRT1, APOA1, BACE1, CSNK2A1, MAOA, NQO2, SCN5A, TXNRD1, TXNRD2, XDH		6.11, 2.78	62.68	0.95, 0.20	17.06	36.84	45.17	33.59	93.68	98.82	79.48	78.18	62.68	37.51	37.77	51.19	77.74	95.17	47.19	34.33	67.90	63.19	85.51
BRD-K60923938	CP	veratridine	sodium channel activator	SCN1A, SCN3A, SCN8A, SCN9A		6.67, 2.78	62.66	1.07, 0.30	64.41	31.14	81.10	24.00	78.21	42.57	62.66	90.72	2.40	92.78	62.15	7.73	94.68	72.28	63.67	57.67	20.97	41.61	95.96
BRD-K67439147	CP	SIB-1893	glutamate receptor antagonist	GRM5, GRM4		3.33, 2.78	62.59	1.10, 0.41	43.16	85.00	48.90	85.06	39.62	66.12	36.19	63.98	35.81	84.08	83.09	93.90	38.92	30.16	66.91	62.59	9.81	79.48	5.29
BRD-K11911061	CP	GR-127935	serotonin receptor antagonist	HTR1B, HTR1D, HTR1A, HTR2A, HTR2C, HTR1E, HTR1F, HTR2B, HTR6	Serotonin receptor antagonist	5.00, 3.33	62.56	1.34, 0.19	98.31	90.07	7.93	68.74	7.51	11.91	7.12	77.00	62.56	53.60	87.52	98.45	-6.37	33.29	35.18	94.75	17.46	69.41	63.61
BRD-A05186015	CP	bupropion	dopamine reuptake inhibitor, adrenergic transmitter uptake inhibitor, dopamine transporter inhibitor, norepinephrine transporter inhibitor, norepinephrine/dopamine dual reuptake inhibitor	SLC6A2, SLC6A3, CHRNA3, CYP2B6		8.89, 5.56	62.54	0.61, 0.08	45.97	28.27	67.87	46.25	34.98	62.09	62.54	98.55	48.41	99.97	89.42	14.85	68.26	78.89	31.77	5.60	71.09	64.78	96.48
BRD-K55591206	CP	epigallocatechin	AP inhibitor, aromatase inhibitor, bacterial efflux pump inhibitor, beta amyloid aggregation inhibitor, beta amyloid protein neurotoxicity inhibitor, beta secretase inhibitor, DNA gyrase inhibitor, dual specificity tyrosine-(Y)-phosphorylation regulated kinase inhibitor, enoyl-(acyl-carrier protein) reductase Fabl inhibitor, fatty acid synthase inhibitor, HCV inhibitor, indoleamine 2,3-dioxygenase inhibitor, NFkB pathway inhibitor, nitric oxide synthase inhibitor, PDGFR tyrosine kinase receptor inhibitor, PPAR receptor agonist, prolyl endopeptidase inhibitor, proteasome inhibitor, sodium/glucose cotransporter inhibitor, telomerase inhibitor, tumor NADH oxidase inhibitor, VEGFR inhibitor	FASN, APP, BACE1, CYP19A1, DYRK1A, ELANE, ENOX2, EP300, IDO1, KAT2B, KDR, MMP14, MMP2, PPARA, PREP, SLC5A1		4.19, 2.40	62.51	0.55, 0.10	13.91	16.10	67.93	12.70	38.80	31.29	88.40	57.09	66.10	65.14	80.73	39.02	80.93	89.37	12.13	62.51	62.40	75.56	71.09
BRD-A75769826	CP	SDM25N	opioid receptor antagonist	OPRD1		5.56, 2.22	62.49	0.41, 0.07	64.28	28.95	77.54	75.57	18.78	98.73	44.11	5.97	91.27	25.43	67.47	78.52	27.55	28.04	31.22	9.83	62.49	91.66	75.57
BRD-K52172416	CP	anastrozole	aromatase inhibitor	CYP19A1		9.44, 7.22	62.47	1.05, 0.39	45.76	16.24	81.49	28.14	93.11	99.22	74.47	64.43	62.58	41.45	37.45	19.81	44.55	96.49	56.00	42.83	89.90	99.13	62.47
BRD-K92049597	CP	triamterene	sodium channel blocker	SCNN1A, SCNN1B, SCNN1G, SCNN1D	Sodium channel blocker	8.89, 4.44	62.47	0.78, 0.23	48.70	8.80	62.47	4.55	95.74	76.18	44.54	84.77	34.21	50.93	31.83	94.60	92.57	94.86	83.30	84.75	61.09	36.09	90.31
BRD-A22844106	CP	tenoxicam	cyclooxygenase inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1		5.56, 2.78	62.46	0.67, 0.11	21.19	1.27	86.92	31.25	89.13	33.04	63.48	39.30	69.24	99.82	91.92	62.46	50.90	65.26	21.19	-17.05	90.36	22.86	65.64
BRD-K80639402	CP	SB-258585	serotonin receptor antagonist	HTR6		9.58, 2.99	62.46	0.99, 0.26	93.17	30.00	62.46	40.97	41.77	99.93	52.15	65.22	86.19	95.10	67.22	72.18	57.83	18.09	52.73	51.48	61.64	86.19	99.40
BRD-K81473089	CP	tacrine	acetylcholinesterase inhibitor, acetylcholine release stimulant, butyrylcholinesterase inhibitors, potassium channel antagonist	ACHE, BCHE		8.98, 4.79	62.34	0.77, 0.17	77.55	4.12	36.75	22.73	57.79	62.34	92.21	27.49	39.71	34.38	97.54	7.03	75.68	83.14	62.43	79.67	87.46	66.32	45.08
BRD-K91263825	CP	nortriptyline	PI3K inhibitor, potassium channel blocker, tricyclic antidepressant (TCA)	KCNJ10, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, PGRMC1, PIK3CD, SIGMAR1	Tricyclic antidepressant	6.67, 4.44	62.32	1.60, 0.50	99.58	92.98	82.10	97.97	3.91	71.76	25.97	79.05	36.48	52.38	25.03	88.30	-13.87	19.54	20.96	62.32	16.04	71.82	88.46
BRD-K88611939	CP	aniracetam	glutamate receptor agonist	DRD2, GRIA1, GRIA2, GRIA3, HTR2A, GRIA4		7.22, 3.33	62.29	0.52, 0.08	51.29	23.22	64.37	68.69	62.29	12.55	94.08	58.40	68.28	99.89	97.46	25.04	82.80	21.90	59.50	54.27	86.80	61.09	66.61
BRD-K56115039	CP	BU-226	imidazoline 2 receptor ligand		Imidazoline ligand	4.19, 1.20	62.26	1.64, 0.49	20.93	10.19	16.06	27.25	95.95	11.91	91.55	61.67	-52.15	75.50	49.49	77.26	84.20	85.11	69.64	19.61	62.26	80.63	62.40
BRD-K48367671	CP	febuxostat	xanthine oxidase inhibitor	XDH		3.89, 1.67	62.22	0.91, 0.20	57.85	17.88	70.99	68.96	91.02	71.73	95.75	85.30	58.84	49.39	84.33	18.52	62.22	68.99	46.21	62.07	26.11	34.14	83.88
BRD-K68202742	CP	trichostatin-a	HDAC inhibitor, CDK expression enhancer, ID1 expression inhibitor	HDAC7, HDAC8, HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC9	HDAC inhibitor	10.00, 5.56	62.22	1.69, 0.59	90.96	99.89	96.39	93.79	29.05	96.12	32.72	29.60	72.44	6.27	20.31	7.70	66.38	39.08	63.41	50.49	37.05	63.96	62.22
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			3.59, 1.80	62.17	0.53, 0.08	20.66	38.07	27.06	30.83	35.09	92.44	14.79	62.17	65.88	91.33	34.61	86.32	92.02	99.05	53.31	61.61	67.55	74.01	73.12
BRD-K10670311	CP	sulfasalazine	cyclooxygenase inhibitor, disease modifying antirheumatic drug, lipoxygenase inhibitor, NFkB pathway inhibitor, prostanoid receptor inhibitor, thromboxane receptor antagonist	PTGS1, PTGS2, ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, SLC46A1, SLC7A11, TBXAS1		9.27, 5.30	62.14	1.00, 0.25	64.06	33.83	98.52	45.56	71.37	52.49	86.78	49.93	16.67	21.93	92.70	11.39	90.67	62.14	96.91	49.52	67.52	53.30	90.80
BRD-K46937689	CP	phenazone	cyclooxygenase inhibitor	PTGS1, PTGS2		7.22, 4.44	62.12	0.56, 0.14	68.98	17.09	41.40	15.08	90.75	57.67	30.98	99.61	16.92	93.09	65.31	32.20	72.42	64.29	68.80	8.39	62.48	33.05	62.12
BRD-A09539288	CP	homatropine	acetylcholine receptor antagonist	CES1, CHRM1		8.98, 4.19	62.06	1.42, 0.52	32.94	13.11	66.24	73.00	-18.47	97.67	62.06	8.38	55.15	91.47	81.36	8.57	99.26	24.98	62.11	-27.93	22.97	98.48	82.78
BRD-A72758037	CP	asiatic-acid	antioxidant and antiinflammatory agent	PYGM		5.56, 2.78	62.06	0.67, 0.16	65.82	28.33	19.59	47.84	79.38	8.25	95.94	66.16	-17.58	99.89	82.09	62.06	45.90	81.24	97.76	30.96	29.58	85.43	37.90
BRD-K28307902	CP	flutamide	androgen receptor antagonist	AR, AHR, CYP2C19		2.78, 1.11	62.06	0.97, 0.23	11.44	29.97	50.39	28.88	55.27	87.59	43.55	74.38	35.00	72.00	85.95	62.06	98.03	63.05	58.23	68.00	43.30	65.10	87.17
BRD-K75089421	CP	procainamide	sodium channel blocker, voltage-gated sodium channel blocker	SCN5A, DNMT1		6.11, 2.78	62.06	0.63, 0.13	20.48	12.50	87.15	40.81	87.26	72.22	68.78	87.48	42.66	43.55	62.06	51.71	86.29	75.11	53.87	75.72	79.17	36.73	39.59
BRD-A04553218	CP	chlorphenamine	histamine receptor antagonist	HRH1, SLC6A2, SLC6A3, SLC6A4		2.78, 2.22	62.04	0.41, 0.08	38.66	24.47	93.10	26.53	61.71	70.51	50.96	67.65	40.12	62.04	89.37	34.08	79.19	68.11	90.33	50.89	86.83	42.74	90.61
BRD-A78877355	CP	nefopam	cyclooxygenase inhibitor, prostanoid receptor inhibitor			3.89, 1.67	62.02	1.00, 0.24	41.97	40.87	88.81	9.04	72.43	60.91	88.23	61.86	9.32	64.11	97.71	2.78	33.68	80.49	62.02	63.44	49.52	62.96	92.08
BRD-K11801786	CP	trimidox	antimetabolite, ribonucleoside reductase inhibitor, ribonucleotide reductase inhibitor	RRM1		5.99, 2.99	62.02	1.60, 0.43	60.06	25.76	59.42	31.18	-19.32	91.89	98.30	26.13	3.91	99.89	92.43	22.16	90.83	80.98	78.13	52.83	84.42	82.49	62.02
BRD-K86301799	CP	dipyridamole	phosphodiesterase inhibitor, cyclooxygenase inhibitor, platelet aggregation inhibitor	ADA, PDE5A, PDE10A, PDE4A, PDE7B, PDE8A, PDE8B, SLC29A1		3.33, 1.67	61.98	0.55, 0.09	38.40	24.27	44.41	-1.27	95.98	69.54	68.76	77.35	15.86	29.16	61.98	30.86	43.23	33.00	75.10	74.62	80.39	76.82	68.98
BRD-K84996949	CP	sinensetin	cyclooxygenase inhibitor			5.56, 2.22	61.96	1.10, 0.38	68.08	61.96	88.05	87.52	73.78	89.22	23.01	18.82	69.51	10.77	29.45	17.07	13.72	83.41	15.76	23.85	59.53	62.09	81.34
BRD-A30655177	CP	LFM-A13	Bruton's tyrosine kinase (BTK) inhibitor	BTK		3.89, 2.22	61.93	0.69, 0.13	25.17	22.42	56.82	43.49	82.18	83.06	55.98	69.64	57.77	83.57	84.94	39.89	71.48	90.43	61.93	75.93	56.26	40.55	90.09
BRD-K94294671	CP	OSI-027	mTOR inhibitor	MTOR	MTOR inhibitor	5.00, 3.33	61.93	1.35, 0.56	72.73	52.75	89.45	89.63	54.18	22.77	80.41	35.39	4.51	65.33	22.12	99.51	50.32	53.09	63.77	85.04	36.74	61.93	68.96
BRD-K80725632	CP	lavendustin-c	epidermal growth factor receptor (EGFR) inhibitor	CAMK2A, EGFR, SRC		10.56, 5.00	61.86	1.09, 0.26	21.58	79.45	80.39	61.86	61.68	85.76	90.23	42.93	56.85	34.67	97.25	44.83	97.67	99.79	29.74	40.74	77.84	54.67	99.68
BRD-K20920669	CP	cromoglicic-acid	immunosuppressant	KCNMA1, S100P		7.78, 4.79	61.85	1.11, 0.34	2.71	0.00	86.61	32.27	60.94	94.87	99.86	87.47	93.38	64.68	70.75	16.24	61.85	85.24	6.67	30.64	84.95	13.15	56.80
BRD-K90259198	CP	W-7	calmodulin antagonist, potassium channel blocker, squalene monooxygenase channel blocker	CALM1, CALM2, KCNA5, KCNH2, TNNC1, TNNI3		6.67, 2.22	61.83	1.80, 0.43	93.98	36.10	61.83	57.68	-25.41	59.14	53.31	44.27	88.52	87.48	69.62	97.57	16.16	9.07	81.41	-11.28	93.98	96.48	75.51
BRD-K07888107	CP	depudecin	HDAC inhibitor	HDAC1, HDAC2	HDAC inhibitor	3.33, 1.67	61.81	2.21, 0.53	29.04	88.72	43.88	61.81	66.73	43.36	40.14	74.23	67.62	84.49	53.85	36.83	92.05	66.67	84.98	62.24	24.71	10.63	31.66
BRD-A31159102	CP	fluoxetine	selective serotonin reuptake inhibitor (SSRI), serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor, Sodium Channel  Blockers	SLC6A4, ANO1, CYP2C19, HTR2B		4.44, 2.22	61.80	1.32, 0.30	99.36	61.80	53.89	89.36	-18.13	71.52	44.36	61.45	74.07	58.72	71.21	69.91	13.46	46.46	27.47	55.01	79.06	94.72	92.34
BRD-A08187463	CP	racecadotril	enkephalinase inhibitor, membrane metalloendopeptidase inhibitor, neprilysin inhibitor	MME		8.33, 5.56	61.73	0.98, 0.31	42.00	30.05	61.26	3.14	96.75	54.20	42.28	87.91	78.72	98.35	71.14	30.42	61.73	99.68	73.13	50.29	81.34	61.05	89.92
BRD-K43290182	CP	Ro-04-6790	serotonin receptor antagonist, serotonin receptor inhibitor	HTR6		7.22, 4.44	61.72	0.85, 0.27	70.45	1.71	41.77	29.97	29.99	63.10	79.21	38.25	98.20	95.82	72.46	69.16	95.40	19.21	55.50	14.96	46.14	61.72	68.15
BRD-K28029915	CP	dolasetron	serotonin receptor antagonist	HTR3A		6.67, 3.33	61.71	1.38, 0.42	76.86	16.90	73.04	27.89	61.09	95.27	79.93	77.96	29.33	35.32	52.25	61.71	60.77	68.57	27.60	40.49	74.41	97.78	71.25
BRD-K36198571	CP	WAY-170523	metalloproteinase inhibitor	MMP13		3.33, 1.67	61.71	1.30, 0.38	87.76	96.70	25.83	66.90	44.94	84.90	58.10	81.06	50.99	20.47	11.50	98.53	61.71	78.32	32.79	95.98	28.45	46.64	84.82
BRD-K56957086	CP	dacinostat	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	7.22, 5.56	61.71	1.48, 0.63	83.00	99.72	91.68	91.24	24.62	96.69	71.01	26.05	83.10	6.74	50.06	22.80	62.12	28.63	37.70	5.35	61.71	76.89	53.43
