#1.3
2429	21	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A51382177-summary	BRD-K76674262-summary	BRD-A15297126-summary	BRD-K77947974-summary	BRD-K05977355-summary	BRD-A09472452-summary	BRD-A17655518-summary	BRD-K34776109-summary	BRD-K28307902-summary	BRD-K64052750-summary	BRD-K80396088-summary	BRD-K22662435-summary	BRD-K55127134-summary	BRD-A22769835-summary	BRD-K15108141-summary	BRD-K12219985-summary	BRD-K47639036-summary	BRD-K11129031-summary	BRD-A49765801-summary	BRD-K36862742-summary	BRD-A31159102-summary
BRD-K26429091	CP	J-104129	acetylcholine receptor antagonist	CHRM3		5.21, 2.60	62.51	1.17, 0.33	57.79	67.46	22.58	77.05	14.07	62.51	72.10	77.51	11.64	55.57	48.52	87.00	50.64	91.72	0.85	98.08	32.10	16.69	91.24	67.37	66.00
BRD-K16336526	CP	capsaicin	TRPV agonist, NFkB pathway inhibitor, tumor NADH oxidase inhibitor	TRPV1, CFTR, ENOX2		4.29, 2.45	62.49	1.43, 0.47	95.02	-11.15	68.83	74.87	94.70	99.93	5.78	84.64	62.49	84.31	87.53	37.62	32.73	20.04	34.68	45.62	50.55	60.38	86.72	21.45	77.13
BRD-A33168282	CP	sotalol	adrenergic receptor antagonist, polarization inhibitor, potassium channel antagonist	ADRB1, ADRB2, KCNH2		7.82, 5.59	62.45	0.82, 0.20	88.70	16.08	94.46	56.88	36.39	39.72	84.58	39.47	84.33	38.56	7.09	62.99	39.09	81.43	63.81	46.30	62.45	99.89	72.21	39.71	71.69
BRD-A64297288	CP	amlodipine	breast cancer resistance protein inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, ABCG2, CA1, CACNA1B, CACNA1S, CACNA2D3, CACNB1, CACNB2, SMPD1	Calcium channel blocker	4.29, 1.23	62.44	1.36, 0.33	42.99	73.01	-0.46	90.24	31.65	78.80	91.05	22.94	35.49	94.42	62.44	96.17	97.43	80.67	0.42	37.77	5.25	3.45	50.23	71.80	91.88
BRD-A07440155	CP	labetalol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRA1A, ADRA1D, ADRA1B		7.81, 6.77	62.33	0.61, 0.19	65.26	17.21	96.44	35.03	84.28	99.93	93.00	61.05	99.86	69.50	63.09	60.88	34.78	62.33	0.46	20.48	50.15	49.53	89.53	71.59	1.83
BRD-K73982490	CP	BI-78D3	JNK inhibitor	MAPK8		8.33, 4.69	62.29	1.74, 0.51	99.15	93.30	92.18	34.31	88.87	53.92	19.26	86.11	82.30	78.00	-46.58	55.27	33.71	62.29	61.54	89.20	49.00	51.21	64.23	96.58	14.36
BRD-K94379058	CP	BML-190	cannabinoid receptor inverse agonist	CNR2		4.69, 3.13	62.28	0.73, 0.10	78.17	-16.94	37.86	70.87	76.96	93.57	89.64	26.28	14.14	62.28	89.10	41.08	22.08	62.54	-0.43	73.15	73.02	38.48	75.01	12.03	9.40
BRD-K06712146	CP	YM-90709	IL5 inhibitor, interleukin receptor antagonist	CSF2RB, IL5RA		6.25, 1.56	62.22	1.00, 0.31	79.20	15.23	62.22	95.98	58.68	13.49	26.44	71.92	26.67	81.49	23.91	90.59	45.56	46.35	41.38	87.83	69.91	21.88	72.04	62.85	88.92
BRD-A54845972	CP	dihydroergotamine	serotonin receptor agonist, adrenergic receptor partial agonist, dopamine receptor agonist	HTR1D, HTR1B, ADRA2A, DRD2, HTR1E, HTR1F, HTR2B, HTR7		5.59, 3.35	62.15	1.47, 0.50	85.68	49.24	62.15	89.91	59.77	26.46	99.86	32.22	8.74	82.36	27.44	83.17	83.28	97.65	7.27	87.19	35.09	84.98	22.60	2.57	87.27
BRD-K50398167	CP	meclofenamic-acid	cyclooxygenase inhibitor, prostanoid receptor antagonist	PTGS1, PTGS2, ALOX5, CNR1, KCNQ2, KCNQ3		8.33, 4.17	62.14	0.53, 0.06	63.13	-6.45	67.88	25.85	97.43	83.54	2.74	41.85	82.86	62.14	66.38	98.19	-1.06	2.88	-49.35	93.07	28.16	52.69	82.87	91.81	55.67
BRD-K72726508	CP	arcyriaflavin-a	CDK inhibitor	CCND1, CCNE1, CDK2, CDK4		5.73, 3.13	62.14	0.88, 0.23	64.81	87.67	63.62	84.14	68.36	24.43	62.14	53.60	8.58	97.50	95.03	76.72	65.85	47.93	60.98	27.78	40.58	4.11	89.42	11.31	10.45
BRD-K56957086	CP	dacinostat	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor	1.04, 0.00	62.13	1.48, 0.63	61.27	89.88	84.55	66.90	85.01	25.06	52.48	53.28	47.15	69.74	53.61	41.80	84.35	62.13	91.53	64.58	52.82	14.03	36.46	93.34	92.17
BRD-K63675182	CP	triflupromazine	acetylcholine receptor ligand, dopamine receptor	HTR2B, CHRM1, CHRM2, CHRNA7, DRD1, DRD2	Dopamine receptor antagonist	10.94, 8.33	62.11	1.53, 0.61	20.76	39.30	-55.65	98.84	64.09	98.26	29.67	69.82	9.88	95.66	82.32	60.16	99.89	26.86	62.11	76.56	70.69	-14.68	13.29	21.25	98.77
BRD-K35559145	CP	levomepromazine	dopamine receptor	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR2A, HTR2C	Dopamine receptor antagonist	6.25, 2.60	62.09	0.80, 0.26	54.17	15.83	67.38	89.61	37.31	75.12	82.23	91.58	24.88	45.21	95.75	10.69	3.81	76.58	0.07	79.61	62.09	51.92	69.31	88.22	58.78
BRD-K83988098	CP	alvespimycin	HSP inhibitor, HSP antagonist	HSP90AA1	HSP inhibitor	2.08, 0.52	62.06	1.89, 0.56	88.31	94.68	54.80	62.06	69.09	54.92	91.91	20.22	38.78	84.43	50.90	10.94	4.37	51.01	80.20	88.63	86.48	14.03	67.08	92.31	24.95
BRD-K31792052	CP	pifithrin	interleukin receptor antagonist			4.69, 1.56	61.89	0.73, 0.20	91.41	71.48	77.61	58.03	61.89	49.42	20.75	96.70	56.07	88.30	42.70	66.83	14.66	84.30	0.46	78.67	92.50	29.82	76.31	56.09	34.00
BRD-A48261811	CP	argatroban	thrombin inhibitor, peptidase inhibitor, protease inhibitor	F2, CYP3A5		9.20, 4.91	61.80	0.98, 0.25	97.92	63.84	78.46	61.80	98.52	95.06	33.71	85.52	93.54	74.44	11.49	7.33	-0.04	74.02	18.73	40.73	54.83	97.83	6.94	32.40	12.48
BRD-A96107863	CP	nisoldipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNB2, CYP3A5	Calcium channel blocker	2.45, 1.23	61.74	1.45, 0.64	59.86	79.82	65.59	-3.14	79.94	86.34	97.55	82.31	81.00	61.74	74.08	16.06	4.63	72.09	73.50	34.50	16.75	37.18	57.67	54.28	15.40
BRD-A20126139	CP	medrysone	corticosteroid hormone receptor agonist, glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist	10.42, 7.29	61.73	1.15, 0.48	95.76	66.81	97.57	0.92	26.58	45.77	4.54	61.73	97.57	80.74	58.62	66.43	0.14	12.34	77.78	92.74	15.11	14.51	98.56	49.97	88.44
BRD-K11129031	CP	gemfibrozil	lipase clearing factor inhibitor, lipoprotein lipase activator, PPAR receptor agonist	PPARA, CYP2C8, LPL, SLCO1B1, SLCO1B3, SLCO2B1		10.06, 7.82	61.72	0.83, 0.24	86.69	-2.90	89.88	35.25	89.98	43.33	97.66	47.35	49.22	58.42	70.77	61.72	13.38	94.56	1.66	73.09	76.44	99.97	17.22	61.70	68.88
BRD-K10042277	CP	desmethylclozapine	acetylcholine receptor agonist, dopamine receptor agonist, dopamine receptor antagonist, dopamine receptor partial agonist, serotonin receptor antagonist, serotonin receptor inverse agonist	CHRM1, DRD2, DRD3, HTR2A		7.29, 2.60	61.66	0.95, 0.25	26.03	0.00	92.15	90.04	23.07	61.93	61.26	5.92	8.98	92.76	84.20	18.12	97.36	97.05	70.22	61.66	56.83	23.55	-38.14	65.98	78.10
BRD-A65671304	CP	candesartan	angiotensin receptor antagonist	AGTR1, AGTR2	Angiotensin receptor antagonist	5.21, 3.13	61.60	0.53, 0.10	56.40	5.67	78.26	63.79	24.35	97.72	61.60	73.47	77.18	23.05	75.56	77.98	2.08	63.72	25.82	87.94	41.86	39.04	83.87	30.19	14.68
BRD-K38436528	CP	imipramine	norepinephrine reputake inhibitor, serotonin reuptake inhibitor, Sodium Channel  Blockers	SLC6A2, SLC6A4, CHRM2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM3, CHRM4, CHRM5, CYP2C19, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A3	Norepinephrine reuptake inhibitor	7.26, 3.35	61.60	0.58, 0.05	87.53	-8.24	44.49	92.91	4.02	35.52	75.50	61.90	32.30	82.73	15.10	75.81	93.57	93.99	10.46	56.52	17.31	90.59	2.85	61.60	82.10
BRD-K70358946	CP	aripiprazole	serotonin receptor agonist, serotonin receptor antagonist, dopamine receptor agonist, dopamine receptor partial agonist, serotonin receptor partial agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7		4.91, 1.23	61.60	0.97, 0.19	58.52	77.63	61.60	96.51	7.43	59.94	68.76	23.36	37.49	68.90	7.55	51.11	96.95	99.68	77.81	96.19	8.45	24.64	21.44	69.67	83.33
BRD-K91601245	CP	mercaptopurine	immunosuppressant, protein synthesis inhibitor, purine antagonist	HPRT1, IMPDH1, IMPDH2, PPAT		10.61, 5.03	61.60	1.15, 0.31	97.26	91.61	82.10	54.96	98.84	77.31	27.46	7.67	14.21	39.28	75.60	61.60	30.51	78.86	98.02	14.28	44.98	77.21	21.33	96.13	22.20
BRD-A51382177	CP	fosinopril	angiotensin converting enzyme inhibitor, breast cancer resistance protein inhibitor	ACE, ABCG2		14.53, 10.61	61.58	1.51, 0.53	99.97	41.29	95.10	90.46	14.29	53.19	97.25	92.46	56.92	30.43	61.58	70.05	7.30	0.18	41.03	58.44	73.38	77.51	75.28	99.44	28.43
BRD-A41995253	CP	brucine	glycine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5		7.29, 3.65	61.51	0.60, 0.14	54.46	-10.69	82.08	72.43	46.13	29.95	68.98	42.30	91.80	27.65	97.82	36.88	22.18	92.92	1.48	61.51	83.00	86.42	83.82	80.08	6.95
BRD-A42571354	CP	cetirizine	histamine receptor antagonist	HRH1		5.21, 4.17	61.51	0.81, 0.11	73.88	46.04	69.88	61.51	63.06	16.07	51.99	92.44	62.54	58.94	2.82	62.92	5.96	31.89	0.88	79.87	50.23	62.42	94.74	33.48	83.10
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	8.38, 5.59	61.46	1.90, 0.58	70.07	68.37	90.02	90.28	23.51	53.42	61.09	75.55	1.59	92.41	16.96	15.47	99.72	99.93	75.03	39.58	61.46	49.87	47.99	52.75	99.86
BRD-K43880410	CP	pregnenolone	acetylcholine release enhancer, dopamine release enhancer, GABA receptor negative allosteric modulator, glutamate receptor modulator, progesterone receptor agonist, steroid hormone inhibitor of CYP17A1 and SULT2B1	CYP17A1, PGR, SULT2B1		11.46, 6.25	61.46	1.89, 0.58	88.90	16.58	93.87	45.99	47.75	61.46	56.92	64.60	56.36	26.15	89.83	77.88	4.43	12.96	-34.35	18.31	99.05	99.40	85.77	88.06	63.06
BRD-A52660433	CP	tetrindole	monoamine oxidase inhibitor	MAOA		10.61, 7.26	61.44	1.74, 0.63	71.41	61.44	91.84	94.77	13.40	76.08	58.63	53.79	13.89	98.06	8.76	54.29	99.89	99.93	91.64	78.56	51.31	9.96	47.56	25.60	99.65
BRD-A75368507	CP	demeclocycline	30S ribosomal subunit inhibitor		Bacterial 30S ribosomal subunit inhibitor	4.47, 2.23	61.41	1.13, 0.25	81.21	67.11	0.42	4.65	99.65	19.58	68.47	80.41	29.28	95.78	19.27	61.41	0.60	14.86	0.18	75.84	7.63	61.73	18.69	80.84	62.28
BRD-K60274257	CP	dephostatin	tyrosine phosphatase inhibitor	PTPN1, PTPN6		4.17, 2.60	61.35	1.38, 0.31	75.74	80.67	82.72	40.80	49.35	54.51	85.62	33.76	61.35	1.44	77.48	98.06	22.18	-51.89	15.72	93.50	81.27	21.78	27.27	97.70	77.05
BRD-K37206356	CP	rhamnetin	aldose reductase inhibitor, JNK inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, p38 MAPK inhibitor	ALOX5, MAPK8		7.29, 3.65	61.27	0.80, 0.28	67.56	-7.05	78.40	31.41	75.43	5.58	20.26	98.99	64.32	43.87	61.27	60.25	79.30	-3.61	1.57	98.24	85.63	37.05	73.40	24.15	87.75
BRD-K93460210	CP	lamotrigine	glutamate release inhibitor, serotonin receptor inhibitor, Sodium Channel  Blockers, sodium channel blocker, voltage-gated sodium channel blocker	SCN1A, SCN2A, SCN3A		8.85, 4.69	61.24	0.76, 0.11	86.68	29.64	30.73	63.94	96.26	19.38	72.88	56.71	28.41	73.55	97.22	97.22	23.34	61.24	1.13	98.64	29.16	93.01	71.01	49.37	25.68
BRD-K12002134	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	12.29, 6.15	61.23	1.36, 0.45	76.63	0.00	82.30	85.55	68.10	99.93	23.53	63.56	99.01	21.32	-14.60	98.66	16.36	13.53	48.75	55.89	61.23	64.02	96.12	4.02	18.81
BRD-K46678324	CP	RHO-kinase-inhibitor-II	ROCK inhibitor		Rho associated kinase inhibitor	5.59, 1.12	61.20	0.91, 0.23	61.20	59.49	31.45	82.48	77.17	27.89	36.88	67.47	93.00	46.00	87.10	54.42	24.68	99.61	-1.73	78.32	43.52	35.69	91.92	78.54	89.80
BRD-K86958018	CP	olvanil	TRPV agonist	TRPV1, CNR1, GPR119	Cannabinoid receptor agonist	4.17, 2.08	61.18	0.86, 0.20	76.04	72.95	53.18	17.02	41.96	70.23	81.62	97.06	43.18	68.73	56.75	79.89	1.56	61.18	22.34	99.33	57.63	65.80	89.04	32.80	19.14
BRD-K59256312	CP	gabexate	serine protease inhibitor, AP inhibitor, NFkB pathway inhibitor, peptidase inhibitor, protease inhibitor	PRSS1, TPSAB1		7.29, 4.69	61.15	1.23, 0.36	64.79	7.68	87.16	69.50	74.74	51.72	27.92	56.54	6.92	61.15	41.74	68.51	5.07	67.76	0.11	67.68	79.84	54.10	93.18	97.82	7.19
BRD-K77925998	CP	quipazine	serotonin receptor agonist	HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4		7.81, 4.69	61.13	0.84, 0.26	67.23	20.01	90.85	21.44	48.99	70.99	97.59	80.59	99.12	40.89	24.46	85.42	65.09	93.03	1.59	46.42	51.01	61.13	72.46	22.93	13.77
BRD-K20920669	CP	cromoglicic-acid	immunosuppressant	KCNMA1, S100P		8.38, 3.35	61.11	1.11, 0.34	97.47	32.62	70.52	4.79	97.87	80.89	76.36	73.89	23.41	44.59	14.96	65.38	11.50	64.58	0.67	61.11	55.87	64.98	92.00	17.12	-12.19
BRD-K42500029	CP	CGP-57380	MAP kinase inhibitor, MAPK-interacting kinase inhibitor	AURKB, LCK, MKNK1, MKNK2, SGK1		7.29, 4.69	61.01	1.36, 0.49	93.51	44.72	86.92	73.07	96.99	87.30	3.35	97.67	24.49	99.89	36.69	55.20	8.60	61.01	31.04	33.00	76.31	22.77	94.49	49.78	82.34
BRD-K63504947	CP	semaxanib	VEGFR inhibitor, angiogenesis inhibitor, FLT3 inhibitor, hepatocyte growth factor receptor inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor, VEGFR antagonist	KDR, FLT1, KIT, PDGFRB, FGFR1, FLT3, MET, PDGFRA, RET		5.73, 2.60	60.95	1.01, 0.31	66.41	81.67	42.08	71.39	83.18	60.95	31.90	42.05	91.34	59.42	76.76	59.14	3.85	13.87	54.56	99.54	80.42	49.55	66.29	87.73	25.64
BRD-A36066264	CP	estradiol-benzoate	contraceptive agent	ESR1	Estrogen receptor agonist	5.73, 3.65	60.94	0.39, 0.10	87.82	35.27	91.69	45.17	13.18	71.33	94.18	27.71	67.64	48.19	20.59	90.84	13.68	98.98	7.78	42.17	51.39	77.98	60.94	67.46	63.10
BRD-K93480852	CP	KN-93	calcium/calmodulin dependent protein kinase inhibitor	CAMK2A		7.29, 4.69	60.86	0.61, 0.08	81.42	60.86	75.49	98.24	46.37	30.64	42.78	92.11	62.46	17.37	27.82	33.64	94.89	15.51	84.08	38.00	97.82	13.66	33.01	93.76	74.47
BRD-K13514097	CP	everolimus	mTOR inhibitor, angiogenesis inhibitor, cell cycle inhibitor, immunosuppressant, protein kinase inhibitor, rotamase inhibitor	MTOR, CYP3A5, FKBP1A		4.17, 1.56	60.85	1.93, 0.51	81.89	96.93	80.40	58.79	35.96	18.33	63.55	65.38	11.80	25.63	19.75	82.63	50.63	72.09	94.46	46.22	34.26	24.73	74.83	60.85	90.80
BRD-K73824630	CP	skatole	thrombin inhibitor	F2		6.25, 2.60	60.85	0.92, 0.19	81.23	0.00	80.14	88.54	63.89	98.76	8.01	35.21	-7.95	70.38	44.15	60.85	3.31	27.11	11.10	89.80	89.88	46.91	68.31	94.30	47.53
BRD-K12102668	CP	nialamide	monoamine oxidase inhibitor	COMT, MAOA, MAOB		8.85, 3.65	60.82	1.83, 0.55	74.85	9.86	78.06	-1.41	72.41	-31.53	19.98	66.55	37.07	5.63	88.84	83.16	60.82	8.65	2.30	98.82	43.98	15.85	67.92	96.87	78.10
BRD-A44090213	CP	indoprofen	cyclooxygenase inhibitor, platelet aggregation inhibitor, prostanoid receptor inhibitor	PTGS1, PTGS2, CXCR1, CXCR2	Cyclooxygenase inhibitor	8.38, 4.47	60.80	0.86, 0.19	39.53	26.85	71.79	82.91	4.90	74.25	87.53	67.71	49.31	60.80	85.06	94.72	73.79	99.75	-87.69	53.15	49.01	98.02	10.74	25.94	8.00
BRD-K68407802	CP	KIN001-055	EGFR inhibitor, JAK inhibitor, leukotriene synthesis inhibitor, mediator release inhibitor	EGFR, JAK3		6.77, 4.17	60.78	1.02, 0.31	79.85	0.00	84.84	40.42	51.57	65.18	15.27	65.05	23.43	99.17	-18.32	50.00	6.98	95.88	0.60	12.57	84.74	85.83	91.60	69.23	60.78
BRD-A75479906	CP	rimantadine	acetylcholine channel inhibitor, unidentified pharmacological activity			11.17, 8.38	60.75	1.86, 0.53	97.22	4.35	93.06	12.94	98.94	43.37	89.17	29.24	97.06	89.28	84.61	73.78	60.75	4.44	17.67	74.90	10.11	20.71	97.64	0.00	31.15
BRD-K45479396	CP	BP-554	serotonin receptor agonist	HTR1A		9.90, 4.69	60.72	1.53, 0.40	89.42	0.00	89.90	18.58	86.21	32.72	52.77	23.75	17.07	74.44	68.53	98.66	5.36	50.47	24.52	93.92	92.27	99.15	60.72	95.28	6.27
BRD-K01292756	CP	pimozide	dopamine receptor antagonist, dopamine receptor, opioid receptor antagonist, serotonin receptor antagonist	DRD2, DRD3, CACNA1I, CALM1, HRH1, HTR1A, HTR2A, KCNA10, KCNH2	Dopamine receptor antagonist	8.33, 6.25	60.70	1.60, 0.57	51.23	69.16	72.08	98.27	9.00	60.70	95.73	75.62	42.00	95.42	27.13	31.66	99.68	99.86	68.56	45.31	59.23	42.85	35.46	10.17	90.36
BRD-A58048407	CP	nimodipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, NR3C2, AHR, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CFTR		4.69, 1.04	60.69	0.64, 0.13	57.88	17.20	78.87	51.69	64.88	69.99	71.76	48.09	77.29	49.60	77.01	69.14	0.46	60.69	2.22	91.38	51.35	60.18	60.27	87.91	70.41
BRD-A33711280	CP	metixene	acetylcholine receptor antagonist	CHRM5, CHRM1, CHRM2, CHRM3, CHRM4		15.64, 7.82	60.65	0.91, 0.25	56.55	11.95	96.12	96.54	-6.54	76.06	96.36	93.09	55.43	4.86	22.05	50.13	97.46	93.20	1.59	60.65	43.20	99.93	-21.71	75.52	95.23
BRD-K29905972	CP	axitinib	VEGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, angiogenesis inhibitor, KIT inhibitor, VEGFR antagonist	KDR, FLT1, FLT4, CSF1, CYP2C19, CYP3A5, KIT, PDGFRB, PLK4	VEGFR inhibitor	6.25, 3.65	60.65	0.99, 0.20	75.68	23.77	89.60	32.00	94.10	60.65	97.76	41.96	34.35	78.28	-53.42	80.33	42.62	39.20	96.12	91.48	51.56	30.90	75.16	91.15	49.58
BRD-K50660797	CP	epicatechin	beta amyloid protein neurotoxicity inhibitor, beta secretase inhibitor, cyclooxygenase inhibitor, DNA gyrase inhibitor, DNA polymerase beta inhibitor, fatty acid synthase inhibitor, HCV inhibitor, sodium/glucose cotransporter inhibitor	FASN, APP, BACE1, SLC5A1		8.85, 4.69	60.65	1.01, 0.33	79.77	9.37	90.41	-8.35	98.94	27.56	62.67	99.82	20.10	19.13	62.85	66.35	19.91	25.91	0.18	91.33	60.38	60.65	96.26	92.06	30.78
BRD-K54790157	CP	trioxsalen	DNA synthesis inhibitor			7.81, 3.13	60.65	1.02, 0.31	74.87	-78.34	0.49	44.03	60.65	92.95	12.14	97.24	82.80	79.23	48.86	80.85	-0.01	29.57	-1.30	98.61	88.22	33.44	90.96	35.36	63.66
BRD-K76908866	CP	CP-724714	receptor tyrosine protein kinase inhibitor, EGFR inhibitor, tyrosine kinase inhibitor	ERBB2		5.73, 3.13	60.65	1.26, 0.22	54.78	-67.27	92.18	53.48	69.07	72.47	88.22	65.42	19.63	95.08	34.93	47.67	31.37	89.62	0.81	85.38	41.80	60.65	72.56	85.75	42.59
BRD-A90311807	CP	cilastatin	dehydropeptidase inhibitor	DPEP1		4.69, 1.04	60.63	0.95, 0.34	71.93	31.93	31.13	60.63	66.32	89.97	65.84	67.40	21.99	31.31	95.14	73.47	0.07	45.36	3.84	48.29	65.74	24.47	77.44	86.26	-5.35
BRD-K47598052	CP	PP-1	src inhibitor, Abl kinase inhibitor	HCK, RET, SRC	SRC inhibitor	4.69, 3.13	60.55	1.75, 0.64	44.35	-38.29	60.55	94.76	90.72	93.91	63.68	46.94	15.79	97.89	4.73	79.79	90.55	73.57	89.81	44.99	56.41	28.30	44.25	53.03	85.76
BRD-A24122750	CP	saclofen	GABA receptor antagonist	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8	GABA receptor antagonist	4.17, 2.60	60.54	0.99, 0.32	71.00	23.72	90.63	26.31	56.27	57.53	98.38	65.31	90.27	19.72	92.66	60.54	55.35	43.41	60.81	98.24	82.55	94.50	57.84	60.00	51.88
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		4.29, 3.07	60.45	0.99, 0.30	93.34	36.62	13.84	57.17	99.40	18.33	99.93	87.37	98.02	60.45	-25.12	47.29	91.85	94.58	2.92	91.74	8.08	39.12	40.91	89.33	78.71
BRD-K96809896	CP	SKF-86002	p38 MAPK inhibitor	ALOX5, MAPK14	P38 MAPK inhibitor	9.90, 4.69	60.43	1.01, 0.36	50.06	0.00	91.33	28.76	98.80	79.28	14.14	60.43	99.93	93.94	80.35	25.54	0.07	32.97	68.29	47.37	26.19	96.36	97.36	38.61	74.65
BRD-A24514565	CP	warfarin	cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor	VKORC1, CYP2C19, CYP2C8, CYP4F2		6.70, 3.35	60.42	0.85, 0.22	54.78	21.30	54.02	17.56	72.21	60.42	93.67	52.24	31.88	69.33	90.42	63.02	2.84	77.24	1.59	77.72	24.10	99.33	51.81	93.77	61.04
BRD-A46393198	CP	tetramisole	alkaline phosphatase inhibitor			6.25, 4.69	60.41	1.20, 0.38	81.40	14.52	81.62	67.13	76.20	59.88	37.90	99.68	57.25	69.80	48.82	94.79	4.55	27.66	0.32	99.89	82.41	33.30	95.03	26.79	60.41
BRD-K68264559	CP	brimonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, AOX1		5.73, 3.13	60.35	0.86, 0.16	90.09	20.82	58.86	48.38	60.35	70.59	40.39	32.00	53.26	65.54	62.16	84.89	28.50	61.54	13.94	94.95	93.63	81.12	81.70	42.90	18.62
BRD-K86595100	CP	chlordiazepoxide	GABA benzodiazepine site receptor agonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ		4.69, 1.56	60.35	1.38, 0.41	58.92	0.00	84.15	83.80	70.21	27.74	8.56	60.62	79.52	15.93	49.92	32.97	41.32	19.05	4.30	60.35	86.74	71.22	94.47	97.14	80.34
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			5.03, 2.79	60.31	0.53, 0.08	86.66	53.23	76.24	7.98	50.31	10.87	90.35	40.11	45.36	90.71	97.15	62.16	6.09	98.10	-0.88	58.60	91.21	60.31	86.46	81.14	48.89
BRD-A53576514	CP	orphenadrine	acetylcholine receptor antagonist	CYP2B6, GRIN1, GRIN2D, GRIN3A, GRIN3B, HRH1, SCN10A, SLC6A2		9.38, 5.73	60.29	0.95, 0.28	75.41	14.30	77.92	35.83	74.61	44.68	60.29	73.71	29.23	68.95	80.85	23.45	68.42	-32.07	7.74	31.62	95.45	99.61	83.76	24.80	14.20
BRD-A83695761	CP	chromanol	potassium channel blocker		Potassium channel blocker	6.15, 5.03	60.29	1.01, 0.31	77.34	-13.94	67.90	8.44	64.63	68.13	66.79	65.94	36.11	60.29	3.17	12.73	54.64	79.45	8.35	20.17	23.03	92.93	55.37	78.34	97.99
BRD-K42142750	CP	retrorsine	mutagenic, antimitotic, cytotoxic			5.03, 2.23	60.26	0.97, 0.31	60.26	47.78	89.96	2.85	52.08	42.74	86.07	86.32	5.66	74.91	38.37	12.50	12.64	89.95	9.95	64.89	47.16	99.40	62.73	77.66	92.45
BRD-K81128206	CP	edrophonium	acetylcholinesterase inhibitor	ACHE, BCHE		6.70, 4.47	60.21	0.90, 0.33	68.79	-4.62	25.68	61.24	54.66	99.47	25.57	94.40	75.94	15.88	66.92	99.61	0.00	62.75	1.15	91.60	60.21	60.48	57.29	27.32	24.21
BRD-K88304388	CP	dextrorphan	glutamate receptor antagonist, adrenergic transmitter release inhibitor, opioid receptor agonist, serotonin receptor antagonist	OPRM1, OPRK1, OPRD1, GRIN1, HTR1A, SLC6A2		3.68, 0.61	60.21	1.74, 0.72	91.99	81.43	55.91	3.93	98.37	35.94	28.67	87.34	74.88	85.93	14.00	86.72	0.02	82.58	12.81	95.91	60.21	54.63	81.56	28.75	36.13
BRD-A15415227	CP	GW-1929	PPAR receptor agonist, insulin sensitizer	INS, PPARG	PPAR receptor agonist	8.33, 5.73	60.16	1.10, 0.28	60.16	20.12	68.20	17.53	99.47	75.49	64.23	99.01	30.61	71.48	99.68	38.93	13.24	22.08	0.75	71.96	14.80	5.63	94.15	92.79	44.91
