#1.3
2429	13	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K82941592-summary	BRD-K81473089-summary	BRD-K50859149-summary	BRD-K15933101-summary	BRD-K19416115-summary	BRD-K50938287-summary	BRD-A70083328-summary	BRD-A33168282-summary	BRD-K93645900-summary	BRD-K53972329-summary	BRD-A95939040-summary	BRD-K36627727-summary	BRD-A62035778-summary
BRD-K09471561	CP	levofloxacin	topoisomerase inhibitor, DNA gyrase inhibitor	TOP2A		9.62, 3.85	61.44	1.83, 0.38	61.44	42.65	34.53	67.45	42.55	94.71	69.24	35.28	80.73	97.86	5.29	96.92	56.80
BRD-A29289453	CP	PCA-4248	platelet activating factor receptor antagonist	PTAFR		4.07, 1.63	61.42	0.76, 0.15	8.84	81.08	86.71	21.81	77.84	68.61	6.70	2.70	37.04	83.14	61.42	92.78	46.79
BRD-K61401890	CP	deguelin	NADH-ubiquinone oxidoreductase (Complex I) inhibitor, AKT inhibitor, cyclooxygenase inhibitor, NFkB pathway inhibitor, phorbol ester-induced ornithine decarboxylase (ODC) activity suppressor, PI3K inhibitor	AKT1, PTGS2		9.76, 5.69	61.38	1.01, 0.14	54.66	61.38	98.77	28.80	78.80	65.83	9.87	4.74	14.10	2.01	89.86	99.54	63.10
BRD-A59808129	CP	guggulsterone	estrogen receptor agonist, FXR antagonist, progesterone receptor agonist, cholesterol inhibitor, IKK inhibitor, PXR agonist	NR1H4, PGR, AR, ESR1, IKBKB, NR1I2, NR3C1, NR3C2	FXR antagonist	4.07, 3.25	61.35	1.39, 0.27	12.59	86.67	49.95	38.60	94.66	61.35	86.61	98.26	0.99	2.40	71.14	41.29	90.80
BRD-K93095519	CP	SJ-172550	MDM inhibitor	MDM4	MDM inhibitor	5.69, 2.44	61.35	2.57, 0.65	61.35	15.28	85.95	13.97	96.36	97.42	66.93	93.81	14.61	-0.95	75.39	-0.78	59.72
BRD-K12079898	CP	PD-160170	neuropeptide receptor antagonist	NPY1R		4.88, 2.44	61.34	1.17, 0.32	66.52	11.21	65.77	96.01	31.31	61.34	51.66	71.50	42.22	37.39	31.20	86.97	77.43
BRD-K50018155	CP	RS-67506	serotonin receptor partial agonist	HTR4		7.32, 4.88	61.32	0.85, 0.16	91.86	44.21	12.00	0.49	91.50	97.08	38.36	59.02	94.21	61.32	92.09	22.07	95.02
BRD-K53878242	CP	MMPX	phosphodiesterase inhibitor			4.88, 3.25	61.26	0.97, 0.36	5.58	61.26	72.51	76.47	76.00	58.33	18.52	14.91	94.01	71.46	25.52	28.19	78.49
BRD-K53318339	CP	vinpocetine	phosphodiesterase inhibitor, sodium channel blocker, voltage-sensitive sodium channel inhibitor	PDE1A, PDE1C, SCN10A		6.50, 2.44	61.19	0.94, 0.25	49.59	61.19	45.29	86.06	78.64	84.74	35.41	16.19	57.06	72.61	63.10	4.92	99.05
BRD-A09533288	CP	verapamil	calcium channel blocker, L-type calcium channel blocker, dopamine receptor antagonist	CACNA1C, CACNA1D, CACNA1G, CACNA1S, CACNA1A, CACNA1B, CACNA1F, CACNA1I, CACNB1, CACNB2, CACNB3, CACNB4, CYP2C8, CYP2E1, CYP3A4, CYP3A5, CYP3A7, DRD2, KCNA10, KCNA7, KCNH2, KCNJ11, NALCN, SCN5A, SLC29A4, SLC6A4		5.69, 4.07	61.11	0.84, 0.11	61.11	50.85	87.99	44.24	70.05	91.32	61.22	61.85	47.85	44.40	50.14	11.70	87.41
BRD-A55946879	CP	BW-B70C	lipoxygenase inhibitor	ALOX5		1.75, 0.00	61.06	1.08, 0.33	75.46	50.34	11.82	55.39	18.91	41.26	61.06	67.14	17.44	94.55	85.29	93.01	82.18
BRD-K06335600	CP	tizanidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, CYP1A2, NISCH		7.02, 4.39	61.04	1.50, 0.47	93.66	93.04	38.00	98.48	55.23	57.18	29.62	61.04	72.49	0.18	58.42	93.19	82.49
BRD-A38898897	CP	GW-311616	leukocyte elastase inhibitor	ELANE		8.94, 3.25	61.00	1.43, 0.49	61.00	96.14	77.92	21.06	91.12	22.32	30.69	27.19	71.66	79.65	57.33	9.35	95.52
BRD-A98702003	CP	carbenoxolone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3		4.07, 1.63	60.98	0.97, 0.31	40.92	31.39	79.08	19.54	78.10	81.57	39.97	33.65	24.24	75.10	81.78	61.27	60.98
BRD-K38197229	CP	bumetanide	diuretic, solute carrier family member inhibitor	SLC12A1, SLC12A2, CFTR, GPR35, SLC12A4, SLC12A5		5.69, 3.25	60.98	1.00, 0.23	94.84	49.59	41.99	90.53	90.97	78.18	23.45	89.27	70.39	15.70	15.34	33.73	60.98
BRD-A96485169	CP	EBPC	aldose reductase inhibitor	AKR1B1		4.88, 1.63	60.97	0.77, 0.24	88.95	96.54	13.21	14.37	81.06	55.88	66.08	60.97	94.98	5.42	28.83	59.06	96.27
BRD-K19605405	CP	ZM-241385	adenosine receptor antagonist	ADORA2A, ADORA2B, ADORA1, ADORA3		4.07, 4.07	60.96	0.63, 0.23	60.96	6.58	80.89	72.67	87.01	94.43	14.95	81.67	27.94	-7.86	11.88	6.25	63.32
BRD-K59650319	CP	YM-298198	glutamate receptor antagonist	GRM1		8.94, 3.25	60.96	0.99, 0.30	39.55	91.89	50.26	0.63	90.61	74.95	54.54	31.76	69.38	60.96	73.47	22.44	99.65
BRD-A22380646	CP	pantoprazole	ATPase inhibitor	ATP4A, CYP2C19, CYP3A4		4.07, 1.63	60.94	0.58, 0.15	15.67	61.15	56.43	25.98	85.17	72.34	77.51	37.31	57.41	83.59	60.94	19.22	85.30
BRD-A73680854	CP	PT-630	dipeptidyl peptidase inhibitor, fibroblast activation protein inhibitor	DPP4, FAP		8.94, 4.88	60.94	1.68, 0.49	64.32	64.86	79.65	21.18	99.51	56.66	65.83	98.20	60.80	60.94	54.70	10.69	55.15
BRD-K67445247	CP	flurofamide	bacterial urease inhibitor			13.01, 9.76	60.88	1.14, 0.33	41.15	95.51	60.88	14.53	54.15	30.79	68.58	22.72	99.68	72.08	30.09	71.80	97.95
BRD-K95237249	CP	probenecid	MRP inhibitor, TRPV agonist, uricosuric blocker	SLC22A6, ABCC1, PANX1, SLC22A11, SLC22A8, SLCO1C1, TRPV2		10.57, 4.88	60.87	1.38, 0.33	57.27	96.49	79.35	55.89	98.27	84.55	38.81	97.64	51.27	58.64	60.87	47.40	84.33
BRD-K54987996	CP	CAY-10578	casein kinase inhibitor			3.51, 1.75	60.83	1.03, 0.23	80.53	73.57	9.68	20.73	19.72	75.31	60.83	10.90	60.54	95.55	80.90	4.05	81.34
BRD-K05464208	CP	JX-401	p38 MAPK inhibitor	MAPK14		3.25, 2.44	60.80	1.08, 0.38	61.65	2.75	70.81	51.65	84.68	79.34	8.74	0.04	69.86	16.84	60.80	61.82	46.58
BRD-K14765469	CP	vesamicol	acetylcholine transport inhibitor	SLC18A3		5.69, 1.63	60.80	0.59, 0.17	66.89	99.26	53.87	49.72	78.24	86.93	60.80	50.80	64.65	65.27	40.18	17.43	49.50
BRD-K56429665	CP	calcipotriol	vitamin D receptor agonist	VDR	Vitamin D receptor agonist	1.75, 0.00	60.77	1.07, 0.26	75.35	79.66	32.90	24.05	-70.55	90.83	15.92	14.69	85.42	60.77	45.77	83.74	78.62
BRD-K00959089	CP	thenoyltrifluoroacetone	PPAR receptor ligand	CES1, PPARA, SDHA		4.88, 2.44	60.70	1.36, 0.39	60.70	94.38	47.20	49.77	80.51	59.60	49.32	98.18	94.19	38.26	70.71	42.14	88.62
BRD-A56012032	CP	thiorphan	membrane metalloendopeptidase inhibitor	MME		6.50, 4.88	60.65	1.03, 0.25	73.45	26.72	28.20	19.91	23.30	89.36	60.65	78.15	77.04	90.03	13.22	6.10	60.94
BRD-K41051431	CP	mecillinam	cell wall synthesis inhibitor			6.73, 4.81	60.63	1.16, 0.34	67.40	94.08	32.00	35.07	60.63	83.07	80.21	58.91	89.08	30.63	77.50	33.23	12.56
BRD-K61097567	CP	SB-218795	tachykinin antagonist	TACR3		6.50, 4.07	60.60	1.00, 0.34	80.16	9.72	97.53	7.67	93.72	92.38	61.06	39.01	0.81	4.44	78.33	22.07	60.60
BRD-K37991163	CP	paroxetine	cyclophilin inhibitor, norepinephrine reputake inhibitor, selective serotonin reuptake inhibitor (SSRI), serotonin reuptake inhibitor, serotonin uptake inhibitor	SLC6A4, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HTR2A, SLC6A2		8.13, 4.88	60.55	1.65, 0.47	99.33	37.34	60.55	99.30	58.47	73.58	32.76	1.62	72.57	32.50	84.84	19.85	66.91
BRD-K89046952	CP	ciclacillin	cell wall synthesis inhibitor			6.50, 2.44	60.52	1.22, 0.27	36.56	47.14	47.22	29.21	92.34	86.71	83.34	52.07	96.91	90.02	77.13	58.30	60.52
BRD-K24656285	CP	farnesol	amine oxidase B inhibitor, FXR agonist	MAOB, MVK, NR1H4		5.69, 2.44	60.50	2.13, 0.48	72.06	45.83	92.76	47.91	84.02	28.76	44.73	72.51	22.03	97.04	18.59	60.50	88.81
BRD-K95899059	CP	LY-344864	serotonin receptor agonist	HTR1F, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2B, HTR2C, HTR7		1.75, 0.00	60.49	1.18, 0.20	23.82	64.26	64.48	10.40	50.05	91.99	60.49	75.43	63.88	60.11	21.45	50.96	60.89
BRD-K96862998	CP	pirfenidone	FGFR antagonist, p38 MAPK inhibitor, TGF beta receptor antagonist, TGF beta receptor inhibitor, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist	TNF, FURIN, MAPK14, TNFRSF1A		5.69, 3.25	60.48	1.26, 0.27	14.54	60.48	78.06	9.99	59.22	79.38	51.22	93.93	46.83	70.57	87.30	4.83	93.57
BRD-K06593056	CP	LE-135	retinoid receptor agonist	RARB		1.63, 0.81	60.46	0.53, 0.05	47.13	69.21	61.39	23.61	15.40	65.71	9.83	50.92	56.83	77.93	60.46	60.66	76.19
BRD-K63675182	CP	triflupromazine	acetylcholine receptor ligand, dopamine receptor	HTR2B, CHRM1, CHRM2, CHRNA7, DRD1, DRD2	Dopamine receptor antagonist	3.25, 1.63	60.42	1.53, 0.61	94.92	60.42	83.19	68.22	-40.47	41.27	27.87	-35.34	14.89	79.16	78.61	72.62	44.05
BRD-A85025557	CP	NCS-382	GABA receptor antagonist	GABBR1, GABBR2, SLC52A2	GABA receptor antagonist	6.50, 4.07	60.38	0.59, 0.10	11.72	82.41	81.72	73.39	92.34	95.80	23.34	60.38	98.83	17.02	47.91	47.63	50.37
BRD-A11813248	CP	AM-92016	glutamate receptor antagonist, ionotropic glutamate receptor antagonist, time-dependent delayed rectifier potassium current blocker	GRIN1, GRIN2B		4.07, 4.07	60.37	0.78, 0.19	94.33	39.13	41.23	62.63	84.54	82.77	28.74	60.37	35.93	51.11	82.18	49.25	90.81
BRD-K81839095	CP	estrone	estrogen receptor agonist, estrogenic hormone	ESR1, ESR2	Estrogen receptor agonist	1.63, 0.81	60.37	0.52, 0.35	23.78	71.27	62.66	63.46	60.37	22.31	40.77	59.07	50.84	67.49	34.74	75.13	69.03
BRD-A31800922	CP	procyclidine	anticholinergic	CHRM1, CHRM2, CHRM3, CHRM4		10.53, 5.26	60.35	1.05, 0.30	58.62	99.28	38.18	60.35	76.67	95.18	19.00	69.64	14.22	44.75	81.44	12.02	63.23
BRD-K45401373	CP	betulinic-acid	apoptosis stimulant, caspase activator, diacylglycerol O acyltransferase inhibitor, HIV integrase inhibitor, NFkB pathway activator, NFKB pathway inhibitor, SARS coronavirus 3C-like protease inhibitor, topoisomerase inhibitor	CASP3, CASP8, GPBAR1, TOP1		4.07, 2.44	60.34	0.89, 0.25	53.64	75.87	60.34	67.57	87.22	39.61	6.11	7.75	69.58	97.81	41.24	40.12	86.58
BRD-A30435184	CP	metergoline	dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor	DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7	Serotonin receptor antagonist	2.63, 0.00	60.29	1.90, 0.58	90.69	53.58	32.72	11.13	82.33	69.50	61.06	36.00	97.13	27.36	60.29	91.37	10.98
BRD-K46678324	CP	RHO-kinase-inhibitor-II	ROCK inhibitor		Rho associated kinase inhibitor	4.39, 3.51	60.28	0.91, 0.23	64.40	60.28	42.07	61.88	76.11	85.21	25.76	84.18	78.01	25.60	31.41	55.72	19.68
BRD-A62071884	CP	siguazodan	histamine receptor antagonist, phosphodiesterase inhibitor	PDE3A		4.88, 3.25	60.21	1.00, 0.30	44.18	64.94	76.21	60.21	61.42	61.71	6.68	6.16	63.23	54.38	42.06	1.94	98.09
BRD-K17110974	CP	aristolochic-acid	phospholipase inhibitor			7.32, 3.25	60.15	0.75, 0.11	61.32	88.12	-6.88	22.09	60.15	74.59	41.97	26.40	96.29	82.15	42.70	73.13	41.72
BRD-K86434416	CP	selegiline	monoamine oxidase inhibitor, superoxide dismutase stimulant	MAOB, MAOA, CYP2B6, CYP2C19		8.77, 3.51	60.14	0.80, 0.26	15.77	60.14	82.56	54.78	61.54	71.29	78.77	34.94	78.54	6.61	16.82	32.87	88.65
BRD-A49906757	CP	scopolamine	acetylcholine receptor antagonist	CHRM2, CHRM1, CHRM3, CHRM4, CHRM5, SI		8.13, 4.88	60.10	0.82, 0.25	0.49	84.68	30.73	93.86	88.55	69.04	35.58	-20.65	60.10	85.18	9.86	17.34	98.40
BRD-K26863634	CP	BIX-01338	histone methyltransferase inhibitor			7.89, 3.51	60.10	1.50, 0.34	35.20	52.59	32.32	4.23	85.53	91.05	95.85	33.64	61.92	40.20	75.00	60.10	97.99
BRD-A36318220	CP	necrostatin-1	RIPK inhibitor, indoleamine 2,3-dioxygenase inhibitor	IDO1, KRR1, RIPK1		6.50, 4.07	60.09	0.58, 0.11	21.79	81.36	90.22	40.56	80.03	60.76	60.09	16.52	75.21	14.65	53.15	47.72	85.48
BRD-A78377521	CP	monastrol	kinesin-like spindle protein inhibitor	KIF11		4.88, 3.25	60.07	0.77, 0.18	22.30	94.16	92.30	14.00	93.46	78.08	18.03	58.46	-7.48	60.07	64.69	54.44	82.80
BRD-K08973992	CP	linoleic-acid	oxidative stress inducer	FABP4, FFAR1, FFAR4, HNF4A, KCNB1, PPARG, TRPM8		5.26, 0.00	60.07	1.27, 0.38	24.43	57.40	-8.22	6.26	72.12	77.35	60.07	65.61	78.36	67.15	25.24	17.10	60.88
BRD-K06895174	CP	cisapride	acetylcholine receptor agonist, serotonin receptor agonist	HTR4, KCNH2, CYP2B6, CYP2C8, CYP3A5, CYP3A7, HTR2A, HTR3A	Serotonin receptor agonist	10.57, 4.88	60.03	0.73, 0.13	55.48	93.09	36.53	67.25	24.70	97.32	30.43	31.11	60.03	65.31	51.86	65.88	96.69
BRD-K44899736	CP	RO-16-6941	monoamine oxidase inhibitor			4.88, 2.44	60.03	1.00, 0.28	67.46	97.63	53.16	35.75	50.14	60.03	22.02	16.01	96.68	95.73	18.59	78.80	82.00
BRD-K75958195	CP	pizotifen	serotonin receptor antagonist	HTR2A, HTR1A, HTR2C	Serotonin receptor antagonist	5.69, 4.07	60.03	0.60, 0.09	66.42	55.64	50.22	43.23	66.64	60.03	63.26	39.59	89.76	93.10	68.29	53.07	50.98
BRD-K60274257	CP	dephostatin	tyrosine phosphatase inhibitor	PTPN1, PTPN6		8.13, 5.69	60.02	1.38, 0.31	55.45	77.04	31.64	98.89	92.10	58.43	60.02	51.54	61.82	51.22	83.84	73.36	22.84
BRD-K64881305	CP	ispinesib	kinesin family member inhibitor, kinesin inhibitor, Kinesin-Like Spindle Protein  KIF11 (KSP, Eg5) Inhibitors	KIF11		4.88, 2.44	60.02	1.68, 0.51	41.16	20.92	71.33	26.91	96.85	74.61	60.02	23.01	48.84	99.61	91.47	98.66	2.61
BRD-K11634954	CP	GBR-13069	dopamine uptake inhibitor	SLC6A3		4.88, 2.44	60.00	0.97, 0.26	94.39	65.68	31.03	39.76	73.64	29.76	60.00	3.30	94.25	37.56	76.17	15.95	96.69
BRD-K21936341	CP	oxotremorine	acetylcholine receptor agonist	CHRM2, CHRM1, CHRM3, CHRM4		3.51, 2.63	59.98	1.61, 0.50	33.51	61.98	88.89	51.16	65.48	37.60	73.60	59.98	72.96	89.10	36.82	28.33	21.14
BRD-K68264559	CP	brimonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, AOX1		6.50, 3.25	59.97	0.86, 0.16	56.48	96.54	72.73	33.07	59.97	29.44	37.88	18.15	91.99	88.52	54.12	87.40	97.64
BRD-A95513702	CP	androsta-1,4-dien-3,17-dione	aromatase inhibitor	CYP19A1	Aromatase inhibitor	5.69, 4.88	59.96	0.66, 0.23	59.96	64.31	55.07	99.89	62.39	70.44	10.10	8.55	38.62	43.34	74.01	19.34	88.51
BRD-K26241953	CP	piceatannol	syk inhibitor, cyclooxygenase inhibitor, nitric oxide synthase inhibitor, SIRT activator, tyrosinase inhibitor, tyrosine kinase inhibitor	ATP5A1, ATP5B, ATP5C1, IRF3, PTGS2, SIRT1, SYK, TYR		0.81, 0.81	59.94	1.05, 0.30	94.66	83.76	79.32	30.85	35.42	55.68	57.10	22.53	59.94	15.30	77.69	65.38	81.34
BRD-K64310881	CP	MW-STK33-3B	large conductance potassium channel activator			7.02, 2.63	59.89	1.39, 0.25	59.89	13.21	74.41	13.87	91.04	82.76	84.12	22.12	99.51	86.32	8.67	15.93	48.44
BRD-K80672993	CP	M2-PK-activator	pyruvate kinase isozyme activator	PKM		3.25, 3.25	59.89	0.49, 0.08	84.76	73.02	25.71	19.30	33.14	62.29	28.40	75.13	49.21	86.40	30.70	59.89	83.26
BRD-K51918615	CP	iodophenpropit	histamine receptor antagonist, histamine receptor inhibitor, ionotropic glutamate receptor antagonist	HRH3, HRH4, GRIN2B		4.88, 4.07	59.87	1.10, 0.33	86.90	59.87	38.75	34.34	72.53	63.88	12.30	15.43	41.86	21.23	83.84	63.22	93.98
BRD-A20131130	CP	2',5'-dideoxyadenosine	adenylyl cyclase inhibitor			6.50, 4.07	59.85	1.40, 0.35	29.74	98.87	42.91	83.59	78.14	82.37	58.30	59.85	42.98	86.50	52.45	53.33	99.08
BRD-A91452556	CP	estradiol-cypionate	estrogen receptor agonist	ESR1	Estrogen receptor agonist	6.50, 2.44	59.82	1.38, 0.34	66.44	49.78	69.02	81.28	21.74	59.82	77.38	51.65	99.12	96.99	7.29	25.31	39.32
BRD-K35941380	CP	methysergide	serotonin receptor antagonist	HTR2C, HTR1B, HTR1E, HTR1F, HTR2A, HTR2B, HTR7, HTR1A, HTR1D, HTR5A, HTR6		9.76, 4.07	59.82	0.81, 0.24	64.20	96.48	49.42	64.15	73.95	74.80	59.82	20.67	94.96	52.49	46.02	49.09	43.09
BRD-A22143024	CP	estropipate	estrogen receptor agonist	ESR1, ESR2	Estrogen receptor agonist	3.25, 1.63	59.80	0.61, 0.10	82.36	89.38	40.46	32.58	78.96	80.52	53.84	44.42	92.11	59.80	47.03	27.21	91.76
BRD-K48168960	CP	propylthiouracil	thyroperoxidase inhibitor	TPO, DIO1		9.65, 3.51	59.73	1.72, 0.64	77.11	59.02	97.09	72.34	92.25	86.50	73.35	51.53	50.36	22.96	13.26	15.02	59.73
BRD-K72903603	CP	zidovudine	nucleoside reverse transcriptase inhibitor, reverse transcriptase inhibitor	TERT	Reverse transcriptase inhibitor	5.26, 2.63	59.73	0.92, 0.39	23.03	40.03	16.66	59.73	92.08	99.61	61.29	53.97	29.46	68.91	66.55	56.67	61.59
BRD-K74763371	CP	bosentan	endothelin receptor antagonist	EDNRB, EDNRA, ABCB1, CYP2C19, CYP3A4		5.26, 3.51	59.71	1.00, 0.30	21.94	93.08	42.02	59.71	89.72	85.03	20.07	-40.64	8.63	94.84	85.56	20.38	92.46
BRD-K81209159	CP	herniarin	acetylcholinesterase inhibitor	ACHE, CA1, CA12, CA14, CA4, CA6, CA9		3.25, 0.81	59.68	1.57, 0.36	22.61	77.02	59.68	94.68	37.95	41.61	56.53	49.52	81.23	12.15	67.76	92.16	73.55
BRD-K87226815	CP	cycloserine	glutamate receptor agonist, glutamate receptor modulator	GRIN1		8.77, 4.39	59.60	0.73, 0.23	23.59	92.06	43.30	63.25	-38.81	59.60	49.36	93.49	60.70	85.22	18.74	28.49	81.70
BRD-K96809896	CP	SKF-86002	p38 MAPK inhibitor	ALOX5, MAPK14	P38 MAPK inhibitor	4.88, 3.25	59.51	1.01, 0.36	-0.25	93.12	59.51	86.29	-44.01	-1.33	28.57	7.72	99.68	87.10	48.78	63.71	63.43
BRD-A57382968	CP	piroxicam	cyclooxygenase inhibitor	PTGS2, PTGS1		6.50, 4.07	59.44	0.58, 0.16	59.44	77.01	48.64	99.37	63.07	61.49	52.20	72.48	87.58	14.24	21.11	50.48	53.41
BRD-A65550283	CP	ginsenoside	steroidal receptor agonist			1.63, 0.00	59.44	1.13, 0.31	59.44	89.87	2.11	39.53	69.71	77.65	13.07	10.83	47.36	94.76	30.38	80.85	84.60
BRD-K62353524	CP	DY-131	estrogen-related receptor agonist	ESR2, ESRRB, ESRRG		4.88, 3.25	59.41	0.70, 0.22	59.41	33.70	65.85	18.63	56.76	72.25	20.24	21.84	64.52	59.94	79.70	47.19	76.50
BRD-A65671304	CP	candesartan	angiotensin receptor antagonist	AGTR1, AGTR2	Angiotensin receptor antagonist	5.69, 3.25	59.37	0.53, 0.10	33.15	98.64	55.27	56.42	59.37	63.12	69.03	53.55	16.50	27.50	67.15	91.78	70.98
BRD-K80778372	CP	RO-19-4605	GABA benzodiazepine site receptor inverse agonist	GABRA1, GABRA2, GABRA3, GABRA5		8.13, 3.25	59.33	0.72, 0.19	25.27	53.81	59.33	68.34	78.68	66.02	35.62	57.11	60.70	86.10	26.02	27.43	94.26
BRD-A30815329	CP	felodipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CALM1, CFTR, NR3C2, PDE1A, PDE1B, TNNC1, TNNC2		7.32, 5.69	59.32	0.97, 0.16	21.42	93.93	69.79	50.56	98.41	27.42	90.92	59.32	79.74	57.44	47.25	4.83	98.42
BRD-A91699651	CP	chloroquine	antimalarial agent	CYP2C8, GSTA2, MRGPRX1, TLR9, TNF		7.32, 3.25	59.28	0.83, 0.11	62.80	44.07	61.64	19.44	97.73	71.28	62.12	39.85	46.82	39.07	59.28	16.97	82.81
BRD-K83508485	CP	FK-888	tachykinin antagonist	TACR1, TACR2	Tachykinin antagonist	0.81, 0.81	59.23	1.00, 0.35	72.10	73.44	35.04	32.94	61.23	22.18	8.81	22.23	38.38	65.88	59.23	64.51	85.70
BRD-K71731651	CP	PNU-120596	acetylcholine receptor modulator, acetylcholine receptor positive allosteric modulator	CHRNA7		9.76, 4.88	59.21	1.24, 0.47	44.80	94.45	18.99	5.12	95.20	59.21	46.28	67.18	90.13	20.39	99.19	20.10	96.69
BRD-K78959463	CP	FPL-64176	calcium channel agonist, L-type calcium channel activator	CACNA1C, CACNA1S		7.32, 2.44	59.18	0.98, 0.39	35.26	32.70	93.91	43.58	84.07	95.60	34.24	57.23	84.95	88.69	59.18	51.78	86.75
BRD-K17823458	CP	danoprevir	HCV inhibitor, serine protease inhibitor			7.32, 4.88	59.17	0.92, 0.30	9.65	26.70	84.81	0.35	69.57	79.67	41.41	17.43	76.74	94.83	59.17	4.67	93.55
BRD-K02950022	CP	BMS-299897	gamma secretase inhibitor, antiamyloidogenic agent		Gamma secretase inhibitor	2.44, 0.81	59.15	1.18, 0.15	44.78	44.06	15.00	61.00	83.09	73.28	79.37	93.16	93.00	4.93	12.30	59.15	35.61
BRD-K22227508	CP	targinine	nitric oxide synthase inhibitor	NOS2, NOS3		10.58, 6.73	59.15	2.35, 0.69	21.61	59.15	70.48	86.99	-26.50	55.20	98.56	7.93	99.96	97.89	29.46	33.87	88.20
BRD-K86204871	CP	terconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor		Sterol demethylase inhibitor	2.44, 0.81	59.15	0.58, 0.15	54.59	59.15	85.91	79.50	85.30	94.41	7.74	10.14	19.00	38.22	93.03	77.27	37.37
BRD-K79602928	CP	metformin	insulin sensitizer, AMPK activator, biguanide, gluconeogenesis inhibitor	ACACB, INS, PRKAB1		6.14, 3.51	59.11	1.72, 0.47	69.60	73.55	-58.29	36.27	-54.98	39.06	50.50	36.30	76.01	59.11	78.92	84.62	95.66
BRD-A80017228	CP	bendroflumethiazide	sodium/potassium/chloride transporter inhibitor, thiazide diuretic	SLC12A3, CA1, CA2, CA4, KCNMA1, SLC12A1		8.94, 5.69	59.07	0.55, 0.09	37.24	60.53	89.67	70.27	59.36	95.04	23.64	90.45	46.36	8.42	59.07	27.44	37.57
BRD-A65280694	CP	molindone	dopamine receptor antagonist	DRD2, HTR2A, CHRM1, DRD5, HRH1, HTR1A		3.51, 2.63	59.06	1.01, 0.30	76.69	77.87	1.80	88.58	90.70	39.58	56.02	71.99	61.36	20.99	59.06	49.88	8.49
BRD-K62206109	CP	VUF-5681	histamine receptor antagonist	HRH3		8.94, 5.69	59.06	0.89, 0.35	58.30	83.95	64.99	16.80	89.99	86.77	18.97	14.65	13.47	27.08	99.08	59.06	63.46
BRD-K01638814	CP	rilmenidine	adrenergic receptor agonist, imidazoline receptor agonist	NISCH	Imidazoline ligand	7.32, 0.81	59.04	2.49, 0.59	59.45	20.15	85.81	0.56	94.57	59.04	93.00	96.68	33.00	8.95	75.15	-16.99	37.02
BRD-K82135108	CP	elesclomol	apoptosis stimulant, HSP agonist, HSP inducer, oxidative stress inducer, topoisomerase inhibitor	TOP2A		2.44, 0.81	59.03	1.14, 0.13	59.03	55.67	40.49	29.59	34.40	58.56	50.12	81.59	88.68	86.23	82.85	75.91	63.06
BRD-K93658967	CP	aloisine	CDK inhibitor, CFTR channel activator, glycogen synthase kinase inhibitor, JNK inhibitor	CDK2, CDK5, CDK1, CDK5R1, CFTR, PTK2B, ZAP70	CDK inhibitor, Glycogen synthase kinase inhibitor	8.94, 4.88	59.02	0.94, 0.31	55.98	80.12	59.02	85.94	22.09	18.61	50.46	39.29	90.45	99.93	24.36	78.75	72.80
BRD-A92161634	CP	scopoline	acetylcholine receptor antagonist			2.63, 2.63	58.99	0.73, 0.14	10.05	48.38	27.59	76.57	82.13	88.62	40.49	35.75	58.99	35.17	60.57	76.06	94.14
BRD-A93424738	CP	dexamethasone	glucocorticoid receptor agonist, corticosteroid agonist, immunosuppressant	ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2	Glucocorticoid receptor agonist	7.32, 4.88	58.97	1.25, 0.52	88.67	41.75	31.20	58.97	59.13	47.91	44.41	34.31	99.58	84.55	9.67	68.55	93.21
BRD-K16478699	CP	PLX-4720	RAF inhibitor	BRAF, KDR	RAF inhibitor	3.25, 1.63	58.97	0.86, 0.30	61.78	93.61	14.66	17.35	40.97	66.53	58.97	29.45	42.83	91.09	57.44	87.23	67.48
BRD-K26117720	CP	gingerol	nitric oxide synthase inhibitor			4.39, 1.75	58.95	0.75, 0.14	25.10	24.48	69.18	46.22	-23.97	66.91	58.95	70.74	69.67	64.90	18.10	79.85	29.63
