#1.3
2429	20	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K32318651-summary	BRD-K70358946-summary	BRD-K53737926-summary	BRD-K20141153-summary	BRD-K94830329-summary	BRD-K52172416-summary	BRD-K97181089-summary	BRD-K62200014-summary	BRD-A25234499-summary	BRD-A20239487-summary	BRD-K33483813-summary	BRD-K57631554-summary	BRD-K70330367-summary	BRD-K02265150-summary	BRD-K66175015-summary	BRD-K29530284-summary	BRD-K11433652-summary	BRD-K91290917-summary	BRD-K67043667-summary	BRD-K56558538-summary
BRD-A80638690	CP	floxuridine	DNA synthesis inhibitor, MDCK inhibitor, PEPT1 inhibitor, pyrimidine antagonist	TYMS	DNA synthesis inhibitor	8.52, 4.55	64.27	1.23, 0.32	59.06	56.24	15.19	95.81	91.51	86.49	17.48	14.74	82.40	95.46	82.59	76.84	24.59	12.24	74.07	55.61	69.49	20.70	99.68	49.04
BRD-K28075147	CP	biochanin-a	estrogen receptor agonist			3.72, 1.06	64.24	1.30, 0.38	67.61	15.59	60.87	46.36	87.41	42.54	87.44	54.46	13.23	86.56	76.23	85.83	74.67	68.85	8.84	75.84	79.09	13.78	52.21	56.74
BRD-K51541829	CP	RO-25-6981	ionotropic glutamate receptor antagonist, monamine transporter modulator	GRIN2B, SLC18A2		5.68, 3.98	64.22	1.07, 0.26	98.70	3.98	38.27	67.32	86.63	93.89	82.09	53.05	51.17	44.96	64.19	68.95	64.24	65.27	28.42	92.38	97.79	51.90	52.73	42.41
BRD-A02176148	CP	tubaic-acid	mitochondrial complex I inhibitor, NADH-ubiquinone oxidoreductase (Complex I) inhibitor	MT-ND1		7.45, 3.19	64.20	1.09, 0.36	54.05	13.72	95.51	93.03	88.83	77.10	96.54	84.32	69.53	80.96	50.10	0.00	99.58	37.36	16.34	58.88	96.74	24.40	22.13	36.97
BRD-K59637651	CP	NSC-119889	botulin neurotoxin inhibitor, mur synthetase inhibitor			3.98, 2.27	64.20	1.03, 0.30	83.20	31.19	64.74	64.66	62.24	55.20	22.88	96.98	91.87	21.41	64.51	48.60	90.41	21.56	55.30	69.37	72.98	63.89	72.36	27.67
BRD-K48869804	CP	icilin	TRPA1 agonist, TRPM8 agonist	TRPA1, TRPM8		4.79, 3.19	64.17	0.57, 0.14	75.52	46.11	37.78	53.53	93.78	68.50	99.86	14.57	16.49	89.39	64.54	15.88	63.79	31.18	27.63	37.58	80.91	82.69	95.28	77.12
BRD-A97674275	CP	ranolazine	fatty acid oxidation partial inhibitor, Sodium Channel  Blockers, sodium channel blocker	SCN9A, SCN10A, SCN5A, SLC22A2		7.45, 4.79	64.08	0.36, 0.02	63.53	25.68	64.13	67.03	85.54	82.40	82.56	64.03	14.32	63.12	78.15	66.60	45.24	5.29	10.79	87.24	85.21	52.96	89.75	45.32
BRD-K45446451	CP	JZL-184	monoacylglucerol lipase inhibitor	MGLL		4.79, 2.66	64.07	1.31, 0.39	63.42	17.80	28.83	82.84	64.36	98.12	63.78	56.98	98.21	80.94	72.82	70.57	57.32	87.80	56.22	27.46	77.08	52.65	33.74	85.22
BRD-K17896185	CP	FIT	opioid receptor agonist	OPRD1		7.98, 4.26	63.95	1.44, 0.51	70.37	70.42	99.47	21.25	81.66	18.32	9.28	11.12	30.21	73.50	80.51	67.00	5.59	96.96	96.51	24.50	60.90	94.46	20.71	49.71
BRD-K18618618	CP	cimetidine	histamine receptor antagonist, histamine receptor inhibitor	HRH2, SLC29A4, SLC47A1, SLC47A2		5.85, 1.60	63.91	0.72, 0.26	82.68	67.40	60.42	97.46	81.70	49.12	17.07	70.22	91.84	94.32	40.19	41.81	12.78	50.74	6.89	51.71	76.43	97.47	94.60	23.77
BRD-K99595596	CP	salsolinol	monoamine oxidase inhibitor, tyrosine hydroxylase inhibitor	DRD2		2.66, 2.13	63.86	1.18, 0.36	97.14	3.03	38.31	39.45	33.63	71.40	34.12	45.10	76.26	71.68	77.34	44.31	87.30	62.26	-5.42	38.06	69.42	76.56	65.47	85.16
BRD-K04185004	CP	oxybuprocaine	anesthetic	SCN10A		6.38, 3.72	63.86	0.92, 0.35	72.20	36.91	56.80	33.77	96.91	75.21	98.64	-13.88	74.15	65.96	61.76	60.36	71.09	39.00	20.40	41.28	79.63	66.93	21.30	67.99
BRD-A50764878	CP	MDL-73005EF	serotonin receptor antagonist, serotonin receptor partial agonist	HTR1A		3.41, 1.14	63.85	0.63, 0.07	89.82	33.79	37.98	47.86	93.77	88.59	63.65	20.40	81.76	84.30	83.15	57.49	83.04	53.28	64.06	40.19	85.49	69.47	43.28	43.49
BRD-K06388322	CP	pramipexole	dopamine receptor agonist	DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C		10.06, 4.40	63.85	1.11, 0.22	98.59	34.73	59.54	98.92	88.56	95.07	60.97	64.65	17.75	51.07	63.04	40.53	90.55	67.27	55.66	90.51	71.72	50.05	98.25	53.09
BRD-K66175015	CP	afatinib	EGFR inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, ERBB4	EGFR inhibitor	7.45, 6.38	63.84	1.34, 0.32	79.01	74.55	90.76	37.01	88.16	66.14	47.69	15.96	20.53	24.78	45.97	82.87	38.19	95.82	99.98	61.55	-13.25	53.53	91.11	67.52
BRD-K80738081	CP	resveratrol	apolipoprotein expression enhancer, beta-secretase inhibitor, cyclooxygenase inhibitor, cytochrome P450 inhibitor, lipid peroxidase inhibitor, MAP kinase inhibitor, monoamine oxidase inhibitor, NFkB pathway modulator, SIRT activator, SIRT pathway, SIRT stimulant, sodium channel blocker, thioredoxin reductase inhibitor, topoisomerase inhibitor, xanthine oxidase inhibitor	PTGS1, PTGS2, SIRT1, APOA1, BACE1, CSNK2A1, MAOA, NQO2, SCN5A, TXNRD1, TXNRD2, XDH		4.26, 3.72	63.82	0.95, 0.20	54.08	47.70	40.99	64.00	78.26	73.95	42.62	61.67	75.33	55.74	93.55	69.41	88.69	45.82	60.79	68.45	75.57	45.16	63.64	74.71
BRD-K67680372	CP	CI-966	GABA uptake inhibitor, GAT inhibitor	SLC6A1		4.26, 3.19	63.81	0.90, 0.19	63.80	18.02	41.81	9.17	66.07	71.80	72.64	6.40	84.86	71.99	97.39	52.27	39.83	43.97	63.82	71.37	86.65	38.92	29.42	83.02
BRD-K54314721	CP	zolmitriptan	serotonin receptor agonist	HTR1B, HTR1D, HTR1A, HTR1F, HTR1E		5.85, 4.79	63.80	0.59, 0.14	29.85	33.59	86.48	74.46	89.74	91.58	5.45	5.39	50.45	98.31	99.08	72.82	78.16	61.59	59.21	60.34	29.31	35.81	66.00	81.84
BRD-A51714012	CP	venlafaxine	serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, norepinephrine reputake inhibitor, serotonin uptake inhibitor	SLC6A2, SLC6A4, CYP2C19, SLC6A3		7.98, 3.19	63.76	0.63, 0.15	88.77	56.56	46.80	68.19	78.34	23.71	45.77	19.27	18.89	73.20	67.67	59.47	59.86	11.30	12.40	68.01	76.07	98.84	98.78	68.63
BRD-K13544237	CP	r(-)-propylnorapomorphine	dopamine receptor agonist, antiamyloidogenic agent	DRD2, DRD1, DRD3		4.79, 3.19	63.75	0.68, 0.19	42.84	30.84	56.57	83.05	91.12	63.23	77.16	70.47	6.09	89.08	29.74	37.60	79.61	59.07	64.28	81.94	60.39	71.95	54.61	96.32
BRD-K47936004	CP	piribedil	dopamine receptor agonist, adrenergic receptor antagonist	DRD2, DRD3, ADRA1A, ADRA2A, ADRA2C, DRD4, HTR1A, HTR2B		7.95, 3.41	63.74	0.93, 0.11	82.27	46.18	28.50	32.71	58.88	97.03	73.59	46.95	72.53	65.60	79.06	26.46	72.49	57.77	30.65	94.53	94.37	93.52	61.88	48.71
BRD-K36198571	CP	WAY-170523	metalloproteinase inhibitor	MMP13		1.60, 0.00	63.70	1.30, 0.38	73.28	74.38	75.09	20.41	54.12	77.46	9.85	15.53	-11.81	20.53	76.22	42.38	87.10	81.61	92.39	21.06	45.74	90.52	53.11	87.33
BRD-K97158071	CP	droperidol	dopamine receptor antagonist, dopamine receptor	DRD2, ADRA1A	Dopamine receptor antagonist	4.79, 1.06	63.69	0.52, 0.11	88.97	27.68	80.78	78.10	52.73	51.37	42.49	81.11	24.49	66.83	36.70	60.55	71.14	70.87	30.32	95.24	50.77	57.21	83.46	88.71
BRD-K92723993	CP	imatinib	PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, KIT inhibitor, Abl kinase inhibitor, apoptosis stimulant, breast cancer resistance protein inhibitor, colony stimulating factor receptor inhibitor	ABL1, KIT, PDGFRA, BCR, CSF1R, PDGFRB, ABCG2, CYP2C19, CYP2C8, CYP3A5, DDR1, NTRK1, RET		5.32, 2.13	63.67	1.03, 0.19	91.65	86.28	40.69	53.59	-45.50	80.40	97.03	19.07	82.65	48.07	63.66	77.91	96.69	32.74	63.68	92.20	76.90	30.26	44.37	41.31
BRD-K43068349	CP	AMG-9810	TRPV antagonist	TRPV1		3.19, 2.13	63.52	0.85, 0.15	64.55	78.67	7.88	-49.87	67.98	42.15	85.52	62.49	66.41	65.58	36.95	29.29	76.70	-18.06	43.55	96.67	94.92	33.04	36.92	88.77
BRD-K96144918	CP	mead-acid	KPL-1 tumor suppressor			5.85, 2.66	63.51	1.18, 0.35	70.34	59.46	90.34	95.24	81.11	76.96	7.67	9.85	11.65	98.45	86.92	86.77	70.74	60.57	21.11	62.01	43.01	21.87	65.02	42.79
BRD-K33308633	CP	INCA-6	calcineurin inhibitor, Inhibitor of interaction between calcineurin and its substrate nuclear factor of activated T cells (NFAT)	NFATC1		2.13, 1.06	63.51	0.63, 0.18	43.98	43.91	62.42	67.34	52.62	7.67	7.68	94.54	24.18	71.81	84.05	64.60	26.58	25.12	64.87	80.48	73.47	83.66	90.57	45.85
BRD-K34820100	CP	tebuthiuron	photosynthesis inhibitor			8.51, 3.72	63.51	0.59, 0.14	58.47	26.28	68.54	69.44	86.64	27.08	95.49	22.50	38.59	98.38	32.18	88.07	88.94	57.54	4.51	78.02	80.48	18.54	44.82	69.66
BRD-K77695569	CP	tiabendazole	quinol-fumarate reductase inhibitor			11.17, 5.85	63.41	0.77, 0.14	76.53	49.92	92.30	49.92	97.44	40.41	61.19	-1.48	65.62	98.13	85.38	91.03	45.81	35.59	20.84	44.93	81.94	39.62	96.27	79.11
BRD-K06854232	CP	AM-580	RAR agonist, retinoid receptor agonist	RARA	Retinoid receptor agonist	1.06, 0.53	63.39	0.38, 0.13	88.97	40.13	68.26	73.03	67.00	17.89	92.63	27.94	13.31	66.99	61.58	27.00	90.05	47.67	28.85	81.64	65.20	43.26	71.18	49.48
BRD-K33211335	CP	dextromethorphan	glutamate receptor antagonist, sigma receptor agonist	SIGMAR1, CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, CYP3A5, GRIN1, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SLC6A2, SLC6A4		4.26, 1.06	63.38	0.61, 0.14	70.21	43.09	53.23	95.19	83.98	42.56	62.12	7.87	30.94	84.22	90.45	58.10	31.86	71.26	21.67	58.35	64.64	73.60	98.80	77.97
BRD-A52172093	CP	VU-0413807-2	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I		3.57, 2.98	63.36	1.13, 0.25	38.67	4.16	42.05	-12.70	92.22	91.77	85.60	49.16	29.73	54.34	87.13	84.25	88.56	79.34	16.55	66.85	95.91	44.55	59.88	93.46
BRD-K87142802	CP	veliparib	PARP inhibitor, DNA repair enzyme inhibitor	PARP1, PARP2	PARP inhibitor	5.32, 0.53	63.36	1.06, 0.25	98.25	19.64	18.79	63.57	50.22	95.11	91.40	12.19	96.17	91.81	39.80	26.17	78.63	38.98	10.18	63.16	77.69	28.14	66.92	88.16
BRD-K12002134	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	9.09, 5.11	63.33	1.36, 0.45	57.61	27.66	56.30	15.07	95.43	48.48	66.86	-7.22	10.02	69.85	97.85	97.60	93.21	18.14	64.35	60.02	98.77	62.32	73.03	71.18
BRD-K32501161	CP	vanoxerine	dopamine reuptake inhibitor, dopamine transporter inhibitor, monoamine oxidase inhibitor	SLC6A3, MAOA, MAOB		4.79, 2.13	63.30	1.47, 0.31	23.10	76.38	81.55	68.67	81.76	31.76	9.86	50.87	79.32	74.91	43.15	79.25	10.86	94.00	87.79	64.17	14.25	62.43	56.11	22.95
BRD-K92000912	CP	AM-251	ACAT inhibitor, cannabinoid receptor antagonist, cannabinoid receptor inverse agonist	CNR1, GPR18, GPR55		4.26, 1.06	63.28	0.55, 0.14	81.53	70.61	63.53	78.68	71.17	88.90	35.47	56.68	24.86	51.53	70.08	47.02	56.86	77.12	63.04	48.10	76.24	56.20	96.30	38.70
BRD-A09472452	CP	flecainide	sodium channel blocker, sodium channel inhibitor, voltage-gated sodium channel blocker	SCN5A, KCNA5, KCNA7, SCN4A		10.64, 5.32	63.24	0.55, 0.09	-4.19	69.50	60.25	72.47	88.89	43.69	73.73	45.70	38.26	61.78	99.37	58.34	67.84	95.62	41.44	12.80	71.06	48.14	64.71	95.77
BRD-K08287586	CP	butylparaben	antimicrobial preservative			6.38, 1.60	63.20	0.50, 0.10	76.40	73.22	39.23	37.61	66.61	72.75	86.67	20.54	17.41	22.04	59.89	44.21	42.27	73.76	62.21	78.95	73.61	36.82	64.19	87.85
BRD-K18905250	CP	ST-91	adrenergic receptor agonist			6.38, 3.19	63.20	1.31, 0.35	-89.65	22.92	10.81	88.84	76.77	61.79	89.14	3.70	12.01	88.89	98.02	54.21	64.61	68.92	6.40	68.26	96.92	13.56	67.35	9.91
BRD-K14920963	CP	erythrosine	food coloring agent			8.51, 4.26	63.20	0.68, 0.19	87.72	13.70	89.96	85.45	99.12	53.88	-15.88	52.06	2.59	66.05	17.67	94.95	95.57	39.53	36.32	60.34	51.84	67.04	99.86	97.95
BRD-A09094913	CP	strychnine	acetylcholine receptor antagonist	GLRA1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA2, GLRA3, GLRB		8.51, 3.72	63.14	0.85, 0.19	-56.53	14.86	61.40	65.95	95.10	27.82	40.40	81.67	18.72	58.48	92.11	88.58	95.11	63.92	7.73	87.02	92.82	62.37	83.41	32.96
BRD-K42095107	CP	daidzein	estrogen receptor agonist	ESRRA, ESRRB, ESRRG, TRPC5	Estrogen receptor agonist	3.98, 2.84	63.14	1.38, 0.39	81.60	31.68	12.72	46.99	62.58	61.71	94.19	19.96	97.86	93.46	97.67	64.80	37.81	31.24	64.53	90.62	-72.98	63.70	58.09	73.41
BRD-K93332168	CP	isocarboxazid	monoamine oxidase inhibitor	MAOA, MAOB		5.85, 3.19	63.14	1.28, 0.35	81.16	21.20	65.43	99.89	93.67	13.99	56.39	85.09	65.03	58.12	93.10	78.94	55.92	61.24	20.04	39.60	46.08	53.29	99.37	68.94
BRD-K04548931	CP	pidorubicine	topoisomerase inhibitor, DNA intercalating drug	TOP2A	Topoisomerase inhibitor	2.13, 0.53	63.10	2.40, 0.72	91.93	15.30	88.59	94.81	78.29	39.09	53.41	36.18	69.17	57.04	-76.66	0.00	42.77	18.45	71.43	96.04	-63.69	82.42	84.10	91.94
BRD-K52080565	CP	rilmenidine	adrenergic receptor agonist, imidazoline receptor agonist	NISCH		7.55, 5.66	63.10	1.17, 0.38	97.96	82.60	83.47	86.68	50.43	70.62	22.91	14.91	16.10	78.32	93.66	98.34	24.92	55.58	54.68	96.76	26.89	20.34	49.93	83.54
BRD-M07438658	CP	lapatinib	EGFR inhibitor, EGFR antagonist, epidermal growth factor receptor (EGFR) inhibitor, receptor tyrosine protein kinase inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2, CYP3A5		6.25, 3.98	63.10	0.85, 0.32	-46.37	35.15	3.21	16.31	89.27	57.88	43.57	68.32	47.22	27.24	98.59	70.74	23.69	91.58	94.42	53.27	92.94	71.49	72.88	77.45
BRD-K51302260	CP	KU-C103871	GSP agonist	SMAD3		7.45, 2.13	63.10	1.35, 0.42	82.17	93.99	12.31	97.47	95.77	37.40	29.93	64.02	49.31	92.30	79.00	15.88	13.11	20.67	62.18	87.80	76.45	83.92	32.71	44.47
BRD-K68341547	CP	W-9	calmodulin antagonist	CALM2	Calmodulin antagonist	4.26, 3.72	63.10	0.93, 0.22	14.02	17.65	92.35	62.31	90.49	66.67	11.12	-0.63	25.43	80.04	75.18	63.88	30.31	86.52	88.56	9.22	84.93	0.28	4.98	75.94
BRD-A55913614	CP	primaquine	antimalarial agent, DNA inhibitor	KRT7, NQO2		7.98, 3.19	63.05	0.57, 0.14	74.45	16.51	59.64	20.36	50.70	66.46	96.86	92.76	48.22	40.55	37.30	39.52	99.66	33.60	37.72	83.50	75.64	78.34	90.76	82.19
BRD-K96527333	CP	dehydroisoandosterone	GABA receptor modulator			7.45, 3.19	63.04	0.83, 0.22	59.22	7.44	84.65	7.91	37.73	77.88	95.11	50.26	64.27	78.53	99.61	46.91	58.76	90.72	36.43	61.81	80.01	33.54	78.93	67.48
BRD-K71534238	CP	GW-9508	Free Fatty Acid Receptor 1 (FFAR1;  GPR40) Agonists, G protein coupled receptor agonist, G-protein coupled receptor agonist	FFAR4, FFAR1		2.66, 1.06	63.03	0.51, 0.08	67.76	31.37	55.99	88.62	78.70	37.29	89.61	48.54	61.12	85.01	64.95	50.45	91.16	78.36	27.69	89.05	86.00	36.32	39.16	50.24
BRD-A77291778	CP	cyclopentolate	acetylcholine receptor antagonist	CHRM1		4.79, 2.13	63.02	0.55, 0.11	64.44	22.90	64.22	72.27	63.79	99.08	32.57	59.12	62.26	30.56	79.95	81.60	59.78	67.77	41.88	49.96	44.18	3.44	80.05	89.29
BRD-K97799481	CP	theophylline	adenosine receptor antagonist, chitinase inhibitor, GABA receptor antagonist, phosphodiesterase inhibitor	ADORA1, ADORA2A, ADORA2B, ADORA3, CHIA, CYP2E1, CYP3A4, HDAC2, PDE3A, PDE4A, PDE4B, PDE5A		12.50, 9.09	63.02	1.84, 0.49	41.55	62.00	31.94	77.77	74.12	30.09	28.39	99.55	79.63	98.38	67.61	87.99	64.04	11.99	12.74	48.58	99.61	96.99	33.10	27.54
BRD-K46937689	CP	phenazone	cyclooxygenase inhibitor	PTGS1, PTGS2		9.04, 4.79	63.01	0.56, 0.14	55.80	19.14	62.01	84.88	89.77	27.83	82.61	31.64	19.23	76.84	59.01	64.37	93.08	15.32	13.92	65.92	81.21	64.01	96.55	34.64
BRD-A26384407	CP	chlortalidone	carbonic anhydrase inhibitor, diuretic, sodium ion tranport inhibitor	CA7, CA1, CA12, CA14, CA4, SLC12A1		9.57, 6.38	62.95	0.86, 0.15	61.66	68.97	53.19	99.22	88.00	88.14	45.50	6.53	60.95	75.13	98.77	64.25	54.36	28.60	15.03	87.23	92.51	89.52	38.59	61.25
BRD-K15601958	CP	SEW-2871	lysophospholipid receptor agonist	S1PR1		6.38, 3.19	62.93	1.19, 0.39	58.43	14.23	31.84	83.64	38.73	49.11	91.66	52.31	99.89	87.17	80.90	26.21	82.54	27.59	8.31	57.39	95.16	79.56	79.86	67.43
BRD-K75699339	CP	rizatriptan	serotonin receptor agonist	HTR1D, HTR1B, HTR1F, HTR1A, HTR1E		6.91, 4.26	62.92	0.34, 0.08	93.98	21.06	49.58	68.76	78.82	37.34	92.32	62.44	55.07	42.18	94.19	88.68	63.41	54.68	10.98	54.92	65.25	87.92	47.56	69.49
BRD-K42142750	CP	retrorsine	mutagenic, antimitotic, cytotoxic			6.25, 2.27	62.88	0.97, 0.31	64.78	46.24	20.45	25.40	64.03	66.95	77.15	96.78	28.11	61.73	91.53	9.24	75.22	71.70	48.47	75.04	66.36	12.97	56.98	30.85
BRD-K06895174	CP	cisapride	acetylcholine receptor agonist, serotonin receptor agonist	HTR4, KCNH2, CYP2B6, CYP2C8, CYP3A5, CYP3A7, HTR2A, HTR3A	Serotonin receptor agonist	7.45, 2.66	62.87	0.73, 0.13	85.59	32.74	61.44	67.94	46.42	12.98	87.87	10.04	67.69	77.06	90.74	64.30	40.46	54.89	26.57	93.06	76.08	43.89	99.82	38.10
BRD-K10843433	CP	phenylbutazone	cyclooxygenase inhibitor, platelet aggregation inhibitor, prostanoid receptor inhibitor	PTGS2, PTGS1, PTGIS		5.85, 3.72	62.83	0.66, 0.13	93.73	6.83	93.80	53.96	61.59	94.94	94.08	63.27	84.01	68.48	77.00	59.08	90.81	8.24	10.89	29.05	48.76	62.39	75.75	48.39
BRD-A44008656	CP	doxylamine	histamine receptor antagonist	HRH1, CHRM1		13.30, 6.91	62.81	0.36, 0.09	78.60	30.22	25.20	94.85	61.05	48.45	72.51	87.08	65.37	49.54	99.44	90.29	27.18	73.29	14.21	59.98	69.67	50.75	50.27	64.57
BRD-K49671696	CP	ketanserin	serotonin receptor antagonist, collagen stimulant	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, DRD1, DRD5, HTR1A, HTR1B, HTR1D, HTR2B, HTR5A, HTR7, SLC18A1, SLC18A2		4.79, 1.60	62.81	0.76, 0.25	83.80	9.11	38.31	63.72	66.78	39.64	79.27	38.97	88.12	61.51	76.01	-6.24	77.44	61.89	33.48	72.48	24.37	66.24	85.03	38.19
BRD-K57569181	CP	pentoxifylline	phosphodiesterase inhibitor, acetylcholinesterase inhibitor, chitinase inhibitor, tumor necrosis factor production inhibitor	TNF, ACHE, ADORA1, ADORA2A, ADRA2B, CHIA, NT5E, PDE4A, PDE4B, PDE5A		6.91, 5.32	62.81	0.63, 0.14	-65.64	33.61	94.39	92.48	58.04	49.18	26.41	69.45	29.80	82.00	89.20	88.21	99.54	71.99	1.87	34.55	55.33	10.73	70.38	67.57
BRD-A78877355	CP	nefopam	cyclooxygenase inhibitor, prostanoid receptor inhibitor			6.38, 4.26	62.77	1.00, 0.24	95.50	20.83	55.79	97.81	69.75	20.45	63.76	51.41	36.40	63.73	48.21	36.45	78.27	61.82	18.75	45.69	80.90	97.04	73.08	84.24
BRD-K18799075	CP	BAY-59-3074	cannabinoid receptor partial agonist	CNR1, CNR2	Cannabinoid receptor agonist	5.32, 3.72	62.76	0.63, 0.17	68.27	71.62	23.28	9.35	43.20	75.62	96.54	71.57	19.25	67.17	98.93	45.72	37.71	7.69	32.91	88.26	84.70	71.53	36.25	58.36
BRD-K16195444	CP	oxymetazoline	adrenergic receptor agonist, unidentified pharmacological activity	ADRA1A, ADRA2A, ADRA1B, ADRA1D, ADRA2B, ADRA2C, CYP2C19, HTR1B, HTR1D, HTR2C		6.38, 4.79	62.76	1.47, 0.35	81.23	12.00	-0.18	7.97	21.57	62.69	100.00	62.83	72.70	4.65	86.95	30.97	77.92	81.38	25.98	67.60	60.95	38.98	81.62	70.70
BRD-K15592317	CP	CP466722	ATM kinase inhibitor	ATM		5.85, 4.79	62.75	2.06, 0.59	85.99	32.35	43.99	74.16	85.73	23.14	96.08	62.28	63.23	65.96	12.86	80.54	83.76	34.65	98.98	74.78	22.91	47.86	62.01	17.70
BRD-K93188295	CP	ARC-239	adrenergic receptor antagonist	ADRA2B, ADRA2A, ADRA2C		6.82, 3.41	62.71	1.82, 0.45	-4.64	84.04	-3.94	60.99	50.59	74.24	58.25	-31.30	39.84	38.23	99.61	41.95	50.47	64.43	69.44	88.89	71.92	78.69	86.38	80.72
BRD-A66435872	CP	HTMT	histamine receptor agonist	HRH4		5.85, 2.66	62.69	1.00, 0.24	93.76	11.67	71.92	39.89	52.45	97.92	58.09	73.71	90.13	71.29	-94.68	55.65	59.42	81.15	36.59	64.34	65.95	20.88	63.55	61.83
BRD-K46742498	CP	alosetron	serotonin receptor antagonist	HTR3A		11.32, 6.29	62.69	1.31, 0.35	98.13	64.84	2.42	36.37	86.47	99.26	99.58	60.54	97.87	59.27	85.78	1.20	96.94	1.09	52.61	56.22	90.35	87.56	-36.86	34.82
BRD-K00206590	CP	P-1075	ATP channel activator, potassium channel agonist	KCNJ8	KCNJ11 modulator, Potassium channel activator	5.32, 3.19	62.68	1.06, 0.25	86.46	-0.30	58.26	42.07	17.10	51.16	80.47	78.31	6.28	38.85	29.94	72.52	93.93	73.03	14.32	70.25	70.70	25.48	99.05	67.11
BRD-A41451487	CP	PK-11195	benzodiazepine receptor antagonist, constitutive androstane receptor (CAR) antagonist, PXR agonist, translocator protein antagonist	TSPO, NR1I2, NR1I3		4.79, 1.60	62.67	0.45, 0.03	50.23	60.50	79.95	79.89	83.12	80.56	46.58	53.45	19.15	76.15	87.69	55.40	72.37	56.37	70.44	41.18	64.84	73.02	56.11	44.66
BRD-A70649075	CP	sulconazole	sterol demethylase inhibitor, cell wall synthesis inhibitor			2.66, 0.53	62.65	0.64, 0.11	86.86	86.35	23.14	89.31	64.47	60.83	80.45	45.66	29.81	74.12	39.25	15.49	91.11	78.98	71.41	59.71	90.87	46.26	11.06	51.89
BRD-A93477898	CP	PETCM	caspase activator	CASP3		5.68, 2.27	62.62	0.94, 0.27	47.33	16.26	67.02	72.54	91.11	29.46	28.32	58.22	27.60	93.43	86.47	77.93	10.99	68.29	4.26	38.12	82.64	95.91	41.05	68.86
BRD-K77925998	CP	quipazine	serotonin receptor agonist	HTR2A, HTR3A, HTR3B, HTR1A, HTR1D, HTR2B, HTR2C, HTR6, SLC6A4		6.38, 3.19	62.52	0.84, 0.26	65.27	75.37	17.80	87.63	65.89	76.80	24.94	6.32	22.30	37.09	85.86	93.71	58.09	50.27	33.05	59.78	75.16	45.75	88.77	83.74
BRD-A72441487	CP	stiripentol	GABA aminotransferase inhibitor, GABA reuptake inhibitor, sodium channel blocker	ABAT, SCN1A, SCN3A		7.45, 4.79	62.49	1.07, 0.35	90.40	20.60	47.57	90.82	78.99	99.89	55.15	78.46	44.47	87.27	93.53	81.33	31.80	90.66	32.27	59.90	65.09	24.24	27.86	11.73
BRD-K08619838	CP	tremorine	acetylcholine receptor agonist			6.91, 2.66	62.48	1.05, 0.24	74.43	26.29	70.55	97.96	70.84	35.67	99.73	59.72	96.15	98.38	96.02	4.09	31.79	37.54	32.37	8.14	77.71	34.44	65.23	16.82
BRD-K60623809	CP	SU-11652	FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, tyrosine kinase receptor & angiogenic inhibitor, VEGFR inhibitor	KDR, PDGFRB, CAMK1G, FGF2, FGFR1, FLT1, KIT, PDGFRA		3.41, 1.14	62.47	3.73, 0.84	99.05	11.98	92.89	78.53	66.06	57.18	37.11	9.90	89.96	72.86	-89.81	36.24	12.15	69.74	63.82	65.95	-48.79	48.88	61.12	77.11
BRD-K26134695	CP	calpeptin	calpain inhibitor, proteasome inhibitor, tyrosine phosphatase inhibitor			7.45, 4.26	62.47	1.59, 0.51	97.53	2.78	81.44	84.12	63.10	98.33	78.42	92.81	99.19	61.83	-32.68	67.52	31.53	92.55	57.43	16.73	29.47	29.82	14.42	55.82
BRD-K66353228	CP	zoxazolamine	IKCa channel activator			6.91, 3.72	62.44	0.56, 0.11	86.30	42.63	77.19	7.82	39.90	86.92	72.16	5.02	50.97	62.81	80.30	62.07	81.03	9.37	4.47	86.95	58.41	99.75	30.15	76.98
