#1.3
2429	28	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K04185004-summary	BRD-K25394294-summary	BRD-K55930204-summary	BRD-K87990216-summary	BRD-A43882281-summary	BRD-A33447119-summary	BRD-K47780086-summary	BRD-K74514084-summary	BRD-A22380646-summary	BRD-A28746609-summary	BRD-A65013509-summary	BRD-A18043272-summary	BRD-K01292756-summary	BRD-A19633847-summary	BRD-K85090592-summary	BRD-A97479839-summary	BRD-K90333595-summary	BRD-K15567136-summary	BRD-A48430263-summary	BRD-K67277431-summary	BRD-K51313569-summary	BRD-K47869605-summary	BRD-A97701745-summary	BRD-K37991163-summary	BRD-K67102207-summary	BRD-K15409150-summary	BRD-K92731339-summary	BRD-A57382968-summary
BRD-K82135108	CP	elesclomol	apoptosis stimulant, HSP agonist, HSP inducer, oxidative stress inducer, topoisomerase inhibitor	TOP2A		2.99, 1.87	60.13	1.14, 0.13	60.17	24.69	48.85	61.25	88.64	60.39	26.69	83.24	36.23	77.32	37.04	48.22	11.10	80.16	80.17	79.20	38.62	42.78	59.13	88.25	63.60	89.39	60.10	48.61	60.55	76.86	3.32	27.27
BRD-K91442916	CP	CAM-9-026	ADAM10 inhibitor			5.39, 3.32	60.13	1.27, 0.26	93.83	55.38	51.52	77.74	96.16	93.17	99.65	-7.39	98.31	72.85	46.01	99.61	31.22	20.86	59.61	45.07	94.02	40.51	88.21	20.95	71.16	60.65	80.87	43.13	87.49	48.56	19.74	57.61
BRD-K70976396	CP	cefoxitin	cell wall synthesis inhibitor			8.06, 4.44	60.12	1.06, 0.36	48.26	12.65	87.34	53.63	61.16	63.40	88.19	64.39	43.64	61.81	98.48	42.50	6.13	5.01	61.58	26.62	61.81	44.79	98.31	40.32	59.08	88.76	40.89	5.07	99.14	9.08	81.72	68.17
BRD-A57382968	CP	piroxicam	cyclooxygenase inhibitor	PTGS2, PTGS1		9.70, 5.22	60.11	0.58, 0.16	50.35	86.20	48.63	77.45	85.61	87.92	61.67	44.09	84.35	54.84	57.21	32.98	7.82	0.32	94.13	-3.03	48.80	74.52	97.18	69.92	90.34	22.15	58.56	5.18	72.78	40.33	74.40	100.00
BRD-K21548250	CP	moracizine	sodium channel blocker	SCN5A		4.03, 1.61	60.10	1.08, 0.42	74.71	92.54	71.06	44.22	88.93	89.59	64.38	96.88	61.86	83.42	54.10	95.41	39.95	9.70	58.35	14.44	80.39	32.75	74.44	51.28	75.12	15.14	45.84	14.45	32.95	36.62	76.76	44.06
BRD-K93280214	CP	gabazine	GABA receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRG2		6.34, 4.10	60.10	0.88, 0.17	71.09	72.60	92.70	56.38	29.93	43.77	73.18	63.82	30.39	80.35	43.03	72.34	3.43	0.95	89.13	86.12	98.87	74.57	22.66	65.65	7.11	7.98	41.41	3.18	86.10	-20.53	96.02	49.10
BRD-K58772419	CP	AZD-6482	PI3K inhibitor	PIK3CD, PIK3CG, PIK3CA, PIK3CB	PI3K inhibitor	6.34, 1.87	60.06	1.38, 0.60	72.48	13.87	74.85	52.89	73.46	38.55	93.06	93.76	94.48	96.16	29.05	71.11	11.99	4.84	64.39	56.49	76.28	52.17	49.14	58.17	93.69	39.03	36.41	94.54	94.19	28.69	61.96	22.17
BRD-K79116891	CP	proxymetacaine	membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker	SCN10A, SCN5A, SCN9A		4.48, 3.36	60.06	0.83, 0.20	54.28	90.67	69.87	55.35	77.67	81.72	67.50	51.05	69.26	50.90	81.56	63.97	15.49	0.70	79.62	78.51	8.54	8.36	26.64	98.03	42.49	34.50	78.62	6.32	63.74	20.31	56.38	81.52
BRD-K75958195	CP	pizotifen	serotonin receptor antagonist	HTR2A, HTR1A, HTR2C	Serotonin receptor antagonist	6.34, 3.73	60.04	0.60, 0.09	43.46	78.47	60.36	52.75	88.16	88.61	77.20	38.23	35.57	72.71	76.41	59.72	78.70	78.05	66.83	52.36	95.67	31.11	67.66	48.49	56.98	13.39	40.64	51.34	39.53	69.68	78.78	45.10
BRD-K62374253	CP	rufloxacin	topoisomerase inhibitor		Bacterial DNA gyrase inhibitor	6.28, 4.48	60.03	1.00, 0.24	62.27	91.48	87.33	9.74	87.64	63.41	99.80	53.47	99.44	42.50	39.82	61.57	30.81	55.57	91.46	81.37	88.78	6.44	50.84	41.90	53.80	72.84	89.19	26.14	61.07	8.50	59.00	18.86
BRD-A97674275	CP	ranolazine	fatty acid oxidation partial inhibitor, Sodium Channel  Blockers, sodium channel blocker	SCN9A, SCN10A, SCN5A, SLC22A2		7.09, 4.10	60.01	0.36, 0.02	9.80	53.76	66.16	59.07	92.55	79.64	97.77	71.15	60.96	84.32	8.15	58.84	4.17	34.12	90.78	25.26	89.72	45.17	70.81	65.57	53.00	83.51	89.66	17.35	63.19	57.71	56.69	4.37
BRD-K50891186	CP	GR-103691	dopamine receptor antagonist		Dopamine receptor antagonist	6.05, 3.63	60.00	1.63, 0.51	67.21	7.55	13.94	13.13	26.17	54.18	19.94	76.70	39.28	58.79	84.85	99.12	98.94	91.39	16.15	16.02	74.27	20.05	63.29	65.89	61.20	71.45	74.40	92.34	57.53	85.30	54.70	23.60
BRD-A59303141	CP	quinethazone	diuretic	CA1, CA2, SLC12A1, SLC12A2, SLC12A3	Na-K-Cl transporter inhibitor	2.42, 1.61	59.99	1.09, 0.31	67.22	59.56	92.87	32.53	49.52	73.40	80.50	32.65	12.89	66.74	71.03	93.06	41.70	9.29	60.42	59.50	33.20	89.99	77.84	91.12	67.74	0.11	59.56	16.61	52.19	14.69	97.02	66.51
BRD-K65814004	CP	diphenyleneiodonium	nitric oxide synthase inhibitor, aldehyde dehydrogenase inhibitor, cytochrome P450 inhibitor, NADPH oxidase inhibitor, xanthine oxidase inhibitor	ALDH1A2, ALDH2, ALDH5A1, ALDH7A1, NOX3, XDH		5.60, 2.61	59.98	0.86, 0.14	86.45	65.67	21.85	22.96	34.29	37.99	13.62	95.15	10.72	13.89	87.19	76.96	69.43	83.78	40.20	76.40	68.55	47.89	14.87	65.11	98.04	97.23	54.85	51.51	72.37	91.12	38.33	1.66
BRD-K43764301	CP	dexketoprofen	cyclooxygenase inhibitor	CXCR1, PTGS1, PTGS2, SLC5A8		2.61, 1.87	59.95	0.97, 0.20	36.65	4.14	79.00	16.73	55.42	46.08	17.99	87.53	79.93	85.96	58.43	74.67	72.40	51.28	59.33	77.81	60.57	25.57	88.50	10.31	72.72	86.61	77.01	18.90	52.00	76.00	70.84	39.26
BRD-A25576662	CP	streptozotocin	DNA alkylating drug	SLC2A2		8.87, 5.24	59.95	1.32, 0.58	86.42	2.18	99.81	47.73	19.25	24.17	88.99	47.84	81.28	79.24	97.30	28.77	1.30	7.48	89.01	86.51	70.10	8.84	34.06	61.85	57.76	66.06	58.05	0.00	77.43	67.89	65.84	10.85
BRD-K19462402	CP	buflomedil	adrenergic receptor antagonist, calcium channel antagonist	CACNA1C		10.76, 5.83	59.91	1.24, 0.35	72.97	95.69	52.72	35.05	97.68	67.83	87.16	51.19	32.60	68.71	60.53	67.00	8.04	46.29	98.37	68.95	26.82	88.90	94.74	72.06	82.97	29.28	53.40	5.70	3.38	44.70	59.30	57.82
BRD-A09533288	CP	verapamil	calcium channel blocker, L-type calcium channel blocker, dopamine receptor antagonist	CACNA1C, CACNA1D, CACNA1G, CACNA1S, CACNA1A, CACNA1B, CACNA1F, CACNA1I, CACNB1, CACNB2, CACNB3, CACNB4, CYP2C8, CYP2E1, CYP3A4, CYP3A5, CYP3A7, DRD2, KCNA10, KCNA7, KCNH2, KCNJ11, NALCN, SCN5A, SLC29A4, SLC6A4		6.34, 3.36	59.88	0.84, 0.11	95.25	22.18	80.78	61.69	75.56	24.15	91.92	44.71	48.64	84.43	64.81	72.69	26.12	1.90	71.57	96.59	88.33	15.19	22.92	80.14	20.60	19.84	87.42	6.20	63.14	42.10	58.07	24.01
BRD-A62021152	CP	WAY-161503	serotonin receptor agonist	HTR2C		4.03, 1.21	59.86	1.43, 0.45	93.27	40.08	93.30	94.52	97.55	45.73	57.20	96.17	24.20	73.01	61.48	97.57	63.67	22.42	93.89	79.26	43.23	25.09	55.41	92.39	70.77	49.05	47.84	27.74	74.64	26.08	58.24	34.65
BRD-K96319534	CP	phentermine	adrenergic transmitter uptake inhibitor, dopamine transmitter uptake inhibitor, serotonin uptake inhibitor	MAOA, MAOB, SLC6A2, SLC6A3, SLC6A4		4.10, 2.24	59.84	0.49, 0.08	64.39	55.30	85.54	77.07	91.46	98.13	48.26	43.07	29.16	90.64	30.38	93.62	8.39	1.64	70.49	68.39	22.96	79.17	98.84	53.78	46.31	76.25	35.36	17.95	78.51	8.50	68.06	28.35
BRD-A48257147	CP	PHCCC	glutamate receptor agonist, glutamate receptor modulator	GRM1, GRM4		3.63, 2.02	59.83	1.11, 0.30	72.75	46.76	69.46	46.40	10.04	77.58	81.30	93.57	33.58	73.81	67.05	98.06	14.14	49.90	80.36	52.61	48.44	40.67	93.68	19.72	95.28	29.94	44.69	29.93	81.28	69.69	75.74	6.14
BRD-K48367671	CP	febuxostat	xanthine oxidase inhibitor	XDH		4.48, 2.24	59.83	0.91, 0.20	26.41	33.56	89.39	24.02	20.08	77.12	72.76	46.52	84.73	64.29	47.79	99.65	47.30	2.68	90.53	58.63	74.50	52.07	94.77	98.66	67.03	50.99	69.38	4.20	70.13	35.63	61.03	24.03
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	7.09, 3.73	59.76	0.94, 0.14	69.73	18.06	22.64	59.64	93.67	46.91	29.45	76.77	67.39	35.49	81.62	69.04	97.64	88.02	50.51	48.91	50.79	45.49	89.11	65.87	54.10	61.54	31.25	93.15	19.76	83.65	59.89	56.14
BRD-A93424738	CP	dexamethasone	glucocorticoid receptor agonist, corticosteroid agonist, immunosuppressant	ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2	Glucocorticoid receptor agonist	4.85, 1.49	59.76	1.25, 0.52	94.25	96.48	84.25	64.58	26.80	89.04	18.84	65.47	64.74	51.99	39.03	30.16	7.59	51.90	37.85	88.03	66.94	65.83	68.78	61.40	25.75	58.11	40.11	49.26	63.02	12.30	65.84	3.70
BRD-K71289571	CP	zafirlukast	leukotriene receptor antagonist	CYSLTR1, CYSLTR2		5.65, 4.03	59.75	0.97, 0.27	83.42	48.86	90.98	32.80	80.15	64.12	86.28	87.55	18.63	19.55	98.17	80.70	2.43	26.47	48.05	55.37	77.34	45.05	86.49	43.78	77.16	90.47	84.47	1.16	93.67	48.57	12.42	2.11
BRD-K78126613	CP	menadione	CDC inhibitor, mitochondrial DNA polymerase inhibitor, phosphatase inhibitor, pyruvate kinase isozyme inhibitor	AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PKM, PROC, PROS1, PROZ, VKORC1, VKORC1L1		3.36, 1.49	59.68	2.21, 0.41	34.99	17.39	73.97	56.82	71.27	2.57	23.34	91.90	73.30	82.40	67.82	58.54	26.99	90.60	63.41	39.57	87.45	43.02	76.59	31.41	53.49	77.25	17.20	25.62	52.70	91.82	74.92	60.82
BRD-K16551401	CP	PNU-22394	serotonin receptor agonist	MAOA, MAOB		6.72, 4.10	59.67	0.97, 0.28	74.99	57.73	84.49	63.50	32.73	88.57	78.27	25.59	81.31	16.51	76.48	75.86	11.39	2.36	79.33	89.27	82.57	2.58	10.53	81.51	2.57	8.21	61.62	3.21	83.59	40.72	26.69	45.73
BRD-K66788707	CP	fludarabine	DNA synthesis inhibitor, DNA repair enzyme inhibitor, purine antagonist, ribonucleotide reductase inhibitor	ADA, DCK, POLA1, RRM1, RRM2	DNA synthesis inhibitor, Ribonucleotide reductase inhibitor	6.45, 4.03	59.63	0.98, 0.33	67.84	16.93	87.14	66.29	73.75	37.34	66.74	48.05	34.34	29.85	97.04	10.18	10.32	28.13	80.25	52.96	43.94	84.07	68.65	84.22	10.86	94.79	77.34	1.55	99.58	23.77	68.59	10.70
BRD-K21936341	CP	oxotremorine	acetylcholine receptor agonist	CHRM2, CHRM1, CHRM3, CHRM4		4.84, 1.21	59.61	1.61, 0.50	59.68	54.94	81.62	38.66	64.43	45.37	96.52	82.24	9.49	83.03	41.35	95.28	0.99	2.69	61.66	90.50	59.54	61.25	72.88	34.17	53.04	86.89	69.60	17.32	27.14	6.24	80.45	27.05
BRD-K97158071	CP	droperidol	dopamine receptor antagonist, dopamine receptor	DRD2, ADRA1A	Dopamine receptor antagonist	4.48, 2.99	59.61	0.52, 0.11	66.09	33.45	81.89	26.04	61.76	36.34	65.01	46.66	78.26	75.12	56.78	78.80	3.23	5.66	80.49	57.79	61.34	54.79	84.85	66.07	85.20	21.41	88.58	44.43	50.93	33.43	87.18	57.88
BRD-A10303790	CP	talampicillin	antibiotic			3.73, 1.49	59.60	0.80, 0.17	75.27	35.35	90.97	62.09	47.96	10.16	26.13	59.84	62.47	59.37	18.16	93.85	21.85	2.96	86.99	68.37	46.88	19.33	22.39	87.86	60.84	71.01	82.40	3.21	71.59	19.27	28.91	80.19
BRD-K99174507	CP	cardiogenol-c	pyrimidine compound, induces embryonic stem cell ifferentiation into cardiomyocytes			3.73, 2.61	59.55	0.99, 0.17	86.93	59.95	70.64	34.33	80.88	45.77	18.06	75.74	78.35	60.82	59.14	79.52	6.52	10.88	48.54	85.21	94.25	68.49	97.64	94.55	21.95	35.71	60.51	22.83	27.54	17.14	0.63	4.37
BRD-K67352070	CP	TC-2559	acetylcholine receptor agonist, acetylcholine receptor ligand	CHRNA4		6.34, 2.61	59.54	1.17, 0.38	96.40	78.44	11.58	99.07	98.71	30.65	74.51	37.29	84.56	3.85	-22.83	77.96	-2.43	17.44	69.63	29.47	-30.54	74.36	70.21	65.01	94.19	33.82	58.22	60.86	62.23	19.27	45.78	56.82
BRD-A35989968	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	8.09, 3.68	59.53	1.46, 0.42	48.38	87.45	93.77	97.89	94.92	9.49	70.02	77.61	20.45	61.38	64.04	57.02	12.43	18.93	53.07	24.82	29.13	62.30	63.73	18.08	87.49	92.98	-58.70	35.18	26.32	69.30	98.84	57.68
BRD-A41941932	CP	vitexin	antioxidant			11.19, 6.34	59.52	1.34, 0.58	90.24	55.45	96.78	83.74	99.93	88.86	45.85	28.13	99.44	79.84	35.42	95.49	1.27	-13.82	97.74	28.43	63.58	71.33	50.80	94.04	52.37	36.24	55.20	30.94	66.06	35.76	90.20	16.38
BRD-K68246049	CP	TTNPB	RAR agonist, retinoid receptor agonist	RARB, RARA, RARG	Retinoid receptor agonist	5.60, 3.36	59.48	1.40, 0.33	95.48	3.52	80.22	17.17	31.17	97.09	27.98	19.62	75.57	59.98	62.41	62.67	15.32	21.54	59.55	90.05	59.41	44.35	79.26	99.44	37.32	21.89	76.22	14.13	70.68	6.65	76.94	49.39
BRD-K45296539	CP	ZD-7114	adrenergic receptor agonist	ADRB3		5.97, 3.36	59.47	0.56, 0.18	50.66	74.37	53.32	75.10	80.45	75.00	35.91	17.78	98.87	77.46	49.95	87.47	28.62	2.26	66.36	97.09	74.24	72.55	42.00	94.05	60.49	45.12	22.08	3.14	94.54	25.73	50.63	58.44
BRD-A03816571	CP	CP-55940	cannabinoid receptor agonist, CC chemokine receptor antagonist	CNR1, CNR2, CXCR4, GPR55		5.60, 3.73	59.45	1.01, 0.33	98.59	8.69	80.06	58.46	34.38	30.72	77.02	86.99	37.17	52.99	98.31	61.38	40.52	89.85	60.08	63.61	55.55	42.08	83.79	62.85	44.68	89.29	56.57	1.37	24.69	81.47	89.54	58.82
BRD-K70914287	CP	BIBX-1382	EGFR inhibitor, tyrosine kinase inhibitor	EGFR, ERBB2	EGFR inhibitor	8.96, 5.22	59.42	1.45, 0.41	18.56	24.76	63.29	8.51	5.83	76.18	79.59	94.91	14.10	91.46	34.41	36.62	98.27	95.45	22.78	43.52	92.56	56.85	34.22	4.97	74.99	92.66	16.72	99.54	61.99	91.35	48.11	98.36
BRD-A64479082	CP	quinidine	cytochrome P450 inhibitor, P glycoprotein inhibitor, sodium current blocker	SCN5A, ABCB1, CYP2D6, KCNA5, KCNA7, KCNH1, KCNH2, KCNH5, KCNK1, KCNK6, SLC29A4	Sodium channel blocker	4.44, 2.02	59.39	1.06, 0.36	81.01	6.06	96.82	32.43	90.25	34.40	92.84	61.29	6.03	38.08	98.06	82.92	21.05	59.93	23.78	9.74	91.52	12.05	21.34	89.28	34.14	4.97	92.75	10.62	72.03	58.85	75.64	70.71
BRD-K35629949	CP	SR-27897	CCK receptor antagonist	CCKAR	CCK receptor antagonist	4.10, 1.87	59.38	0.99, 0.31	82.54	10.25	85.80	82.96	54.35	64.64	32.87	80.71	90.09	73.86	64.07	16.21	3.45	1.69	71.96	49.04	83.70	85.78	8.42	91.89	27.68	6.64	54.69	42.09	66.04	28.08	85.23	34.38
BRD-A29734509	CP	disopyramide	voltage-gated sodium channel blocker	SCN5A, CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2		6.34, 2.61	59.37	0.70, 0.20	92.84	35.76	78.16	17.97	54.13	73.57	56.53	39.64	44.89	35.95	85.04	78.29	20.72	54.08	42.79	96.88	64.86	79.04	92.25	92.90	39.53	94.89	62.21	6.33	99.58	19.52	18.45	63.94
BRD-K62200014	CP	anagrelide	phosphodiesterase inhibitor	PDE3A		6.72, 2.24	59.35	0.98, 0.31	85.78	12.53	22.49	64.46	93.16	51.72	60.02	43.53	90.79	73.43	76.35	25.97	3.89	7.62	92.96	20.73	95.42	47.10	95.26	53.87	58.69	55.43	85.07	8.01	72.90	23.37	90.99	91.54
BRD-A39255369	CP	DCPIB	chloride channel blocker, gap junction modulator, glutamate transporter inhibitor, membrane permeability inhibitor	SLC1A2		5.22, 3.73	59.34	0.65, 0.24	86.87	4.51	67.22	94.50	97.05	28.06	65.90	53.95	57.67	69.71	85.03	93.44	2.44	8.34	73.60	22.86	39.78	18.46	98.70	41.78	26.45	50.84	65.95	37.01	61.02	8.40	72.67	91.65
BRD-K44849676	CP	capsazepine	TRPV agonist, TRPV antagonist	TRPV1, TRPV4		2.61, 1.87	59.32	1.49, 0.49	43.51	8.37	35.73	9.87	78.52	2.82	32.83	94.96	64.24	48.39	38.31	59.60	72.14	92.18	59.04	91.11	62.17	43.90	43.76	72.79	77.99	62.84	79.11	70.25	40.02	88.19	58.93	10.49
BRD-A38913120	CP	BH3I-1	BCL inhibitor	BCL2		7.84, 4.85	59.30	0.98, 0.30	87.68	15.68	82.72	72.47	39.15	95.12	13.60	47.20	56.88	82.47	67.08	74.27	6.63	4.26	72.98	85.96	47.48	15.87	24.93	99.82	39.47	81.90	63.20	-18.41	61.72	1.09	34.86	96.91
BRD-K02715688	CP	hydrastine	GABA receptor antagonist			6.72, 4.10	59.30	1.48, 0.45	75.27	43.93	91.79	48.06	27.20	58.54	59.60	65.73	92.38	81.26	94.64	12.05	35.24	6.59	80.53	79.99	99.08	31.93	1.02	74.39	5.98	44.18	95.81	10.13	59.00	75.07	86.24	4.35
BRD-A56892734	CP	esomeprazole	ATPase inhibitor, ABC transporter expression enhancer	ATP4A, CYP2C19, CYP3A4		2.69, 1.79	59.28	1.60, 0.34	65.75	82.79	72.76	80.02	89.75	90.90	38.91	79.33	89.11	16.50	21.83	55.62	69.82	68.56	61.65	50.27	72.03	16.71	67.35	39.38	38.34	36.06	92.18	1.55	19.75	43.45	45.80	56.90
BRD-A51182606	CP	chloramphenicol	30S ribosomal protein inhibitor, 50S ribosomal subunit inhibitor, antibacterial agent	CD55, CYP2C19		6.05, 2.82	59.27	1.82, 0.47	7.96	97.15	94.86	57.59	94.97	74.05	71.17	29.18	56.50	16.97	94.79	60.95	1.16	-10.91	90.74	71.66	18.60	92.48	95.62	34.86	85.12	98.73	-4.36	18.88	96.42	1.76	30.75	25.03
BRD-K46056750	CP	AZD-7762	CHK inhibitor	CHEK1, CHEK2		5.60, 3.73	59.26	1.49, 0.57	42.11	78.03	57.25	77.61	59.99	94.45	81.87	64.65	3.31	99.54	-9.99	-20.74	1.23	12.70	85.86	29.71	5.53	73.85	58.53	77.38	72.46	77.83	-2.55	98.27	35.35	84.78	19.92	11.05
BRD-A35511923	CP	L-803087	somatostatin receptor agonist	SSTR4		10.07, 4.48	59.24	1.28, 0.50	87.79	22.30	80.77	58.07	91.66	3.38	16.37	22.93	45.54	92.45	60.42	97.90	1.59	20.97	94.03	74.32	99.65	12.44	96.88	51.03	73.93	8.94	96.50	23.96	52.36	33.68	97.57	89.93
BRD-K40578143	CP	GR-79236	adenosine receptor agonist	ADORA1, ADORA2A	Adenosine receptor agonist	4.85, 2.24	59.21	1.09, 0.34	96.48	69.27	87.21	71.40	68.51	70.24	62.58	87.81	43.53	64.12	84.92	93.88	13.28	53.86	73.97	26.85	39.73	80.47	18.71	96.44	18.79	28.91	37.45	3.45	55.84	18.42	27.23	29.00
BRD-A70514680	CP	articaine	local anesthetic			4.84, 2.42	59.20	1.18, 0.34	67.75	80.86	83.84	27.21	88.91	60.29	71.06	81.69	58.12	26.36	45.21	78.97	1.87	-0.95	68.84	50.63	67.99	39.23	70.36	69.68	35.40	85.09	8.82	5.07	79.66	12.26	35.26	47.13
BRD-A97437073	CP	rosiglitazone	PPAR receptor agonist, insulin sensitizer, thiazolidinedione	PPARG, ACSL4, CYP2C8, FFAR1, INS, TRPC5, TRPM3	PPAR receptor agonist	5.22, 2.99	59.20	0.39, 0.11	64.25	49.96	73.75	51.56	20.45	62.40	82.67	75.91	44.71	53.61	75.38	57.23	78.91	16.78	19.46	61.18	75.10	46.11	99.13	30.81	25.40	82.87	48.87	37.48	75.57	69.06	78.55	29.46
BRD-K32710582	CP	EI-247	insulin growth factor receptor inhibitor	INSR		5.22, 2.61	59.20	1.22, 0.30	94.60	90.56	79.56	17.16	54.29	80.41	95.25	79.05	18.70	90.07	84.92	22.51	1.13	4.29	30.89	44.02	58.85	32.26	1.83	53.57	87.70	59.56	70.07	12.04	72.60	11.46	72.52	82.91
BRD-K18316707	CP	O-1918	cannabinoid receptor antagonist			6.34, 4.10	59.14	0.81, 0.30	76.74	95.07	83.61	62.46	32.56	42.18	16.91	52.00	37.50	50.14	68.51	98.48	25.23	8.44	82.25	59.34	97.92	94.67	13.15	58.94	70.07	68.02	27.71	3.77	59.45	18.40	68.98	7.08
BRD-K67043667	CP	altretamine	DNA synthesis inhibitor			7.09, 3.36	59.12	0.41, 0.07	33.36	29.57	58.75	73.22	93.20	95.88	89.93	47.27	82.59	71.70	87.97	92.78	5.52	0.63	25.14	58.27	72.68	23.43	50.90	81.45	64.66	59.49	60.11	1.30	93.23	16.18	41.06	20.17
BRD-K32830106	CP	guanfacine	adrenergic receptor agonist, HCN (hyperpolarization activated cyclic nucleotide gated) channel blocker	ADRA2A, ADRA2B, ADRA2C, CYP3A5, HCN1, HCN2, HCN3, HCN4		7.46, 4.48	59.06	0.63, 0.09	51.75	1.52	92.82	52.13	63.32	86.98	31.20	24.14	97.59	50.21	61.29	92.88	11.62	3.88	56.83	84.23	98.06	6.47	88.59	87.42	19.64	73.31	73.32	-17.68	51.95	7.76	64.26	94.23
BRD-A22769835	CP	homochlorcyclizine	antihistamine	HRH1		6.85, 2.82	59.04	0.95, 0.22	71.08	30.35	89.23	21.10	82.02	77.44	86.55	75.35	99.45	55.65	38.21	65.22	91.37	53.92	76.89	54.41	79.78	1.96	5.85	62.43	17.06	24.12	8.97	53.98	76.74	86.39	50.68	12.57
BRD-K47631482	CP	bromhexine	mucolytic			3.73, 2.61	59.03	0.56, 0.09	94.87	75.00	24.47	32.98	82.07	75.89	46.30	86.62	20.72	52.45	72.95	82.12	34.54	31.67	75.18	26.75	48.86	62.39	66.99	55.68	80.81	49.70	82.80	76.06	36.73	31.65	53.74	63.57
BRD-K94887716	CP	TFMPP	serotonin receptor agonist, serotonin receptor antagonist			6.28, 4.48	59.03	1.41, 0.39	40.11	78.79	47.35	-0.49	63.33	45.11	90.45	-1.13	51.51	52.93	76.06	98.73	7.27	68.14	90.20	56.61	76.49	61.45	90.71	98.41	95.40	69.58	74.54	4.53	53.07	13.86	8.92	14.40
BRD-K34995470	CP	SU-1498	receptor tyrosine protein kinase inhibitor, vascular endothelial growth factor receptor 2 (VEGFR2) inhibitor, VEGFR inhibitor	ERBB2, KDR		5.60, 1.87	59.02	0.81, 0.25	92.76	-2.50	95.50	30.62	77.54	8.79	49.71	96.51	45.17	47.23	87.61	-46.89	56.10	85.87	73.11	77.60	22.54	23.33	49.56	89.23	15.00	77.68	63.22	64.31	82.68	61.95	19.19	18.90
BRD-K04170657	CP	psoromic-acid	Rab-Prenylation Inhibitor			7.35, 2.94	59.01	1.73, 0.28	58.26	16.98	96.91	10.58	-98.10	42.29	69.62	90.83	50.75	75.97	71.55	90.06	86.10	20.56	9.60	16.44	99.12	20.04	4.55	99.01	26.70	59.77	95.53	67.56	99.58	48.53	-8.62	84.01
BRD-K52080565	CP	rilmenidine	adrenergic receptor agonist, imidazoline receptor agonist	NISCH		4.48, 3.14	58.99	1.17, 0.38	63.55	96.70	67.38	70.88	66.91	44.04	90.61	86.95	-87.26	65.67	55.11	35.07	21.10	24.88	96.55	59.95	47.75	33.19	50.15	41.57	50.45	36.14	98.23	3.77	58.03	68.48	63.08	72.05
BRD-K63150726	CP	JTE-907	cannabinoid receptor inverse agonist	CNR2	Cannabinoid receptor agonist	2.24, 0.00	58.98	1.17, 0.34	81.02	52.48	77.69	14.78	78.68	49.10	25.15	95.57	89.33	53.34	76.81	30.13	79.71	82.55	42.35	74.81	78.03	19.93	94.03	60.65	22.06	57.30	34.28	50.97	23.69	75.01	65.44	13.42
BRD-K63874012	CP	thioperamide	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4		7.84, 4.85	58.97	0.66, 0.16	58.84	36.74	79.22	84.00	73.44	94.32	34.54	60.03	93.46	96.30	96.65	59.10	6.35	6.84	14.08	48.78	98.89	51.56	32.29	99.61	33.33	62.11	65.61	2.49	74.28	31.62	35.97	21.48
BRD-A51382177	CP	fosinopril	angiotensin converting enzyme inhibitor, breast cancer resistance protein inhibitor	ACE, ABCG2		6.45, 2.42	58.94	1.51, 0.53	54.41	57.96	96.72	35.47	94.86	15.38	84.63	58.22	49.83	91.42	70.80	59.67	4.13	20.13	92.96	44.03	29.78	91.56	88.85	63.29	92.38	50.67	67.74	65.11	52.22	23.43	85.29	24.29
BRD-K51816706	CP	oxindole-I	protein kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor	AKT1, KDR, PDPK1, RET		7.84, 3.36	58.93	1.02, 0.25	77.53	17.88	-15.03	96.69	73.05	21.11	19.53	98.52	61.62	0.74	49.95	26.17	3.23	59.76	53.93	11.87	-1.80	58.10	86.54	92.77	96.57	77.22	-8.20	71.85	69.11	26.97	71.42	90.85
BRD-K00234327	CP	RU-24969	serotonin receptor agonist	HTR1A, HTR1B, HTR6, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A		5.60, 2.61	58.91	0.51, 0.15	74.64	51.51	49.67	80.31	89.45	43.32	87.95	87.77	62.57	65.38	47.15	-36.57	31.90	15.19	98.45	22.22	35.35	45.07	94.87	87.87	82.22	52.99	80.14	3.90	58.98	23.40	58.83	62.71
