#1.3
2429	24	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-K79254416-summary	BRD-K48722258-summary	BRD-A93424738-summary	BRD-A13188892-summary	BRD-A69636825-summary	BRD-K22031190-summary	BRD-K62363391-summary	BRD-A51820102-summary	BRD-K43887077-summary	BRD-K71103788-summary	BRD-K33211335-summary	BRD-A46179541-summary	BRD-A94756469-summary	BRD-K81272440-summary	BRD-A35108200-summary	BRD-K92093830-summary	BRD-K73109821-summary	BRD-K97158071-summary	BRD-A92537424-summary	BRD-K06878038-summary	BRD-K49328571-summary	BRD-A29734509-summary	BRD-K05673000-summary	BRD-K08252256-summary
BRD-K51313569	CP	palbociclib	CDK inhibitor	CDK4, CDK6, CCND3	CDK inhibitor	2.16, 0.86	59.58	2.00, 0.52	93.66	90.21	33.59	67.32	17.17	59.17	58.16	78.79	84.07	37.23	23.07	65.37	58.80	93.86	17.12	94.64	52.70	98.13	-0.78	59.99	81.55	22.70	25.75	64.65
BRD-A32349859	CP	methyl-angolensate	apoptosis inhibitor	HTR2B		4.24, 2.54	59.57	1.50, 0.33	92.99	62.30	12.57	30.94	44.98	94.47	57.59	95.87	63.04	32.56	84.39	6.22	89.14	61.54	-0.11	77.74	31.14	45.44	73.80	89.80	41.98	10.81	72.85	11.62
BRD-K22828899	CP	TUL-XXI039	serine/threonine kinase inhibitor			4.69, 2.35	59.53	1.26, 0.35	98.91	11.01	13.42	31.12	84.90	18.22	68.31	83.66	59.09	2.82	48.71	93.86	7.58	88.20	85.21	31.62	93.71	46.28	3.36	79.44	59.97	80.89	-15.56	90.23
BRD-K04993501	CP	cefixime	cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor	6.90, 4.31	59.53	1.49, 0.43	73.04	-0.60	88.00	26.59	61.69	23.40	81.56	-1.20	36.10	11.75	-1.73	82.30	28.13	17.96	99.30	57.37	71.74	97.43	21.40	70.48	78.08	35.32	72.68	77.48
BRD-A73581086	CP	ergometrine	adrenergic receptor stimulatant, serotonin receptor stimulant	ADRA1A, HTR1E, HTR2A		3.02, 2.59	59.52	0.98, 0.39	56.24	79.68	71.56	27.86	85.25	-12.43	70.01	26.37	27.84	15.37	78.24	72.92	12.05	68.77	86.58	13.03	43.90	93.91	62.80	94.53	15.87	47.36	23.60	72.64
BRD-A40639672	CP	ketorolac	cyclooxygenase inhibitor	PTGS1, PTGS2		9.91, 6.47	59.49	0.77, 0.16	87.27	50.69	97.85	71.12	51.16	46.43	80.37	83.50	37.27	1.46	68.68	50.79	7.88	75.09	99.79	63.14	48.72	26.22	55.85	92.84	80.45	40.04	63.61	55.48
BRD-K30480208	CP	torasemide	cytochrome P450 antagonist, diuretic, electrolyte reabsorption inhibitor, thromboxane receptor antagonist	SLC12A1, CYP2C8, SLC12A2		3.76, 0.94	59.46	0.84, 0.23	80.17	82.68	63.52	25.88	33.01	93.08	51.92	48.41	82.27	30.32	94.42	86.94	15.21	72.82	76.73	16.00	55.40	53.01	40.82	69.14	42.67	45.77	97.19	67.08
BRD-A24514565	CP	warfarin	cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor	VKORC1, CYP2C19, CYP2C8, CYP4F2		6.10, 2.82	59.44	0.85, 0.22	75.84	30.08	42.36	89.39	86.33	85.04	93.46	14.60	62.26	68.88	60.96	84.72	3.09	50.87	56.38	7.15	18.53	73.31	29.49	99.08	10.86	45.76	77.55	57.93
BRD-K62929068	CP	6-benzylaminopurine	purinergic receptor activator			4.23, 1.88	59.43	0.53, 0.08	98.40	76.39	57.70	96.25	33.98	13.25	95.23	2.43	69.01	-16.89	87.17	79.38	28.02	18.68	88.68	9.18	36.05	25.76	61.16	83.98	21.01	99.04	57.31	98.84
BRD-K15409150	CP	penfluridol	dopamine receptor antagonist, T-type calcium channel blocker	CACNA1G, DRD1, DRD2	T-type calcium channel blocker	3.45, 1.72	59.41	1.57, 0.35	27.79	97.33	5.12	77.75	77.80	34.21	30.56	95.94	60.37	81.92	44.52	64.76	98.52	28.21	0.97	58.46	62.75	6.20	73.39	23.95	90.98	72.26	46.96	8.42
BRD-K05977355	CP	fluconazole	cell wall synthesis inhibitor, sterol demethylase inhibitor	CYP3A5, CYP3A7		9.48, 6.03	59.35	0.53, 0.09	65.62	38.06	82.22	97.49	87.19	71.31	53.07	8.82	42.06	25.60	99.68	84.43	29.34	96.79	83.46	33.88	26.09	72.12	74.99	-32.24	34.13	44.50	88.00	48.29
BRD-A39390670	CP	rabeprazole	ATPase inhibitor, gastrin inhibitor	ATP4A, CYP2C19		6.81, 3.66	59.34	0.77, 0.14	54.09	69.08	49.95	73.13	62.79	96.17	98.45	18.06	51.42	15.30	23.88	90.55	59.07	59.62	73.54	44.14	99.05	11.50	48.00	98.48	21.41	33.60	92.84	66.40
BRD-K64044582	CP	linoleamide	ACAT inhibitor	SOAT1, SOAT2		8.62, 5.60	59.34	1.16, 0.32	80.34	8.40	79.57	83.65	-25.31	97.22	91.60	85.23	36.73	-9.55	58.69	52.07	32.26	19.78	69.03	32.68	27.53	33.00	31.74	64.23	60.00	99.82	74.75	99.93
BRD-A41304429	CP	practolol	adrenergic receptor antagonist	ADRB1		6.90, 4.74	59.31	0.95, 0.31	71.69	54.81	75.66	10.83	76.74	60.31	28.63	59.49	56.94	59.12	98.63	61.96	28.57	94.24	67.91	5.12	29.12	8.35	69.27	56.01	8.64	74.79	57.07	96.37
BRD-K66944906	CP	fraxidin	carbonic anhydrase inhibitor	CA1		5.17, 3.45	59.31	1.30, 0.40	43.43	2.67	67.12	45.99	68.75	9.26	57.72	47.07	76.94	93.99	98.28	60.89	8.70	29.78	28.12	22.79	62.27	24.10	99.89	98.59	28.41	92.05	93.98	77.16
BRD-A39255369	CP	DCPIB	chloride channel blocker, gap junction modulator, glutamate transporter inhibitor, membrane permeability inhibitor	SLC1A2		5.60, 3.45	59.30	0.65, 0.24	59.90	13.10	2.02	82.59	94.23	70.80	81.38	58.70	74.08	26.40	90.79	40.30	2.68	82.15	15.85	28.48	43.90	99.47	73.99	75.39	4.51	21.64	89.57	11.64
BRD-K34170797	CP	fexaramine	FXR agonist	NR1H4		3.02, 1.29	59.28	1.27, 0.36	96.73	61.39	50.57	57.66	13.89	32.11	60.85	91.41	79.40	20.19	79.24	74.10	29.42	14.77	50.98	7.43	55.17	33.25	94.40	60.06	80.85	61.71	90.03	58.51
BRD-K86600316	CP	RS-79948	adrenoreceptor antagonist			2.82, 1.88	59.27	0.88, 0.23	70.34	57.34	33.85	42.82	79.86	13.99	85.10	5.92	19.25	2.68	84.38	79.37	61.21	37.56	83.47	46.45	23.86	95.60	63.07	78.98	39.28	75.58	76.27	25.17
BRD-K76587808	CP	fraxetin	anti-oxidative and anti-apoptotic agent			6.90, 3.45	59.18	0.65, 0.08	90.18	58.85	52.31	12.59	86.45	95.33	46.82	49.55	80.34	85.31	69.79	86.89	49.28	81.27	46.30	28.18	72.73	32.39	50.21	26.21	6.82	91.49	59.51	99.86
BRD-K03642198	CP	AY-9944	hedgehog pathway inhibitor			6.47, 3.88	59.16	1.05, 0.19	60.73	99.12	90.19	81.45	36.51	15.13	31.88	98.73	50.74	66.72	52.70	51.96	68.27	29.35	49.57	49.91	70.44	57.58	27.54	76.16	88.22	63.27	57.32	71.81
BRD-K34776109	CP	glimepiride	insulin secretagogue, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulinotropin agonist, sulfonylurea	ABCC8, KCNJ11, KCNJ1	KCNJ11 modulator	4.74, 2.16	59.16	0.68, 0.13	77.74	41.85	65.09	86.29	56.01	58.06	34.87	74.00	27.87	9.69	96.97	60.25	38.62	37.56	17.27	55.91	55.15	69.31	36.36	77.08	77.68	67.93	88.40	78.35
BRD-A39052811	CP	mosapride	serotonin receptor agonist, serotonin receptor antagonist	HTR4, HTR3A		0.86, 0.43	59.15	2.30, 0.74	40.94	0.70	53.10	43.79	1.83	72.34	72.73	77.50	36.64	22.08	40.76	89.45	29.40	89.50	19.84	67.09	70.23	65.21	12.91	69.44	67.79	44.63	67.39	85.83
BRD-K78637815	CP	LY-320135	cannabinoid receptor antagonist	CNR1		5.60, 1.29	59.15	1.63, 0.51	33.01	12.95	23.99	8.98	50.70	17.13	63.89	72.82	95.63	61.74	95.55	21.37	5.63	88.53	78.60	26.92	74.05	91.06	90.83	85.48	42.89	34.16	63.55	56.56
BRD-A78377521	CP	monastrol	kinesin-like spindle protein inhibitor	KIF11		4.31, 3.02	59.14	0.77, 0.18	94.13	17.33	70.96	76.05	98.05	33.18	27.01	90.93	25.00	16.39	97.93	71.22	22.79	43.61	16.08	38.44	21.05	90.41	50.81	76.15	53.86	64.42	78.25	85.71
BRD-K71430621	CP	clobenpropit	histamine receptor antagonist, histamine receptor inverse agonist	HRH3, HRH4, HRH1, HRH2		2.59, 1.72	59.13	0.63, 0.18	30.94	38.93	62.26	58.37	86.78	27.95	77.94	78.90	18.05	75.68	88.23	47.83	40.12	35.48	73.27	25.24	24.75	66.08	59.89	93.11	55.56	64.40	60.76	40.52
BRD-K75089421	CP	procainamide	sodium channel blocker, voltage-gated sodium channel blocker	SCN5A, DNMT1		4.31, 1.72	59.13	0.63, 0.13	90.24	43.03	53.95	69.30	74.73	27.53	84.28	79.40	91.07	5.10	81.59	64.16	25.10	92.13	69.51	26.54	23.37	28.68	20.73	92.86	9.19	67.47	54.09	24.40
BRD-K08109516	CP	L-701324	glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D		4.31, 2.16	59.08	0.68, 0.17	50.41	48.98	59.05	94.62	82.45	59.48	51.69	49.92	96.12	65.79	82.53	20.71	3.63	59.11	68.41	14.21	36.39	39.16	95.67	90.21	37.58	9.84	72.42	82.50
BRD-K36616567	CP	doxepin	histamine receptor antagonist, adrenergic transmitter uptake inhibitor, histamine receptor inhibitor, norepinephrine reputake inhibitor, serotonin reuptake inhibitor, tricyclic antidepressant	HRH1, HRH2, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, KCNH2, SLC6A3		3.88, 2.16	59.06	0.76, 0.17	86.31	57.13	36.60	91.56	67.94	90.75	60.99	91.51	30.55	54.15	12.85	56.35	8.63	45.57	75.70	67.67	67.52	42.88	38.74	84.70	41.46	53.94	72.05	93.75
BRD-K52172416	CP	anastrozole	aromatase inhibitor	CYP19A1		6.47, 4.31	59.05	1.05, 0.39	65.29	40.48	38.82	64.24	57.84	52.11	86.49	-1.69	4.26	0.78	34.91	99.08	16.78	60.26	36.10	26.02	66.47	99.37	82.57	80.31	32.41	87.39	92.57	99.28
BRD-K35629949	CP	SR-27897	CCK receptor antagonist	CCKAR	CCK receptor antagonist	5.17, 2.59	59.03	0.99, 0.31	88.43	58.56	84.73	12.70	52.58	59.50	-25.24	48.85	88.06	69.90	68.28	11.08	39.13	66.04	28.42	43.09	72.30	99.23	96.09	99.12	20.04	12.20	87.86	7.72
BRD-K18618618	CP	cimetidine	histamine receptor antagonist, histamine receptor inhibitor	HRH2, SLC29A4, SLC47A1, SLC47A2		5.60, 4.31	59.03	0.72, 0.26	79.67	44.00	53.00	75.32	56.87	78.94	69.89	61.19	41.08	28.96	78.03	48.19	50.74	-38.27	66.41	42.95	89.18	17.77	75.82	41.57	54.32	99.93	92.98	99.72
BRD-A90131694	CP	alclometasone	glucocorticoid receptor agonist, immunosuppressant	NR3C1, SERPINA6	Glucocorticoid receptor agonist	9.91, 6.90	59.01	1.36, 0.61	83.21	5.90	99.15	52.97	99.01	85.37	96.02	0.62	10.15	8.76	36.57	10.62	14.39	37.06	99.82	15.17	45.98	71.04	91.55	79.95	10.73	88.64	74.78	65.05
BRD-K01624546	CP	docosatrienoic-acid	inhibitor of LTB4 binding to neutrophils			8.62, 4.31	59.01	1.52, 0.59	92.51	15.63	54.78	70.76	96.02	78.58	98.63	7.76	26.41	56.18	98.80	40.18	3.84	49.63	61.84	-4.62	53.97	92.17	97.22	98.56	37.26	65.10	97.76	48.22
BRD-K94379058	CP	BML-190	cannabinoid receptor inverse agonist	CNR2		3.45, 1.29	59.01	0.73, 0.10	71.70	66.96	42.01	48.03	44.18	32.23	65.65	42.42	85.29	76.06	69.74	60.97	57.91	71.58	10.19	15.32	60.11	36.06	69.86	86.65	6.59	38.57	50.22	64.50
BRD-A06784547	CP	MRS-1334	adenosine receptor antagonist			7.33, 3.88	59.00	0.56, 0.14	16.34	3.46	87.31	-68.78	92.03	85.81	47.01	34.35	18.68	49.47	62.38	64.93	32.02	50.22	33.15	13.73	78.20	95.77	93.68	96.50	60.24	76.26	57.75	99.93
BRD-A18497530	CP	5-iodotubercidin	adenosine kinase inhibitor, nucleoside transporter inhibitor	MAPK3, ADK, CSNK1G2, GSG2, LRRK2		8.19, 4.31	58.99	4.91, 1.55	94.98	87.21	23.62	93.35	1.41	91.54	47.26	1.44	36.15	0.85	47.32	70.88	1.59	17.97	10.14	99.22	87.26	75.63	-35.69	43.46	70.66	95.56	90.63	98.80
BRD-K75699339	CP	rizatriptan	serotonin receptor agonist	HTR1D, HTR1B, HTR1F, HTR1A, HTR1E		7.33, 3.45	58.97	0.34, 0.08	56.05	75.25	76.05	-14.06	72.67	94.11	86.73	42.73	53.60	79.81	16.62	51.94	16.23	76.91	87.45	38.75	78.89	55.36	61.89	96.14	27.55	18.22	68.52	14.99
BRD-K96862998	CP	pirfenidone	FGFR antagonist, p38 MAPK inhibitor, TGF beta receptor antagonist, TGF beta receptor inhibitor, tumor necrosis factor production inhibitor, tumor necrosis factor receptor antagonist	TNF, FURIN, MAPK14, TNFRSF1A		6.47, 3.45	58.85	1.26, 0.27	51.12	64.53	91.40	15.75	79.28	6.27	-15.85	-1.62	86.35	51.33	81.63	77.68	10.10	88.98	75.80	21.87	97.56	53.17	29.89	80.86	11.11	97.31	81.79	23.26
BRD-K60298136	CP	ITE	aryl hydrocarbon receptor agonist, aryl hydrocarbon receptor ligand	AHR		6.47, 4.31	58.83	1.24, 0.36	44.17	66.45	44.22	44.38	94.95	57.02	75.07	-12.80	92.07	92.85	95.33	71.18	36.74	60.39	11.54	49.22	97.99	97.43	52.71	-63.27	19.09	93.44	57.27	60.88
BRD-K37814297	CP	acepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	Dopamine receptor antagonist	12.35, 6.79	58.83	1.01, 0.24	73.40	78.62	43.86	99.68	31.42	52.69	64.18	87.05	53.47	15.17	52.69	98.34	7.82	2.31	71.25	88.90	71.87	1.37	2.28	81.94	11.88	44.64	97.92	80.51
BRD-K85015012	CP	NNC-05-2090	GABA uptake inhibitor, GAT inhibitor	SLC6A11, SLC6A12, SLC6A13		4.31, 0.86	58.82	1.48, 0.51	57.30	99.08	50.76	60.35	13.41	70.36	24.70	94.81	71.80	93.66	80.09	35.61	83.37	30.99	18.63	82.58	21.63	5.40	63.41	67.34	96.78	40.80	51.75	32.91
BRD-A38747044	CP	KU-14R	pancreatic β-cell I3 binding site antagonist			6.03, 3.02	58.81	0.89, 0.27	66.64	80.07	5.64	65.40	64.36	95.31	90.53	51.44	93.30	23.92	49.18	81.21	6.65	53.26	72.89	4.52	5.30	31.38	36.50	98.51	0.00	80.28	51.82	86.38
BRD-A35989968	CP	megestrol	progesterone receptor agonist, DNA inhibitor, HegG2 inhibitor	PGR	Progesterone receptor agonist	8.47, 6.78	58.81	1.46, 0.42	81.03	84.93	95.98	91.53	74.05	27.61	-73.93	99.68	28.44	-5.67	27.88	82.30	8.92	86.38	99.01	29.23	23.87	77.32	92.23	35.18	69.20	4.72	48.42	15.05
BRD-K14765469	CP	vesamicol	acetylcholine transport inhibitor	SLC18A3		9.05, 3.02	58.75	0.59, 0.17	90.92	69.97	45.36	67.95	81.40	98.28	47.64	42.13	72.30	34.44	39.43	37.84	6.41	52.95	33.13	52.74	58.23	89.66	59.28	96.76	38.70	60.64	63.47	98.24
BRD-K47943470	CP	tyrphostin-51	EGFR inhibitor			7.76, 2.59	58.75	1.35, 0.39	93.96	10.58	51.88	31.71	93.21	55.24	95.15	-27.14	95.28	48.21	94.51	81.29	3.20	48.05	84.90	2.54	96.37	62.25	84.32	96.19	16.13	33.19	76.22	42.79
BRD-K68132782	CP	terbinafine	fungal squalene monooxygenase inhibitor, squalene epoxidase inhibitor, steroid sulfatase inhibitor	CYP2C19, CYP2C8, SQLE		4.23, 1.88	58.73	0.82, 0.14	86.83	83.62	85.30	22.44	70.99	16.30	73.77	12.97	78.94	57.95	51.57	73.77	19.31	60.43	49.32	59.51	28.11	41.40	25.24	88.81	63.59	35.80	47.49	64.80
BRD-A23072235	CP	pheniramine	acetylcholine receptor antagonist	HRH1		3.88, 2.59	58.71	0.61, 0.11	66.96	27.85	2.33	82.76	83.31	92.83	76.66	54.85	33.74	1.70	72.77	52.77	25.80	3.00	19.11	62.57	26.32	73.89	86.27	90.59	18.80	44.50	88.98	93.61
BRD-K78126613	CP	menadione	CDC inhibitor, mitochondrial DNA polymerase inhibitor, phosphatase inhibitor, pyruvate kinase isozyme inhibitor	AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PKM, PROC, PROS1, PROZ, VKORC1, VKORC1L1		1.72, 0.86	58.69	2.21, 0.41	41.85	69.89	50.94	60.31	47.39	62.29	36.87	54.01	65.95	79.68	33.76	79.33	88.23	57.06	61.40	47.55	35.10	63.14	39.56	79.24	32.88	88.88	62.17	35.00
BRD-A81177136	CP	KN-62	calcium/calmodulin dependent protein kinase inhibitor, purinergic receptor antagonist, calmodulin antagonist	AKT1, CAMK2A, CHEK1, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, P2RX7, PRKCA, ROCK1, RPS6KB1, SGK1		5.17, 2.16	58.67	0.81, 0.14	54.18	92.51	28.87	96.97	93.31	78.92	87.25	37.43	3.21	25.30	77.24	11.62	73.10	50.21	7.83	11.53	22.12	46.58	62.23	74.88	62.27	58.07	88.46	59.28
BRD-K35458079	CP	edaravone	free radical scavenger	BCL2		5.63, 2.35	58.67	1.28, 0.38	65.95	43.20	14.97	63.42	73.25	40.20	83.55	1.76	66.54	94.07	15.27	59.32	10.92	99.89	0.00	77.06	92.65	10.85	28.55	88.19	15.94	58.03	72.31	10.71
BRD-K11158509	CP	tyrphostin-B44	EGFR inhibitor			8.19, 5.17	58.64	1.33, 0.44	59.49	78.63	57.78	75.24	85.88	28.05	70.18	33.51	57.34	79.53	84.18	46.80	28.86	61.59	7.45	-10.36	80.14	53.11	98.46	97.32	43.15	0.70	61.51	7.43
BRD-K33193182	CP	methylnorlichexanthone	Aurora kinase inhibitor, Pim kinase inhibitor, VEGFR inhibitor	AURKB, KDR, PIM1		5.93, 3.39	58.62	0.85, 0.25	96.50	-91.90	53.60	12.77	96.53	88.01	55.30	-5.48	58.20	92.87	59.04	10.88	64.70	11.66	10.47	14.19	22.98	-30.20	84.84	99.40	85.23	79.93	97.60	83.51
BRD-K36627727	CP	tamibarotene	retinoid receptor agonist, RAR agonist	RARA, RARB	Retinoid receptor agonist	4.31, 2.16	58.61	0.98, 0.31	91.35	9.22	31.56	73.77	49.85	63.77	86.02	18.34	22.92	0.18	27.81	14.98	59.83	28.90	14.33	90.13	93.63	61.00	60.70	84.13	91.16	6.64	65.18	57.39
BRD-K96354014	CP	nifedipine	calcium channel blocker, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA1S, CACNA2D1, CACNA1F, CACNA1H, CACNB2, CALM1, CYP3A5, GLRA1, GLRA3, GLRB, KCNA1, KCNA5, NR1I2, TRPM3		5.17, 0.86	58.60	0.86, 0.28	79.96	2.01	47.53	48.33	67.26	24.62	81.83	51.80	87.73	15.64	72.58	53.16	11.77	48.61	96.02	57.27	61.38	55.77	87.49	69.26	62.54	42.77	61.56	59.93
BRD-K23583188	CP	lavendustin-a	EGFR inhibitor, tyrosine kinase inhibitor	EGFR, LCK		3.02, 1.72	58.58	1.42, 0.33	81.03	52.30	61.60	33.87	36.12	32.02	87.51	22.51	55.90	51.34	63.32	79.66	70.71	91.02	61.26	29.67	28.40	55.51	90.77	99.30	42.84	88.00	77.22	23.69
BRD-K81876028	CP	CP-93129	serotonin receptor agonist	HTR1A, HTR1B		5.60, 2.16	58.54	1.17, 0.32	70.24	60.18	58.06	86.83	84.97	65.35	34.93	85.26	41.80	32.87	19.11	32.85	12.02	53.49	30.33	41.40	70.92	95.88	75.97	95.13	66.33	53.18	59.02	46.45
BRD-K94830329	CP	ataluren	CFTR channel agonist, coagulation stimulant, dystrophin stimulant	CFTR, DMD, F8, F9		7.51, 3.76	58.53	1.92, 0.58	58.22	58.84	21.03	-28.73	-21.32	74.67	60.90	31.94	99.54	-4.69	51.78	66.81	9.69	34.47	62.45	22.38	63.48	27.95	68.79	79.71	25.01	99.54	70.45	67.02
BRD-K64052750	CP	gefitinib	EGFR inhibitor	EGFR, CYP2C19	EGFR inhibitor	6.47, 3.45	58.52	1.10, 0.50	69.60	87.12	20.59	37.37	72.89	15.52	67.78	73.26	93.66	73.58	57.68	42.15	47.76	32.84	59.37	72.79	50.63	53.68	22.23	91.72	99.58	29.33	60.27	41.62
BRD-K17896185	CP	FIT	opioid receptor agonist	OPRD1		6.03, 4.31	58.52	1.44, 0.51	14.22	95.28	80.92	60.05	90.63	57.08	-23.75	99.72	8.62	97.99	26.63	31.75	88.90	2.85	64.24	56.34	21.98	7.92	99.33	43.07	59.96	92.79	56.06	97.52
BRD-K06854232	CP	AM-580	RAR agonist, retinoid receptor agonist	RARA	Retinoid receptor agonist	3.88, 1.72	58.51	0.38, 0.13	96.70	38.61	29.06	88.88	94.92	68.31	68.40	66.42	29.77	10.13	52.94	70.62	46.44	56.63	67.63	60.38	50.18	28.15	81.17	52.76	67.85	51.08	64.80	42.22
BRD-K65910366	CP	KUC103904N	opioid receptor antagonist			5.17, 2.59	58.48	0.86, 0.15	32.81	94.57	80.88	8.81	75.39	9.31	57.72	77.67	24.80	93.38	1.34	98.84	59.24	12.84	76.00	70.60	5.62	3.11	14.63	32.12	39.10	70.44	78.13	87.70
BRD-A04706586	CP	bucladesine	adenosine receptor agonist, cAMP stimulant, vasodilator	PRKACA		1.72, 0.00	58.44	0.68, 0.18	78.97	71.61	60.37	78.33	71.03	96.57	51.51	47.95	56.51	4.47	34.21	64.41	1.44	16.28	95.40	30.16	32.07	15.53	45.82	77.47	48.35	79.86	91.84	76.19
BRD-K40919711	CP	BAPTA-AM	potassium channel blocker	KCNA3, KCNA5, KCNH2		3.45, 1.29	58.42	1.31, 0.26	82.99	73.99	93.29	25.08	24.48	62.65	-70.04	17.96	75.27	20.69	23.27	77.94	97.11	52.60	-2.54	87.31	58.28	57.01	52.56	85.22	58.57	80.56	13.22	67.57
BRD-K52930707	CP	rescinnamine	angiotensin converting enzyme inhibitor	ACE		6.90, 2.59	58.41	1.10, 0.27	23.69	94.10	92.64	45.26	41.76	49.36	58.78	94.37	64.43	84.23	21.65	58.04	79.88	94.73	96.76	25.78	34.82	41.25	81.82	62.11	68.59	35.74	33.37	36.53
BRD-K11801786	CP	trimidox	antimetabolite, ribonucleoside reductase inhibitor, ribonucleotide reductase inhibitor	RRM1		9.86, 5.63	58.39	1.60, 0.43	84.23	57.15	12.24	92.46	41.95	99.75	83.35	61.58	75.51	6.69	96.13	24.79	16.83	45.45	7.05	65.51	98.82	7.15	22.91	59.62	44.42	85.93	-13.35	73.08
BRD-K59753853	CP	MDL-29951	glutamate receptor antagonist, fructose biphosphate inhibitor, UDP/CysLT (GPR17, P2Y-like) Agonists	FBP1, GPR17		6.90, 3.45	58.38	1.28, 0.45	51.17	70.30	9.77	72.37	95.37	99.33	81.79	49.80	21.92	24.90	57.90	73.01	4.68	72.57	58.86	22.70	49.44	99.93	74.01	96.66	31.62	44.66	91.51	56.89
BRD-K44899736	CP	RO-16-6941	monoamine oxidase inhibitor			4.74, 1.72	58.35	1.00, 0.28	84.60	66.79	20.30	81.72	67.93	79.67	55.20	53.47	61.49	30.93	18.73	93.51	50.20	62.80	14.66	48.01	62.85	74.09	45.59	7.70	86.41	20.74	97.54	6.20
BRD-K83636919	CP	entacapone	catechol O methyltransferase inhibitor	COMT		7.98, 4.23	58.34	1.48, 0.48	94.30	11.53	20.51	81.71	94.90	18.53	93.34	60.27	91.66	83.61	83.06	56.41	13.04	70.87	3.96	4.52	47.79	11.51	93.11	74.46	0.88	40.74	97.74	8.49
BRD-K47639036	CP	flavoxate	acetylcholine receptor antagonist	CHRM1, CHRM2		5.17, 3.02	58.30	1.10, 0.34	92.97	36.66	45.97	23.52	76.12	57.00	88.84	26.17	75.13	43.50	98.70	84.61	29.87	71.99	58.59	26.88	90.40	32.09	18.87	99.08	41.05	85.16	72.73	58.01
BRD-K59851896	CP	calycanthine	GABA release inhibitor			6.03, 2.59	58.30	0.83, 0.23	86.70	65.64	47.91	-4.44	69.54	7.66	83.79	91.37	39.83	61.83	25.57	80.08	26.39	44.80	88.35	13.25	26.52	44.67	31.47	97.71	60.21	56.38	94.32	94.46
BRD-A36471396	CP	biperiden	anticholinergic	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2		4.31, 0.86	58.27	0.88, 0.26	64.32	-0.42	-14.81	80.99	98.63	83.94	87.03	30.76	68.86	78.66	67.06	58.07	4.02	24.44	25.81	40.18	58.48	80.75	79.78	96.24	25.69	-49.14	42.58	17.92
BRD-A80638690	CP	floxuridine	DNA synthesis inhibitor, MDCK inhibitor, PEPT1 inhibitor, pyrimidine antagonist	TYMS	DNA synthesis inhibitor	7.04, 5.63	58.27	1.23, 0.32	44.65	71.47	89.98	66.82	8.46	51.25	98.26	26.13	92.79	4.46	56.25	35.57	90.41	60.30	86.80	84.51	26.06	22.00	34.73	86.33	13.39	9.26	90.27	78.08
BRD-K96084870	CP	DMBI	platelet-derived growth factor receptor (PDGFR) inhibitor, tyrosine kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor	PDGFRB		2.59, 0.86	58.27	0.66, 0.17	57.08	54.79	59.46	84.99	72.09	53.81	78.75	53.70	45.89	16.00	68.98	34.18	-10.62	84.51	42.37	53.09	26.13	75.90	74.79	83.49	69.70	41.56	77.22	86.39
BRD-K08417745	CP	SID-26681509	cathepsin inhibitor	CTSL		1.72, 0.43	58.26	0.13, 0.02	56.37	87.32	20.70	96.58	76.91	21.69	49.30	91.17	58.77	20.02	34.67	57.76	92.33	58.81	13.55	85.71	35.42	53.71	84.95	70.50	90.32	59.86	45.44	43.13
BRD-K37206356	CP	rhamnetin	aldose reductase inhibitor, JNK inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, p38 MAPK inhibitor	ALOX5, MAPK8		6.90, 3.45	58.26	0.80, 0.28	91.78	73.21	64.46	95.12	40.07	58.20	78.06	31.78	90.24	26.17	15.82	46.38	19.28	39.08	22.54	85.49	57.98	58.31	20.74	90.44	94.07	91.14	49.39	99.86
BRD-K97764662	CP	PD-173074	FGFR inhibitor, VEGFR inhibitor	FGFR1, FGFR3, FGFR2, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB	FGFR inhibitor, VEGFR inhibitor	4.31, 3.45	58.22	1.28, 0.40	43.70	93.47	57.70	56.06	77.33	34.64	61.84	83.51	51.71	78.35	26.50	94.76	76.43	36.88	88.19	36.09	17.39	55.52	77.92	58.74	99.72	13.03	65.60	56.54
