#1.3
2429	26	8	25
id	type	name	description	target	belongs_to	pc	median_tau_score	ts_pc	BRD-A45889380-summary	BRD-A84174393-summary	BRD-K50398167-summary	BRD-K79602928-summary	BRD-K61250553-summary	BRD-K92984783-summary	BRD-A20126139-summary	BRD-K71035033-summary	BRD-K99451608-summary	BRD-A33711280-summary	BRD-K69688083-summary	BRD-A04352665-summary	BRD-K18194590-summary	BRD-K97564742-summary	BRD-K82795137-summary	BRD-K13356952-summary	BRD-K78126613-summary	BRD-K77987382-summary	BRD-A03216249-summary	BRD-A61793559-summary	BRD-K75641298-summary	BRD-K91601245-summary	BRD-K54416256-summary	BRD-A50311610-summary	BRD-K62996583-summary	BRD-K76205745-summary
BRD-K59273480	CP	propentofylline	acetylcholinesterase inhibitor, adenosine reuptake inhibitor, adenosine uptake inhibitor, phosphodiesterase inhibitor	ACHE		4.37, 1.31	74.03	0.77, 0.18	75.24	46.96	86.23	76.62	39.72	80.54	52.00	91.73	89.18	31.67	76.39	88.20	15.53	94.62	46.89	98.88	19.56	65.67	41.16	80.36	72.83	86.50	62.52	32.68	18.62	81.62
BRD-A42759514	CP	ornidazole	antiprotozoal agent			5.74, 3.28	74.03	0.88, 0.17	24.90	83.26	46.99	35.68	0.56	81.51	77.89	49.84	72.94	24.72	90.49	96.23	69.55	77.98	25.27	91.57	6.59	75.12	66.38	99.22	81.17	89.90	92.58	92.16	16.00	67.63
BRD-K50938786	CP	ropivacaine	membrane integrity inhibitor, potassium channel antagonist, sodium channel blocker	SCN10A, SCN9A		5.74, 4.10	74.01	1.15, 0.35	75.97	38.92	33.52	90.49	2.00	98.39	16.15	92.60	77.63	88.89	86.12	71.26	71.29	72.04	78.97	63.17	-4.89	8.20	99.93	85.30	79.83	29.27	32.96	70.24	92.61	94.27
BRD-K82561139	CP	ricinine	casein kinase inhibitor			6.56, 3.69	73.98	0.94, 0.19	93.14	20.32	96.97	97.51	36.52	67.99	50.67	74.51	81.74	5.89	82.20	98.70	79.92	50.79	24.28	-60.83	91.93	37.57	66.15	87.07	92.21	73.45	92.89	38.61	51.57	80.10
BRD-K06854232	CP	AM-580	RAR agonist, retinoid receptor agonist	RARA	Retinoid receptor agonist	4.92, 1.64	73.96	0.38, 0.13	13.96	81.29	64.49	78.51	8.55	32.35	58.73	86.07	39.25	85.59	63.11	87.92	80.15	76.64	83.14	36.52	71.28	78.64	79.91	96.86	83.30	76.83	49.51	58.40	64.85	0.85
BRD-K88759641	CP	EMD-66684	angiotensin receptor antagonist	AGTR1		7.79, 4.51	73.94	1.19, 0.43	56.46	95.57	29.95	97.74	8.01	94.11	30.81	20.74	65.31	98.80	80.61	98.13	58.37	63.36	60.82	77.01	30.51	82.82	73.95	91.84	73.94	88.76	82.85	24.45	67.93	84.53
BRD-K86301799	CP	dipyridamole	phosphodiesterase inhibitor, cyclooxygenase inhibitor, platelet aggregation inhibitor	ADA, PDE5A, PDE10A, PDE4A, PDE7B, PDE8A, PDE8B, SLC29A1		7.38, 4.51	73.72	0.55, 0.09	25.60	72.06	87.50	75.39	1.93	93.23	83.84	45.27	76.61	9.26	94.52	88.26	21.47	98.20	59.42	93.52	19.13	48.73	92.11	98.29	50.82	79.27	50.40	52.54	84.91	18.79
BRD-K20482099	CP	rutin	aldose reductase inhibitor, antioxidant, capillary stabilizing agent, nitric oxide scavenger, prolyl 4-hydroxylase inhibitor	AKR1C3, AKR1B1, F10		6.97, 2.87	73.69	0.81, 0.10	56.14	46.96	85.97	90.51	61.30	39.59	76.42	8.78	28.70	53.86	78.05	74.32	78.06	49.57	92.81	73.05	93.97	28.09	98.62	93.61	95.25	45.40	95.94	74.63	23.45	14.37
BRD-A79981887	CP	midodrine	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D		8.20, 4.51	73.65	0.78, 0.14	81.12	5.80	88.62	87.80	23.01	89.86	9.14	23.08	68.58	13.86	96.65	80.43	9.80	94.16	91.87	84.95	7.08	43.74	59.26	93.65	39.53	69.72	89.93	89.80	20.72	77.58
BRD-K60762818	CP	desipramine	norepinephrine transporter inhibitor, Sodium Channel  Blockers, tricyclic antidepressant (TCA)	SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SMPD1	Tricyclic antidepressant	6.97, 2.87	73.57	1.41, 0.42	88.11	-0.21	66.76	45.09	94.85	66.37	80.73	75.38	89.73	98.23	56.03	61.50	29.15	65.05	99.19	93.05	75.83	17.78	85.90	71.77	71.43	81.20	86.84	75.39	34.78	60.70
BRD-K93034159	CP	cladribine	adenosine deaminase inhibitor, antimetabolite, DNA synthesis inhibitor, immunosuppressant, ribonucleotide reductase inhibitor	ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B	Ribonucleotide reductase inhibitor	8.20, 3.69	73.51	1.42, 0.52	98.22	-3.56	15.71	84.56	24.69	67.66	33.71	88.06	79.62	34.90	71.06	75.97	39.30	64.09	51.68	93.48	98.22	96.30	99.72	80.13	50.00	87.27	84.86	99.93	49.36	6.80
BRD-K81729199	CP	AQ-RA741	acetylcholine receptor antagonist			5.74, 4.10	73.51	0.85, 0.20	94.79	28.79	44.14	74.22	8.76	99.93	72.79	67.72	65.84	50.75	87.70	95.45	94.89	65.17	59.28	77.29	10.08	60.14	78.28	98.77	29.13	97.57	67.30	91.23	81.53	94.64
BRD-K68507560	CP	dicycloverine	acetylcholine receptor antagonist, anticholinergic	CHRM1, CHRM2, CHRM3		4.92, 2.46	73.47	0.75, 0.18	50.17	13.80	26.54	72.39	54.10	92.93	65.25	75.44	83.09	33.67	74.56	85.75	66.91	90.77	79.98	58.05	40.11	77.32	82.46	93.25	85.56	18.97	45.60	35.19	96.11	90.06
BRD-K06895174	CP	cisapride	acetylcholine receptor agonist, serotonin receptor agonist	HTR4, KCNH2, CYP2B6, CYP2C8, CYP3A5, CYP3A7, HTR2A, HTR3A	Serotonin receptor agonist	5.33, 4.51	73.36	0.73, 0.13	44.24	15.62	91.55	72.33	47.60	78.75	74.66	66.99	87.67	83.26	27.39	93.52	74.39	86.40	97.30	74.78	14.61	50.14	59.96	97.57	84.16	69.75	68.20	89.26	26.33	35.39
BRD-K90976994	CP	dehydrocholic-acid	gastrointestinal agent that stimulates bile production or the flow of bile into the duodenum			4.10, 0.82	73.31	1.48, 0.41	92.89	74.95	81.61	54.00	74.57	52.31	82.23	85.51	68.84	16.13	94.57	70.35	94.70	72.13	14.95	65.58	69.52	78.21	97.16	50.39	94.31	74.48	54.81	71.75	87.63	61.31
BRD-A41450521	CP	tosufloxacin	topoisomerase inhibitor			5.31, 2.90	73.26	1.20, 0.28	32.69	44.03	97.74	96.11	19.74	79.90	41.10	87.44	67.21	56.73	86.30	79.75	90.27	14.29	95.80	79.30	41.08	38.13	99.68	58.51	60.45	49.92	93.21	92.20	95.00	57.26
BRD-A68888262	CP	azelastine	histamine receptor antagonist, histamine release inhibitor, immunosuppressant	HRH1, CYP2C19		6.76, 2.90	73.23	1.81, 0.68	79.35	65.23	84.96	79.35	38.71	63.54	74.05	47.82	18.31	72.40	76.22	78.38	87.66	42.68	98.38	66.92	55.07	49.99	98.92	36.51	41.55	74.90	95.80	77.83	98.27	38.76
BRD-K52930707	CP	rescinnamine	angiotensin converting enzyme inhibitor	ACE		4.92, 2.46	73.22	1.10, 0.27	8.08	10.72	55.74	74.67	51.21	90.56	81.19	30.44	80.20	98.52	82.24	94.36	5.88	98.36	77.56	95.94	29.66	27.55	55.24	67.38	73.65	83.23	80.71	71.44	72.78	40.53
BRD-K25394294	CP	oxaprozin	cyclooxygenase inhibitor	PTGS1, PTGS2		6.56, 2.87	73.10	0.91, 0.16	43.09	92.53	91.83	90.79	25.62	60.77	89.09	63.16	84.21	23.80	78.38	92.73	63.26	62.54	95.40	91.20	15.36	44.83	98.70	85.40	76.00	70.21	62.05	50.29	66.94	82.67
BRD-K42500029	CP	CGP-57380	MAP kinase inhibitor, MAPK-interacting kinase inhibitor	AURKB, LCK, MKNK1, MKNK2, SGK1		4.10, 1.64	73.08	1.36, 0.49	16.27	30.47	97.98	97.24	87.92	64.46	52.73	43.97	92.23	10.55	92.14	24.97	90.41	51.79	90.34	72.01	85.27	90.10	26.52	74.89	72.96	88.47	73.19	78.27	28.25	-11.92
BRD-K51018020	CP	VAMA-37	DNA dependent protein kinase, DNA dependent protein kinase inhibitor, PI3K inhibitor	PRKDC	DNA dependent protein kinase inhibitor	2.18, 0.44	73.05	1.39, 0.48	90.73	21.43	94.93	79.78	92.01	27.79	75.17	89.94	-26.79	71.48	45.49	85.95	88.64	76.01	90.11	24.00	24.14	30.23	60.87	49.64	52.08	95.43	74.61	52.62	87.54	18.08
BRD-K67080878	CP	milrinone	phosphodiesterase inhibitor	PDE3A, PDE2A, PDE3B, PDE5A		6.15, 4.51	73.00	0.42, 0.07	34.51	37.10	99.07	55.70	15.84	93.96	45.10	82.95	83.10	15.90	93.90	87.52	56.21	98.27	92.49	80.54	2.61	1.14	90.63	63.90	35.65	65.46	92.63	95.65	26.60	82.22
BRD-K47780086	CP	penciclovir	DNA directed DNA polymerase inhibitor			6.28, 4.35	72.99	1.18, 0.31	50.68	77.42	80.85	84.92	13.07	5.88	86.54	37.86	76.30	69.07	68.44	89.21	69.68	27.16	89.10	94.00	18.72	3.19	84.34	88.01	29.98	96.39	91.97	77.25	23.26	44.87
BRD-K53737926	CP	amitriptyline	norepinephrine inhibitor, serotonin receptor inhibitor, sigma receptor inhibitor	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HTR6, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1	Serotonin receptor antagonist	7.38, 4.10	72.99	1.08, 0.27	74.67	76.29	53.87	64.22	95.45	16.43	48.05	72.71	82.63	83.70	85.89	70.86	84.57	99.79	96.44	55.88	89.83	73.26	62.56	53.69	50.09	43.88	84.99	16.67	26.06	81.27
BRD-A92585442	CP	RU-28318	cytochrome P450 antagonist	NR3C2		5.24, 2.18	72.67	0.86, 0.19	78.95	10.71	95.36	82.67	66.39	26.34	46.12	89.16	82.01	83.28	53.01	96.72	55.34	86.39	83.59	49.72	88.34	27.43	36.16	56.42	63.14	82.88	46.33	94.38	88.71	21.51
BRD-K77947974	CP	fluspirilene	dopamine receptor, dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist	8.20, 4.92	72.67	0.94, 0.14	95.63	29.46	69.58	88.14	97.64	33.57	38.09	97.81	46.90	99.72	17.36	42.42	81.37	33.37	90.72	77.16	6.33	6.55	79.57	96.86	80.57	75.75	84.91	18.70	68.62	-6.03
BRD-K18779551	CP	bifemelane	acetylcholine release stimulant, adrenergic transmitter uptake inhibitor, reducing agent	SLC6A2		6.97, 3.69	72.63	0.88, 0.18	91.41	93.39	95.17	97.77	95.67	67.22	83.37	64.80	15.28	77.84	74.47	86.06	66.83	57.00	76.46	37.15	70.78	53.93	97.31	43.76	87.84	1.13	21.82	66.11	89.80	40.04
BRD-K34776109	CP	glimepiride	insulin secretagogue, ATP channel blocker, ATP-sensitive potassium channel antagonist, insulinotropin agonist, sulfonylurea	ABCC8, KCNJ11, KCNJ1	KCNJ11 modulator	5.74, 3.28	72.59	0.68, 0.13	23.58	58.12	77.62	92.17	9.43	51.23	48.49	15.10	48.33	75.50	90.73	68.88	92.00	90.25	89.52	42.04	54.42	75.38	69.81	84.61	79.95	37.42	97.07	86.69	81.00	42.94
BRD-K44497846	CP	enalapril	angiotensin converting enzyme inhibitor, angiotensin receptor blocker	ACE		13.10, 7.86	72.57	1.09, 0.33	5.98	12.48	94.72	99.47	5.95	33.55	27.08	48.92	84.87	14.68	99.12	94.99	74.69	27.92	84.16	99.68	5.36	71.83	-7.75	89.15	26.79	97.50	88.95	99.75	21.72	73.30
BRD-K37289225	CP	clozapine	serotonin receptor antagonist, dopamine receptor antagonist, adrenergic receptor antagonist	DRD2, DRD4, ADRA1A, ADRA1B, CHRM1, DRD1, DRD3, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD5, HTR1F, HTR2B, HTR3A, HTR5A	Dopamine receptor antagonist, Serotonin receptor antagonist	7.79, 4.51	72.56	0.73, 0.14	14.02	29.72	78.44	92.01	60.07	82.57	56.33	82.20	37.75	74.06	96.49	59.65	80.21	31.84	42.83	90.00	15.55	71.07	88.29	85.50	70.58	92.84	93.69	83.30	38.37	21.85
BRD-K13800121	CP	parecoxib	cyclooxygenase inhibitor	LTF, PTGS2		6.76, 5.80	72.42	0.99, 0.30	92.57	49.52	98.41	50.54	67.62	0.39	89.10	99.82	98.20	76.94	71.36	90.29	91.30	93.02	19.04	45.83	87.96	61.21	63.29	72.35	57.34	72.50	98.13	96.20	32.97	11.91
BRD-A31575449	CP	CGP-20712	adrenergic receptor antagonist	ADRB1, ADRB3		5.74, 4.10	72.38	0.88, 0.32	60.99	47.83	42.10	80.38	90.02	41.42	53.55	62.83	87.68	99.58	82.20	94.37	82.23	69.40	91.85	97.58	20.15	81.56	44.61	75.36	97.63	89.58	65.87	55.29	61.24	44.13
BRD-K76133116	CP	benzydamine	membrane integrity inhibitor, prostanoid receptor inhibitor	PRSS1, PRSS2		6.15, 3.69	72.29	0.93, 0.26	11.64	73.06	83.50	98.53	15.17	83.41	5.36	87.95	61.80	29.87	43.80	94.29	83.08	96.71	-25.48	99.82	28.75	17.15	78.27	84.74	71.52	70.02	93.55	95.40	62.21	-37.17
BRD-A93424738	CP	dexamethasone	glucocorticoid receptor agonist, corticosteroid agonist, immunosuppressant	ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2	Glucocorticoid receptor agonist	5.33, 2.46	72.28	1.25, 0.52	70.24	21.16	38.76	17.63	7.74	79.70	82.19	80.20	87.36	64.94	39.44	86.98	31.99	66.43	74.32	82.29	1.52	10.06	96.49	82.44	77.67	57.84	75.17	33.31	91.65	74.74
BRD-K15409150	CP	penfluridol	dopamine receptor antagonist, T-type calcium channel blocker	CACNA1G, DRD1, DRD2	T-type calcium channel blocker	4.92, 1.64	72.19	1.57, 0.35	96.66	1.60	12.49	70.61	99.47	14.75	31.00	95.36	91.81	97.60	86.44	23.10	61.65	75.70	95.20	20.39	97.46	92.97	56.13	75.39	82.00	72.13	50.97	72.25	36.75	16.54
BRD-K21667562	CP	AM-404	FAAH transport inhibitor, anandamide transport inhibitor, nucelar factor of activated T-cells inhibitor, TRPV agonist	TRPV1, CNR1, CNR2, FAAH		4.10, 1.23	72.18	1.23, 0.27	3.81	32.83	81.74	70.38	84.93	68.42	22.65	70.50	76.55	39.59	90.75	60.23	94.68	35.84	79.67	73.95	68.84	93.33	75.26	60.95	87.69	77.23	17.39	92.89	73.86	4.84
BRD-K95435023	CP	PHA-665752	c-Met inhibitor, hepatocyte growth factor receptor inhibitor	MET		5.33, 3.69	72.17	1.49, 0.38	97.89	8.90	92.96	97.78	99.72	17.17	14.27	72.03	48.86	80.79	28.73	64.32	69.68	11.40	72.12	72.22	92.68	88.84	10.79	85.30	91.88	83.94	79.44	91.71	71.27	8.66
BRD-K07736136	CP	VX-702	p38 MAPK inhibitor	MAPK14, MAPK11, MAPK12	P38 MAPK inhibitor	7.38, 4.10	72.16	1.49, 0.30	92.36	13.96	99.40	19.89	78.79	82.99	59.72	95.24	93.39	36.93	79.67	99.65	58.21	74.10	37.07	67.16	23.93	82.11	93.43	97.97	40.55	70.22	90.01	53.14	67.70	65.85
BRD-K85090592	CP	pilocarpine	acetylcholine receptor agonist	CHRM3, CHRM1, CHRM2, CHRM4, CHRM5		7.25, 3.38	72.16	1.15, 0.33	71.28	96.95	73.04	62.50	2.73	30.47	75.25	52.81	67.72	29.12	80.94	29.54	75.15	7.48	75.05	82.78	5.19	22.51	77.23	95.60	20.42	96.97	90.43	77.28	26.39	88.70
BRD-A04553218	CP	chlorphenamine	histamine receptor antagonist	HRH1, SLC6A2, SLC6A3, SLC6A4		5.33, 2.05	72.08	0.41, 0.08	14.33	78.82	88.47	72.76	31.64	80.72	64.03	49.87	85.31	34.86	72.43	88.76	71.73	62.27	88.19	61.61	66.08	37.77	86.28	98.84	88.29	83.98	89.32	47.39	59.78	24.86
BRD-A77291778	CP	cyclopentolate	acetylcholine receptor antagonist	CHRM1		4.10, 2.87	72.03	0.55, 0.11	4.37	4.11	60.89	46.55	38.39	84.09	72.44	73.97	89.80	27.40	71.63	93.93	13.86	98.16	88.98	95.96	3.42	79.94	62.50	55.58	93.94	89.40	34.31	14.13	86.93	80.41
BRD-K40902647	CP	vincamine	adrenergic receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4		7.38, 4.51	71.96	0.98, 0.38	84.20	43.77	99.75	96.68	67.03	72.42	82.03	70.57	69.84	0.60	68.50	79.92	97.77	51.48	97.15	71.50	49.99	2.64	81.15	90.55	95.56	84.04	83.22	34.28	43.26	15.91
BRD-K45401373	CP	betulinic-acid	apoptosis stimulant, caspase activator, diacylglycerol O acyltransferase inhibitor, HIV integrase inhibitor, NFkB pathway activator, NFKB pathway inhibitor, SARS coronavirus 3C-like protease inhibitor, topoisomerase inhibitor	CASP3, CASP8, GPBAR1, TOP1		6.15, 3.28	71.93	0.89, 0.25	8.84	-41.17	98.41	77.23	22.62	75.48	62.33	97.46	76.57	34.74	92.26	88.33	96.77	88.22	83.16	69.20	74.67	58.89	65.03	21.80	77.54	53.72	38.02	99.26	66.36	8.12
BRD-K39462424	CP	dexchlorpheniramine	histamine receptor antagonist			6.15, 2.46	71.88	1.17, 0.39	64.16	96.72	71.32	4.40	93.52	90.82	55.54	96.32	70.15	42.53	62.74	80.78	83.14	90.82	80.85	76.48	20.35	0.99	96.48	9.63	95.33	37.87	37.41	72.43	79.41	25.14
BRD-K77171813	CP	proxyfan	histamine receptor modulator	HRH3		7.38, 3.28	71.87	0.90, 0.24	45.59	49.81	81.72	70.62	45.98	88.47	70.42	62.50	64.04	31.46	74.44	73.11	47.52	98.77	95.63	93.02	16.46	53.01	76.48	75.03	80.74	85.60	83.01	19.10	59.46	99.87
BRD-K06926592	CP	tretinoin	RAR agonist, RAR receptor binder, retinoid receptor agonist, ROR ligand	RARG, RORB, ALDH1A1, ALDH1A2, GPRC5A, NR0B1, NR2C2, PPARD, RARA, RARB, RARRES1, RORC, RXRB, RXRG	Retinoid receptor agonist	4.92, 0.82	71.83	0.84, 0.17	75.55	28.86	96.95	67.81	27.03	39.64	89.52	81.67	35.44	89.09	49.54	34.08	45.80	79.77	80.63	77.41	89.38	75.19	18.88	86.97	70.20	51.13	82.04	41.60	73.46	38.82
BRD-A64297288	CP	amlodipine	breast cancer resistance protein inhibitor, calcium channel blocker, calcium channel inhibitor, L-type calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, ABCG2, CA1, CACNA1B, CACNA1S, CACNA2D3, CACNB1, CACNB2, SMPD1	Calcium channel blocker	6.28, 1.93	71.74	1.36, 0.33	96.97	33.69	70.03	69.50	88.40	58.59	71.99	92.51	18.30	95.38	34.74	51.17	91.01	83.62	88.10	17.03	17.71	35.71	71.48	3.12	99.01	76.64	86.48	79.70	81.93	21.30
BRD-A15530910	CP	carpindolol	adrenergic receptor antagonist, serotonin receptor antagonist		Serotonin receptor antagonist	5.74, 4.51	71.73	1.11, 0.32	87.82	71.52	75.50	11.88	99.22	96.76	62.30	48.81	72.15	99.65	37.39	61.75	89.04	76.78	79.62	18.95	91.36	71.95	40.55	64.53	73.61	53.33	88.53	18.72	44.35	-1.76
BRD-K11801786	CP	trimidox	antimetabolite, ribonucleoside reductase inhibitor, ribonucleotide reductase inhibitor	RRM1		13.97, 4.80	71.72	1.60, 0.43	96.51	39.84	99.72	90.36	31.10	24.65	71.93	74.82	95.12	10.08	67.38	68.73	98.63	80.35	71.50	61.70	6.07	77.49	73.76	81.83	3.52	68.03	95.47	91.75	25.29	55.80
BRD-K36638830	CP	anabasine	acetylcholine receptor agonist			2.87, 0.82	71.66	1.10, 0.19	45.33	5.04	79.90	71.69	7.95	68.30	84.20	89.26	43.34	75.80	87.18	93.45	34.08	55.25	77.93	97.46	30.49	78.80	44.71	71.63	51.17	98.84	80.92	80.82	34.09	63.45
BRD-K07888107	CP	depudecin	HDAC inhibitor	HDAC1, HDAC2	HDAC inhibitor	3.69, 1.64	71.63	2.21, 0.53	79.74	0.87	83.93	32.75	1.18	83.20	75.85	59.76	76.82	86.42	70.55	39.15	-7.91	90.80	86.87	88.08	1.69	40.09	72.70	95.73	91.92	70.22	53.40	12.08	14.31	93.73
BRD-K62959606	CP	sphingosine	ceramidase inhibitor	GLTP, PVR, TRPM3		4.51, 2.05	71.60	0.88, 0.15	94.20	68.44	96.93	93.26	18.44	67.88	55.99	99.72	69.87	90.60	98.38	69.72	35.95	95.49	90.67	79.25	93.78	73.32	80.38	58.73	19.59	88.85	54.09	22.45	39.76	51.13
BRD-A53077924	CP	tianeptine	selective serotonin reuptake enhancer (SSRE), serotonin reuptake enhancer, serotonin uptake enhancer	SLC6A4		6.11, 3.93	71.56	1.05, 0.33	49.11	6.78	85.40	99.82	21.73	68.73	74.23	50.66	84.49	17.88	98.98	90.22	74.63	87.69	87.40	50.61	45.51	53.76	85.88	89.01	68.89	94.30	75.34	37.55	59.85	4.83
BRD-K51302260	CP	KU-C103871	GSP agonist	SMAD3		4.10, 2.46	71.53	1.35, 0.42	65.03	94.15	41.18	91.02	56.14	93.85	64.01	82.91	95.11	74.49	95.70	55.39	10.82	64.39	68.57	97.09	46.53	93.97	85.01	43.10	1.90	78.94	90.27	66.24	74.59	6.84
BRD-K40901640	CP	cinanserin	serotonin receptor antagonist	HTR2A		4.37, 2.18	71.47	0.48, 0.09	21.61	68.51	94.80	75.72	3.89	74.20	81.57	91.35	49.62	33.48	93.44	92.19	86.83	49.81	91.45	33.40	55.56	16.31	86.64	66.10	89.70	68.75	80.71	18.64	92.82	63.21
BRD-A02189320	CP	met-leu-phe	in touchstone			3.93, 1.75	71.44	1.18, 0.31	33.97	84.73	93.67	55.13	13.11	90.71	67.33	74.64	34.72	91.97	68.24	92.79	80.52	83.29	60.65	42.57	82.54	52.91	98.67	96.74	86.91	46.14	34.04	44.09	97.76	35.72
BRD-A06726973	CP	dibutyrylcyclic-gmp	cGMP analog			7.38, 4.10	71.40	0.98, 0.30	74.04	91.62	69.56	90.81	1.72	60.28	73.25	82.82	3.24	25.21	37.20	83.06	77.29	94.09	36.67	94.37	68.07	48.68	79.06	92.21	99.19	44.89	66.57	67.32	31.29	97.59
BRD-K30240666	CP	clemastine	histamine receptor antagonist	HRH1	HRH1 antagonist	7.79, 5.74	71.36	1.03, 0.26	92.97	22.17	94.06	94.36	99.89	16.16	34.17	81.48	72.52	99.68	51.52	70.20	7.95	69.66	99.89	48.55	24.39	15.12	96.09	93.81	86.99	66.12	73.87	47.07	81.01	-4.19
BRD-K77695569	CP	tiabendazole	quinol-fumarate reductase inhibitor			5.74, 2.87	71.35	0.77, 0.14	6.20	10.94	93.91	62.14	26.74	83.14	50.79	59.46	80.42	41.10	38.95	74.75	49.33	86.34	72.49	95.11	10.40	-0.11	90.06	96.80	88.40	73.19	70.21	83.13	47.55	97.64
BRD-A87848830	CP	bimatoprost	prostanoid receptor agonist	PTGFR, AKR1C3, PTGER1, PTGER3		3.93, 2.18	71.20	1.51, 0.40	81.85	90.72	93.36	75.49	6.75	31.92	70.29	61.21	98.28	36.81	88.33	74.31	51.86	47.96	17.99	-61.30	6.88	88.51	91.06	77.07	86.46	16.20	57.27	72.11	16.56	96.74
BRD-K14920963	CP	erythrosine	food coloring agent			5.74, 2.87	71.20	0.68, 0.19	56.16	32.21	24.44	80.85	67.12	-45.22	10.40	95.32	17.67	21.35	81.65	96.18	75.28	42.13	84.33	86.41	88.51	88.68	96.38	75.86	97.08	43.52	37.66	36.51	84.72	9.88
BRD-K39965020	CP	doconexent	PPAR receptor agonist, unidentified pharmacological activity	FFAR1, PPARA, PTGS1, PTGS2	PPAR receptor agonist	5.74, 3.28	71.19	0.77, 0.27	7.91	-7.61	98.73	51.62	7.58	78.68	89.82	82.72	76.46	0.56	75.67	93.77	57.26	99.30	47.40	66.71	44.37	32.31	78.64	83.26	86.41	49.21	92.88	12.01	37.93	99.01
BRD-K51066026	CP	aminoindazole	ionophore			6.15, 2.46	71.18	0.99, 0.36	79.28	82.00	94.06	98.13	25.97	16.89	65.56	96.25	63.97	46.03	56.17	86.44	96.99	44.05	13.54	80.16	31.94	29.63	99.13	81.55	60.61	76.80	94.60	50.64	50.77	77.57
BRD-K25310650	CP	ormetoprim	antibiotic			3.38, 1.93	71.10	1.85, 0.74	73.74	6.17	76.09	54.92	88.31	87.92	6.06	63.00	61.12	90.07	64.13	95.54	73.16	74.20	80.42	69.03	75.46	54.65	85.33	45.47	39.07	97.88	49.53	66.41	97.75	40.25
BRD-A86044036	CP	flurbiprofen	cyclooxygenase inhibitor	PTGS1, PTGS2		6.55, 3.49	71.03	1.57, 0.39	44.88	28.97	96.71	96.98	28.87	59.24	84.40	65.12	-21.83	10.40	90.03	75.61	93.78	90.68	67.78	52.84	72.33	55.89	91.67	59.07	98.52	74.99	97.74	99.22	69.72	26.76
BRD-K92760278	CP	riboflavin	vitamin B2, required for flavoprotein enzyme reactions			4.51, 1.23	70.99	0.76, 0.19	57.40	7.09	94.65	86.27	7.58	42.84	54.75	64.13	97.63	28.32	97.16	90.78	71.87	93.00	49.21	-22.07	11.88	65.13	87.53	83.95	73.84	93.58	87.47	51.33	70.11	90.04
BRD-K00234327	CP	RU-24969	serotonin receptor agonist	HTR1A, HTR1B, HTR6, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A		5.33, 2.87	70.98	0.51, 0.15	44.51	95.84	46.38	94.85	4.29	36.51	77.62	89.10	70.19	1.23	58.89	84.90	97.81	71.04	55.08	82.45	25.42	26.83	87.63	63.47	74.47	72.26	70.91	92.93	58.63	83.32
BRD-K06388322	CP	pramipexole	dopamine receptor agonist	DRD3, DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C		7.73, 4.35	70.95	1.11, 0.22	95.21	31.98	94.46	98.48	62.74	7.05	78.18	26.04	64.57	41.40	88.44	45.09	98.64	80.11	75.03	73.40	11.07	9.29	97.77	68.50	30.53	42.51	81.38	98.83	89.96	13.37
BRD-A25067867	CP	benzatropine	anticholinergic	CHRM1, HRH1, SLC6A3		9.17, 3.49	70.94	1.56, 0.44	76.04	6.25	99.58	52.93	67.23	35.17	95.59	50.26	91.95	74.25	48.47	32.75	96.48	82.55	86.64	88.10	1.44	67.64	99.19	15.96	26.06	95.92	91.93	65.19	61.61	97.12
BRD-K01612348	CP	meropenem	cell wall synthesis inhibitor			9.17, 2.62	70.91	0.94, 0.31	33.58	16.01	58.20	98.84	11.31	85.32	8.77	42.01	72.16	7.29	75.85	63.98	94.99	69.65	94.75	91.71	1.97	43.10	51.74	97.22	78.04	85.31	95.01	94.74	27.65	93.31
