indication,pert_iname
Schizophrenia Spectrum and Other Psychotic Disorders,penfluridol
Bacterial Infections,penicillin-v-potassium
Diphtheria,penicillin-v-potassium
"Meningitis, Meningococcal",penicillin-v-potassium
Pasteurella Infections,penicillin-v-potassium
Pneumococcal Infections,penicillin-v-potassium
Gram-Positive Bacterial Infections,penicillin-v-potassium
Actinomycosis,penicillin-v-potassium
Anthrax,penicillin-v-potassium
Botulism,penicillin-v-potassium
Escherichia coli Infections,penicillin-v-potassium
Gonorrhea,penicillin-v-potassium
Meningococcal Infections,penicillin-v-potassium
Otitis Media,penicillin-v-potassium
Rheumatic Fever,penicillin-v-potassium
Salmonella Infections,penicillin-v-potassium
Sinusitis,penicillin-v-potassium
Spirochaetales Infections,penicillin-v-potassium
Staphylococcal Infections,penicillin-v-potassium
Tetanus,penicillin-v-potassium
Urinary Tract Infections,penicillin-v-potassium
"Skin Diseases, Bacterial",penicillin-v-potassium
Sepsis,penicillin-v-potassium
Brain Ischemia,pentoxifylline
Diabetic Angiopathies,pentoxifylline
Diabetic Neuropathies,pentoxifylline
Gangrene,pentoxifylline
Thrombosis,pentoxifylline
Vasculitis,pentoxifylline
"Malaria, Cerebral",pentoxifylline
"Impotence, Vasculogenic",pentoxifylline
Stroke,pentoxifylline
"Epilepsies, Partial",perampanel
"Epilepsy, Tonic-Clonic",perampanel
Seizures,perampanel
Diabetic Nephropathies,perindopril
Myocardial Infarction,perindopril
"Hypertrophy, Left Ventricular",perindopril
"Ventricular Dysfunction, Left",perindopril
Pain,phenazone
"Epilepsy, Absence",phensuximide
Extravasation of Diagnostic and Therapeutic Materials,phentolamine
"Hypertension, Malignant",phentolamine
Necrosis,phentolamine
"Arthritis, Gouty",phenylbutazone
Fissure in Ano,phenylephrine
"Glaucoma, Open-Angle",phenylephrine
Pruritus Ani,phenylephrine
"Tachycardia, Supraventricular",phenylephrine
"Epilepsy, Tonic-Clonic",phenytoin
"Epilepsy, Temporal Lobe",phenytoin
"Abnormalities, Drug-Induced",physostigmine
Glaucoma,physostigmine
Drug-Related Side Effects and Adverse Reactions,physostigmine
Diabetes Mellitus,picolinic-acid
Nutritional and Metabolic Diseases,picolinic-acid
"Glaucoma, Angle-Closure",pilocarpine
Mydriasis,pilocarpine
Huntington Disease,pimozide
Hypertension,pinacidil
Angina Pectoris,pindolol
Hypertension,pindolol
Myocardial Infarction,pindolol
Duodenal Ulcer,pirenzepine
Motion Sickness,pirenzepine
Nausea,pirenzepine
Peptic Ulcer,pirenzepine
Stomach Ulcer,pirenzepine
Vomiting,pirenzepine
Hypertriglyceridemia,pitavastatin
"Lymphoma, T-Cell, Peripheral",pralatrexate
Clonorchiasis,praziquantel
"Intestinal Diseases, Parasitic",praziquantel
Opisthorchiasis,praziquantel
Prostatic Hyperplasia,prazosin
Raynaud Disease,prazosin
Urinary Retention,prazosin
"Epilepsies, Partial",primidone
"Epilepsy, Tonic-Clonic",primidone
Tremor,primidone
Gonorrhea,probenecid
Gout,probenecid
Neurosyphilis,probenecid
Coronary Artery Disease,probucol
Hypercholesterolemia,probucol
Atrial Flutter,procainamide
"Tachycardia, Supraventricular",procainamide
"Tachycardia, Ventricular",procainamide
Ventricular Premature Complexes,procainamide
Pain,procaine
Substance Withdrawal Syndrome,procaine
Anxiety Disorders,prochlorperazine
Dementia,prochlorperazine
Psychotic Disorders,prochlorperazine
Schizophrenia,prochlorperazine
"Tachycardia, Supraventricular",propafenone
Angina Pectoris,propranolol
Heart Failure,propranolol
Myocardial Infarction,propranolol
Pheochromocytoma,propranolol
Ventricular Fibrillation,propranolol
"Tachycardia, Ventricular",propranolol
Essential Tremor,propranolol
Goiter,propylthiouracil
Thyroid Crisis,propylthiouracil
Depressive Disorder,protriptyline
AIDS-Related Opportunistic Infections,pyrimethamine
Diarrhea,quercetin
Fatigue,quercetin
Food Hypersensitivity,quercetin
Headache,quercetin
Autistic Disorder,quetiapine
Diabetic Nephropathies,quinapril
Heart Failure,quinapril
Hypertension,quinapril
"Hypertrophy, Left Ventricular",quinapril
"Ventricular Dysfunction, Left",quinapril
Atrial Fibrillation,quinidine
Atrial Flutter,quinidine
"Tachycardia, Supraventricular",quinidine
"Malaria, Falciparum",quinidine
"Tachycardia, Ventricular",quinidine
Zollinger-Ellison Syndrome,rabeprazole
Helicobacter Infections,rabeprazole
Sleep Initiation and Maintenance Disorders,ramelteon
"Carcinoma, Hepatocellular",regorafenib
Colorectal Neoplasms,regorafenib
Gastrointestinal Stromal Tumors,regorafenib
Schizophrenia,reserpine
Dyskinesias,reserpine
Acne Vulgaris,resorcinol
Rosacea,resorcinol
Herpes Labialis,resveratrol
"Influenza, Human",rimantadine
Inflammation,rimexolone
"Uveitis, Anterior",rimexolone
"Pulmonary Disease, Chronic Obstructive",roflumilast
Polycythemia Vera,ruxolitinib
Primary Myelofibrosis,ruxolitinib
Parkinson Disease,safinamide
Arthritis,sasapyrine
Fever,sasapyrine
Pain,sasapyrine
Multiple Myeloma,selinexor
Neurofibromatosis 1,selumetinib
"Impotence, Vasculogenic",sildenafil
Ventricular Fibrillation,sotalol
Pain,sufentanil
Chlamydia Infections,sulfafurazole
Nocardia Infections,sulfafurazole
Otitis Media,sulfafurazole
Urinary Tract Infections,sulfafurazole
Respiratory Tract Fistula,sulfafurazole
Corneal Ulcer,sulfafurazole
Trachoma,sulfafurazole
Miosis,suprofen
Alzheimer Disease,tacrine
"Impotence, Vasculogenic",tadalafil
Pancreatic Neoplasms,tamoxifen
"Puberty, Precocious",tamoxifen
Staphylococcal Infections,tedizolid
Streptococcal Infections,tedizolid
"Ventricular Dysfunction, Left",telmisartan
Diarrhea,telotristat
Malignant Carcinoid Syndrome,telotristat
Depressive Disorder,temazepam
Sleep Initiation and Maintenance Disorders,temazepam
Panic Disorder,temazepam
"Candidiasis, Chronic Mucocutaneous",terbinafine
Tinea Versicolor,terbinafine
Pain,tetracaine
Primary Myelofibrosis,TG-101348
Behcet Syndrome,thalidomide
Erythema Multiforme,thalidomide
Erythema Nodosum,thalidomide
Leprosy,thalidomide
Anxiety Disorders,theobromine
Bradycardia,theophylline
Bronchial Spasm,theophylline
Bronchitis,theophylline
Pulmonary Emphysema,theophylline
Psoriasis,thioguanine
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",thioguanine
"Leukemia, Neutrophilic, Chronic",thioguanine
Psychotic Disorders,thioridazine
Dracunculiasis,tiabendazole
Larva Migrans,tiabendazole
Strongyloidiasis,tiabendazole
Trichinellosis,tiabendazole
Bipolar Disorder,tiagabine
"Epilepsies, Partial",tiagabine
Intracranial Embolism and Thrombosis,ticlopidine
Ischemia,ticlopidine
Thromboembolism,ticlopidine
Venous Thrombosis,ticlopidine
Stroke,ticlopidine
"Candidiasis, Vulvovaginal",tioconazole
Colorectal Neoplasms,tipiracil
Thromboembolism,tirofiban
Reperfusion Injury,tirofiban
"Carcinoma, Renal Cell",tivozanib
Muscle Cramp,tizanidine
Muscle Rigidity,tizanidine
Myositis,tizanidine
Spasm,tizanidine
Trigeminal Neuralgia,tizanidine
Parkinson Disease,tolcapone
Tinea Pedis,tolnaftate
Tinea Versicolor,tolnaftate
Pain,topiramate
"Spasms, Infantile",topiramate
Ascites,torasemide
Edema,torasemide
"Kidney Failure, Chronic",torasemide
Liver Cirrhosis,torasemide
Nephrotic Syndrome,torasemide
Pulmonary Edema,torasemide
Acute Kidney Injury,torasemide
"Angina, Stable",trapidil
Edema,triamterene
Hypokalemia,triamterene
Fascioliasis,triclabendazole
Bacterial Infections and Mycoses,triclosan
"Heavy Metal Poisoning, Nervous System",trientine
Anxiety Disorders,trifluoperazine
Schizophrenia,trifluoperazine
Hiccup,triflupromazine
Nausea,triflupromazine
Pain,triflupromazine
Psychotic Disorders,triflupromazine
Vomiting,triflupromazine
Nausea,trimethobenzamide
Vomiting,trimethobenzamide
Bronchitis,trimethoprim
Escherichia coli Infections,trimethoprim
Klebsiella Infections,trimethoprim
Proteus Infections,trimethoprim
"Eye Infections, Bacterial",trimethoprim
AIDS-Related Opportunistic Infections,trimethoprim
Depressive Disorder,trimipramine
Pulmonary Emphysema,umeclidinium
"Bronchitis, Chronic",umeclidinium
Ocular Hypertension,urea
"Hyperkeratosis, Epidermolytic",urea
Intracranial Hypertension,urea
"Arthritis, Rheumatoid",valdecoxib
Dysmenorrhea,valdecoxib
"Epilepsy, Complex Partial",valproic-acid
Thyroid Neoplasms,vandetanib
"Impotence, Vasculogenic",vardenafil
Attention Deficit Disorder with Hyperactivity,venlafaxine
Autistic Disorder,venlafaxine
Pain,venlafaxine
"Fatigue Syndrome, Chronic",venlafaxine
"Angina Pectoris, Variant",verapamil
Atrial Flutter,verapamil
Myocardial Infarction,verapamil
"Tachycardia, Supraventricular",verapamil
Chickenpox,vidarabine
Herpes Zoster,vidarabine
"Keratoconjunctivitis, Infectious",vidarabine
"Keratitis, Herpetic",vidarabine
Skin Neoplasms,vismodegib
Fusariosis,voriconazole
Coronary Thrombosis,warfarin
Postoperative Complications,warfarin
Erectile Dysfunction,yohimbine
Miosis,yohimbine
Asthma,zafirlukast
Tourette Syndrome,ziprasidone
Hypertension,zofenopril-calcium
Rosacea,5-aminolevulinic-acid
Hutchinson's Melanotic Freckle,5-aminolevulinic-acid
Lentigo,5-aminolevulinic-acid
Foot Diseases,fluorouracil
Bowen's Disease,fluorouracil
"Neoplasms, Basal Cell",fluorouracil
Keloid,fluorouracil
Pterygium,fluorouracil
Cicatrix,fluorouracil
Hypopigmentation,fluorouracil
Photosensitivity Disorders,fluorouracil
"Glaucoma, Open-Angle",fluorouracil
Heart Failure,acebutolol
Heart Diseases,acebutolol
"Heart Failure, Diastolic",acebutolol
Hemostatic Disorders,acenocoumarol
Blood Coagulation Disorders,acenocoumarol
"Aneurysm, Dissecting",acenocoumarol
Stroke,acenocoumarol
Pulmonary Edema,acetazolamide
"Vasospasm, Intracranial",acetazolamide
Respiratory Insufficiency,acetazolamide
Hyperalgesia,acetazolamide
Opioid-Related Disorders,acetazolamide
Aneurysm,acetazolamide
"Aortic Aneurysm, Thoracic",acetazolamide
Drug-Related Side Effects and Adverse Reactions,acetazolamide
Fatigue,acetazolamide
Nephrotic Syndrome,acetazolamide
Nephrosis,acetazolamide
Respiration Disorders,acetazolamide
Respiratory Tract Diseases,acetazolamide
Meningitis,acyclovir
"Meningitis, Viral",acyclovir
Keratitis,acyclovir
Recurrence,acyclovir
"Pneumonia, Viral",acyclovir
Warts,acyclovir
Foot Diseases,acyclovir
"Multiple Sclerosis, Relapsing-Remitting",acyclovir
Hypersensitivity,adapalene
No-Reflow Phenomenon,adenosine
"Cardiomyopathy, Hypertrophic",adenosine
"Cardiomyopathy, Dilated",adenosine
Emergencies,adenosine
Asthma,adenosine
Premature Birth,adenosine
Ventricular Premature Complexes,adenosine
Ischemic Stroke,agomelatine
Recurrence,agomelatine
Parkinson Disease,agomelatine
Sleep Wake Disorders,agomelatine
Parasomnias,agomelatine
Chronobiology Disorders,agomelatine
Psychotic Disorders,agomelatine
"Schizophrenia, Paranoid",agomelatine
Parasitic Diseases,albendazole
Nematode Infections,albendazole
Intestinal Diseases,albendazole
Schistosomiasis,albendazole
"Intestinal Diseases, Parasitic",albendazole
Ascaridiasis,albendazole
Periodontitis,albendazole
Chronic Periodontitis,albendazole
Diarrhea,albendazole
Breast Neoplasms,alizapride
Vomiting,alizapride
Nausea,alizapride
Peripheral Arterial Disease,allopurinol
Peripheral Vascular Diseases,allopurinol
Acute Coronary Syndrome,allopurinol
"Angina, Stable",allopurinol
Sarcopenia,allopurinol
Bipolar Disorder,allopurinol
Disease,allopurinol
"Kidney Failure, Chronic",allopurinol
"Hypertrophy, Left Ventricular",allopurinol
Hypertrophy,allopurinol
Microvascular Angina,allopurinol
Renal Insufficiency,allopurinol
Schizophrenia,allopurinol
Psychotic Disorders,allopurinol
"Diabetes Mellitus, Type 1",allopurinol
Urolithiasis,allopurinol
Stroke,allopurinol
Ischemic Stroke,allopurinol
"Pain, Postoperative",alvimopan
Acute Pain,alvimopan
Ataxia,amantadine
Cerebellar Ataxia,amantadine
Parkinsonian Disorders,amantadine
Ataxia Telangiectasia,amantadine
Telangiectasis,amantadine
Paralysis,amantadine
Cerebral Palsy,amantadine
Postoperative Cognitive Complications,amantadine
Cognitive Dysfunction,amantadine
Dementia,amantadine
Frontotemporal Dementia,amantadine
"Aphasia, Primary Progressive",amantadine
Pick Disease of the Brain,amantadine
Problem Behavior,amantadine
Delirium,amantadine
Confusion,amantadine
Depression,amantadine
Depressive Disorder,amantadine
"Depressive Disorder, Treatment-Resistant",amantadine
Heart Failure,ambrisentan
Connective Tissue Diseases,ambrisentan
Dyspnea,ambrisentan
Polycystic Kidney Diseases,amiloride
"Polycystic Kidney, Autosomal Dominant",amiloride
Diabetes Insipidus,amiloride
"Diabetes Insipidus, Nephrogenic",amiloride
Bipolar Disorder,amiloride
Coronary Vasospasm,amiloride
Arthritis,aminocaproic-acid
Osteoarthritis,aminocaproic-acid
Scoliosis,aminocaproic-acid
Oral Hemorrhage,aminocaproic-acid
Infections,aminosalicylic-acid
Communicable Diseases,aminosalicylic-acid
Acquired Immunodeficiency Syndrome,aminosalicylic-acid
Sexually Transmitted Diseases,aminosalicylic-acid
Lentivirus Infections,aminosalicylic-acid
Immunologic Deficiency Syndromes,aminosalicylic-acid
Immune System Diseases,aminosalicylic-acid
Myocardial Infarction,amiodarone
Infarction,amiodarone
"Cardiac Complexes, Premature",amiodarone
"Shock, Septic",amiodarone
Shock,amiodarone
Respiratory Insufficiency,amiodarone
Toxemia,amiodarone
Sepsis,amiodarone
"Cardiomyopathy, Dilated",amiodarone
Chronic Pain,amitriptyline
Back Pain,amitriptyline
Syndrome,amitriptyline
"Amputation, Traumatic",amitriptyline
Spinal Cord Injuries,amitriptyline
Neck Pain,amitriptyline
Gastrointestinal Diseases,amitriptyline
Digestive System Diseases,amitriptyline
Abdominal Pain,amitriptyline
Irritable Bowel Syndrome,amitriptyline
Diarrhea,amitriptyline
Myalgia,amitriptyline
Facial Pain,amitriptyline
Cerebral Palsy,amitriptyline
Atrial Fibrillation,amlodipine
"Hypertension, Pregnancy-Induced",amlodipine
COVID-19,amlodipine
Coronavirus Infections,amlodipine
Aortic Valve Stenosis,amlodipine
"Kidney Failure, Chronic",amlodipine
"Hypertension, Renal",amlodipine
Heart Diseases,amlodipine
Myocardial Ischemia,amlodipine
Albuminuria,amlodipine
Metabolic Diseases,amlodipine
Lipid Metabolism Disorders,amlodipine
"Angina, Stable",amlodipine
Ischemia,amlodipine
Inflammation,amlodipine
Systolic Murmurs,amlodipine
Diabetic Nephropathies,amlodipine
Hypoxia,amlodipine
Anxiety Disorders,amlodipine
Fatty Liver,amlodipine
Ischemic Stroke,amlodipine
Cerebral Infarction,amlodipine
Carotid Stenosis,amlodipine
"Constriction, Pathologic",amlodipine
Liver Diseases,amlodipine
Non-alcoholic Fatty Liver Disease,amlodipine
"Anemia, Sickle Cell",amodiaquine
Malnutrition,amodiaquine
Severe Acute Malnutrition,amodiaquine
Breast Carcinoma In Situ,anastrozole
"Obesity, Morbid",anastrozole
Weight Loss,anastrozole
Antiphospholipid Syndrome,apixaban
Short Bowel Syndrome,apixaban
Ankle Fractures,apixaban
Ankle Injuries,apixaban
Cognitive Dysfunction,apixaban
Calcinosis,apixaban
Pulmonary Infarction,apixaban
Ventricular Dysfunction,apixaban
"Ventricular Dysfunction, Right",apixaban
Pulmonary Heart Disease,apixaban
Alopecia,apremilast
Alopecia Areata,apremilast
Erythema,apremilast
Erythema Nodosum,apremilast
Parapsoriasis,apremilast
Cardiovascular Diseases,apremilast
Inflammation,apremilast
Weight Gain,aripiprazole
Agnosia,aripiprazole
Hyperprolactinemia,aripiprazole
Drug-Related Side Effects and Adverse Reactions,aripiprazole
Mood Disorders,aripiprazole
Parkinson Disease,aripiprazole
Cardiovascular Diseases,aripiprazole
Hyperlipidemias,aripiprazole
Insulin Resistance,aripiprazole
Weight Loss,aripiprazole
Aggression,aripiprazole
Attention Deficit and Disruptive Behavior Disorders,aripiprazole
"Phobia, Social",aripiprazole
Conduct Disorder,aripiprazole
Feeding and Eating Disorders,aripiprazole
Dyskinesias,aripiprazole
Tardive Dyskinesia,aripiprazole
Dysthymic Disorder,aripiprazole
Cognition Disorders,aripiprazole
"Dyskinesia, Drug-Induced",aripiprazole
Pericarditis,aspirin
Carotid Artery Diseases,aspirin
Intracranial Hemorrhages,aspirin
Brain Ischemia,aspirin
Renal Artery Obstruction,aspirin
Essential Hypertension,aspirin
Gastroesophageal Reflux,aspirin
"Esophagitis, Peptic",aspirin
Ovarian Hyperstimulation Syndrome,aspirin
Tachycardia,aspirin
"Tachycardia, Ventricular",aspirin
Ventricular Premature Complexes,aspirin
Mood Disorders,aspirin
"Multiple Sclerosis, Relapsing-Remitting",aspirin
"Scleroderma, Systemic",aspirin
"Scleroderma, Diffuse",aspirin
Glucosephosphate Dehydrogenase Deficiency,aspirin
Coronary Restenosis,aspirin
"Kidney Failure, Chronic",aspirin
Respiratory Tract Infections,aspirin
Dementia,aspirin
Aortic Valve Disease,aspirin
Aortic Valve Insufficiency,aspirin
Insulin Resistance,aspirin
"Diabetes Mellitus, Type 1",aspirin
Brain Injuries,aspirin
"Brain Injuries, Traumatic",aspirin
"Hematoma, Subdural",aspirin
"Hematoma, Subdural, Chronic",aspirin
Craniocerebral Trauma,aspirin
Hematoma,aspirin
Gastrointestinal Hemorrhage,aspirin
Dental Caries,aspirin
Microvascular Angina,aspirin
Diabetic Nephropathies,aspirin
Intracranial Embolism,aspirin
Chagas Disease,aspirin
Drug-Related Side Effects and Adverse Reactions,aspirin
Respiration Disorders,aspirin
Respiratory Tract Diseases,aspirin
"Asthma, Aspirin-Induced",aspirin
"Stroke, Lacunar",aspirin
Cerebral Small Vessel Diseases,aspirin
"Hypertension, Portal",aspirin
Fibrosis,aspirin
Musculoskeletal Pain,aspirin
Endometriosis,aspirin
Pelvic Pain,aspirin
Arthritis,aspirin
Placenta Diseases,aspirin
Proteinuria,aspirin
Thyroiditis,aspirin
"Thyroiditis, Autoimmune",aspirin
Opioid-Related Disorders,aspirin
Myocardial Stunning,aspirin
Urinary Bladder Neoplasms,aspirin
Hematuria,aspirin
Sarcoma,aspirin
Coronary Vessel Anomalies,aspirin
Hypersplenism,aspirin
Sick Sinus Syndrome,atenolol-(+/-)
"Angina, Stable",atenolol-(+/-)
Coronary Artery Disease,atenolol-(+/-)
Myocardial Ischemia,atenolol-(+/-)
Coronary Disease,atenolol-(+/-)
Overweight,atenolol-(+/-)
Insulin Resistance,atenolol-(+/-)
Metabolic Syndrome,atenolol-(+/-)
Intracranial Arteriosclerosis,atenolol-(+/-)
Arteriosclerosis,atenolol-(+/-)
Stroke,atenolol-(+/-)
Diabetes Mellitus,atenolol-(+/-)
Infarction,atenolol-(+/-)
Kidney Diseases,atenolol-(+/-)
Diabetic Nephropathies,atenolol-(+/-)
"Diabetes Mellitus, Type 2",atenolol-(+/-)
Aneurysm,atenolol-(+/-)
Aortic Aneurysm,atenolol-(+/-)
"Aortic Aneurysm, Abdominal",atenolol-(+/-)
Rupture,atenolol-(+/-)
Hypotension,atenolol-(+/-)
Postoperative Cognitive Complications,atenolol-(+/-)
Cognitive Dysfunction,atenolol-(+/-)
"Renal Insufficiency, Chronic",atenolol-(+/-)
"Heart Failure, Diastolic",atenolol-(+/-)
Ischemic Stroke,atenolol-(+/-)
Cerebral Infarction,atenolol-(+/-)
Ischemia,atenolol-(+/-)
Spinal Cord Neoplasms,atenolol-(+/-)
Spinal Neoplasms,atenolol-(+/-)
"Stress Disorders, Traumatic",atomoxetine
"Stress Disorders, Post-Traumatic",atomoxetine
Depression,atomoxetine
Depressive Disorder,atomoxetine
Psychotic Disorders,atomoxetine
Dyslexia,atomoxetine
Sleep Initiation and Maintenance Disorders,atomoxetine
Autism Spectrum Disorder,atomoxetine
Asperger Syndrome,atomoxetine
"Child Development Disorders, Pervasive",atomoxetine
Problem Behavior,atomoxetine
Impulsive Behavior,atomoxetine
"Plaque, Atherosclerotic",atorvastatin
"Arrhythmias, Cardiac",atorvastatin
Osteoporosis,atorvastatin
Intracranial Hemorrhages,atorvastatin
"Angina Pectoris, Variant",atorvastatin
"Pulmonary Disease, Chronic Obstructive",atorvastatin
Prediabetic State,atorvastatin
Glucose Intolerance,atorvastatin
Metabolic Diseases,atorvastatin
Glucose Metabolism Disorders,atorvastatin
Lipid Metabolism Disorders,atorvastatin
Disease,atorvastatin
Alagille Syndrome,atorvastatin
Xanthomatosis,atorvastatin
"Aortic Aneurysm, Abdominal",atorvastatin
Mood Disorders,atorvastatin
Dementia,atorvastatin
Neurodegenerative Diseases,atorvastatin
Hyperparathyroidism,atorvastatin
"Hyperparathyroidism, Secondary",atorvastatin
Bronchiectasis,atorvastatin
Pseudomonas Infections,atorvastatin
Muscular Diseases,atorvastatin
Retroperitoneal Fibrosis,atorvastatin
Cerebral Small Vessel Diseases,atorvastatin
Myotoxicity,atorvastatin
Ventricular Remodeling,atorvastatin
Infections,atorvastatin
Liver Diseases,atorvastatin
Intracranial Arteriosclerosis,atorvastatin
Acute Kidney Injury,atorvastatin
Aortic Coarctation,atorvastatin
Anterior Wall Myocardial Infarction,atorvastatin
AIDS Dementia Complex,atorvastatin
Systolic Murmurs,atorvastatin
Myocardial Stunning,atorvastatin
Mitochondrial Diseases,atorvastatin
Respiratory Insufficiency,atracurium
Paralysis,atracurium
Postoperative Complications,atracurium
Syndrome,atracurium
Delayed Emergence from Anesthesia,atracurium
Lung Injury,atracurium
Myoclonus,atracurium
Agnosia,atracurium
Intracranial Hypertension,atracurium
Brain Injuries,atracurium
"Brain Injuries, Traumatic",atracurium
Hypertension,atracurium
Postoperative Cognitive Complications,atracurium
Cognitive Dysfunction,atracurium
Pancreatitis,azathioprine
Skin Neoplasms,azathioprine
Cholangitis,azathioprine
"Liver Cirrhosis, Biliary",azathioprine
Skin Manifestations,azelaic-acid
Hyperpigmentation,azelaic-acid
Asthma,azelastine
Inflammation,azelastine
Cough,bambuterol
Acute Disease,bambuterol
Disease,bazedoxifene
Schizophrenia,bazedoxifene
Mood Disorders,bazedoxifene
Psychotic Disorders,bazedoxifene
Depression,bazedoxifene
Depressive Disorder,bazedoxifene
Endometriosis,bazedoxifene
"Arthritis, Rheumatoid",bazedoxifene
COVID-19,benazepril
Coronavirus Infections,benazepril
Albuminuria,benazepril
Hypertrophy,benazepril
Proteinuria,benazepril
Cardiomyopathies,benazepril
"Cardiomyopathy, Dilated",benazepril
Hypotension,benazepril
COVID-19,bendroflumethiazide
Coronavirus Infections,bendroflumethiazide
"Ventricular Dysfunction, Left",benzbromarone
Metabolic Syndrome,benzbromarone
Syndrome,benzbromarone
"Tooth, Impacted",benzydamine
Postoperative Complications,benzydamine
Pericoronitis,benzydamine
Nausea,benzydamine
Vomiting,benzydamine
Postoperative Nausea and Vomiting,benzydamine
Bacteremia,benzylpenicillin
"Lung Diseases, Obstructive",benzylpenicillin
"Pulmonary Disease, Chronic Obstructive",benzylpenicillin
Meniere Disease,betahistine
Myocardial Infarction,bezafibrate
Infarction,bezafibrate
Acute Coronary Syndrome,bezafibrate
Coronary Artery Disease,bezafibrate
Myocardial Ischemia,bezafibrate
Hypercholesterolemia,bezafibrate
"Plaque, Atherosclerotic",bezafibrate
Skin Diseases,bifonazole
Foot Dermatoses,bifonazole
ST Elevation Myocardial Infarction,bisoprolol
Non-ST Elevated Myocardial Infarction,bisoprolol
Infarction,bisoprolol
"Kidney Failure, Chronic",bisoprolol
"Hypertension, Renal",bisoprolol
"Angina, Stable",bisoprolol
Vascular Remodeling,bisoprolol
Heart Diseases,bisoprolol
Atherosclerosis,bisoprolol
Coronary Disease,bisoprolol
Myocardial Ischemia,bisoprolol
Insulin Resistance,bisoprolol
Metabolic Syndrome,bisoprolol
"Arrhythmias, Cardiac",bisoprolol
Tachycardia,bisoprolol
"Tachycardia, Ventricular",bisoprolol
"Cardiomyopathy, Hypertrophic",bisoprolol
"Hypertrophy, Left Ventricular",bisoprolol
Hypertrophy,bisoprolol
"Pathological Conditions, Anatomical",bisoprolol
Aortic Valve Stenosis,bisoprolol
"Constriction, Pathologic",bisoprolol
Ventricular Dysfunction,bisoprolol
"Ventricular Dysfunction, Left",bisoprolol
Microvascular Angina,bisoprolol
"Angina Pectoris, Variant",bisoprolol
Coronary Vasospasm,bisoprolol
Diabetes Mellitus,bisoprolol
"Diabetes Mellitus, Type 2",bisoprolol
"Heart Failure, Systolic",bisoprolol
Systolic Murmurs,bisoprolol
"Heart Failure, Diastolic",bisoprolol
Postural Orthostatic Tachycardia Syndrome,bisoprolol
Pneumonia,bosentan
Substance-Related Disorders,brexpiprazole
Psychotic Disorders,brexpiprazole
"Depressive Disorder, Treatment-Resistant",brexpiprazole
Drug-Related Side Effects and Adverse Reactions,bumetanide
Diabetes Mellitus,bumetanide
Arthritis,bupivacaine
"Hernia, Abdominal",bupivacaine
Internal Hernia,bupivacaine
Facies,bupivacaine
Retinal Detachment,bupivacaine
"Vitreoretinopathy, Proliferative",bupivacaine
Retinoschisis,bupivacaine
Rupture,bupivacaine
Diverticulitis,bupivacaine
Nausea,bupivacaine
Drug Overdose,bupivacaine
Pituitary Diseases,bupivacaine
"Stress Disorders, Traumatic",bupivacaine
Depression,bupivacaine
Depressive Disorder,bupivacaine
"Depressive Disorder, Major",bupivacaine
"Depressive Disorder, Treatment-Resistant",bupivacaine
Arteriovenous Fistula,bupivacaine
Urinary Incontinence,bupivacaine
Enuresis,bupivacaine
"Urinary Incontinence, Stress",bupivacaine
Uterine Cervical Incompetence,bupivacaine
Tennis Elbow,bupivacaine
Inflammation,bupivacaine
Rectal Diseases,bupivacaine
Colic,bupivacaine
Renal Colic,bupivacaine
Tonsillitis,bupivacaine
Rectocele,bupivacaine
Hypertension,bupivacaine
Meningioma,bupivacaine
Paralysis,bupivacaine
Fibromyalgia,bupivacaine
Somatoform Disorders,bupivacaine
Arm Injuries,bupivacaine
Adenocarcinoma,bupivacaine
Intervertebral Disc Degeneration,bupivacaine
Intervertebral Disc Displacement,bupivacaine
Spondylolisthesis,bupivacaine
Spondylosis,bupivacaine
Hematoma,bupivacaine
Tibial Fractures,bupivacaine
"Tooth, Impacted",bupivacaine
Kidney Neoplasms,bupivacaine
"Carcinoma, Renal Cell",bupivacaine
"Arrhythmias, Cardiac",bupivacaine
Musculoskeletal Pain,bupivacaine
Rheumatic Diseases,bupivacaine
Spondylolysis,bupivacaine
Joint Diseases,bupivacaine
Femoracetabular Impingement,bupivacaine
Infertility,bupivacaine
"Infertility, Male",bupivacaine
Gastrointestinal Neoplasms,bupivacaine
Crohn Disease,bupivacaine
Intestinal Diseases,bupivacaine
Inflammatory Bowel Diseases,bupivacaine
Gastrointestinal Diseases,bupivacaine
Digestive System Diseases,bupivacaine
Radius Fractures,bupivacaine
Heart Diseases,bupivacaine
Intestinal Obstruction,bupivacaine
Neck Pain,bupivacaine
Obesity,bupivacaine
Ventricular Dysfunction,bupivacaine
"Ventricular Dysfunction, Right",bupivacaine
Hand Injuries,bupivacaine
Forearm Injuries,bupivacaine
Colonic Neoplasms,bupivacaine
Rectal Neoplasms,bupivacaine
Ileus,bupivacaine
Diverticulum,bupivacaine
"Diverticulitis, Colonic",bupivacaine
Constipation,bupivacaine
Knee Injuries,bupivacaine
Ehlers-Danlos Syndrome,bupivacaine
Urinary Retention,bupivacaine
Dwarfism,bupivacaine
Breakthrough Pain,bupivacaine
"Pain, Intractable",bupivacaine
Trigger Finger Disorder,bupivacaine
Uterine Diseases,bupivacaine
Prostatic Hyperplasia,bupivacaine
Hyperplasia,bupivacaine
Arthralgia,bupivacaine
