pert_iname,indication
prednisone,"Arthritis, Rheumatoid|Spondylitis, Ankylosing|Osteoarthritis|Psoriasis|Colitis, Ulcerative|Conjunctivitis|Meningitis|Arthritis, Psoriatic|Anemia|Multiple Sclerosis|Enteritis|Hypercalcemia|Mycoses|Bursitis|Adrenal Hyperplasia, Congenital|Dermatomyositis"
pregnenolone,"Arthritis, Rheumatoid"
primaquine,Malaria
primidone,Seizures
probenecid,Gout|Hyperuricemia
probucol,Coronary Artery Disease
procainamide,"Tachycardia, Ventricular"
procaine,Anesthetics
prochlorperazine,Nausea|Vomiting
progesterone,Amenorrhea|Infertility
proguanil,Malaria
propafenone,"Atrial Fibrillation|Tachycardia, Ventricular"
propentofylline,Stroke
propranolol,Hypertension|Migraine Disorders|Angina Pectoris
propylthiouracil,Hyperthyroidism|Graves Disease|Goiter
protriptyline,Depression
pyrazinamide,Tuberculosis
pyrimethamine,Malaria
quercetin,"Fatigue|Rhinitis, Allergic"
quetiapine,Bipolar Disorder|Schizophrenia
quinapril,Hypertension|Heart Failure|Angioedema
quinidine,Malaria|Atrial Fibrillation
quinine,Malaria
rabeprazole,Gastroesophageal Reflux|Zollinger-Ellison Syndrome
racecadotril,Diarrhea
raloxifene,Breast Neoplasms|Osteoporosis
raltegravir,HIV
ramatroban,Asthma|Coronary Artery Disease
ramelteon,Sleep Initiation and Maintenance Disorders
ramipril,Hypertension
ranitidine,Heartburn
ranolazine,"Angina, Stable"
rasagiline,Parkinson Disease
rebamipide,Gastritis
reboxetine,Depression
regadenoson,Myocardial Perfusion Imaging
regorafenib,Colorectal Neoplasms|Gastrointestinal Stromal Tumors
repaglinide,Diabetes Mellitus
reserpine,Hypertension
resorcinol,"Acne Vulgaris|Psoriasis|Eczema|Dermatitis, Seborrheic"
retapamulin,Impetigo
ribavirin,Hepatitis C
rifabutin,HIV
rifaximin,Diarrhea|Irritable Bowel Syndrome|Hepatic Encephalopathy
rilmenidine,Hypertension
rilpivirine,HIV
riluzole,Amyotrophic Lateral Sclerosis
rimexolone,"Uveitis, Anterior"
riociguat,Hypertension
ripasudil,Glaucoma|Ocular Hypertension
risperidone,Bipolar Disorder|Schizophrenia
ritodrine,"Obstetric Labor, Premature"
ritonavir,HIV
rivaroxaban,Venous Thrombosis|Stroke|Pulmonary Embolism|Atrial Fibrillation
rizatriptan,Migraine Disorders
rocuronium,Anesthetics
roflumilast,"Bronchitis|Pulmonary Disease, Chronic Obstructive"
romidepsin,"Lymphoma, T-Cell, Cutaneous"
ropinirole,Parkinson Disease|Restless Legs Syndrome
rosuvastatin,Hyperlipidemias|Hypertriglyceridemia|Hypercholesterolemia|Dyslipidemias|Atherosclerosis
rotigotine,Parkinson Disease|Restless Legs Syndrome
rotundine,Hypnotics and Sedatives|Anxiety
roxithromycin,Urinary Tract Infections|Respiratory Tract Infections
rufinamide,Seizures
rupatadine,"Rhinitis, Allergic|Urticaria"
rutin,"Rhinitis, Allergic|Arthralgia|Constipation"
ruxolitinib,Primary Myelofibrosis|Polycythemia Vera
sacubitril,Heart Failure
safinamide,Parkinson Disease
saquinavir,HIV
sasapyrine,"Arthritis, Rheumatoid|Osteoarthritis"
saxagliptin,Diabetes Mellitus
scopolamine,Nausea|Vomiting|Motion Sickness
secnidazole,Protozoan Infections
selegiline,Parkinson Disease
selinexor,Multiple Myeloma
sertaconazole,Tinea Pedis
sertraline,"Depression|Obsessive-Compulsive Disorder|Stress Disorders, Post-Traumatic|Panic Disorder|Phobia, Social|Premenstrual Syndrome"
setiptiline,Depression
sildenafil,Erectile Dysfunction
simeprevir,Hepatitis C
simvastatin,Hyperlipidemias|Stroke|Myocardial Infarction|Coronary Disease|Hypercholesterolemia
sirolimus,Lymphangioleiomyomatosis
sitagliptin,Diabetes Mellitus
sodium-gualenate,Pharyngitis
solifenacin-succinate,Urinary Incontinence
sorafenib,"Carcinoma, Renal Cell|Thyroid Neoplasms|Carcinoma, Hepatocellular"
sotalol,Atrial Fibrillation
spironolactone,Hypertension|Heart Failure|Liver Cirrhosis|Nephrotic Syndrome|Hyperaldosteronism|Hypokalemia
stavudine,HIV
sulbactam,Intraabdominal Infections
sulbutiamine,Asthenia
sulfadoxine,Malaria
sulfafurazole,Urinary Tract Infections
sulfasalazine,"Colitis, Ulcerative"
sulpiride,Schizophrenia
sumatriptan,Migraine Disorders
sunitinib,"Carcinoma, Renal Cell|Gastrointestinal Stromal Tumors"
tacalcitol,Psoriasis
tacrine,Alzheimer Disease
tadalafil,Erectile Dysfunction
tafamidis-meglumine,"Amyloid Neuropathies, Familial"
talazoparib,Breast Neoplasms
talinolol,Hypertension
taltirelin,Spinocerebellar Ataxias
tamibarotene,"Leukemia, Promyelocytic, Acute"
tamoxifen,Breast Neoplasms
tamsulosin,Prostatic Hyperplasia
tazarotene,Cosmetics
tazobactam,Pneumonia
tebipenem,Pneumonia|Otitis
telbivudine,Hepatitis B
telmesteine,Antitussive Agents
telmisartan,Hypertension
telotristat,Diarrhea
temoporfin,Squamous Cell Carcinoma of Head and Neck
temozolomide,Glioblastoma|Astrocytoma
temsirolimus,"Carcinoma, Renal Cell"
teneligliptin,Diabetes Mellitus
terbinafine,Tinea Pedis|Tinea cruris|Tinea
teriflunomide,Multiple Sclerosis
tetrabenazine,Cholera|Huntington Disease
tetracaine,Anesthetics
thioctic-acid,Diabetic Nephropathies
thioguanine,"Leukemia, Myeloid, Acute"
thiothixene,Schizophrenia
tiabendazole,Ancylostomatoidea
tiagabine,Seizures
tiapride,Psychotic Disorders|Dyskinesias
tibolone,Endometriosis
ticagrelor,Myocardial Infarction|Acute Coronary Syndrome
ticlopidine,Stroke|Thrombosis
timolol,Glaucoma|Ocular Hypertension
tioguanine,"Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
tipiracil,Colorectal Neoplasms
tipranavir,HIV
tirofiban,Myocardial Infarction
tivozanib,"Carcinoma, Renal Cell"
tizanidine,Spasm
tobramycin,Urinary Tract Infections|Respiratory Tract Infections|Meningitis
tofacitinib,"Arthritis, Rheumatoid"
tolazamide,Diabetes Mellitus
tolbutamide,Diabetes Mellitus
tolfenamic-acid,Migraine Disorders
tolnaftate,Tinea Pedis|Tinea
tolperisone,"Spondylitis, Ankylosing|Multiple Sclerosis|Raynaud Disease|Atherosclerosis|Encephalomyelitis"
tolvaptan,Heart Failure|Liver Cirrhosis|Hyponatremia
topiramate,Migraine Disorders|Epilepsy
topiroxostat,Gout|Hyperuricemia
torasemide,Hypertension|Heart Failure|Edema
toremifene,Breast Neoplasms
trametinib,Melanoma
tranilast,Asthma
tranylcypromine,Depression
trapidil,Coronary Artery Disease
travoprost,Glaucoma|Ocular Hypertension
trazodone,Depression
tretinoin,"Leukemia, Promyelocytic, Acute"
triamterene,Hypertension|Edema|Hypokalemia
triclabendazole,Cestoda
trientine,Hepatolenticular Degeneration
trifluoperazine,Schizophrenia
triflupromazine,Psychotic Disorders|Nausea|Vomiting
trifluridine,Simplexvirus
trilostane,Cushing Syndrome
trimebutine,Irritable Bowel Syndrome
trimetazidine,Angina Pectoris
trimethobenzamide,Nausea|Vomiting|Gastroenteritis
trimethoprim,Diarrhea|Urinary Tract Infections|Otitis
trimipramine,Depression
triptorelin,"Breast Neoplasms|Prostatic Neoplasms|Endometriosis|Puberty, Precocious|Myoma|Gender Dysphoria"
ubenimex,"Leukemia, Myeloid, Acute"
ulipristal,Contraceptive Agents
umeclidinium,"Bronchitis|Emphysema|Pulmonary Disease, Chronic Obstructive"
urapidil,Hypertension
urea,Psoriasis|Dermatitis|Ichthyosis Vulgaris|Eczema|Keratosis
ursodiol,Gallstones
valproic-acid,Epilepsy|Seizures|Seizures
valrubicin,Urinary Bladder Neoplasms
valsartan,Hypertension|Heart Failure|Heart Failure
vandetanib,"Thyroid cancer, medullary"
vardenafil,Erectile Dysfunction
varenicline,Smoking Cessation
vemurafenib,Melanoma
venetoclax,"Leukemia, Lymphocytic, Chronic, B-Cell"
venlafaxine,"Depression|Panic Disorder|Phobia, Social"
verapamil,Hypertension
vernakalant,Atrial Fibrillation
verteporfin,Macular Degeneration
vidarabine,"Simplexvirus|Herpesvirus 3, Human"
vilazodone,Depression
vinburnine,Stroke
vinpocetine,Stroke|Alzheimer Disease
vismodegib,"Carcinoma, Basal Cell"
voglibose,Diabetes Mellitus|Hyperglycemia
voriconazole,Aspergillosis
vorinostat,"Lymphoma, T-Cell, Cutaneous"
vortioxetine,Depression
warfarin,Venous Thrombosis|Pulmonary Embolism|Atrial Fibrillation|Myocardial Infarction
yohimbine,"Arrhythmias, Cardiac|Bradycardia"
zafirlukast,Asthma
zalcitabine,HIV
zidovudine,HIV|Acquired Immunodeficiency Syndrome
zileuton,Asthma
ziprasidone,Bipolar Disorder|Schizophrenia
zofenopril-calcium,Hypertension
zonisamide,Epilepsy|Seizures
